日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,000027,6.31,6.13,6.33,6.1,263295,167731259.64,3.63,-3.16,-0.2,0.55
2025-01-03,000027,6.14,6.09,6.21,6.06,163688,102772209.06,2.45,-0.65,-0.04,0.34
2025-01-06,000027,6.09,6.08,6.11,6.03,118431,73611681.04,1.31,-0.16,-0.01,0.25
2025-01-07,000027,6.08,6.04,6.08,5.98,116214,71737200.4,1.64,-0.66,-0.04,0.24
2025-01-08,000027,6.02,5.97,6.03,5.87,173423,105803050.36,2.65,-1.16,-0.07,0.36
2025-01-09,000027,5.95,5.92,5.96,5.9,93918,57099328.45,1.01,-0.84,-0.05,0.2
2025-01-10,000027,5.92,5.86,5.95,5.84,115730,70099838.4,1.86,-1.01,-0.06,0.24
2025-01-13,000027,5.82,5.87,5.87,5.8,99131,59369544.56,1.19,0.17,0.01,0.21
2025-01-14,000027,5.87,6.02,6.03,5.84,138838,84848733.3,3.24,2.56,0.15,0.29
2025-01-15,000027,6.03,5.99,6.06,5.98,94412,58096225.22,1.33,-0.5,-0.03,0.2
2025-01-16,000027,6.02,6.01,6.07,5.99,104140,64343084.0,1.34,0.33,0.02,0.22
2025-01-17,000027,6.01,6.01,6.03,5.97,65197,40154770.18,1.0,0.0,0.0,0.14
2025-01-20,000027,6.04,6.01,6.07,6.0,70917,43843155.17,1.16,0.0,0.0,0.15
2025-01-21,000027,6.03,5.99,6.04,5.96,63052,38697644.13,1.33,-0.33,-0.02,0.13
2025-01-22,000027,5.99,5.97,6.0,5.91,65698,40078692.26,1.5,-0.33,-0.02,0.14
2025-01-23,000027,6.03,5.96,6.1,5.96,134366,83015942.64,2.35,-0.17,-0.01,0.28
2025-01-24,000027,5.97,5.96,6.0,5.93,106479,65135774.3,1.17,0.0,0.0,0.22
2025-01-27,000027,5.98,5.98,6.06,5.96,118427,72963071.69,1.68,0.34,0.02,0.25
2025-02-05,000027,6.02,5.95,6.03,5.91,112089,68415473.66,2.01,-0.5,-0.03,0.24
2025-02-06,000027,5.94,6.01,6.02,5.92,114314,70021398.65,1.68,1.01,0.06,0.24
2025-02-07,000027,6.01,6.09,6.13,5.98,198395,123469899.92,2.5,1.33,0.08,0.42
2025-02-10,000027,6.11,6.08,6.13,6.06,120035,74829420.36,1.15,-0.16,-0.01,0.25
2025-02-11,000027,6.11,6.09,6.11,6.03,115342,71661332.05,1.32,0.16,0.01,0.24
2025-02-12,000027,6.07,6.09,6.11,6.05,88817,55332134.08,0.99,0.0,0.0,0.19
2025-02-13,000027,6.11,6.05,6.12,6.05,109545,68249735.2,1.15,-0.66,-0.04,0.23
2025-02-14,000027,6.05,6.04,6.07,6.02,99085,61346777.59,0.83,-0.17,-0.01,0.21
2025-02-17,000027,6.07,6.1,6.12,6.01,177248,110295220.67,1.82,0.99,0.06,0.37
2025-02-18,000027,6.11,6.06,6.14,6.03,138948,86783468.68,1.8,-0.66,-0.04,0.29
2025-02-19,000027,6.06,6.03,6.06,5.99,162027,100055049.57,1.16,-0.5,-0.03,0.34
2025-02-20,000027,6.04,5.99,6.04,5.96,136302,83709842.8,1.33,-0.66,-0.04,0.29
2025-02-21,000027,5.99,6.02,6.03,5.97,128873,79322427.42,1.0,0.5,0.03,0.27
2025-02-24,000027,6.04,6.09,6.14,6.02,212449,132332483.7,1.99,1.16,0.07,0.45
2025-02-25,000027,6.06,6.05,6.11,6.01,132556,82371380.23,1.64,-0.66,-0.04,0.28
2025-02-26,000027,6.07,6.14,6.14,6.05,201882,126422676.5,1.49,1.49,0.09,0.42
2025-02-27,000027,6.15,6.13,6.16,6.08,157841,98868388.2,1.3,-0.16,-0.01,0.33
2025-02-28,000027,6.15,6.08,6.18,6.07,175802,110367734.76,1.79,-0.82,-0.05,0.37
2025-03-03,000027,6.09,6.06,6.11,6.04,147349,91690909.45,1.15,-0.33,-0.02,0.31
