日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,000035,4.84,4.68,4.88,4.62,246315,117718179.14,5.37,-3.31,-0.16,1.02
2025-01-03,000035,4.69,4.54,4.71,4.53,215699,100171220.12,3.85,-2.99,-0.14,0.89
2025-01-06,000035,4.54,4.54,4.63,4.47,175780,80600868.0,3.52,0.0,0.0,0.72
2025-01-07,000035,4.53,4.56,4.58,4.5,148183,67776079.58,1.76,0.44,0.02,0.61
2025-01-08,000035,4.54,4.5,4.55,4.36,258276,115806856.0,4.17,-1.32,-0.06,1.06
2025-01-09,000035,4.47,4.49,4.51,4.42,170398,76717688.0,2.0,-0.22,-0.01,0.7
2025-01-10,000035,4.49,4.33,4.52,4.32,258091,114230098.1,4.45,-3.56,-0.16,1.06
2025-01-13,000035,4.28,4.38,4.38,4.25,166802,72811192.6,3.0,1.15,0.05,0.69
2025-01-14,000035,4.4,4.49,4.5,4.39,209468,93879811.01,2.51,2.51,0.11,0.86
2025-01-15,000035,4.5,4.53,4.58,4.42,267137,120811072.02,3.56,0.89,0.04,1.1
2025-01-16,000035,4.53,4.64,4.66,4.52,255410,118795870.65,3.09,2.43,0.11,1.05
2025-01-17,000035,4.63,4.62,4.65,4.58,121189,56326197.42,1.51,-0.43,-0.02,0.5
2025-01-20,000035,4.64,4.64,4.69,4.6,146232,68333322.14,1.95,0.43,0.02,0.6
2025-01-21,000035,4.67,4.61,4.68,4.59,107611,50079193.5,1.94,-0.65,-0.03,0.44
2025-01-22,000035,4.58,4.45,4.6,4.41,294777,132686776.87,4.12,-3.47,-0.16,1.22
2025-01-23,000035,4.49,4.47,4.58,4.47,192316,87560581.65,2.47,0.45,0.02,0.79
2025-01-24,000035,4.46,4.52,4.54,4.44,166540,75415600.53,2.24,1.12,0.05,0.69
2025-01-27,000035,4.52,4.52,4.61,4.52,173036,79516444.41,1.99,0.0,0.0,0.71
2025-02-05,000035,4.54,4.48,4.56,4.45,151279,68691575.51,2.43,-0.88,-0.04,0.62
2025-02-06,000035,4.49,4.59,4.63,4.48,238824,109628726.0,3.35,2.46,0.11,0.98
2025-02-07,000035,4.59,4.59,4.62,4.54,454383,209567679.74,1.74,0.0,0.0,1.87
2025-02-10,000035,4.6,4.55,4.62,4.53,371109,170321960.1,1.96,-0.87,-0.04,1.53
2025-02-11,000035,4.56,4.49,4.56,4.45,301412,136027308.0,2.42,-1.32,-0.06,1.24
2025-02-12,000035,4.48,4.5,4.52,4.44,227681,102743523.0,1.78,0.22,0.01,0.94
2025-02-13,000035,4.5,4.46,4.53,4.45,252683,114101794.24,1.78,-0.89,-0.04,1.04
2025-02-14,000035,4.46,4.44,4.51,4.43,219886,98723830.98,1.79,-0.45,-0.02,0.91
2025-02-17,000035,4.46,4.5,4.53,4.41,370664,167103056.44,2.7,1.35,0.06,1.53
2025-02-18,000035,4.56,4.57,4.69,4.52,721356,333578001.77,3.78,1.56,0.07,2.97
2025-02-19,000035,4.56,4.65,4.69,4.53,521769,243548646.63,3.5,1.75,0.08,2.15
2025-02-20,000035,4.64,4.55,4.64,4.54,444229,204165372.2,2.15,-2.15,-0.1,1.83
2025-02-21,000035,4.54,4.72,4.77,4.54,596414,280360932.75,5.05,3.74,0.17,2.46
2025-02-24,000035,4.72,4.74,4.8,4.69,489524,233875871.08,2.33,0.42,0.02,2.02
2025-02-25,000035,4.72,4.71,4.75,4.65,310400,146997090.0,2.11,-0.63,-0.03,1.28
2025-02-26,000035,4.73,4.81,4.81,4.7,358381,171641241.67,2.34,2.12,0.1,1.48
2025-02-27,000035,4.83,4.77,4.86,4.69,385070,184865084.17,3.53,-0.83,-0.04,1.59
2025-02-28,000035,4.75,4.64,4.78,4.61,368505,173411300.3,3.56,-2.73,-0.13,1.52
2025-03-03,000035,4.65,4.63,4.7,4.61,243735,114159431.0,1.94,-0.22,-0.01,1.0
2025-03-04,000035,4.63,4.65,4.67,4.6,183604,85676467.2,1.51,0.43,0.02,0.76
2025-03-05,000035,4.65,4.57,4.66,4.53,308749,142218239.06,2.8,-1.72,-0.08,1.27
2025-03-06,000035,4.58,4.64,4.65,4.54,284761,132250498.85,2.41,1.53,0.07,1.17
2025-03-07,000035,4.64,4.66,4.72,4.6,311881,146175606.61,2.59,0.43,0.02,1.29
2025-03-10,000035,4.69,4.75,4.76,4.69,330742,157151490.0,1.5,1.93,0.09,1.36
2025-03-11,000035,4.69,4.75,4.76,4.68,240763,114369476.54,1.68,0.0,0.0,0.99
2025-03-12,000035,4.77,4.84,4.92,4.71,478175,231239523.95,4.42,1.89,0.09,1.97
2025-03-13,000035,4.81,4.73,4.85,4.67,353165,168389928.08,3.72,-2.27,-0.11,1.46
2025-03-14,000035,4.73,4.79,4.79,4.67,341766,163225537.16,2.54,1.27,0.06,1.41
2025-03-17,000035,4.82,4.88,4.9,4.82,434976,213030215.77,1.67,1.88,0.09,1.79
2025-03-18,000035,4.94,4.88,4.96,4.86,376540,185665648.37,2.05,0.0,0.0,1.55
2025-03-19,000035,4.88,4.87,4.9,4.82,253828,123966690.0,1.64,-0.2,-0.01,1.05
2025-03-20,000035,4.88,4.87,4.9,4.84,231443,113315518.52,1.23,0.0,0.0,0.95
2025-03-21,000035,4.86,4.95,5.05,4.85,582984,291680832.44,4.11,1.64,0.08,2.4
2025-03-24,000035,4.96,4.88,4.97,4.8,398873,195447561.95,3.43,-1.41,-0.07,1.64
2025-03-25,000035,4.87,4.92,4.99,4.85,275568,136167113.12,2.87,0.82,0.04,1.14
2025-03-26,000035,4.92,4.88,4.94,4.87,216068,106468940.0,1.42,-0.81,-0.04,0.89
2025-03-27,000035,4.88,4.85,4.88,4.79,189894,92521496.2,1.84,-0.61,-0.03,0.78
2025-03-28,000035,4.84,4.76,4.86,4.75,219846,105931930.0,2.27,-1.86,-0.09,0.91
2025-03-31,000035,4.75,4.7,4.78,4.66,211048,100120486.48,2.52,-1.26,-0.06,0.87
2025-04-01,000035,4.7,4.76,4.83,4.7,167401,80360887.25,2.77,1.28,0.06,0.69
2025-04-02,000035,4.76,4.71,4.77,4.7,153119,72813545.0,1.47,-1.05,-0.05,0.63
2025-04-03,000035,4.68,4.71,4.76,4.67,162972,77395792.25,1.91,0.0,0.0,0.67
2025-04-07,000035,4.55,4.24,4.55,4.24,542714,239264395.62,6.58,-9.98,-0.47,2.24
2025-04-08,000035,4.2,4.28,4.34,4.2,354013,151911223.0,3.3,0.94,0.04,1.46
2025-04-09,000035,4.24,4.33,4.36,4.09,351212,149483858.8,6.31,1.17,0.05,1.45
2025-04-10,000035,4.39,4.42,4.49,4.35,287491,128359377.0,3.23,2.08,0.09,1.19
2025-04-11,000035,4.39,4.38,4.42,4.36,214016,94643991.84,1.36,-0.9,-0.04,0.88
2025-04-14,000035,4.42,4.43,4.46,4.41,179663,80217299.39,1.14,1.14,0.05,0.74
