日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,000063,39.77,37.31,40.31,36.94,3299998,12796803803.58,8.47,-6.21,-2.47,8.19
2025-01-03,000063,37.63,35.03,37.7,34.93,2734935,9970054005.53,7.42,-6.11,-2.28,6.79
2025-01-06,000063,35.14,34.18,35.78,33.82,2155967,7607105096.08,5.6,-2.43,-0.85,5.35
2025-01-07,000063,34.48,34.81,35.03,33.89,2443071,8578225668.61,3.34,1.84,0.63,6.07
2025-01-08,000063,34.25,34.26,34.78,32.88,2362416,8137445864.95,5.46,-1.58,-0.55,5.87
2025-01-09,000063,33.87,37.75,37.75,33.78,3915049,14480336477.3,11.59,10.19,3.49,9.72
2025-01-10,000063,37.68,37.09,39.21,37.07,3370072,12965675592.79,5.67,-1.75,-0.66,8.37
2025-01-13,000063,36.79,38.38,39.15,36.75,2758927,10696780491.34,6.47,3.48,1.29,6.85
2025-01-14,000063,38.4,40.88,41.96,37.45,3340166,13451416854.84,11.75,6.51,2.5,8.29
2025-01-15,000063,40.38,40.3,41.52,39.73,2430896,9987571421.08,4.38,-1.42,-0.58,6.04
2025-01-16,000063,40.38,39.34,41.05,38.32,2906352,11676382223.36,6.77,-2.38,-0.96,7.22
2025-01-17,000063,38.93,40.65,41.98,38.34,3254677,13306786014.37,9.25,3.33,1.31,8.08
2025-01-20,000063,41.19,39.87,41.55,39.53,2427273,9958662284.8,4.97,-1.92,-0.78,6.03
2025-01-21,000063,40.66,42.26,42.98,40.4,3518079,14839944904.55,6.47,5.99,2.39,8.74
2025-01-22,000063,41.7,42.43,42.91,41.26,2473063,10561721933.53,3.9,0.4,0.17,6.14
2025-01-23,000063,43.1,40.48,43.13,39.79,3065700,12897073626.9,7.87,-4.6,-1.95,7.61
2025-01-24,000063,40.4,42.3,42.55,40.33,2680087,11379933388.78,5.48,4.5,1.82,6.65
2025-01-27,000063,42.08,39.36,42.08,39.36,2358798,9653472026.67,6.43,-6.95,-2.94,5.86
2025-02-05,000063,40.89,41.94,42.36,40.78,2676284,11317095942.5,4.01,6.55,2.58,6.65
2025-02-06,000063,41.63,42.78,44.04,41.58,2626993,11461972361.0,5.87,2.0,0.84,6.52
2025-02-07,000063,42.38,42.29,43.68,41.37,3287620,14132981614.15,5.4,-1.15,-0.49,8.16
2025-02-10,000063,42.18,41.63,42.18,40.48,2247084,9413877110.1,4.02,-1.56,-0.66,5.58
2025-02-11,000063,41.39,41.01,41.69,40.79,1590993,6642569758.14,2.16,-1.49,-0.62,3.95
2025-02-12,000063,40.89,41.32,41.32,39.97,2395058,9894444733.66,3.29,0.76,0.31,5.95
2025-02-13,000063,40.88,39.15,40.88,38.96,2786776,11197823427.0,4.65,-5.25,-2.17,6.92
2025-02-14,000063,38.8,39.12,39.56,38.53,1889271,7488652934.77,2.63,-0.08,-0.03,4.69
2025-02-17,000063,39.58,40.28,40.78,39.33,2238283,9124264138.79,3.71,2.97,1.16,5.56
2025-02-18,000063,39.7,38.67,39.93,38.53,1648229,6569693982.01,3.48,-4.0,-1.61,4.09
2025-02-19,000063,38.5,39.77,40.17,38.34,1780757,7159377127.16,4.73,2.84,1.1,4.42
2025-02-20,000063,39.57,39.2,39.72,38.8,1217664,4845515716.43,2.31,-1.43,-0.57,3.02
2025-02-21,000063,39.76,42.79,43.18,39.21,3875239,16260112668.05,10.13,9.16,3.59,9.62
2025-02-24,000063,42.3,43.18,43.46,41.78,2901901,12561886464.47,3.93,0.91,0.39,7.21
2025-02-25,000063,41.78,41.88,43.08,41.25,2018823,8585915097.12,4.24,-3.01,-1.3,5.01
2025-02-26,000063,41.98,41.66,42.28,40.96,1601150,6756041423.71,3.15,-0.53,-0.22,3.98
2025-02-27,000063,41.48,39.86,41.93,39.39,2013366,8245971769.88,6.1,-4.32,-1.8,5.0
2025-02-28,000063,39.37,38.04,39.63,37.98,1669925,6547507817.25,4.14,-4.57,-1.82,4.15
2025-03-03,000063,36.74,35.52,36.88,34.79,2571578,9324192975.45,5.49,-6.62,-2.52,6.39
2025-03-04,000063,35.27,36.39,36.88,34.93,1586183,5778421755.74,5.49,2.45,0.87,3.94
2025-03-05,000063,36.38,36.39,36.74,35.9,1074194,3961802127.44,2.31,0.0,0.0,2.67
2025-03-06,000063,37.03,37.38,37.96,37.03,1768662,6751920209.05,2.56,2.72,0.99,4.39
2025-03-07,000063,37.27,36.67,37.59,36.44,1227383,4610087177.29,3.08,-1.9,-0.71,3.05
2025-03-10,000063,36.57,36.59,36.97,36.23,792303,2941410896.76,2.02,-0.22,-0.08,1.97
2025-03-11,000063,35.93,36.44,36.61,35.84,690092,2546186760.37,2.1,-0.41,-0.15,1.71
2025-03-12,000063,36.46,38.16,39.71,36.26,2527824,9754909427.19,9.47,4.72,1.72,6.28
2025-03-13,000063,37.38,36.55,37.73,36.34,1669849,6263726451.2,3.64,-4.22,-1.61,4.15
2025-03-14,000063,36.28,37.04,37.13,36.18,1231941,4611688983.4,2.6,1.34,0.49,3.06
2025-03-17,000063,36.97,36.67,36.98,36.48,824722,3074808768.7,1.35,-1.0,-0.37,2.05
