日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,000153,6.06,5.94,6.13,5.9,81747,50167167.6,3.81,-1.49,-0.09,1.8
2025-01-03,000153,5.96,5.8,6.02,5.78,81384,48882112.76,4.04,-2.36,-0.14,1.8
2025-01-06,000153,5.89,6.05,6.14,5.74,149346,90902257.61,6.9,4.31,0.25,3.3
2025-01-07,000153,6.02,5.95,6.03,5.8,105702,63436496.39,3.8,-1.65,-0.1,2.33
2025-01-08,000153,5.93,5.93,6.05,5.81,88905,53809573.23,4.03,-0.34,-0.02,1.96
2025-01-09,000153,5.9,5.85,5.94,5.79,71926,42945318.46,2.53,-1.35,-0.08,1.59
2025-01-10,000153,5.84,5.65,5.86,5.64,77622,45322212.8,3.76,-3.42,-0.2,1.71
2025-01-13,000153,5.62,5.66,5.67,5.49,51428,29310805.0,3.19,0.18,0.01,1.14
2025-01-14,000153,5.67,5.82,5.83,5.67,65686,38535369.07,2.83,2.83,0.16,1.45
2025-01-15,000153,5.82,5.78,5.83,5.74,56685,33362610.4,1.55,-0.69,-0.04,1.25
2025-01-16,000153,5.78,5.84,5.89,5.78,63299,37612676.6,1.9,1.04,0.06,1.4
2025-01-17,000153,5.82,5.83,5.85,5.75,40181,23745287.11,1.71,-0.17,-0.01,0.89
2025-01-20,000153,5.83,5.96,6.01,5.83,74914,45167792.24,3.09,2.23,0.13,1.65
2025-01-21,000153,5.99,5.9,6.0,5.86,54124,32503955.8,2.35,-1.01,-0.06,1.19
2025-01-22,000153,5.87,5.83,5.9,5.8,37521,22269321.0,1.69,-1.19,-0.07,0.83
2025-01-23,000153,5.87,5.84,5.94,5.84,40510,24282902.8,1.72,0.17,0.01,0.89
2025-01-24,000153,5.82,5.83,5.86,5.76,47134,27846169.11,1.71,-0.17,-0.01,1.04
2025-01-27,000153,5.87,5.88,5.99,5.85,64529,38928562.4,2.4,0.86,0.05,1.42
2025-02-05,000153,5.91,5.92,5.95,5.87,47954,28832095.2,1.36,0.68,0.04,1.06
2025-02-06,000153,5.92,5.94,5.94,5.83,53385,31997855.91,1.86,0.34,0.02,1.18
2025-02-07,000153,5.96,6.03,6.06,5.92,108277,66079157.05,2.36,1.52,0.09,2.39
2025-02-10,000153,6.05,6.09,6.1,6.03,66081,40802689.98,1.16,1.0,0.06,1.46
2025-02-11,000153,6.11,6.05,6.12,6.0,69447,42656037.8,1.97,-0.66,-0.04,1.53
2025-02-12,000153,6.06,6.08,6.08,6.01,63113,38800918.03,1.16,0.5,0.03,1.39
2025-02-13,000153,6.05,5.99,6.08,5.98,51519,31535220.0,1.64,-1.48,-0.09,1.14
2025-02-14,000153,5.98,6.03,6.08,5.98,45923,28156733.4,1.67,0.67,0.04,1.01
2025-02-17,000153,6.03,6.1,6.12,6.02,68278,42202556.11,1.66,1.16,0.07,1.51
2025-02-18,000153,6.11,5.96,6.11,5.95,61122,37482007.78,2.62,-2.3,-0.14,1.35
2025-02-19,000153,5.97,6.03,6.04,5.94,46242,28218266.06,1.68,1.17,0.07,1.02
2025-02-20,000153,6.03,6.08,6.14,6.01,57453,35570700.8,2.16,0.83,0.05,1.27
2025-02-21,000153,6.06,6.05,6.1,5.99,49794,30555969.2,1.81,-0.49,-0.03,1.1
2025-02-24,000153,6.04,6.08,6.14,6.01,59703,36894376.18,2.15,0.5,0.03,1.32
2025-02-25,000153,6.08,6.04,6.1,6.01,52063,32002438.99,1.48,-0.66,-0.04,1.15
2025-02-26,000153,6.04,6.08,6.1,6.02,87354,53843832.0,1.32,0.66,0.04,1.93
2025-02-27,000153,6.09,6.0,6.11,5.89,168033,102290734.32,3.62,-1.32,-0.08,3.71
2025-02-28,000153,5.98,5.9,6.01,5.87,95310,57442469.59,2.33,-1.67,-0.1,2.1
2025-03-03,000153,5.9,5.95,6.04,5.9,84171,51182706.84,2.37,0.85,0.05,1.86
2025-03-04,000153,5.94,6.02,6.02,5.93,52898,32225355.58,1.51,1.18,0.07,1.17
2025-03-05,000153,6.02,5.94,6.03,5.88,59258,35658999.51,2.49,-1.33,-0.08,1.31
2025-03-06,000153,5.94,5.96,5.97,5.9,103158,62232052.82,1.18,0.34,0.02,2.28
2025-03-07,000153,5.93,5.89,5.95,5.86,81184,48743826.22,1.51,-1.17,-0.07,1.79
2025-03-10,000153,5.9,5.94,5.96,5.89,65727,39629760.66,1.19,0.85,0.05,1.45
2025-03-11,000153,5.91,5.92,5.93,5.83,57633,34461585.15,1.68,-0.34,-0.02,1.27
2025-03-12,000153,5.92,5.94,5.96,5.89,55402,33388640.64,1.18,0.34,0.02,1.22
2025-03-13,000153,5.95,5.95,5.95,5.85,70466,42334353.81,1.68,0.17,0.01,1.56
2025-03-14,000153,5.96,6.06,6.07,5.93,115077,70305769.8,2.35,1.85,0.11,2.54
2025-03-17,000153,6.06,6.1,6.13,6.04,86446,53493740.6,1.49,0.66,0.04,1.91
2025-03-18,000153,6.1,6.11,6.14,6.08,56995,35362568.0,0.98,0.16,0.01,1.26
2025-03-19,000153,6.12,6.11,6.16,6.08,53850,33487693.4,1.31,0.0,0.0,1.19
2025-03-20,000153,6.1,6.12,6.14,6.09,52802,32824521.76,0.82,0.16,0.01,1.17
2025-03-21,000153,6.14,6.09,6.2,6.04,80320,49958528.2,2.61,-0.49,-0.03,1.77
2025-03-24,000153,6.09,5.99,6.12,5.89,79513,48420286.42,3.78,-1.64,-0.1,1.76
2025-03-25,000153,5.96,6.06,6.08,5.93,70071,42791290.8,2.5,1.17,0.07,1.55
2025-03-26,000153,6.08,6.15,6.19,6.01,93600,58371712.9,2.97,1.49,0.09,2.07
2025-03-27,000153,6.17,6.2,6.22,6.04,84657,52928581.1,2.93,0.81,0.05,1.87
2025-03-28,000153,6.17,6.25,6.6,6.17,300942,193455606.52,6.94,0.81,0.05,6.64
2025-03-31,000153,6.21,6.05,6.24,5.96,209533,130137386.8,4.48,-3.2,-0.2,4.63
2025-04-01,000153,6.09,6.29,6.38,6.09,228063,145775295.2,4.79,3.97,0.24,5.04
2025-04-02,000153,6.29,6.27,6.34,6.23,108263,69175558.8,1.75,-0.32,-0.02,2.39
2025-04-03,000153,6.23,6.32,6.37,6.23,132635,84982670.0,2.23,0.8,0.05,2.93
2025-04-07,000153,6.09,5.68,6.1,5.68,162352,95651270.8,6.65,-10.13,-0.64,3.58
2025-04-08,000153,5.7,5.48,5.75,5.36,206983,116150750.73,6.87,-3.52,-0.2,4.57
2025-04-09,000153,5.36,5.51,5.54,5.07,171466,92742925.64,8.58,0.55,0.03,3.79
2025-04-10,000153,5.6,5.68,5.73,5.58,121193,69928154.0,2.72,3.09,0.17,2.68
2025-04-11,000153,5.61,5.52,5.66,5.48,163055,92227816.2,3.17,-2.82,-0.16,3.6
2025-04-14,000153,5.62,5.64,5.71,5.55,127542,73076704.4,2.9,2.17,0.12,2.82
2025-04-15,000153,5.61,5.63,5.68,5.54,76106,43411199.54,2.48,-0.18,-0.01,1.68
2025-04-16,000153,5.6,5.52,5.61,5.41,94135,52811860.4,3.55,-1.95,-0.11,2.08
2025-04-17,000153,5.51,5.57,5.64,5.46,83617,47465371.2,3.26,0.91,0.05,1.85
2025-04-18,000153,5.58,5.64,5.77,5.55,143256,82280793.73,3.95,1.26,0.07,3.16
2025-04-21,000153,5.62,5.74,5.76,5.56,112931,65624330.0,3.55,1.77,0.1,2.49
2025-04-22,000153,5.71,5.84,5.84,5.71,107271,63147276.0,2.26,1.74,0.1,2.37
2025-04-23,000153,5.84,5.8,5.85,5.78,67562,39969566.8,1.2,-0.68,-0.04,1.49
2025-04-24,000153,5.8,5.84,5.9,5.78,79068,47002496.2,2.07,0.69,0.04,1.75
2025-04-25,000153,5.82,5.71,5.83,5.69,119570,69787324.8,2.4,-2.23,-0.13,2.64
2025-04-28,000153,5.7,5.55,5.7,5.48,93487,52872023.89,3.85,-2.8,-0.16,2.06
2025-04-29,000153,5.51,5.63,5.69,5.51,76386,43765759.6,3.24,1.44,0.08,1.69
2025-04-30,000153,5.62,5.65,5.68,5.62,62437,35904224.76,1.07,0.36,0.02,1.38
2025-05-06,000153,5.68,5.74,5.78,5.67,80566,46952349.4,1.95,1.59,0.09,1.78
2025-05-07,000153,5.78,5.83,5.84,5.76,108189,63861986.0,1.39,1.57,0.09,2.39
2025-05-08,000153,5.82,5.85,5.88,5.77,78261,46460534.8,1.89,0.34,0.02,1.73
2025-05-09,000153,5.85,5.82,5.87,5.8,71555,42444725.4,1.2,-0.51,-0.03,1.58
2025-05-12,000153,5.83,5.8,5.86,5.75,72624,42790908.92,1.89,-0.34,-0.02,1.6
2025-05-13,000153,5.82,5.81,5.86,5.79,46755,27682200.6,1.21,0.17,0.01,1.03
2025-05-14,000153,5.78,5.82,5.84,5.73,52498,30879177.4,1.89,0.17,0.01,1.16
2025-05-15,000153,5.8,5.84,5.93,5.77,80924,48140134.4,2.75,0.34,0.02,1.79
2025-05-16,000153,5.83,5.94,5.97,5.81,126187,75760615.4,2.74,1.71,0.1,2.79
2025-05-19,000153,5.93,5.92,5.94,5.86,78718,47231038.4,1.35,-0.34,-0.02,1.74
2025-05-20,000153,5.95,5.98,6.07,5.93,75124,45652225.4,2.36,1.01,0.06,1.66
2025-05-21,000153,6.0,6.04,6.06,5.97,98536,60426613.4,1.51,1.0,0.06,2.18
2025-05-22,000153,6.0,5.96,6.04,5.93,87171,53011002.8,1.82,-1.32,-0.08,1.92
2025-05-23,000153,5.94,5.95,6.07,5.93,87727,53730649.2,2.35,-0.17,-0.01,1.94
2025-05-26,000153,5.95,5.91,5.97,5.85,75644,45457381.8,2.02,-0.67,-0.04,1.67
2025-05-27,000153,5.93,6.0,6.02,5.88,69601,42191850.4,2.37,1.52,0.09,1.54
2025-05-28,000153,6.0,5.99,6.03,5.94,59605,36203044.6,1.5,-0.17,-0.01,1.32
2025-05-29,000153,5.99,6.05,6.09,5.94,83092,51041282.6,2.5,1.0,0.06,1.83
2025-05-30,000153,6.06,6.07,6.17,6.05,100783,61481768.6,1.98,0.33,0.02,2.23
2025-06-03,000153,6.04,6.2,6.22,6.02,126003,77639860.98,3.29,2.14,0.13,2.78
2025-06-04,000153,6.2,6.23,6.24,6.17,95895,59510648.8,1.13,0.48,0.03,2.12
2025-06-05,000153,6.23,6.12,6.23,6.09,88724,54500736.4,2.25,-1.77,-0.11,1.96
2025-06-06,000153,6.12,6.16,6.18,6.11,54817,33681245.4,1.14,0.65,0.04,1.21
2025-06-09,000153,6.18,6.29,6.32,6.18,110027,69168548.9,2.27,2.11,0.13,2.43
2025-06-10,000153,6.29,6.31,6.37,6.22,113309,71388203.3,2.38,0.32,0.02,2.5
2025-06-11,000153,6.29,6.3,6.35,6.27,68895,43420367.8,1.27,-0.16,-0.01,1.52
