日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,000157,6.71,6.5,6.8,6.43,736927,526368986.87,5.5,-3.42,-0.23,1.04
2025-01-03,000157,6.51,6.52,6.65,6.47,654320,462003134.37,2.77,0.31,0.02,0.93
2025-01-06,000157,6.51,6.57,6.59,6.46,504089,354505197.76,1.99,0.77,0.05,0.71
2025-01-07,000157,6.53,6.46,6.68,6.38,672949,469514085.07,4.57,-1.67,-0.11,0.95
2025-01-08,000157,6.45,6.44,6.5,6.31,527994,364420290.37,2.94,-0.31,-0.02,0.75
2025-01-09,000157,6.42,6.36,6.44,6.28,477344,326995280.67,2.48,-1.24,-0.08,0.68
2025-01-10,000157,6.35,6.23,6.4,6.23,300731,204619642.05,2.67,-2.04,-0.13,0.43
2025-01-13,000157,6.2,6.11,6.26,6.08,416227,276125170.24,2.89,-1.93,-0.12,0.59
2025-01-14,000157,6.12,6.58,6.59,6.09,881717,610659827.72,8.18,7.69,0.47,1.25
2025-01-15,000157,6.55,6.64,6.74,6.55,746984,534349005.83,2.89,0.91,0.06,1.06
2025-01-16,000157,6.67,6.84,6.96,6.67,1038249,762485675.78,4.37,3.01,0.2,1.47
2025-01-17,000157,6.83,6.84,6.88,6.71,515769,377537069.74,2.49,0.0,0.0,0.73
2025-01-20,000157,6.87,6.78,6.98,6.77,379167,278393406.59,3.07,-0.88,-0.06,0.54
2025-01-21,000157,6.82,6.75,6.83,6.66,493845,355875377.34,2.51,-0.44,-0.03,0.7
2025-01-22,000157,6.74,6.63,6.74,6.57,367978,262310226.28,2.52,-1.78,-0.12,0.52
2025-01-23,000157,6.69,6.6,6.71,6.58,459189,327301693.3,1.96,-0.45,-0.03,0.65
2025-01-24,000157,6.59,6.73,6.76,6.57,458042,329495897.88,2.88,1.97,0.13,0.65
2025-01-27,000157,6.84,6.82,6.92,6.78,531747,390754785.18,2.08,1.34,0.09,0.75
2025-02-05,000157,6.75,6.48,6.8,6.47,754507,531758710.38,4.84,-4.99,-0.34,1.07
2025-02-06,000157,6.48,6.47,6.5,6.38,615166,426555699.99,1.85,-0.15,-0.01,0.87
2025-02-07,000157,6.45,6.55,6.56,6.34,820514,572133092.29,3.4,1.24,0.08,1.16
2025-02-10,000157,6.58,6.59,6.74,6.56,714555,509571130.15,2.75,0.61,0.04,1.01
2025-02-11,000157,6.61,6.59,6.67,6.55,421336,299055355.85,1.82,0.0,0.0,0.6
2025-02-12,000157,6.59,6.56,6.65,6.51,516846,365211684.78,2.12,-0.46,-0.03,0.73
2025-02-13,000157,6.56,6.47,6.59,6.46,513700,360316979.1,1.98,-1.37,-0.09,0.73
2025-02-14,000157,6.47,6.72,6.73,6.45,1084426,772526795.68,4.33,3.86,0.25,1.53
2025-02-17,000157,6.75,6.77,6.87,6.62,843027,607114309.23,3.72,0.74,0.05,1.19
2025-02-18,000157,6.77,6.64,6.83,6.62,652747,471536073.56,3.1,-1.92,-0.13,0.92
2025-02-19,000157,6.63,6.85,6.86,6.61,749102,546568779.32,3.77,3.16,0.21,1.06
2025-02-20,000157,6.84,6.9,6.91,6.79,717708,528763356.54,1.75,0.73,0.05,1.02
2025-02-21,000157,6.92,6.85,7.0,6.8,831299,613363252.0,2.9,-0.72,-0.05,1.18
2025-02-24,000157,7.02,7.12,7.22,6.96,1577064,1195775313.18,3.8,3.94,0.27,2.23
2025-02-25,000157,7.02,7.0,7.18,6.96,963298,728729720.39,3.09,-1.69,-0.12,1.36
2025-02-26,000157,7.0,7.12,7.16,6.98,984447,746629870.14,2.57,1.71,0.12,1.39
2025-02-27,000157,7.17,7.62,7.85,7.17,2163307,1743083867.33,9.55,7.02,0.5,3.06
2025-02-28,000157,7.63,7.5,7.75,7.47,1330093,1076671254.39,3.67,-1.57,-0.12,1.88
2025-03-03,000157,7.5,7.62,7.8,7.5,1361907,1111403433.77,4.0,1.6,0.12,1.93
2025-03-04,000157,7.52,7.4,7.62,7.39,1025968,817191108.74,3.02,-2.89,-0.22,1.45
2025-03-05,000157,7.44,7.75,8.0,7.44,1986396,1647456462.25,7.57,4.73,0.35,2.81
2025-03-06,000157,7.71,7.73,7.79,7.58,1147017,936045255.22,2.71,-0.26,-0.02,1.62
2025-03-07,000157,7.64,7.78,7.79,7.63,917730,755142725.25,2.07,0.65,0.05,1.3
2025-03-10,000157,7.82,7.89,8.1,7.78,1037168,874058449.48,4.11,1.41,0.11,1.47
2025-03-11,000157,7.75,7.82,7.91,7.7,661847,547529219.19,2.66,-0.89,-0.07,0.94
2025-03-12,000157,7.83,7.72,7.83,7.68,548829,451690594.63,1.92,-1.28,-0.1,0.78
2025-03-13,000157,7.69,7.62,7.75,7.51,864650,701152973.97,3.11,-1.3,-0.1,1.22
2025-03-14,000157,7.61,7.61,7.65,7.48,622263,503228691.56,2.23,-0.13,-0.01,0.88
2025-03-17,000157,7.65,7.58,7.66,7.56,420155,340136072.0,1.31,-0.39,-0.03,0.59
2025-03-18,000157,7.59,7.63,7.65,7.51,518385,418849831.54,1.85,0.66,0.05,0.73
2025-03-19,000157,7.61,7.58,7.68,7.55,329825,267138398.22,1.7,-0.66,-0.05,0.47
2025-03-20,000157,7.6,7.52,7.62,7.48,436746,350707233.03,1.85,-0.79,-0.06,0.62
2025-03-21,000157,7.5,7.52,7.65,7.45,503751,405064088.34,2.66,0.0,0.0,0.71
2025-03-24,000157,7.5,7.52,7.65,7.46,609007,489097349.18,2.53,0.0,0.0,0.86
2025-03-25,000157,7.33,7.32,7.46,7.13,1195578,930926340.74,4.39,-2.66,-0.2,1.69
2025-03-26,000157,7.29,7.21,7.34,7.18,494986,382618171.41,2.19,-1.5,-0.11,0.7
2025-03-27,000157,7.2,7.11,7.22,7.08,476623,364160100.13,1.94,-1.39,-0.1,0.67
2025-03-28,000157,7.12,7.01,7.14,6.97,493237,370831068.03,2.39,-1.41,-0.1,0.7
2025-03-31,000157,7.05,7.02,7.17,7.0,578298,438439367.11,2.43,0.14,0.01,0.82
2025-04-01,000157,7.05,7.0,7.09,6.92,405231,304384570.85,2.42,-0.28,-0.02,0.57
2025-04-02,000157,7.0,7.12,7.21,6.98,554972,422158192.48,3.29,1.71,0.12,0.78
2025-04-03,000157,7.07,7.05,7.17,7.02,418669,317590267.15,2.11,-0.98,-0.07,0.59
2025-04-07,000157,6.7,6.3,6.7,6.3,818364,565926164.28,5.67,-10.64,-0.75,1.16
2025-04-08,000157,6.41,6.44,6.45,6.3,747049,513555837.61,2.38,2.22,0.14,1.06
2025-04-09,000157,6.39,6.67,6.74,6.25,795338,558048526.86,7.61,3.57,0.23,1.12
2025-04-10,000157,6.7,6.9,6.94,6.65,626325,458219043.62,4.35,3.45,0.23,0.89
2025-04-11,000157,6.8,7.02,7.07,6.74,556747,412755697.66,4.78,1.74,0.12,0.79
2025-04-14,000157,7.11,6.98,7.23,6.96,472484,356870235.13,3.85,-0.57,-0.04,0.67
2025-04-15,000157,6.98,6.94,7.0,6.87,270541,200394954.0,1.86,-0.57,-0.04,0.38
2025-04-16,000157,6.87,6.85,6.92,6.76,356556,261365686.26,2.31,-1.3,-0.09,0.5
2025-04-17,000157,6.84,6.85,6.93,6.81,206361,152336955.93,1.75,0.0,0.0,0.29
2025-04-18,000157,6.82,6.86,6.9,6.81,230075,169207178.12,1.31,0.15,0.01,0.33
2025-04-21,000157,6.82,7.02,7.05,6.79,392131,293677841.35,3.79,2.33,0.16,0.55
2025-04-22,000157,7.03,6.95,7.06,6.95,241812,181165715.35,1.57,-1.0,-0.07,0.34
2025-04-23,000157,6.96,7.0,7.05,6.93,262446,196740648.21,1.73,0.72,0.05,0.37
2025-04-24,000157,6.99,6.93,7.02,6.91,216918,161653407.97,1.57,-1.0,-0.07,0.31
2025-04-25,000157,6.95,6.9,6.95,6.85,189387,140195442.64,1.44,-0.43,-0.03,0.27
2025-04-28,000157,6.93,6.82,6.94,6.81,157318,115733182.64,1.88,-1.16,-0.08,0.22
2025-04-29,000157,6.79,6.78,6.82,6.74,183539,133543992.44,1.17,-0.59,-0.04,0.26
2025-04-30,000157,6.97,6.83,7.07,6.81,615131,456930134.46,3.83,0.74,0.05,0.87
2025-05-06,000157,6.91,7.14,7.22,6.9,657844,499678072.63,4.69,4.54,0.31,0.93
2025-05-07,000157,7.2,7.04,7.24,7.0,521632,395059880.29,3.36,-1.4,-0.1,0.74
2025-05-08,000157,7.05,7.1,7.15,7.0,337790,256858492.21,2.13,0.85,0.06,0.48
2025-05-09,000157,7.11,7.13,7.14,7.02,361203,274072527.95,1.69,0.42,0.03,0.51
2025-05-12,000157,7.17,7.2,7.21,7.12,349201,267917727.34,1.26,0.98,0.07,0.49
2025-05-13,000157,7.26,7.14,7.28,7.11,498474,381790527.65,2.36,-0.83,-0.06,0.71
2025-05-14,000157,7.13,7.1,7.15,7.03,469300,355830143.03,1.68,-0.56,-0.04,0.66
2025-05-15,000157,7.09,6.91,7.12,6.9,474473,353234542.97,3.1,-2.68,-0.19,0.67
2025-05-16,000157,6.89,6.9,6.94,6.86,250193,185089278.75,1.16,-0.14,-0.01,0.35
2025-05-19,000157,6.91,6.89,6.94,6.84,336427,248346694.73,1.45,-0.14,-0.01,0.48
2025-05-20,000157,6.89,6.86,6.91,6.84,320299,235871949.25,1.02,-0.44,-0.03,0.45
2025-05-21,000157,6.88,6.86,6.91,6.85,283709,209397845.0,0.87,0.0,0.0,0.4
2025-05-22,000157,6.85,6.76,6.85,6.75,407341,296696765.07,1.46,-1.46,-0.1,0.58
2025-05-23,000157,6.76,6.68,6.8,6.68,343334,248848158.8,1.78,-1.18,-0.08,0.49
2025-05-26,000157,6.65,6.68,6.7,6.62,358148,256160338.58,1.2,0.0,0.0,0.51
2025-05-27,000157,6.69,6.64,6.71,6.61,207144,148160126.38,1.5,-0.6,-0.04,0.29
2025-05-28,000157,6.65,6.61,6.68,6.59,326665,232470799.9,1.36,-0.45,-0.03,0.46
2025-05-29,000157,6.6,6.65,6.69,6.6,400436,286366203.51,1.36,0.61,0.04,0.57
2025-05-30,000157,6.65,6.63,6.67,6.57,363845,259330296.64,1.5,-0.3,-0.02,0.51
2025-06-03,000157,6.61,6.54,6.63,6.52,505959,356927119.81,1.66,-1.36,-0.09,0.72
2025-06-04,000157,6.55,6.55,6.57,6.53,272904,192362826.39,0.61,0.15,0.01,0.39
2025-06-05,000157,6.55,6.51,6.57,6.5,359861,252827166.13,1.07,-0.61,-0.04,0.51
2025-06-06,000157,6.51,6.55,6.6,6.5,419880,296015778.5,1.54,0.61,0.04,0.59
2025-06-09,000157,6.56,6.56,6.59,6.54,344359,243186331.25,0.76,0.15,0.01,0.49
2025-06-10,000157,6.56,6.57,6.61,6.51,470463,332387388.53,1.52,0.15,0.01,0.67
2025-06-11,000157,6.58,6.67,6.7,6.56,578908,414001015.39,2.13,1.52,0.1,0.82
2025-06-12,000157,6.67,6.65,6.7,6.62,272131,194885579.99,1.2,-0.3,-0.02,0.38
2025-06-13,000157,6.64,6.62,6.67,6.61,338825,241720637.85,0.9,-0.45,-0.03,0.48
2025-06-16,000157,6.62,6.61,6.64,6.58,285631,202991704.89,0.91,-0.15,-0.01,0.4
2025-06-17,000157,6.62,6.67,6.69,6.61,318425,228075756.35,1.21,0.91,0.06,0.45
2025-06-18,000157,6.66,6.65,6.69,6.63,194573,139254449.97,0.9,-0.3,-0.02,0.28
2025-06-19,000157,6.65,6.59,6.66,6.52,372730,263406012.1,2.11,-0.9,-0.06,0.53
2025-06-20,000157,6.57,6.55,6.6,6.55,213222,150766024.36,0.76,-0.61,-0.04,0.3
2025-06-23,000157,6.52,6.57,6.59,6.51,246480,173933995.83,1.22,0.31,0.02,0.35
2025-06-24,000157,6.59,6.69,6.69,6.58,385150,275849471.6,1.67,1.83,0.12,0.54
2025-06-25,000157,6.68,6.75,6.75,6.67,386821,279271807.26,1.2,0.9,0.06,0.55
2025-06-26,000157,6.75,6.71,6.77,6.69,367012,265081884.87,1.19,-0.59,-0.04,0.52
2025-06-27,000157,6.75,6.72,6.75,6.7,320577,231590760.34,0.75,0.15,0.01,0.45
2025-06-30,000157,6.72,6.73,6.79,6.71,294605,213355586.1,1.19,0.15,0.01,0.42
2025-07-01,000157,6.73,6.73,6.78,6.72,310612,224916582.98,0.89,0.0,0.0,0.44
2025-07-02,000157,6.75,6.82,6.9,6.73,644693,472223375.77,2.53,1.34,0.09,0.91
2025-07-03,000157,6.83,6.79,6.84,6.76,355565,259261583.17,1.17,-0.44,-0.03,0.5
2025-07-04,000157,6.77,6.73,6.8,6.72,408865,296876653.17,1.18,-0.88,-0.06,0.58
2025-07-07,000157,6.74,6.74,6.75,6.68,221971,160186518.73,1.04,0.15,0.01,0.31
2025-07-08,000157,6.75,6.86,6.94,6.74,608808,448380945.65,2.97,1.78,0.12,0.86
2025-07-09,000157,6.84,6.81,6.87,6.79,324463,237800206.32,1.17,-0.73,-0.05,0.46
2025-07-10,000157,6.81,6.85,6.85,6.79,262647,192296655.85,0.88,0.59,0.04,0.37
2025-07-11,000157,6.86,6.87,6.91,6.83,405442,298930270.16,1.17,0.29,0.02,0.57
2025-07-14,000157,6.87,6.92,6.95,6.87,372454,276348626.86,1.16,0.73,0.05,0.53
2025-07-15,000157,6.91,6.88,6.95,6.82,318986,235414400.16,1.88,-0.58,-0.04,0.45
2025-07-16,000157,6.88,6.9,6.91,6.86,242255,178938390.02,0.73,0.29,0.02,0.34
2025-07-17,000157,6.91,6.92,6.96,6.91,347433,258045231.29,0.72,0.29,0.02,0.49
2025-07-18,000157,6.93,6.92,6.95,6.87,381415,282043695.59,1.16,0.0,0.0,0.54
2025-07-21,000157,7.1,7.28,7.3,7.01,1466684,1124944892.13,4.19,5.2,0.36,2.07
2025-07-22,000157,7.35,7.89,8.02,7.25,2947560,2378807998.97,10.58,8.38,0.61,4.17
2025-07-23,000157,7.89,7.43,7.89,7.41,2742689,2196042198.05,6.08,-5.83,-0.46,3.88
2025-07-24,000157,7.43,7.52,7.52,7.39,1406299,1119279940.8,1.75,1.21,0.09,1.99
2025-07-25,000157,7.53,7.38,7.53,7.36,1102433,839684831.56,2.26,-1.86,-0.14,1.56
2025-07-28,000157,7.38,7.34,7.38,7.26,978322,734316504.78,1.63,-0.54,-0.04,1.38
2025-07-29,000157,7.41,7.37,7.42,7.3,680525,513637536.57,1.63,0.41,0.03,0.96
2025-07-30,000157,7.33,7.3,7.36,7.27,625410,470353704.18,1.22,-0.95,-0.07,0.88
2025-07-31,000157,7.31,7.15,7.32,7.13,804307,594460676.37,2.6,-2.05,-0.15,1.14
2025-08-01,000157,7.17,7.08,7.19,7.03,719768,524895881.89,2.24,-0.98,-0.07,1.02
2025-08-04,000157,7.05,7.08,7.1,7.02,433827,315209703.76,1.13,0.0,0.0,0.61
