日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,000301,8.22,8.0,8.24,7.95,154673,124927055.91,3.53,-2.56,-0.21,0.28
2025-01-03,000301,8.0,8.26,8.42,8.0,284099,234332552.51,5.25,3.25,0.26,0.52
2025-01-06,000301,8.22,8.43,8.55,8.22,192197,161524680.14,4.0,2.06,0.17,0.35
2025-01-07,000301,8.43,8.6,8.62,8.33,172998,146368499.28,3.44,2.02,0.17,0.31
2025-01-08,000301,8.52,8.58,8.69,8.42,141979,121248816.91,3.14,-0.23,-0.02,0.26
2025-01-09,000301,8.55,8.44,8.69,8.41,101538,86479887.0,3.26,-1.63,-0.14,0.18
2025-01-10,000301,8.47,8.26,8.5,8.24,98818,82342136.65,3.08,-2.13,-0.18,0.18
2025-01-13,000301,8.22,8.31,8.42,8.21,74997,62447369.2,2.54,0.61,0.05,0.14
2025-01-14,000301,8.28,8.42,8.42,8.22,147468,123113479.46,2.41,1.32,0.11,0.27
2025-01-15,000301,8.4,8.29,8.42,8.26,101332,84210898.0,1.9,-1.54,-0.13,0.18
2025-01-16,000301,8.29,8.47,8.49,8.21,166181,139046215.82,3.38,2.17,0.18,0.3
2025-01-17,000301,8.4,8.71,8.8,8.39,209445,181745761.0,4.84,2.83,0.24,0.38
2025-01-20,000301,8.68,8.65,8.79,8.59,106442,92269694.16,2.3,-0.69,-0.06,0.19
2025-01-21,000301,8.65,8.39,8.67,8.37,117454,99556311.44,3.47,-3.01,-0.26,0.21
2025-01-22,000301,8.38,8.32,8.4,8.17,104404,86150677.32,2.74,-0.83,-0.07,0.19
2025-01-23,000301,8.4,8.39,8.61,8.35,115820,98135244.01,3.13,0.84,0.07,0.21
2025-01-24,000301,8.38,8.36,8.42,8.33,73798,61789566.14,1.07,-0.36,-0.03,0.13
2025-01-27,000301,8.27,8.57,8.67,8.23,232069,199164503.02,5.26,2.51,0.21,0.35
2025-02-05,000301,8.54,8.62,8.66,8.5,171774,147678344.96,1.87,0.58,0.05,0.26
2025-02-06,000301,8.54,8.69,8.83,8.53,180234,155912943.34,3.48,0.81,0.07,0.27
2025-02-07,000301,8.68,8.73,8.84,8.64,258591,226203526.47,2.3,0.46,0.04,0.39
2025-02-10,000301,8.75,8.74,8.76,8.66,139427,121623344.54,1.15,0.11,0.01,0.21
2025-02-11,000301,8.76,8.84,8.95,8.71,128399,113180866.84,2.75,1.14,0.1,0.19
2025-02-12,000301,8.82,8.81,8.92,8.75,104631,92276340.8,1.92,-0.34,-0.03,0.16
2025-02-13,000301,8.8,8.77,8.84,8.76,105146,92547154.57,0.91,-0.45,-0.04,0.16
2025-02-14,000301,8.8,8.87,8.88,8.75,146336,129318071.83,1.48,1.14,0.1,0.22
2025-02-17,000301,8.87,9.0,9.02,8.76,182805,163424783.95,2.93,1.47,0.13,0.28
2025-02-18,000301,8.99,9.16,9.27,8.99,223419,204594054.95,3.11,1.78,0.16,0.34
2025-02-19,000301,9.13,9.2,9.2,9.1,137657,126204288.75,1.09,0.44,0.04,0.21
2025-02-20,000301,9.21,9.05,9.21,9.03,115898,105492774.8,1.96,-1.63,-0.15,0.18
2025-02-21,000301,9.04,8.88,9.11,8.85,142724,127767835.64,2.87,-1.88,-0.17,0.22
2025-02-24,000301,8.87,8.95,9.06,8.81,168748,150935346.63,2.82,0.79,0.07,0.26
2025-02-25,000301,8.89,9.03,9.06,8.87,130694,117824734.74,2.12,0.89,0.08,0.2
2025-02-26,000301,9.01,9.14,9.24,9.01,212416,194133985.51,2.55,1.22,0.11,0.32
2025-02-27,000301,9.18,9.35,9.36,9.12,213067,197865396.55,2.63,2.3,0.21,0.32
2025-02-28,000301,9.36,9.24,9.39,9.19,181454,168510365.0,2.14,-1.18,-0.11,0.27
2025-03-03,000301,9.25,9.27,9.36,9.2,162743,151074806.74,1.73,0.32,0.03,0.25
2025-03-04,000301,9.2,9.37,9.44,9.14,185583,173174384.32,3.24,1.08,0.1,0.28
2025-03-05,000301,9.35,9.33,9.44,9.29,109654,102452987.79,1.6,-0.43,-0.04,0.17
2025-03-06,000301,9.36,9.57,9.64,9.18,284963,270848331.51,4.93,2.57,0.24,0.43
2025-03-07,000301,9.56,9.6,9.68,9.52,147385,141531269.6,1.67,0.31,0.03,0.22
2025-03-10,000301,9.65,9.42,9.68,9.4,104974,99434694.57,2.92,-1.88,-0.18,0.16
2025-03-11,000301,9.39,9.52,9.54,9.34,102088,96514658.8,2.12,1.06,0.1,0.15
2025-03-12,000301,9.48,9.3,9.51,9.28,97355,90971851.21,2.42,-2.31,-0.22,0.15
2025-03-13,000301,9.3,9.23,9.34,9.17,91259,84191863.2,1.83,-0.75,-0.07,0.14
2025-03-14,000301,9.24,9.13,9.26,9.1,132683,121382165.49,1.73,-1.08,-0.1,0.2
2025-03-17,000301,9.17,9.06,9.2,9.05,119139,108408292.83,1.64,-0.77,-0.07,0.18
2025-03-18,000301,9.07,9.02,9.15,9.0,94879,85785195.0,1.66,-0.44,-0.04,0.14
2025-03-19,000301,9.01,8.88,9.03,8.85,124711,111090285.34,2.0,-1.55,-0.14,0.19
2025-03-20,000301,8.88,8.86,8.94,8.82,92462,82120276.6,1.35,-0.23,-0.02,0.14
2025-03-21,000301,8.87,8.77,8.93,8.73,117674,103640093.08,2.26,-1.02,-0.09,0.18
2025-03-24,000301,8.78,8.73,8.78,8.61,103009,89364114.8,1.94,-0.46,-0.04,0.16
2025-03-25,000301,8.73,8.8,8.8,8.58,133441,116212127.34,2.52,0.8,0.07,0.2
2025-03-26,000301,8.8,8.85,8.91,8.76,126443,111906071.31,1.7,0.57,0.05,0.19
2025-03-27,000301,8.85,8.81,8.89,8.78,71377,63011970.86,1.24,-0.45,-0.04,0.11
2025-03-28,000301,8.78,8.66,8.81,8.63,90499,78623862.84,2.04,-1.7,-0.15,0.14
2025-03-31,000301,8.62,8.29,8.67,8.23,225499,188159486.1,5.08,-4.27,-0.37,0.34
2025-04-01,000301,8.34,8.22,8.35,8.21,112662,93016108.75,1.69,-0.84,-0.07,0.17
2025-04-02,000301,8.23,8.25,8.27,8.16,69334,56997690.79,1.34,0.36,0.03,0.1
2025-04-03,000301,8.2,8.18,8.28,8.15,77070,63272799.7,1.58,-0.85,-0.07,0.12
2025-04-07,000301,7.96,7.47,7.96,7.36,301951,229098653.6,7.33,-8.68,-0.71,0.46
2025-04-08,000301,7.48,7.83,7.84,7.44,239388,184410905.05,5.35,4.82,0.36,0.36
2025-04-09,000301,7.74,8.01,8.08,7.64,196084,155659564.24,5.62,2.3,0.18,0.3
2025-04-10,000301,8.1,8.01,8.12,7.96,119368,95903150.74,2.0,0.0,0.0,0.18
2025-04-11,000301,7.96,7.98,8.02,7.93,76914,61391389.84,1.12,-0.37,-0.03,0.12
