日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,000338,13.02,12.82,13.13,12.75,1008267,1375335222.88,2.92,-1.38,-0.18,2.03
2025-01-03,000338,12.84,12.81,13.27,12.8,1203463,1651963129.39,3.67,-0.08,-0.01,2.42
2025-01-06,000338,12.86,13.0,13.14,12.83,825414,1129357275.91,2.42,1.48,0.19,1.66
2025-01-07,000338,12.94,13.04,13.14,12.76,775276,1059341946.85,2.92,0.31,0.04,1.56
2025-01-08,000338,12.92,14.01,14.28,12.91,3345383,4789896054.44,10.51,7.44,0.97,6.72
2025-01-09,000338,13.97,13.94,14.06,13.7,1675942,2446962193.34,2.57,-0.5,-0.07,3.37
2025-01-10,000338,13.9,13.4,13.97,13.38,1542165,2195929547.79,4.23,-3.87,-0.54,3.1
2025-01-13,000338,13.2,13.2,13.53,13.1,1000211,1398922917.65,3.21,-1.49,-0.2,2.01
2025-01-14,000338,13.3,13.87,13.93,13.3,1386014,1997621638.23,4.77,5.08,0.67,2.79
2025-01-15,000338,13.8,13.83,14.05,13.76,824968,1203609524.1,2.09,-0.29,-0.04,1.66
2025-01-16,000338,13.93,13.86,14.08,13.83,842027,1231718063.51,1.81,0.22,0.03,1.69
2025-01-17,000338,13.8,13.82,13.9,13.7,579280,840108405.16,1.44,-0.29,-0.04,1.16
2025-01-20,000338,13.92,13.84,14.05,13.77,865677,1261291062.04,2.03,0.14,0.02,1.74
2025-01-21,000338,13.91,13.84,14.01,13.75,745525,1085638985.6,1.88,0.0,0.0,1.5
2025-01-22,000338,13.7,13.69,13.88,13.58,573282,824752809.75,2.17,-1.08,-0.15,1.15
2025-01-23,000338,13.8,13.49,13.85,13.47,764569,1096462154.75,2.78,-1.46,-0.2,1.54
2025-01-24,000338,13.46,13.63,13.71,13.35,711233,1016736908.62,2.67,1.04,0.14,1.43
2025-01-27,000338,13.65,13.7,13.87,13.55,764132,1102833013.64,2.35,0.51,0.07,1.54
2025-02-05,000338,13.77,13.27,13.8,13.26,847093,1192605443.0,3.94,-3.14,-0.43,1.7
2025-02-06,000338,13.28,13.32,13.33,13.02,868852,1206403274.4,2.34,0.38,0.05,1.75
2025-02-07,000338,13.27,13.41,13.44,13.11,1012707,1419090257.05,2.48,0.68,0.09,2.04
2025-02-10,000338,13.42,13.39,13.56,13.3,809031,1141855500.2,1.94,-0.15,-0.02,1.63
2025-02-11,000338,13.42,13.7,14.08,13.32,1490065,2150438566.38,5.68,2.32,0.31,2.99
2025-02-12,000338,13.62,14.08,14.08,13.53,1465691,2142791218.15,4.01,2.77,0.38,2.95
2025-02-13,000338,14.06,13.93,14.22,13.86,953041,1401235069.33,2.56,-1.07,-0.15,1.92
2025-02-14,000338,13.93,14.05,14.18,13.85,864710,1273246162.48,2.37,0.86,0.12,1.74
2025-02-17,000338,14.13,14.02,14.15,13.82,760553,1115032620.82,2.35,-0.21,-0.03,1.53
2025-02-18,000338,14.02,13.88,14.35,13.81,1128467,1672253955.11,3.85,-1.0,-0.14,2.27
2025-02-19,000338,13.83,14.06,14.09,13.8,832471,1221609182.66,2.09,1.3,0.18,1.67
2025-02-20,000338,14.06,14.07,14.15,13.85,744727,1094915379.97,2.13,0.07,0.01,1.5
2025-02-21,000338,14.3,15.03,15.18,14.3,2620656,4077780419.4,6.25,6.82,0.96,5.27
2025-02-24,000338,14.98,14.69,14.99,14.59,1234066,1903829468.78,2.66,-2.26,-0.34,2.48
2025-02-25,000338,14.58,14.9,15.24,14.5,1386408,2168069363.12,5.04,1.43,0.21,2.79
2025-02-26,000338,14.93,15.08,15.21,14.91,1023600,1613976858.04,2.01,1.21,0.18,2.06
2025-02-27,000338,15.05,15.34,15.38,14.98,1185327,1892718002.24,2.65,1.72,0.26,2.38
2025-02-28,000338,15.3,14.99,15.38,14.98,930639,1473820362.92,2.61,-2.28,-0.35,1.87
2025-03-03,000338,15.06,15.12,15.61,15.01,1036197,1662388649.85,4.0,0.87,0.13,2.08
2025-03-04,000338,14.93,15.22,15.3,14.85,637887,1011572486.72,2.98,0.66,0.1,1.28
2025-03-05,000338,15.45,15.38,15.74,15.27,722343,1166919050.78,3.09,1.05,0.16,1.45
2025-03-06,000338,15.66,15.69,15.94,15.49,961816,1573252216.77,2.93,2.02,0.31,1.93
2025-03-07,000338,15.65,15.89,16.07,15.52,863093,1431064601.27,3.51,1.27,0.2,1.73
2025-03-10,000338,15.89,15.66,16.01,15.53,758056,1246397544.38,3.02,-1.45,-0.23,1.52
