日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,000426,11.16,11.51,11.98,10.96,533042,618173140.75,9.23,4.16,0.46,3.0
2025-01-03,000426,11.47,11.39,11.85,11.34,293248,343470701.3,4.43,-1.04,-0.12,1.65
2025-01-06,000426,11.4,11.46,11.88,11.28,304538,355851640.24,5.27,0.61,0.07,1.72
2025-01-07,000426,11.52,12.02,12.08,11.31,413202,493240406.2,6.72,4.89,0.56,2.33
2025-01-08,000426,11.99,11.97,12.13,11.61,256454,305998715.12,4.33,-0.42,-0.05,1.44
2025-01-09,000426,11.92,11.91,12.2,11.86,187299,226720748.57,2.84,-0.5,-0.06,1.06
2025-01-10,000426,12.15,11.9,12.36,11.73,215094,258796597.0,5.29,-0.08,-0.01,1.21
2025-01-13,000426,11.91,12.23,12.36,11.76,273850,335117245.37,5.04,2.77,0.33,1.54
2025-01-14,000426,12.16,12.23,12.26,11.85,272305,331678064.38,3.35,0.0,0.0,1.53
2025-01-15,000426,12.28,12.06,12.39,12.01,203076,248452905.0,3.11,-1.39,-0.17,1.14
2025-01-16,000426,12.33,12.26,12.59,12.12,298745,370836061.02,3.9,1.66,0.2,1.68
2025-01-17,000426,12.3,12.27,12.36,12.13,252517,311129019.0,1.88,0.08,0.01,1.42
2025-01-20,000426,12.23,12.32,12.36,12.15,296882,366238292.0,1.71,0.41,0.05,1.67
2025-01-21,000426,12.03,12.17,12.23,11.86,301491,365616856.0,3.0,-1.22,-0.15,1.7
2025-01-22,000426,12.15,12.25,12.36,12.01,238327,292350133.32,2.88,0.66,0.08,1.34
2025-01-23,000426,12.25,12.2,12.48,12.11,256465,318495571.24,3.02,-0.41,-0.05,1.44
2025-01-24,000426,12.21,12.49,12.54,12.17,206208,257085535.0,3.03,2.38,0.29,1.16
2025-01-27,000426,12.5,12.32,12.52,12.32,133482,166521213.0,1.6,-1.36,-0.17,0.75
2025-02-05,000426,12.58,12.96,12.98,12.53,338033,435020253.84,3.65,5.19,0.64,1.9
2025-02-06,000426,12.92,12.83,12.96,12.7,228987,294694460.5,2.01,-1.0,-0.13,1.29
2025-02-07,000426,12.83,12.71,12.96,12.6,258580,332969665.09,2.81,-0.94,-0.12,1.46
2025-02-10,000426,12.76,12.85,12.9,12.64,240526,308933130.76,2.05,1.1,0.14,1.35
2025-02-11,000426,12.91,12.8,13.08,12.74,257650,333778558.84,2.65,-0.39,-0.05,1.45
2025-02-12,000426,12.68,12.66,12.8,12.53,279200,355116669.0,2.11,-1.09,-0.14,1.57
2025-02-13,000426,12.7,12.7,13.08,12.69,263307,340310891.38,3.08,0.32,0.04,1.48
2025-02-14,000426,12.88,13.34,13.38,12.88,562945,744878106.37,3.94,5.04,0.64,3.17
2025-02-17,000426,12.87,12.61,12.99,12.53,497428,634733983.11,3.45,-5.47,-0.73,2.8
