日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,000513,36.91,36.02,37.15,35.77,64823,242775997.63,3.74,-2.44,-0.9,1.11
2025-01-03,000513,36.17,35.83,36.58,35.71,67259,250525074.34,2.42,-0.53,-0.19,1.15
2025-01-06,000513,35.92,36.26,36.3,35.8,55143,205079559.0,1.4,1.2,0.43,0.94
2025-01-07,000513,36.15,35.55,36.27,35.4,66785,245376282.7,2.4,-1.96,-0.71,1.14
2025-01-08,000513,35.84,35.22,35.84,34.92,66777,243097457.34,2.59,-0.93,-0.33,1.14
2025-01-09,000513,35.17,35.04,35.52,34.78,47291,171595761.47,2.1,-0.51,-0.18,0.81
2025-01-10,000513,35.05,34.59,35.11,34.59,44991,161629060.66,1.48,-1.28,-0.45,0.77
2025-01-13,000513,34.32,34.32,34.89,34.08,50645,179527696.27,2.34,-0.78,-0.27,0.87
2025-01-14,000513,34.34,34.77,34.85,34.12,71029,252887525.7,2.13,1.31,0.45,1.22
2025-01-15,000513,34.61,34.75,35.01,34.34,60656,217097653.55,1.93,-0.06,-0.02,1.04
2025-01-16,000513,34.76,34.63,35.08,34.58,41184,147796202.95,1.44,-0.35,-0.12,0.7
2025-01-17,000513,34.43,34.93,35.05,34.23,47636,170741575.2,2.37,0.87,0.3,0.82
2025-01-20,000513,35.02,35.19,35.53,34.94,46147,167876974.41,1.69,0.74,0.26,0.79
2025-01-21,000513,35.21,35.12,35.42,34.92,31450,113812224.35,1.42,-0.2,-0.07,0.54
2025-01-22,000513,34.95,35.07,35.22,34.81,30600,110379638.19,1.17,-0.14,-0.05,0.52
2025-01-23,000513,35.22,34.95,35.37,34.94,31026,112326268.58,1.23,-0.34,-0.12,0.53
2025-01-24,000513,34.92,35.06,35.15,34.78,33995,122682622.14,1.06,0.31,0.11,0.58
2025-01-27,000513,35.07,35.35,35.71,35.06,41052,149960687.22,1.85,0.83,0.29,0.7
2025-02-05,000513,35.58,35.44,35.61,35.19,35037,127884832.76,1.19,0.25,0.09,0.6
2025-02-06,000513,35.44,35.36,35.51,35.17,37619,136885723.58,0.96,-0.23,-0.08,0.64
2025-02-07,000513,35.4,35.38,35.57,35.13,53675,195906699.52,1.24,0.06,0.02,0.92
2025-02-10,000513,35.38,35.34,35.5,35.24,37830,137736164.49,0.73,-0.11,-0.04,0.65
2025-02-11,000513,35.37,34.92,35.42,34.89,46267,167047259.0,1.5,-1.19,-0.42,0.79
2025-02-12,000513,34.84,34.8,34.94,34.58,50093,179368367.06,1.03,-0.34,-0.12,0.86
2025-02-13,000513,34.87,34.59,34.94,34.46,51897,185633408.03,1.38,-0.6,-0.21,0.89
2025-02-14,000513,34.61,35.16,35.24,34.57,64943,233983599.38,1.94,1.65,0.57,1.11
2025-02-17,000513,35.34,34.87,35.36,34.76,60352,217671734.92,1.71,-0.82,-0.29,1.03
2025-02-18,000513,34.86,34.66,35.08,34.57,43745,157046545.11,1.46,-0.6,-0.21,0.75
2025-02-19,000513,34.69,34.97,35.0,34.32,52376,187199038.08,1.96,0.89,0.31,0.9
2025-02-20,000513,34.81,34.52,35.34,34.49,68033,244272587.42,2.43,-1.29,-0.45,1.16
2025-02-21,000513,34.52,34.15,34.67,34.13,79447,280579498.24,1.56,-1.07,-0.37,1.36
