日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,000514,4.11,4.09,4.25,4.06,153439,63925478.4,4.62,-0.49,-0.02,1.82
2025-01-03,000514,4.1,3.91,4.14,3.9,186504,74811586.41,5.87,-4.4,-0.18,2.21
2025-01-06,000514,3.93,3.89,3.95,3.77,132273,50905008.0,4.6,-0.51,-0.02,1.57
2025-01-07,000514,3.9,3.96,3.96,3.85,81498,31894183.38,2.83,1.8,0.07,0.97
2025-01-08,000514,3.97,4.06,4.2,3.93,234651,94945860.02,6.82,2.53,0.1,2.78
2025-01-09,000514,4.03,4.32,4.42,3.99,432712,183990384.29,10.59,6.4,0.26,5.13
2025-01-10,000514,4.24,3.98,4.25,3.9,340913,139954113.74,8.1,-7.87,-0.34,4.04
2025-01-13,000514,3.9,3.95,4.0,3.83,128757,50544656.15,4.27,-0.75,-0.03,1.53
2025-01-14,000514,3.95,4.06,4.07,3.94,166582,66752967.04,3.29,2.78,0.11,1.97
2025-01-15,000514,4.06,4.02,4.06,3.97,128311,51456118.05,2.22,-0.99,-0.04,1.52
2025-01-16,000514,4.03,4.06,4.14,4.02,150188,61319682.55,2.99,1.0,0.04,1.78
2025-01-17,000514,3.98,4.09,4.15,3.96,179030,72996971.53,4.68,0.74,0.03,2.12
2025-01-20,000514,4.11,4.09,4.17,3.95,163658,66528303.1,5.38,0.0,0.0,1.94
2025-01-21,000514,4.1,4.1,4.22,4.05,247020,102400858.19,4.16,0.24,0.01,2.93
2025-01-22,000514,4.05,3.92,4.07,3.91,186440,73889799.08,3.9,-4.39,-0.18,2.21
2025-01-23,000514,3.95,3.93,4.05,3.93,145559,58103432.82,3.06,0.26,0.01,1.73
2025-01-24,000514,3.98,3.93,3.98,3.87,116921,45992103.26,2.8,0.0,0.0,1.39
2025-01-27,000514,3.95,3.92,4.05,3.91,133942,53372171.31,3.56,-0.25,-0.01,1.59
2025-02-05,000514,3.93,3.95,3.96,3.86,101100,39655689.4,2.55,0.77,0.03,1.2
2025-02-06,000514,3.93,3.98,3.99,3.9,106226,42062954.66,2.28,0.76,0.03,1.26
2025-02-07,000514,3.98,4.13,4.17,3.98,200986,82437803.0,4.77,3.77,0.15,2.38
2025-02-10,000514,4.13,4.21,4.22,4.11,158505,66385738.36,2.66,1.94,0.08,1.88
2025-02-11,000514,4.22,4.15,4.27,4.11,111664,46305835.78,3.8,-1.43,-0.06,1.32
2025-02-12,000514,4.15,4.26,4.27,4.1,166346,69543651.58,4.1,2.65,0.11,1.97
2025-02-13,000514,4.22,4.23,4.32,4.2,262021,111739792.62,2.82,-0.7,-0.03,3.11
2025-02-14,000514,4.24,4.15,4.26,4.12,154526,64397968.0,3.31,-1.89,-0.08,1.83
2025-02-17,000514,4.18,4.27,4.36,4.16,228961,97746180.0,4.82,2.89,0.12,2.71
2025-02-18,000514,4.29,4.15,4.31,4.13,129028,54235024.14,4.22,-2.81,-0.12,1.53
2025-02-19,000514,4.14,4.15,4.18,4.11,102418,42396276.05,1.69,0.0,0.0,1.21
2025-02-20,000514,4.16,4.18,4.22,4.09,119599,49698711.4,3.13,0.72,0.03,1.42
2025-02-21,000514,4.21,4.14,4.23,4.08,124094,51310969.4,3.59,-0.96,-0.04,1.47
2025-02-24,000514,4.12,4.2,4.26,4.12,136036,57282007.0,3.38,1.45,0.06,1.61
2025-02-25,000514,4.2,4.16,4.26,4.13,148239,62283490.5,3.1,-0.95,-0.04,1.76
2025-02-26,000514,4.15,4.25,4.35,4.15,254430,107794946.54,4.81,2.16,0.09,3.02
2025-02-27,000514,4.25,4.32,4.37,4.25,237278,102203996.5,2.82,1.65,0.07,2.81
2025-02-28,000514,4.34,4.21,4.35,4.19,224961,95729487.2,3.7,-2.55,-0.11,2.67
2025-03-03,000514,4.21,4.22,4.34,4.19,183194,78081098.0,3.56,0.24,0.01,2.17
