日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,000520,4.68,4.61,4.75,4.5,257942,119964256.94,5.34,-1.5,-0.07,2.55
2025-01-03,000520,4.6,4.32,4.65,4.28,309486,136271421.67,8.03,-6.29,-0.29,3.06
2025-01-06,000520,4.22,4.33,4.38,4.12,240589,103075663.51,6.02,0.23,0.01,2.38
2025-01-07,000520,4.33,4.52,4.53,4.33,231456,102900830.0,4.62,4.39,0.19,2.29
2025-01-08,000520,4.51,4.47,4.68,4.31,336840,150327568.08,8.19,-1.11,-0.05,3.33
2025-01-09,000520,4.39,4.53,4.56,4.39,208087,93740152.91,3.8,1.34,0.06,2.06
2025-01-10,000520,4.5,4.34,4.55,4.32,156518,69458611.0,5.08,-4.19,-0.19,1.55
2025-01-13,000520,4.27,4.33,4.37,4.23,151659,65287047.0,3.23,-0.23,-0.01,1.5
2025-01-14,000520,4.42,4.58,4.58,4.34,204446,91915934.0,5.54,5.77,0.25,2.02
2025-01-15,000520,4.63,4.56,4.63,4.45,187710,85241999.35,3.93,-0.44,-0.02,1.85
2025-01-16,000520,4.58,4.61,4.7,4.53,173010,79907223.29,3.73,1.1,0.05,1.71
2025-01-17,000520,4.57,4.61,4.64,4.54,129518,59443800.88,2.17,0.0,0.0,1.28
2025-01-20,000520,4.66,4.57,4.69,4.53,141808,65228754.25,3.47,-0.87,-0.04,1.4
2025-01-21,000520,4.6,4.52,4.6,4.45,159070,71714761.47,3.28,-1.09,-0.05,1.57
2025-01-22,000520,4.49,4.43,4.53,4.38,163058,72549876.96,3.32,-1.99,-0.09,1.61
2025-01-23,000520,4.43,4.35,4.57,4.34,194048,86600779.36,5.19,-1.81,-0.08,1.92
2025-01-24,000520,4.34,4.43,4.52,4.32,160869,70944390.0,4.6,1.84,0.08,1.59
2025-01-27,000520,4.48,4.35,4.56,4.35,148045,65740495.0,4.74,-1.81,-0.08,1.46
2025-02-05,000520,4.4,4.44,4.47,4.36,137958,61091094.83,2.53,2.07,0.09,1.36
2025-02-06,000520,4.42,4.55,4.55,4.36,195120,87255947.24,4.28,2.48,0.11,1.93
2025-02-07,000520,4.56,5.01,5.01,4.56,275598,135040523.87,9.89,10.11,0.46,2.72
2025-02-10,000520,5.08,4.92,5.13,4.86,525214,258631341.53,5.39,-1.8,-0.09,5.19
2025-02-11,000520,4.93,4.91,5.0,4.86,325428,159882496.58,2.85,-0.2,-0.01,3.22
