日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,000545,2.17,2.16,2.24,2.13,194774,42601966.0,5.05,-0.92,-0.02,1.98
2025-01-03,000545,2.17,2.05,2.18,2.04,223083,46663623.0,6.48,-5.09,-0.11,2.26
2025-01-06,000545,2.01,2.04,2.09,1.97,189959,38648008.0,5.85,-0.49,-0.01,1.93
2025-01-07,000545,2.05,2.12,2.13,2.04,180829,37583632.0,4.41,3.92,0.08,1.84
2025-01-08,000545,2.11,2.12,2.14,2.05,172475,36244747.0,4.25,0.0,0.0,1.75
2025-01-09,000545,2.1,2.12,2.15,2.09,121781,25897059.0,2.83,0.0,0.0,1.24
2025-01-10,000545,2.14,2.06,2.15,2.05,141434,29572827.48,4.72,-2.83,-0.06,1.44
2025-01-13,000545,2.02,2.07,2.07,2.0,134041,27364228.0,3.4,0.49,0.01,1.36
2025-01-14,000545,2.08,2.18,2.19,2.08,213436,45698807.78,5.31,5.31,0.11,2.17
2025-01-15,000545,2.2,2.2,2.24,2.13,229799,50257318.6,5.05,0.92,0.02,2.33
2025-01-16,000545,2.22,2.21,2.26,2.18,211572,46971922.0,3.64,0.45,0.01,2.15
2025-01-17,000545,2.2,2.21,2.24,2.16,148043,32545580.0,3.62,0.0,0.0,1.5
2025-01-20,000545,2.21,2.21,2.23,2.13,202380,44274903.0,4.52,0.0,0.0,2.05
2025-01-21,000545,2.22,2.16,2.26,2.16,143182,31275785.0,4.52,-2.26,-0.05,1.45
2025-01-22,000545,2.14,2.11,2.16,2.1,142522,30211068.0,2.78,-2.31,-0.05,1.45
2025-01-23,000545,2.13,2.05,2.15,2.03,231890,48546643.57,5.69,-2.84,-0.06,2.35
2025-01-24,000545,2.05,2.03,2.05,2.0,169725,34296934.24,2.44,-0.98,-0.02,1.72
2025-01-27,000545,2.06,2.03,2.09,2.01,150769,30990345.59,3.94,0.0,0.0,1.53
2025-02-05,000545,2.07,2.09,2.12,2.05,187405,39182173.0,3.45,2.96,0.06,1.9
