日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,000552,2.68,2.61,2.7,2.6,582445,158721688.0,3.73,-2.61,-0.07,1.56
2025-01-03,000552,2.61,2.6,2.66,2.59,524102,141336495.0,2.68,-0.38,-0.01,1.41
2025-01-06,000552,2.6,2.6,2.64,2.57,446026,119227258.16,2.69,0.0,0.0,1.2
2025-01-07,000552,2.6,2.59,2.61,2.54,484710,128100289.88,2.69,-0.38,-0.01,1.3
2025-01-08,000552,2.58,2.57,2.58,2.5,527423,137832547.6,3.09,-0.77,-0.02,1.42
2025-01-09,000552,2.55,2.53,2.56,2.52,297085,77462438.2,1.56,-1.56,-0.04,0.8
2025-01-10,000552,2.53,2.48,2.54,2.48,279689,72139413.0,2.37,-1.98,-0.05,0.75
2025-01-13,000552,2.47,2.49,2.5,2.45,359802,91819977.15,2.02,0.4,0.01,0.97
2025-01-14,000552,2.49,2.55,2.56,2.48,447021,116129706.13,3.21,2.41,0.06,1.2
2025-01-15,000552,2.55,2.53,2.55,2.52,392673,102283331.2,1.18,-0.78,-0.02,1.05
2025-01-16,000552,2.54,2.54,2.59,2.53,523954,137890240.46,2.37,0.4,0.01,1.41
2025-01-17,000552,2.54,2.54,2.55,2.52,273723,71410279.04,1.18,0.0,0.0,0.73
2025-01-20,000552,2.56,2.52,2.56,2.52,305369,79629924.0,1.57,-0.79,-0.02,0.82
2025-01-21,000552,2.53,2.5,2.54,2.49,378815,97614210.14,1.98,-0.79,-0.02,1.02
2025-01-22,000552,2.5,2.49,2.51,2.47,255761,65437590.86,1.6,-0.4,-0.01,0.69
2025-01-23,000552,2.51,2.48,2.54,2.48,530218,136878113.8,2.41,-0.4,-0.01,1.42
2025-01-24,000552,2.48,2.5,2.51,2.47,352625,90248972.68,1.61,0.81,0.02,0.95
2025-01-27,000552,2.5,2.53,2.56,2.5,534143,139533816.8,2.4,1.2,0.03,1.43
2025-02-05,000552,2.55,2.51,2.56,2.5,357885,92892696.6,2.37,-0.79,-0.02,0.96
2025-02-06,000552,2.52,2.53,2.53,2.49,267514,69104382.0,1.59,0.8,0.02,0.72
2025-02-07,000552,2.53,2.57,2.6,2.52,696640,183441258.68,3.16,1.58,0.04,1.87
2025-02-10,000552,2.57,2.56,2.59,2.55,403060,106307192.34,1.56,-0.39,-0.01,1.08
2025-02-11,000552,2.57,2.56,2.58,2.53,349179,91559353.68,1.95,0.0,0.0,0.94
2025-02-12,000552,2.55,2.55,2.56,2.53,345567,90403073.0,1.17,-0.39,-0.01,0.93
2025-02-13,000552,2.56,2.55,2.58,2.55,435179,114610520.0,1.18,0.0,0.0,1.17
2025-02-14,000552,2.55,2.54,2.56,2.52,463931,120935927.0,1.57,-0.39,-0.01,1.25
2025-02-17,000552,2.54,2.53,2.55,2.52,398548,103729837.0,1.18,-0.39,-0.01,1.07
2025-02-18,000552,2.55,2.52,2.55,2.5,545182,141766917.0,1.98,-0.4,-0.01,1.46
2025-02-19,000552,2.51,2.48,2.52,2.46,585289,149406611.34,2.38,-1.59,-0.04,1.57
2025-02-20,000552,2.48,2.48,2.5,2.46,334109,85097702.95,1.61,0.0,0.0,0.9
2025-02-21,000552,2.48,2.46,2.49,2.45,398518,100903566.75,1.61,-0.81,-0.02,1.07
2025-02-24,000552,2.45,2.47,2.48,2.45,360011,91401398.56,1.22,0.41,0.01,0.97
2025-02-25,000552,2.47,2.44,2.48,2.43,422870,106763399.7,2.02,-1.21,-0.03,1.13
2025-02-26,000552,2.44,2.47,2.48,2.44,506888,128534143.3,1.64,1.23,0.03,1.36
2025-02-27,000552,2.48,2.47,2.5,2.45,356813,90589834.6,2.02,0.0,0.0,0.96
2025-02-28,000552,2.46,2.45,2.49,2.44,453804,114911869.0,2.02,-0.81,-0.02,1.22
2025-03-03,000552,2.45,2.44,2.47,2.43,344381,86760477.72,1.63,-0.41,-0.01,0.92
2025-03-04,000552,2.44,2.42,2.44,2.41,314488,78347851.0,1.23,-0.82,-0.02,0.84
2025-03-05,000552,2.42,2.4,2.43,2.37,374397,92092206.56,2.48,-0.83,-0.02,1.0
2025-03-06,000552,2.4,2.4,2.41,2.39,323848,79997112.13,0.83,0.0,0.0,0.87
2025-03-07,000552,2.4,2.43,2.44,2.39,423049,105490211.71,2.08,1.25,0.03,1.14
2025-03-10,000552,2.43,2.46,2.49,2.42,503077,127573765.44,2.88,1.23,0.03,1.35
2025-03-11,000552,2.45,2.46,2.47,2.43,296770,74797089.0,1.63,0.0,0.0,0.8
2025-03-12,000552,2.47,2.47,2.48,2.44,473751,120058905.24,1.63,0.41,0.01,1.27
2025-03-13,000552,2.47,2.52,2.53,2.46,903243,232615844.38,2.83,2.02,0.05,2.42
2025-03-14,000552,2.51,2.51,2.52,2.49,546834,140910089.84,1.19,-0.4,-0.01,1.47
2025-03-17,000552,2.52,2.52,2.55,2.51,412536,107295277.8,1.59,0.4,0.01,1.11
2025-03-18,000552,2.52,2.51,2.53,2.5,343480,88740453.0,1.19,-0.4,-0.01,0.92
2025-03-19,000552,2.52,2.52,2.53,2.5,340352,88082345.68,1.2,0.4,0.01,0.91
2025-03-20,000552,2.52,2.54,2.57,2.52,547627,143229429.2,1.98,0.79,0.02,1.47
2025-03-21,000552,2.54,2.54,2.57,2.52,600684,157395936.65,1.97,0.0,0.0,1.61
2025-03-24,000552,2.54,2.52,2.55,2.48,540939,139782111.6,2.76,-0.79,-0.02,1.45
2025-03-25,000552,2.51,2.56,2.57,2.5,676101,176508837.57,2.78,1.59,0.04,1.81
2025-03-26,000552,2.56,2.55,2.57,2.53,432874,113366891.16,1.56,-0.39,-0.01,1.16
2025-03-27,000552,2.55,2.51,2.56,2.51,406740,105367819.0,1.96,-1.57,-0.04,1.09
2025-03-28,000552,2.51,2.47,2.51,2.46,396539,101353579.88,1.99,-1.59,-0.04,1.06
2025-03-31,000552,2.47,2.44,2.49,2.43,359509,90725284.0,2.43,-1.21,-0.03,0.96
2025-04-01,000552,2.44,2.48,2.49,2.44,364242,92493127.0,2.05,1.64,0.04,0.98
2025-04-02,000552,2.47,2.46,2.48,2.45,229530,58261605.0,1.21,-0.81,-0.02,0.62
2025-04-03,000552,2.45,2.48,2.48,2.44,261170,66263952.44,1.63,0.81,0.02,0.7
2025-04-07,000552,2.42,2.23,2.42,2.23,835848,198541817.87,7.66,-10.08,-0.25,2.24
2025-04-08,000552,2.25,2.32,2.33,2.25,666942,158351620.9,3.59,4.04,0.09,1.79
2025-04-09,000552,2.3,2.32,2.33,2.24,572407,134737353.84,3.88,0.0,0.0,1.54
2025-04-10,000552,2.35,2.34,2.38,2.33,453464,109944917.2,2.16,0.86,0.02,1.22
