日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,000576,7.24,7.06,7.35,6.99,86076,61561481.76,4.96,-2.75,-0.2,1.98
2025-01-03,000576,7.07,6.7,7.13,6.69,81659,55708929.74,6.23,-5.1,-0.36,1.88
2025-01-06,000576,6.72,6.53,6.75,6.4,81334,53291083.0,5.22,-2.54,-0.17,1.87
2025-01-07,000576,6.52,6.86,6.86,6.5,61646,41267775.0,5.51,5.05,0.33,1.42
2025-01-08,000576,6.91,6.8,6.93,6.61,69720,47288750.0,4.66,-0.87,-0.06,1.61
2025-01-09,000576,6.77,6.94,7.14,6.7,77209,53752137.0,6.47,2.06,0.14,1.78
2025-01-10,000576,6.93,6.78,7.22,6.75,87232,61222714.0,6.77,-2.31,-0.16,2.01
2025-01-13,000576,6.66,6.79,6.86,6.5,69353,46431405.8,5.31,0.15,0.01,1.6
2025-01-14,000576,6.8,7.16,7.17,6.8,68024,47862660.91,5.45,5.45,0.37,1.57
2025-01-15,000576,7.16,7.09,7.25,7.05,53734,38251142.09,2.79,-0.98,-0.07,1.24
2025-01-16,000576,7.15,7.11,7.25,7.03,58154,41529914.5,3.1,0.28,0.02,1.34
2025-01-17,000576,7.14,7.11,7.17,7.01,39726,28189771.3,2.25,0.0,0.0,0.92
2025-01-20,000576,7.2,7.21,7.23,6.98,62696,44733782.16,3.52,1.41,0.1,1.45
2025-01-21,000576,7.2,7.12,7.25,7.04,42328,30091427.2,2.91,-1.25,-0.09,0.98
2025-01-22,000576,7.05,7.06,7.12,7.0,32445,22931051.68,1.69,-0.84,-0.06,0.75
2025-01-23,000576,7.25,7.28,7.77,7.24,125523,93483677.64,7.51,3.12,0.22,2.89
2025-01-24,000576,7.23,7.23,7.3,7.13,78114,56223699.8,2.34,-0.69,-0.05,1.8
2025-01-27,000576,7.19,7.16,7.4,7.16,48383,35248611.0,3.32,-0.97,-0.07,1.12
2025-02-05,000576,7.22,7.37,7.39,7.08,52074,38150831.0,4.33,2.93,0.21,1.2
