日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,000582,7.75,7.92,8.16,7.74,657592,533361946.49,5.42,2.19,0.17,3.73
2025-01-03,000582,8.07,7.82,8.12,7.78,456816,368259989.84,4.29,-1.26,-0.1,2.59
2025-01-06,000582,7.77,7.95,8.09,7.68,468889,378904263.69,5.24,1.66,0.13,2.66
2025-01-07,000582,7.96,8.0,8.08,7.87,328910,266966283.39,2.64,0.63,0.05,1.87
2025-01-08,000582,7.97,7.96,8.2,7.87,440512,360469077.68,4.13,-0.5,-0.04,2.5
2025-01-09,000582,7.9,8.05,8.12,7.81,399410,324409966.41,3.89,1.13,0.09,2.27
2025-01-10,000582,8.04,8.16,8.27,7.98,538632,445757691.55,3.6,1.37,0.11,3.06
2025-01-13,000582,8.14,8.22,8.32,7.95,446757,369904645.95,4.53,0.74,0.06,2.54
2025-01-14,000582,8.15,8.42,8.45,8.14,490506,414839743.97,3.77,2.43,0.2,2.78
2025-01-15,000582,8.37,8.3,8.52,8.27,410673,349623260.03,2.97,-1.43,-0.12,2.33
2025-01-16,000582,8.3,8.42,8.45,8.14,522869,439685799.0,3.73,1.45,0.12,2.97
2025-01-17,000582,8.33,8.45,8.61,8.22,467719,400700968.36,4.63,0.36,0.03,2.66
2025-01-20,000582,8.43,8.35,8.49,8.32,310749,265359776.85,2.01,-1.18,-0.1,1.76
2025-01-21,000582,8.36,8.29,8.38,8.26,168834,142321243.71,1.44,-0.72,-0.06,0.96
2025-01-22,000582,8.27,8.15,8.29,8.1,203496,168988618.34,2.29,-1.69,-0.14,1.16
2025-01-23,000582,8.2,8.32,8.38,8.14,234141,196630547.17,2.94,2.09,0.17,1.33
2025-01-24,000582,8.26,8.3,8.35,8.08,248009,206636484.91,3.25,-0.24,-0.02,1.41
2025-01-27,000582,8.32,8.4,8.54,8.28,264908,227289559.0,3.13,1.2,0.1,1.5
2025-02-05,000582,8.51,8.33,8.53,8.26,195973,166849686.27,3.21,-0.83,-0.07,1.11
2025-02-06,000582,8.3,8.25,8.32,8.19,196970,165098474.64,1.56,-0.96,-0.08,1.12
2025-02-07,000582,8.25,8.4,8.43,8.21,228574,193951284.58,2.67,1.82,0.15,1.3
2025-02-10,000582,8.4,8.21,8.41,8.14,290778,242702980.23,3.21,-2.26,-0.19,1.65
2025-02-11,000582,8.21,8.37,8.51,8.17,301490,257154141.24,4.14,1.95,0.16,1.71
2025-02-12,000582,8.35,8.3,8.39,8.22,152859,128515130.02,2.03,-0.84,-0.07,0.87
2025-02-13,000582,8.3,8.22,8.37,8.21,168064,141275268.02,1.93,-0.96,-0.08,0.95
2025-02-14,000582,8.19,8.09,8.23,8.04,225127,185302822.35,2.31,-1.58,-0.13,1.28
2025-02-17,000582,8.08,8.12,8.13,7.95,180670,147647666.05,2.22,0.37,0.03,1.03
