日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,000596,163.0,163.31,167.3,159.88,39494,672217229.33,4.46,-1.8,-2.99,0.97
2025-01-03,000596,163.0,164.98,167.63,162.55,34787,600465917.71,3.11,1.02,1.67,0.85
2025-01-06,000596,160.0,160.86,167.17,156.15,31323,529105220.61,6.68,-2.5,-4.12,0.77
2025-01-07,000596,161.33,160.5,162.45,157.71,20161,335589843.6,2.95,-0.22,-0.36,0.49
2025-01-08,000596,159.37,162.56,164.85,158.01,28047,474606188.5,4.26,1.28,2.06,0.69
2025-01-09,000596,162.56,165.97,168.63,160.47,28819,498665428.32,5.02,2.1,3.41,0.71
2025-01-10,000596,165.39,161.01,166.3,161.0,23469,398391452.88,3.19,-2.99,-4.96,0.57
2025-01-13,000596,158.0,162.7,163.6,158.0,17301,292496677.5,3.48,1.05,1.69,0.42
2025-01-14,000596,162.5,169.06,171.15,162.0,33680,590625642.04,5.62,3.91,6.36,0.82
2025-01-15,000596,168.91,168.55,169.5,166.8,14833,259772268.85,1.6,-0.3,-0.51,0.36
2025-01-16,000596,168.98,165.35,170.7,163.88,22977,399202944.18,4.05,-1.9,-3.2,0.56
2025-01-17,000596,164.99,166.42,168.0,164.1,19741,342578701.89,2.36,0.65,1.07,0.48
2025-01-20,000596,167.6,168.88,172.82,167.3,33173,589079150.88,3.32,1.48,2.46,0.81
2025-01-21,000596,170.01,167.0,170.01,164.55,25126,434693179.8,3.23,-1.11,-1.88,0.61
2025-01-22,000596,165.89,162.7,165.89,161.83,22521,383004943.35,2.43,-2.57,-4.3,0.55
2025-01-23,000596,164.0,163.24,165.8,162.5,13396,228865082.87,2.03,0.33,0.54,0.33
2025-01-24,000596,163.99,160.71,163.99,160.33,22924,384001178.0,2.24,-1.55,-2.53,0.56
2025-01-27,000596,160.72,160.08,162.12,159.57,14830,247005015.93,1.59,-0.39,-0.63,0.36
2025-02-05,000596,160.0,151.32,160.08,150.32,46766,743824272.96,6.1,-5.47,-8.76,1.14
2025-02-06,000596,150.0,148.88,151.6,146.16,44124,679934157.26,3.6,-1.61,-2.44,1.08
2025-02-07,000596,148.0,150.29,151.46,147.3,38766,604538335.33,2.79,0.95,1.41,0.95
2025-02-10,000596,150.45,151.3,151.63,147.95,28371,442884416.0,2.45,0.67,1.01,0.69
2025-02-11,000596,151.33,147.59,152.5,147.11,31960,493555323.22,3.56,-2.45,-3.71,0.78
2025-02-12,000596,147.34,149.8,149.8,145.56,33194,508843702.47,2.87,1.5,2.21,0.81
2025-02-13,000596,149.75,154.47,157.5,149.05,63446,1016575400.14,5.64,3.12,4.67,1.55
2025-02-14,000596,153.0,156.4,157.02,152.01,33435,538064574.37,3.24,1.25,1.93,0.82
2025-02-17,000596,156.4,159.19,162.0,156.0,34179,566392684.55,3.84,1.78,2.79,0.84
2025-02-18,000596,158.65,156.1,158.94,154.37,21716,353221052.09,2.87,-1.94,-3.09,0.53
2025-02-19,000596,154.62,155.34,157.92,152.7,22622,365017749.62,3.34,-0.49,-0.76,0.55
2025-02-20,000596,155.33,156.08,158.9,154.5,17985,293107057.4,2.83,0.48,0.74,0.44
2025-02-21,000596,157.5,158.26,163.9,156.88,34172,566095721.49,4.5,1.4,2.18,0.84
2025-02-24,000596,157.0,160.51,163.68,156.07,39622,660540731.39,4.81,1.42,2.25,0.97
2025-02-25,000596,158.5,159.52,160.66,157.3,18885,312107332.0,2.09,-0.62,-0.99,0.46
2025-02-26,000596,158.64,158.9,161.5,156.62,21350,350905482.67,3.06,-0.39,-0.62,0.52
2025-02-27,000596,158.03,161.88,163.83,157.55,38839,653306754.94,3.95,1.88,2.98,0.95
2025-02-28,000596,161.95,161.85,166.9,161.57,41096,698929145.43,3.29,-0.02,-0.03,1.01
2025-03-03,000596,162.01,162.26,168.94,161.69,36121,618243159.38,4.48,0.25,0.41,0.88
2025-03-04,000596,162.19,158.71,162.19,157.2,16989,279614453.32,3.08,-2.19,-3.55,0.42
2025-03-05,000596,158.6,160.21,161.75,156.95,17430,287885253.0,3.02,0.95,1.5,0.43
2025-03-06,000596,160.64,167.15,167.5,159.02,36367,619654836.68,5.29,4.33,6.94,0.89
2025-03-07,000596,166.59,170.2,171.0,165.4,28721,500767679.4,3.35,1.82,3.05,0.7
2025-03-10,000596,169.25,173.35,175.66,168.14,29399,522661046.23,4.42,1.85,3.15,0.72
2025-03-11,000596,171.9,183.17,183.18,171.84,49093,910706262.08,6.54,5.66,9.82,1.2
2025-03-12,000596,183.17,181.59,185.76,179.71,25369,476933498.09,3.3,-0.86,-1.58,0.62
2025-03-13,000596,181.0,180.5,186.31,179.47,29276,552055017.24,3.77,-0.6,-1.09,0.72
2025-03-14,000596,180.48,187.54,191.88,179.39,44719,862787379.6,6.92,3.9,7.04,1.09
2025-03-17,000596,189.02,185.93,190.68,182.0,35700,681320855.46,4.63,-0.86,-1.61,0.87
2025-03-18,000596,185.01,180.7,185.93,179.95,29310,549122432.07,3.22,-2.81,-5.23,0.72
2025-03-19,000596,179.95,175.08,181.91,174.2,35572,649906123.67,4.27,-3.11,-5.62,0.87
2025-03-20,000596,175.08,171.83,175.15,171.04,19694,351322532.34,2.35,-1.86,-3.25,0.48
2025-03-21,000596,171.5,169.79,173.88,169.0,21201,374805623.5,2.84,-1.19,-2.04,0.52
2025-03-24,000596,169.12,171.52,172.0,168.0,24245,426350301.43,2.36,1.02,1.73,0.59
2025-03-25,000596,171.6,170.61,171.77,168.2,14811,260697129.39,2.08,-0.53,-0.91,0.36
2025-03-26,000596,170.07,171.03,173.5,169.07,17881,317753804.52,2.6,0.25,0.42,0.44
2025-03-27,000596,170.01,171.6,173.28,169.65,12283,218094509.89,2.12,0.33,0.57,0.3
2025-03-28,000596,170.99,167.09,171.97,166.68,18447,321483905.56,3.08,-2.63,-4.51,0.45
2025-03-31,000596,166.05,164.25,167.99,163.5,16244,277811852.0,2.69,-1.7,-2.84,0.4
2025-04-01,000596,164.1,165.31,166.73,162.9,13213,226314132.0,2.33,0.65,1.06,0.32
2025-04-02,000596,164.88,164.7,166.47,164.01,7719,132021089.3,1.49,-0.37,-0.61,0.19
2025-04-03,000596,163.34,168.47,169.48,162.56,18937,328947726.02,4.2,2.29,3.77,0.46
2025-04-07,000596,165.0,158.1,166.0,151.9,31227,518821757.06,8.37,-6.16,-10.37,0.76
2025-04-08,000596,157.97,166.08,167.8,157.36,33274,560523726.23,6.6,5.05,7.98,0.81
2025-04-09,000596,164.15,172.29,173.48,162.88,37958,664114350.3,6.38,3.74,6.21,0.93
2025-04-10,000596,171.0,173.85,174.83,168.26,31972,570578249.97,3.81,0.91,1.56,0.78
2025-04-11,000596,172.5,169.6,173.58,167.03,24059,421874465.87,3.77,-2.44,-4.25,0.59
2025-04-14,000596,168.5,167.1,169.3,166.0,20603,357019624.92,1.95,-1.47,-2.5,0.5
2025-04-15,000596,166.5,166.0,167.68,164.64,15497,266106254.81,1.82,-0.66,-1.1,0.38
2025-04-16,000596,165.0,165.05,165.79,161.65,17922,303930350.6,2.49,-0.57,-0.95,0.44
2025-04-17,000596,163.03,166.5,167.33,162.4,19383,333197000.1,2.99,0.88,1.45,0.47
2025-04-18,000596,165.6,166.94,166.98,163.69,14766,253503817.35,1.98,0.26,0.44,0.36
2025-04-21,000596,166.0,164.01,166.9,163.38,21506,365695336.84,2.11,-1.76,-2.93,0.53
2025-04-22,000596,164.0,164.33,167.38,161.7,21310,363479783.24,3.46,0.2,0.32,0.52
2025-04-23,000596,164.33,162.83,165.5,162.01,15558,263029219.1,2.12,-0.91,-1.5,0.38
2025-04-24,000596,162.7,161.0,163.01,160.88,12111,203254106.8,1.31,-1.12,-1.83,0.3
2025-04-25,000596,161.0,161.11,163.37,160.8,12283,206301091.15,1.6,0.07,0.11,0.3
2025-04-28,000596,162.92,165.14,167.86,162.92,39044,672980500.75,3.07,2.5,4.03,0.96
2025-04-29,000596,165.15,159.8,165.26,159.7,33556,562375281.23,3.37,-3.23,-5.34,0.82
2025-04-30,000596,157.98,158.39,161.66,157.98,21673,357607550.63,2.3,-0.88,-1.41,0.53
2025-05-06,000596,158.9,158.45,159.3,156.91,26181,428825610.33,1.51,0.04,0.06,0.64
2025-05-07,000596,161.0,159.21,161.42,158.54,20578,341423059.26,1.82,0.48,0.76,0.5
2025-05-08,000596,158.5,159.75,162.51,157.1,28188,467265049.26,3.4,0.34,0.54,0.69
2025-05-09,000596,159.74,158.65,159.84,158.05,13039,214757585.24,1.12,-0.69,-1.1,0.32
2025-05-12,000596,158.74,159.88,160.29,158.5,15338,253650896.4,1.13,0.78,1.23,0.38
2025-05-13,000596,160.08,159.75,160.8,159.03,13929,231088440.55,1.11,-0.08,-0.13,0.34
2025-05-14,000596,159.34,162.75,165.47,158.05,37035,621478376.95,4.64,1.88,3.0,0.91
2025-05-15,000596,161.68,157.91,162.12,157.69,27152,449427834.76,2.72,-2.97,-4.84,0.66
2025-05-16,000596,157.93,154.89,158.0,154.35,25827,416970770.86,2.31,-1.91,-3.02,0.63
2025-05-19,000596,152.9,151.7,153.0,150.19,30822,484138813.36,1.81,-2.06,-3.19,0.75
2025-05-20,000596,151.0,150.5,151.53,150.1,23425,367158876.09,0.94,-0.79,-1.2,0.57
2025-05-21,000596,150.5,151.07,151.95,150.5,16143,253949188.6,0.96,0.38,0.57,0.4
2025-05-22,000596,151.18,149.7,151.5,149.66,12798,200362401.2,1.22,-0.91,-1.37,0.31
2025-05-23,000596,149.81,147.82,150.58,147.72,18851,292048095.8,1.91,-1.26,-1.88,0.46
2025-05-26,000596,147.5,146.22,148.86,145.7,22614,345336457.86,2.14,-1.08,-1.6,0.55
2025-05-27,000596,146.15,146.3,147.49,145.74,14255,217232093.5,1.2,0.05,0.08,0.35
2025-05-28,000596,146.07,146.53,146.85,145.66,11481,174765485.57,0.81,0.16,0.23,0.28
2025-05-29,000596,146.8,148.11,149.23,146.33,19954,307107815.13,1.98,1.08,1.58,0.49
2025-05-30,000596,148.11,144.55,148.49,144.0,24989,378561777.7,3.03,-2.4,-3.56,0.61
2025-06-03,000596,143.7,141.93,143.7,141.75,24733,367562215.4,1.35,-1.81,-2.62,0.61
2025-06-04,000596,141.76,141.81,142.93,141.02,22023,325434617.66,1.35,-0.08,-0.12,0.54
2025-06-05,000596,141.81,144.0,145.48,141.51,28825,432384978.21,2.8,1.54,2.19,0.71
2025-06-06,000596,143.99,143.8,145.85,143.23,18867,283942340.06,1.82,-0.14,-0.2,0.46
2025-06-09,000596,143.6,142.0,143.6,140.64,36874,544887279.94,2.06,-1.25,-1.8,0.9
2025-06-10,000596,142.0,138.26,142.01,137.48,46699,676870957.97,3.19,-2.63,-3.74,1.14
2025-06-11,000596,138.08,138.82,139.89,137.66,27853,403884682.96,1.61,0.41,0.56,0.68
2025-06-12,000596,138.2,134.94,138.2,134.78,37161,527290521.81,2.46,-2.79,-3.88,0.91
2025-06-13,000596,133.98,129.15,133.98,128.66,56259,768451082.77,3.94,-4.29,-5.79,1.38
2025-06-16,000596,127.8,128.15,130.28,125.73,58817,785627876.67,3.52,-0.77,-1.0,1.44
2025-06-17,000596,127.48,128.0,129.26,127.1,36484,489777713.54,1.69,-0.12,-0.15,0.89
2025-06-18,000596,131.0,128.78,131.89,128.2,41204,559338548.55,2.88,0.61,0.78,1.01
2025-06-19,000596,128.05,129.9,131.56,128.05,41796,568649119.88,2.73,0.87,1.12,1.02
2025-06-20,000596,129.9,135.09,136.26,129.6,81734,1148598334.62,5.13,4.0,5.19,2.0
2025-06-23,000596,133.68,131.08,133.68,130.3,53478,735739425.06,2.5,-2.97,-4.01,1.31
2025-06-24,000596,131.25,132.23,132.3,131.11,33959,468009297.71,0.91,0.88,1.15,0.83
2025-06-25,000596,132.24,132.77,132.78,130.1,47567,653524929.61,2.03,0.41,0.54,1.16
2025-06-26,000596,132.63,132.62,134.07,131.3,43955,588151106.89,2.09,-0.11,-0.15,1.08
2025-06-27,000596,132.25,130.88,132.6,130.6,32322,427971180.74,1.51,-1.31,-1.74,0.79
2025-06-30,000596,130.88,132.15,132.79,129.8,33814,447110200.57,2.28,0.97,1.27,0.83
2025-07-01,000596,131.72,130.68,131.91,130.49,21993,290064135.0,1.07,-1.11,-1.47,0.54
2025-07-02,000596,130.99,131.91,132.5,130.5,32484,431077745.8,1.53,0.94,1.23,0.8
2025-07-03,000596,131.51,132.92,134.91,131.45,33987,456767356.32,2.62,0.77,1.01,0.83
2025-07-04,000596,132.92,133.19,134.02,132.5,22112,296984068.0,1.14,0.2,0.27,0.54
2025-07-07,000596,133.19,132.8,134.15,132.45,25380,340826015.03,1.28,-0.29,-0.39,0.62
2025-07-08,000596,132.81,134.6,134.77,132.3,29588,399088400.15,1.86,1.36,1.8,0.72
2025-07-09,000596,134.6,136.29,137.69,134.34,40713,560745105.95,2.49,1.26,1.69,1.0
2025-07-10,000596,136.0,136.99,137.7,135.0,24987,342910186.95,1.98,0.51,0.7,0.61
2025-07-11,000596,137.08,137.59,139.02,136.01,36004,500158271.71,2.2,0.44,0.6,0.88
2025-07-14,000596,137.41,136.72,137.42,135.7,22162,304590870.0,1.25,-0.63,-0.87,0.54
2025-07-15,000596,135.7,134.25,135.82,133.5,29757,403185866.68,1.7,-1.81,-2.47,0.73
2025-07-16,000596,134.1,135.99,136.15,134.08,22036,300724935.77,1.54,1.3,1.74,0.54
2025-07-17,000596,135.97,135.53,136.47,134.51,17361,236489732.44,1.44,-0.34,-0.46,0.42
2025-07-18,000596,135.42,138.61,138.81,135.42,42110,583923913.9,2.5,2.27,3.08,1.03
2025-07-21,000596,138.24,138.26,138.79,137.35,21063,292719222.6,1.04,-0.25,-0.35,0.52
2025-07-22,000596,138.26,143.43,143.5,137.8,48520,691282598.89,4.12,3.74,5.17,1.19
2025-07-23,000596,143.5,143.63,147.36,143.01,50234,734606547.11,3.03,0.14,0.2,1.23
