日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,000603,11.77,11.94,12.27,11.63,134313,162036221.8,5.38,0.42,0.05,2.12
2025-01-03,000603,11.94,11.74,12.26,11.72,92772,112438341.8,4.52,-1.68,-0.2,1.47
2025-01-06,000603,11.74,11.97,12.22,11.66,98306,118772011.44,4.77,1.96,0.23,1.55
2025-01-07,000603,11.97,12.21,12.27,11.8,81524,99912209.76,3.93,2.01,0.24,1.29
2025-01-08,000603,12.2,12.05,12.24,11.87,65790,79823626.0,3.03,-1.31,-0.16,1.04
2025-01-09,000603,11.97,12.22,12.25,11.93,57833,70987981.27,2.66,1.41,0.17,0.91
2025-01-10,000603,12.22,12.38,12.59,12.21,93895,117408583.1,3.11,1.31,0.16,1.48
2025-01-13,000603,12.3,12.5,12.63,12.2,94536,118888877.0,3.47,0.97,0.12,1.49
2025-01-14,000603,12.4,12.61,12.61,12.28,109690,137964698.0,2.64,0.88,0.11,1.73
2025-01-15,000603,12.55,12.57,12.61,12.42,75550,95258002.0,1.51,-0.32,-0.04,1.19
2025-01-16,000603,12.73,13.56,13.58,12.73,310379,413275744.0,6.76,7.88,0.99,4.91
2025-01-17,000603,13.34,13.48,13.63,13.2,168609,228621065.6,3.17,-0.59,-0.08,2.67
2025-01-20,000603,13.47,13.55,13.67,13.32,147481,200215218.72,2.6,0.52,0.07,2.33
2025-01-21,000603,13.55,13.56,13.67,13.35,96299,131377270.94,2.36,0.07,0.01,1.52
2025-01-22,000603,13.56,13.62,13.78,13.43,119732,164064004.27,2.58,0.44,0.06,1.89
2025-01-23,000603,13.65,13.71,13.93,13.6,141899,196951389.64,2.42,0.66,0.09,2.24
2025-01-24,000603,13.68,13.8,13.97,13.52,105483,145950378.06,3.28,0.66,0.09,1.67
2025-01-27,000603,13.9,13.74,14.26,13.67,135572,190496656.0,4.28,-0.43,-0.06,2.14
2025-02-05,000603,14.1,14.09,14.34,13.88,185749,262917452.0,3.35,2.55,0.35,2.94
2025-02-06,000603,13.93,13.92,14.03,13.82,130325,182624148.84,1.49,-1.21,-0.17,2.06
2025-02-07,000603,13.91,13.95,14.04,13.78,123221,172917188.12,1.87,0.22,0.03,1.95
2025-02-10,000603,13.97,13.94,14.08,13.84,118100,165703182.24,1.72,-0.07,-0.01,1.87
2025-02-11,000603,14.11,13.93,14.23,13.89,129137,182751676.01,2.44,-0.07,-0.01,2.04
2025-02-12,000603,13.7,13.85,13.94,13.65,107884,150221562.11,2.08,-0.57,-0.08,1.71
2025-02-13,000603,13.9,13.82,13.98,13.77,78720,110024556.47,1.52,-0.22,-0.03,1.24
2025-02-14,000603,13.91,14.02,14.23,13.78,161040,226788698.58,3.26,1.45,0.2,2.55
2025-02-17,000603,13.48,13.77,13.93,13.4,159916,221265239.36,3.78,-1.78,-0.25,2.53
2025-02-18,000603,13.79,13.69,13.86,13.66,87019,120417734.1,1.45,-0.58,-0.08,1.38
2025-02-19,000603,13.77,13.76,14.02,13.68,92197,128420181.0,2.48,0.51,0.07,1.38
2025-02-20,000603,13.77,13.79,13.87,13.65,62242,86223941.0,1.6,0.22,0.03,0.93
2025-02-21,000603,13.78,13.52,13.88,13.49,99645,136874046.0,2.83,-1.96,-0.27,1.5
2025-02-24,000603,13.47,13.56,13.64,13.31,89591,122221743.1,2.44,0.3,0.04,1.35
2025-02-25,000603,13.53,13.5,13.67,13.43,63818,86974950.86,1.77,-0.44,-0.06,0.96
2025-02-26,000603,13.43,13.32,13.55,13.17,105707,141919905.37,2.81,-1.33,-0.18,1.59
2025-02-27,000603,13.25,13.22,13.33,12.99,93069,123194312.07,2.55,-0.75,-0.1,1.4
2025-02-28,000603,13.07,12.98,13.27,12.9,67698,89099712.64,2.8,-1.82,-0.24,1.02
2025-03-03,000603,12.96,12.97,13.2,12.9,67101,88431635.9,2.31,-0.08,-0.01,1.01
2025-03-04,000603,12.99,13.27,13.34,12.99,83341,111099165.0,2.7,2.31,0.3,1.25
2025-03-05,000603,13.3,13.48,13.5,13.18,79790,107404628.77,2.41,1.58,0.21,1.2
2025-03-06,000603,13.49,13.58,13.72,13.48,77745,106429234.36,1.78,0.74,0.1,1.17
2025-03-07,000603,13.56,14.05,14.14,13.55,182212,256646983.76,4.34,3.46,0.47,2.74
2025-03-10,000603,14.2,14.64,14.79,14.11,257236,374558502.45,4.84,4.2,0.59,3.86
2025-03-11,000603,14.4,14.62,14.76,14.26,151434,221682613.38,3.42,-0.14,-0.02,2.27
2025-03-12,000603,14.76,14.51,14.9,14.46,121069,178079875.95,3.01,-0.75,-0.11,1.82
2025-03-13,000603,14.58,14.6,14.64,14.35,105937,154637895.42,2.0,0.62,0.09,1.59
2025-03-14,000603,15.27,15.16,15.54,14.96,273777,420319979.98,3.97,3.84,0.56,4.11
2025-03-17,000603,15.1,14.88,15.25,14.78,144249,217530170.81,3.1,-1.85,-0.28,2.16
2025-03-18,000603,14.86,15.8,16.05,14.83,246439,388917364.54,8.2,6.18,0.92,3.7
2025-03-19,000603,15.7,16.4,16.78,15.63,240963,393493592.32,7.28,3.8,0.6,3.61
2025-03-20,000603,16.48,16.33,16.72,16.2,199747,329958058.39,3.17,-0.43,-0.07,3.0
2025-03-21,000603,16.19,15.79,16.2,15.6,149622,238581690.0,3.67,-3.31,-0.54,2.24
2025-03-24,000603,15.63,15.67,15.78,15.35,107069,167539437.0,2.72,-0.76,-0.12,1.61
2025-03-25,000603,15.73,15.61,15.79,15.41,79181,124274105.0,2.43,-0.38,-0.06,1.19
2025-03-26,000603,15.9,15.63,16.26,15.5,195011,311981810.14,4.87,0.13,0.02,2.92
2025-03-27,000603,15.57,15.3,15.61,15.17,119873,185268031.0,2.82,-2.11,-0.33,1.8
2025-03-28,000603,15.97,15.82,16.27,15.59,200651,320866477.1,4.44,3.4,0.52,3.01
2025-03-31,000603,15.56,15.59,16.03,15.35,141851,222873461.7,4.3,-1.45,-0.23,2.13
2025-04-01,000603,15.68,15.43,16.24,15.36,149402,235768929.94,5.64,-1.03,-0.16,2.24
2025-04-02,000603,15.44,15.26,15.55,15.19,120234,185105159.3,2.33,-1.1,-0.17,1.8
2025-04-03,000603,15.2,14.88,15.33,14.85,94395,142751547.0,3.15,-2.49,-0.38,1.42
2025-04-07,000603,13.38,13.38,13.65,13.38,98743,133385114.0,1.81,-10.08,-1.5,1.48
2025-04-08,000603,13.03,12.4,13.3,12.1,319982,404392519.84,8.97,-7.32,-0.98,4.8
2025-04-09,000603,12.0,12.45,12.58,11.43,194441,238641401.0,9.27,0.4,0.05,2.92
2025-04-10,000603,12.88,13.14,13.31,12.76,140224,184963356.0,4.42,5.54,0.69,2.1
2025-04-11,000603,13.53,13.51,14.06,13.48,187932,259840277.14,4.41,2.82,0.37,2.82
