日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,000615,3.27,3.37,3.43,3.21,295470,116505890.0,6.73,3.06,0.1,3.88
2025-01-03,000615,3.35,3.2,3.39,3.2,268526,102948093.53,5.64,-5.04,-0.17,3.52
2025-01-06,000615,3.11,3.07,3.13,3.04,202848,73316676.0,2.81,-4.06,-0.13,2.66
2025-01-07,000615,2.98,3.16,3.18,2.97,187618,68557791.0,6.84,2.93,0.09,2.46
2025-01-08,000615,3.32,3.25,3.32,3.23,352312,137758542.74,2.85,2.85,0.09,4.62
2025-01-09,000615,3.21,3.24,3.31,3.11,290084,110096786.0,6.15,-0.31,-0.01,3.8
2025-01-10,000615,3.2,3.26,3.37,3.19,227631,88214479.85,5.56,0.62,0.02,2.99
2025-01-13,000615,3.21,3.15,3.23,3.1,158150,59031236.0,3.99,-3.37,-0.11,2.07
2025-01-14,000615,3.15,3.18,3.23,3.15,135531,51116110.48,2.54,0.95,0.03,1.78
2025-01-15,000615,3.18,3.18,3.25,3.15,107648,40763461.0,3.14,0.0,0.0,1.41
2025-01-16,000615,3.16,3.17,3.21,3.15,107234,40326247.2,1.89,-0.31,-0.01,1.41
2025-01-17,000615,3.17,3.07,3.18,3.03,134709,49448342.2,4.73,-3.15,-0.1,1.77
2025-01-20,000615,3.04,3.06,3.12,3.03,95975,34871622.92,2.93,-0.33,-0.01,1.26
2025-01-21,000615,3.04,2.91,3.07,2.91,204221,71436401.08,5.23,-4.9,-0.15,2.68
2025-01-22,000615,2.9,2.96,3.01,2.9,116702,40905768.0,3.78,1.72,0.05,1.53
2025-01-23,000615,2.98,2.94,3.07,2.93,121375,43017568.54,4.73,-0.68,-0.02,1.59
2025-01-24,000615,2.91,2.92,3.0,2.84,128165,44380093.0,5.44,-0.68,-0.02,1.68
2025-01-27,000615,2.94,3.02,3.02,2.92,104733,36916047.0,3.42,3.42,0.1,1.37
2025-02-05,000615,3.01,3.05,3.1,2.98,100428,36062126.24,3.97,0.99,0.03,1.32
2025-02-06,000615,3.07,2.91,3.08,2.9,254181,89048136.0,5.9,-4.59,-0.14,3.33
2025-02-07,000615,2.88,2.9,2.92,2.82,193780,65963683.8,3.44,-0.34,-0.01,2.54
2025-02-10,000615,2.88,2.91,2.95,2.81,197598,66993474.28,4.83,0.34,0.01,2.59
2025-02-11,000615,2.9,2.85,2.91,2.84,139698,47424112.0,2.41,-2.06,-0.06,1.83
2025-02-12,000615,2.85,2.8,2.86,2.79,128219,42751739.86,2.46,-1.75,-0.05,1.68
2025-02-13,000615,2.8,2.82,2.91,2.8,132185,44526646.0,3.93,0.71,0.02,1.73
2025-02-14,000615,2.8,2.8,2.83,2.74,138969,45740829.0,3.19,-0.71,-0.02,1.82
2025-02-17,000615,2.75,2.69,2.79,2.66,185936,59228397.64,4.64,-3.93,-0.11,2.44
2025-02-18,000615,2.7,2.7,2.77,2.69,147399,47534343.46,2.97,0.37,0.01,1.93
2025-02-19,000615,2.67,2.71,2.74,2.65,119401,38266378.44,3.33,0.37,0.01,1.57
2025-02-20,000615,2.73,2.69,2.79,2.68,158091,51041680.0,4.06,-0.74,-0.02,2.07
2025-02-21,000615,2.66,2.57,2.68,2.55,251163,77470558.5,4.83,-4.46,-0.12,3.29
2025-02-24,000615,2.46,2.52,2.53,2.46,210940,62236331.3,2.72,-1.95,-0.05,2.77
2025-02-25,000615,2.52,2.47,2.58,2.47,178407,53060599.92,4.37,-1.98,-0.05,2.34
2025-02-26,000615,2.45,2.4,2.47,2.38,228247,65468119.55,3.64,-2.83,-0.07,2.99
2025-02-27,000615,2.4,2.52,2.52,2.4,204989,59741569.61,5.0,5.0,0.12,2.69
2025-02-28,000615,2.6,2.53,2.63,2.52,335449,102129500.54,4.37,0.4,0.01,4.4
2025-03-03,000615,2.52,2.65,2.65,2.42,285390,86125247.97,9.09,4.74,0.12,3.74
2025-03-04,000615,2.63,2.65,2.76,2.61,329343,104821973.0,5.66,0.0,0.0,4.32
2025-03-05,000615,2.63,2.58,2.68,2.55,173868,53620224.82,4.91,-2.64,-0.07,2.28
2025-03-06,000615,2.56,2.55,2.58,2.53,121641,36748273.0,1.94,-1.16,-0.03,1.6
2025-03-07,000615,2.56,2.58,2.61,2.53,99560,30241704.0,3.14,1.18,0.03,1.31
2025-03-10,000615,2.58,2.7,2.7,2.58,124604,39208940.0,4.65,4.65,0.12,1.63
2025-03-11,000615,2.8,2.84,2.84,2.79,215895,72281219.0,1.85,5.19,0.14,2.83
2025-03-12,000615,2.91,2.86,2.96,2.8,290656,99459421.62,5.63,0.7,0.02,3.81
2025-03-13,000615,2.91,3.01,3.01,2.89,77559,27274049.0,4.2,5.24,0.15,1.02
2025-03-14,000615,3.01,3.13,3.16,3.01,360258,133501232.38,4.98,3.99,0.12,4.72
2025-03-17,000615,3.12,2.97,3.12,2.97,254350,90876595.76,4.79,-5.11,-0.16,3.34
2025-03-18,000615,2.99,3.05,3.12,2.85,280023,99050759.68,9.09,2.69,0.08,3.67
2025-03-19,000615,3.01,3.05,3.12,2.99,141149,51046658.0,4.26,0.0,0.0,1.85
2025-03-20,000615,3.02,3.18,3.2,3.02,278014,103856585.78,5.9,4.26,0.13,3.65
2025-03-21,000615,3.12,3.02,3.17,3.01,258230,94725575.0,5.03,-5.03,-0.16,3.39
2025-03-24,000615,2.94,3.05,3.14,2.9,236913,84109215.31,7.95,0.99,0.03,3.11
2025-03-25,000615,3.06,3.06,3.11,3.01,114683,41529420.0,3.28,0.33,0.01,1.5
2025-03-26,000615,3.04,3.16,3.2,3.04,166974,61999030.0,5.23,3.27,0.1,2.19
2025-03-27,000615,3.16,3.13,3.18,3.09,115078,42685922.0,2.85,-0.95,-0.03,1.51
2025-03-28,000615,3.12,3.13,3.18,3.12,98288,36605418.0,1.92,0.0,0.0,1.29
2025-03-31,000615,3.13,3.26,3.29,3.13,203373,77986280.94,5.11,4.15,0.13,2.67
2025-04-01,000615,3.23,3.11,3.35,3.1,323428,121570199.54,7.67,-4.6,-0.15,4.24
2025-04-02,000615,3.07,3.07,3.16,3.01,161408,58875393.0,4.82,-1.29,-0.04,2.12
2025-04-03,000615,3.07,3.12,3.15,3.04,101069,37078938.28,3.58,1.63,0.05,1.33
2025-04-07,000615,3.12,3.05,3.28,2.97,348864,129375643.46,9.94,-2.24,-0.07,4.58
2025-04-08,000615,3.12,3.02,3.15,2.94,221925,79784990.0,6.89,-0.98,-0.03,2.91
2025-04-09,000615,2.96,2.9,2.96,2.87,269857,92224962.22,2.98,-3.97,-0.12,3.54
2025-04-10,000615,2.86,2.8,2.93,2.75,309205,103974856.28,6.21,-3.45,-0.1,4.06
2025-04-11,000615,2.75,2.87,2.88,2.74,200175,67146508.0,5.0,2.5,0.07,2.63
2025-04-14,000615,2.88,3.01,3.01,2.85,205335,71944111.0,5.57,4.88,0.14,2.69
2025-04-15,000615,3.03,3.03,3.08,2.99,182041,65279393.0,2.99,0.66,0.02,2.39
2025-04-16,000615,3.03,2.96,3.03,2.91,127671,44753924.32,3.96,-2.31,-0.07,1.67
2025-04-17,000615,2.96,3.01,3.06,2.92,151266,53632913.0,4.73,1.69,0.05,1.98
2025-04-18,000615,2.96,3.0,3.02,2.96,73021,25884109.0,1.99,-0.33,-0.01,0.96
2025-04-21,000615,2.95,2.97,3.03,2.94,86473,30569298.0,3.0,-1.0,-0.03,1.13
2025-04-22,000615,2.96,3.03,3.06,2.96,123878,44390232.0,3.37,2.02,0.06,1.62
2025-04-23,000615,3.04,3.15,3.18,3.04,264004,98563978.82,4.62,3.96,0.12,3.46
