日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,000617,6.72,6.49,6.76,6.44,876250,592810632.28,4.76,-3.42,-0.23,0.69
2025-01-03,000617,6.52,6.35,6.54,6.34,771405,509050483.88,3.08,-2.16,-0.14,0.61
2025-01-06,000617,6.33,6.44,6.46,6.29,715675,469890187.6,2.68,1.42,0.09,0.57
2025-01-07,000617,6.44,6.51,6.51,6.36,516739,341416111.24,2.33,1.09,0.07,0.41
2025-01-08,000617,6.48,6.46,6.5,6.28,585192,381374667.06,3.38,-0.77,-0.05,0.46
2025-01-09,000617,6.41,6.42,6.49,6.4,323770,212433045.47,1.39,-0.62,-0.04,0.26
2025-01-10,000617,6.45,6.25,6.48,6.25,390351,252246822.29,3.58,-2.65,-0.17,0.31
2025-01-13,000617,6.24,6.33,6.36,6.19,483524,309563319.78,2.72,1.28,0.08,0.38
2025-01-14,000617,6.33,6.53,6.55,6.33,847651,558242276.31,3.48,3.16,0.2,0.67
2025-01-15,000617,6.49,6.49,6.56,6.43,771205,508714040.08,1.99,-0.61,-0.04,0.61
2025-01-16,000617,6.52,6.51,6.62,6.45,682089,453265940.2,2.62,0.31,0.02,0.54
2025-01-17,000617,6.46,6.49,6.54,6.45,417114,275577588.0,1.38,-0.31,-0.02,0.33
2025-01-20,000617,6.55,6.55,6.72,6.49,1015429,681632414.61,3.54,0.92,0.06,0.8
2025-01-21,000617,6.58,6.49,6.6,6.44,587759,387750746.98,2.44,-0.92,-0.06,0.46
2025-01-22,000617,6.45,6.4,6.49,6.36,489728,319286984.0,2.0,-1.39,-0.09,0.39
2025-01-23,000617,6.49,6.55,6.87,6.48,1643998,1117682943.52,6.09,2.34,0.15,1.3
2025-01-24,000617,6.5,6.58,6.61,6.49,879136,586458161.8,1.83,0.46,0.03,0.7
2025-01-27,000617,6.6,6.42,6.66,6.42,646669,427919190.41,3.65,-2.43,-0.16,0.51
2025-02-05,000617,6.47,6.39,6.48,6.36,521811,340201074.28,1.87,-0.47,-0.03,0.41
2025-02-06,000617,6.38,6.52,6.52,6.33,706765,462920381.09,2.97,2.03,0.13,0.56
2025-02-07,000617,6.5,6.64,6.81,6.48,1317608,889352146.24,5.06,1.84,0.12,1.04
2025-02-10,000617,6.65,6.73,6.77,6.64,854913,583485296.32,1.96,1.36,0.09,0.68
2025-02-11,000617,6.72,6.66,6.73,6.6,593080,400596683.88,1.93,-1.04,-0.07,0.47
2025-02-12,000617,6.64,6.78,6.78,6.63,716796,487934072.36,2.25,1.8,0.12,0.57
2025-02-13,000617,6.77,6.69,6.78,6.68,751029,513182305.13,1.47,-1.33,-0.09,0.59
2025-02-14,000617,6.67,6.66,6.73,6.59,593472,400386376.96,2.09,-0.45,-0.03,0.47
2025-02-17,000617,6.7,6.7,6.76,6.63,867189,590902984.76,1.95,0.6,0.04,0.69
2025-02-18,000617,6.67,6.45,6.69,6.44,835549,557213258.3,3.73,-3.73,-0.25,0.66
