日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,000631,2.95,2.9,3.01,2.87,165816,48843801.4,4.76,-1.36,-0.04,0.69
2025-01-03,000631,2.9,2.79,2.91,2.78,164752,46626008.0,4.48,-3.79,-0.11,0.69
2025-01-06,000631,2.79,2.77,2.82,2.7,109813,30317058.0,4.3,-0.72,-0.02,0.46
2025-01-07,000631,2.8,2.81,2.85,2.75,98049,27487710.94,3.61,1.44,0.04,0.41
2025-01-08,000631,2.82,2.82,2.84,2.74,114013,31905123.0,3.56,0.36,0.01,0.48
2025-01-09,000631,2.81,2.83,2.89,2.78,107145,30472108.9,3.9,0.35,0.01,0.45
2025-01-10,000631,2.82,2.76,2.87,2.74,138069,38688235.78,4.59,-2.47,-0.07,0.58
2025-01-13,000631,3.04,3.04,3.04,3.04,45315,13775905.92,0.0,10.14,0.28,0.19
2025-01-14,000631,3.34,3.34,3.34,3.15,605197,196962137.04,6.25,9.87,0.3,2.53
2025-01-15,000631,3.31,3.22,3.5,3.21,792711,263443227.31,8.68,-3.59,-0.12,3.31
2025-01-16,000631,3.19,3.19,3.33,3.15,461823,148604582.82,5.59,-0.93,-0.03,1.93
2025-01-17,000631,3.16,3.11,3.18,3.07,308450,96313213.24,3.45,-2.51,-0.08,1.29
2025-01-20,000631,3.11,3.23,3.39,3.03,487097,156228195.5,11.58,3.86,0.12,2.03
2025-01-21,000631,3.25,3.17,3.27,3.14,343176,109599572.88,4.02,-1.86,-0.06,1.43
2025-01-22,000631,3.13,3.01,3.15,3.01,266005,81416234.04,4.42,-5.05,-0.16,1.11
2025-01-23,000631,3.06,2.99,3.19,2.97,277486,84759949.35,7.31,-0.66,-0.02,1.16
2025-01-24,000631,2.96,2.94,2.99,2.9,193095,56776186.14,3.01,-1.67,-0.05,0.81
2025-01-27,000631,2.96,2.94,3.05,2.94,154872,46290468.84,3.74,0.0,0.0,0.65
2025-02-05,000631,2.97,2.98,2.99,2.93,111740,33124606.0,2.04,1.36,0.04,0.47
2025-02-06,000631,2.97,3.03,3.05,2.95,148145,44411322.0,3.36,1.68,0.05,0.62
2025-02-07,000631,3.03,3.04,3.1,3.02,222073,68006748.01,2.64,0.33,0.01,0.93
