日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,000695,10.31,10.2,10.55,10.12,38281,39614654.77,4.15,-1.45,-0.15,1.73
2025-01-03,000695,10.21,9.65,10.25,9.6,51906,51144608.0,6.37,-5.39,-0.55,2.34
2025-01-06,000695,9.59,9.63,9.79,9.08,40295,38392205.0,7.36,-0.21,-0.02,1.82
2025-01-07,000695,9.61,9.76,9.76,9.57,32395,31340180.0,1.97,1.35,0.13,1.46
2025-01-08,000695,9.78,9.74,9.86,9.38,41145,39735292.75,4.92,-0.2,-0.02,1.86
2025-01-09,000695,9.75,9.78,9.82,9.6,23401,22829296.0,2.26,0.41,0.04,1.06
2025-01-10,000695,9.78,9.45,9.81,9.45,33415,32161391.0,3.68,-3.37,-0.33,1.51
2025-01-13,000695,9.28,9.6,9.65,9.24,26206,24806895.64,4.34,1.59,0.15,1.18
2025-01-14,000695,9.65,10.11,10.12,9.65,49603,49140897.0,4.9,5.31,0.51,2.24
2025-01-15,000695,10.11,10.01,10.15,9.93,28346,28443031.0,2.18,-0.99,-0.1,1.28
2025-01-16,000695,10.08,10.02,10.2,9.99,28489,28785102.0,2.1,0.1,0.01,1.28
2025-01-17,000695,10.09,9.91,10.09,9.88,26656,26587747.0,2.1,-1.1,-0.11,1.2
2025-01-20,000695,9.83,9.95,10.03,9.7,30599,30221394.25,3.33,0.4,0.04,1.38
2025-01-21,000695,10.0,9.59,10.02,9.51,40745,39317480.0,5.13,-3.62,-0.36,1.84
2025-01-22,000695,9.59,9.41,9.59,9.28,37038,34738392.0,3.23,-1.88,-0.18,1.67
2025-01-23,000695,9.49,9.23,9.56,9.2,34038,31985629.2,3.83,-1.91,-0.18,1.54
2025-01-24,000695,9.24,9.23,9.3,9.12,33542,30877272.0,1.95,0.0,0.0,1.51
2025-01-27,000695,9.29,9.16,9.47,9.16,24407,22766509.1,3.36,-0.76,-0.07,1.1
2025-02-05,000695,9.22,9.4,9.42,9.16,26453,24722015.44,2.84,2.62,0.24,1.19
2025-02-06,000695,9.45,9.58,9.58,9.23,31171,29447086.29,3.72,1.91,0.18,1.41
2025-02-07,000695,9.58,9.6,9.76,9.48,41478,39963115.0,2.92,0.21,0.02,1.87
2025-02-10,000695,9.61,9.8,9.82,9.6,36568,35590498.6,2.29,2.08,0.2,1.65
2025-02-11,000695,9.85,9.73,9.88,9.64,29807,28942038.8,2.45,-0.71,-0.07,1.34
2025-02-12,000695,9.76,10.03,10.17,9.63,72567,71806363.0,5.55,3.08,0.3,3.27
2025-02-13,000695,10.04,9.88,10.08,9.82,55037,54600777.0,2.59,-1.5,-0.15,2.48
2025-02-14,000695,9.88,10.87,10.87,9.88,91963,96160845.6,10.02,10.02,0.99,4.15
2025-02-17,000695,11.0,10.65,11.17,10.55,211044,229080033.03,5.7,-2.02,-0.22,9.52
2025-02-18,000695,10.85,10.98,11.65,10.78,203073,225769306.93,8.17,3.1,0.33,9.16
2025-02-19,000695,10.63,10.9,10.93,10.4,117757,126190451.3,4.83,-0.73,-0.08,5.31
2025-02-20,000695,10.8,10.63,10.84,10.55,81326,86408536.8,2.66,-2.48,-0.27,3.67
2025-02-21,000695,10.45,11.69,11.69,10.43,150647,167096775.85,11.85,9.97,1.06,6.79
2025-02-24,000695,11.65,11.4,12.05,11.4,192363,224197269.08,5.56,-2.48,-0.29,8.68
2025-02-25,000695,11.28,11.36,11.69,11.22,103349,118027555.3,4.12,-0.35,-0.04,4.66
2025-02-26,000695,11.36,11.86,11.9,11.32,148478,173731798.32,5.11,4.4,0.5,6.7
2025-02-27,000695,11.75,11.77,12.3,11.61,163767,195506112.05,5.82,-0.76,-0.09,7.39
2025-02-28,000695,11.7,11.12,12.25,10.9,130441,152843167.9,11.47,-5.52,-0.65,5.88
2025-03-03,000695,11.33,12.23,12.23,11.33,139905,167800113.31,8.09,9.98,1.11,6.31
2025-03-04,000695,11.99,11.79,11.99,11.45,190611,222380059.98,4.42,-3.6,-0.44,8.6
2025-03-05,000695,11.6,11.58,11.7,11.31,99125,113721963.0,3.31,-1.78,-0.21,4.47
2025-03-06,000695,11.54,11.61,11.8,11.36,112379,130400971.5,3.8,0.26,0.03,5.07
2025-03-07,000695,11.95,11.44,12.23,11.4,139357,164945884.0,7.15,-1.46,-0.17,6.29
2025-03-10,000695,11.19,11.55,11.65,11.19,93355,106942153.57,4.02,0.96,0.11,4.21
2025-03-11,000695,11.5,11.3,11.5,11.12,72746,82040570.0,3.29,-2.16,-0.25,3.28
2025-03-12,000695,11.23,11.16,11.35,11.15,55552,62449793.76,1.77,-1.24,-0.14,2.51
2025-03-13,000695,11.16,10.8,11.16,10.66,110100,119277346.29,4.48,-3.23,-0.36,4.97
2025-03-14,000695,10.73,10.82,10.99,10.67,65457,70644858.0,2.96,0.19,0.02,2.95
2025-03-17,000695,10.77,10.8,10.95,10.63,56934,61554598.14,2.96,-0.18,-0.02,2.57
2025-03-18,000695,10.83,10.9,11.07,10.82,77992,85288850.0,2.31,0.93,0.1,3.52
2025-03-19,000695,10.9,10.8,10.96,10.76,44000,47545273.77,1.83,-0.92,-0.1,1.98
2025-03-20,000695,10.8,10.68,10.86,10.62,46575,50084629.0,2.22,-1.11,-0.12,2.1
2025-03-21,000695,10.65,10.46,10.65,10.44,46561,49026905.67,1.97,-2.06,-0.22,2.1
2025-03-24,000695,10.43,10.01,10.5,9.8,64872,65296056.68,6.69,-4.3,-0.45,2.93
2025-03-25,000695,9.98,10.19,10.3,9.96,47575,48115349.76,3.4,1.8,0.18,2.15
2025-03-26,000695,10.12,10.09,10.26,10.08,30818,31269317.34,1.77,-0.98,-0.1,1.39
2025-03-27,000695,10.0,10.02,10.09,9.9,31715,31681823.0,1.88,-0.69,-0.07,1.43
2025-03-28,000695,10.0,9.8,10.03,9.79,35040,34573365.27,2.4,-2.2,-0.22,1.58
2025-03-31,000695,9.68,9.77,9.8,9.59,31043,30045230.0,2.14,-0.31,-0.03,1.4
2025-04-01,000695,9.77,9.94,10.02,9.77,23100,22935950.5,2.56,1.74,0.17,1.04
2025-04-02,000695,9.99,9.88,10.15,9.84,27598,27560207.0,3.12,-0.6,-0.06,1.24
2025-04-03,000695,9.71,9.98,9.98,9.71,24121,23786857.5,2.73,1.01,0.1,1.09
2025-04-07,000695,9.6,8.98,9.61,8.98,52348,47426581.0,6.31,-10.02,-1.0,2.36
2025-04-08,000695,8.93,8.73,9.14,8.46,50603,44283479.0,7.57,-2.78,-0.25,2.28
2025-04-09,000695,8.66,8.97,9.04,8.04,47738,41160808.0,11.45,2.75,0.24,2.15
2025-04-10,000695,9.15,9.21,9.29,9.08,37897,34913174.82,2.34,2.68,0.24,1.71
2025-04-11,000695,9.18,9.22,9.36,9.05,24833,23005353.96,3.37,0.11,0.01,1.12
2025-04-14,000695,9.37,9.63,9.86,9.37,52454,50534812.48,5.31,4.45,0.41,2.37
