日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,000702,6.59,6.66,6.85,6.52,82132,54984444.23,4.98,0.45,0.03,3.08
2025-01-03,000702,6.66,6.15,6.71,6.1,94662,59589441.24,9.16,-7.66,-0.51,3.55
2025-01-06,000702,6.2,6.77,6.77,5.88,134656,86384609.91,14.47,10.08,0.62,5.05
2025-01-07,000702,7.14,7.16,7.45,6.76,294981,209398116.95,10.19,5.76,0.39,11.06
2025-01-08,000702,7.14,7.01,7.23,6.79,171119,119606677.48,6.15,-2.09,-0.15,6.42
2025-01-09,000702,7.07,7.03,7.29,7.03,150796,107867302.24,3.71,0.29,0.02,5.66
2025-01-10,000702,7.11,7.49,7.73,7.05,254950,187507135.54,9.67,6.54,0.46,9.56
2025-01-13,000702,6.94,6.83,7.11,6.78,161976,112418808.89,4.41,-8.81,-0.66,6.07
2025-01-14,000702,6.91,7.17,7.36,6.91,159165,113196262.24,6.59,4.98,0.34,5.97
2025-01-15,000702,7.18,7.3,7.44,7.04,170773,123745845.28,5.58,1.81,0.13,6.4
2025-01-16,000702,7.25,7.15,7.36,7.11,126594,91518330.58,3.42,-2.05,-0.15,4.75
2025-01-17,000702,7.11,7.16,7.26,6.96,99528,70605749.62,4.2,0.14,0.01,3.73
2025-01-20,000702,7.1,7.13,7.23,7.04,69576,49711152.29,2.65,-0.42,-0.03,2.61
2025-01-21,000702,7.16,6.96,7.18,6.85,86104,59771512.0,4.63,-2.38,-0.17,3.23
2025-01-22,000702,6.9,6.71,6.95,6.69,65863,44423020.52,3.74,-3.59,-0.25,2.47
2025-01-23,000702,6.8,6.77,7.01,6.76,87481,60351293.66,3.73,0.89,0.06,3.28
2025-01-24,000702,6.76,6.79,6.86,6.65,60198,40747836.72,3.1,0.3,0.02,2.26
2025-01-27,000702,6.81,7.06,7.31,6.81,128869,92117066.26,7.36,3.98,0.27,4.83
2025-02-05,000702,6.96,7.05,7.17,6.96,79375,55992088.5,2.97,-0.14,-0.01,2.98
2025-02-06,000702,7.04,7.18,7.25,6.96,110631,78459693.74,4.11,1.84,0.13,4.15
2025-02-07,000702,7.12,7.17,7.3,7.08,100780,72592678.14,3.06,-0.14,-0.01,3.78
2025-02-10,000702,7.17,7.26,7.34,7.17,97755,70856399.9,2.37,1.26,0.09,3.67
2025-02-11,000702,7.26,7.05,7.29,7.0,104883,74120593.5,3.99,-2.89,-0.21,3.93
2025-02-12,000702,7.1,7.26,7.45,7.09,150432,108558209.04,5.11,2.98,0.21,5.64
2025-02-13,000702,7.42,7.99,7.99,7.36,102767,81056575.0,8.68,10.06,0.73,3.85
2025-02-14,000702,8.15,8.5,8.51,8.1,480269,397744225.42,5.13,6.38,0.51,18.01
2025-02-17,000702,8.1,8.25,8.34,7.7,329366,263247885.96,7.53,-2.94,-0.25,12.35
2025-02-18,000702,8.0,7.55,8.08,7.52,227099,175947559.89,6.79,-8.48,-0.7,8.52
2025-02-19,000702,7.54,7.71,7.78,7.46,185997,141875127.47,4.24,2.12,0.16,6.98
2025-02-20,000702,7.68,7.55,7.68,7.49,140207,105871069.1,2.46,-2.08,-0.16,5.26
2025-02-21,000702,7.53,7.61,7.73,7.47,145901,110815530.24,3.44,0.79,0.06,5.47
2025-02-24,000702,7.78,7.64,7.91,7.54,189255,146480414.89,4.86,0.39,0.03,7.1
2025-02-25,000702,7.49,7.41,7.58,7.31,137230,101543483.49,3.53,-3.01,-0.23,5.15
2025-02-26,000702,7.35,7.46,7.47,7.22,138347,101556532.56,3.37,0.67,0.05,5.19
2025-02-27,000702,7.46,7.29,7.46,7.15,109946,80180381.52,4.16,-2.28,-0.17,4.12
2025-02-28,000702,7.32,7.06,7.36,7.0,105619,76027791.0,4.94,-3.16,-0.23,3.96
2025-03-03,000702,7.0,7.07,7.23,7.0,95025,67719669.9,3.26,0.14,0.01,3.56
2025-03-04,000702,7.03,7.21,7.22,7.03,81650,58172050.0,2.69,1.98,0.14,3.06
2025-03-05,000702,7.24,7.09,7.28,7.02,89023,63093130.0,3.61,-1.66,-0.12,3.34
2025-03-06,000702,7.09,7.17,7.28,7.01,116106,82931338.6,3.81,1.13,0.08,4.35
2025-03-07,000702,7.17,7.48,7.76,7.17,225852,169619867.83,8.23,4.32,0.31,8.47
2025-03-10,000702,7.6,7.34,7.67,7.28,187532,140234591.74,5.21,-1.87,-0.14,7.03
2025-03-11,000702,7.15,7.45,7.56,7.15,169353,124410122.66,5.59,1.5,0.11,6.35
2025-03-12,000702,7.45,7.27,7.46,7.23,137358,99901303.0,3.09,-2.42,-0.18,5.15
2025-03-13,000702,7.24,7.1,7.29,7.08,90366,64667331.0,2.89,-2.34,-0.17,3.39
2025-03-14,000702,7.12,7.2,7.22,7.03,85520,60983587.04,2.68,1.41,0.1,3.21
2025-03-17,000702,7.19,7.23,7.32,7.19,91266,66204737.34,1.81,0.42,0.03,3.42
2025-03-18,000702,7.22,7.26,7.28,7.12,94481,67978308.1,2.21,0.41,0.03,3.54
2025-03-19,000702,7.24,7.22,7.35,7.18,72518,52719419.0,2.34,-0.55,-0.04,2.72
2025-03-20,000702,7.21,7.29,7.4,7.2,109591,80160341.0,2.77,0.97,0.07,4.11
2025-03-21,000702,7.3,7.04,7.3,7.02,111102,79066677.26,3.84,-3.43,-0.25,4.17
2025-03-24,000702,7.03,6.83,7.14,6.7,102477,70476505.68,6.25,-2.98,-0.21,3.84
2025-03-25,000702,6.82,6.89,6.93,6.68,68017,46241231.0,3.66,0.88,0.06,2.55
2025-03-26,000702,6.82,7.06,7.15,6.81,90338,63642247.0,4.93,2.47,0.17,3.39
2025-03-27,000702,7.07,6.96,7.16,6.94,61935,43506978.0,3.12,-1.42,-0.1,2.32
2025-03-28,000702,6.94,6.81,6.99,6.8,56291,38631597.6,2.73,-2.16,-0.15,2.11
2025-03-31,000702,6.7,6.7,6.8,6.57,49650,33054437.0,3.38,-1.62,-0.11,1.86
2025-04-01,000702,6.69,6.74,6.86,6.69,42732,29002552.12,2.54,0.6,0.04,1.6
2025-04-02,000702,6.74,6.73,6.81,6.7,35381,23839392.0,1.63,-0.15,-0.01,1.33
2025-04-03,000702,6.69,6.83,7.33,6.6,130554,90846668.07,10.85,1.49,0.1,4.9
2025-04-07,000702,6.48,6.15,6.8,6.15,157976,101950588.92,9.52,-9.96,-0.68,5.92
2025-04-08,000702,6.14,6.62,6.62,6.12,167072,107019504.0,8.13,7.64,0.47,6.27
2025-04-09,000702,6.67,6.8,6.94,6.37,203984,136180245.0,8.61,2.72,0.18,7.65
2025-04-10,000702,6.61,6.89,7.03,6.61,182650,125957369.24,6.18,1.32,0.09,6.85
2025-04-11,000702,6.89,6.72,6.95,6.7,107122,72471981.0,3.63,-2.47,-0.17,4.02
2025-04-14,000702,6.81,6.96,6.97,6.76,97891,67247240.68,3.13,3.57,0.24,3.67
2025-04-15,000702,6.92,6.8,6.92,6.75,78057,53123596.0,2.44,-2.3,-0.16,2.93
2025-04-16,000702,6.75,6.58,6.77,6.48,81537,53876285.0,4.26,-3.24,-0.22,3.06
2025-04-17,000702,6.58,6.65,6.76,6.44,62802,41760022.0,4.86,1.06,0.07,2.36
2025-04-18,000702,6.6,6.43,6.65,6.39,77573,50231930.0,3.91,-3.31,-0.22,2.91
2025-04-21,000702,6.43,6.56,6.58,6.36,59712,38826731.3,3.42,2.02,0.13,2.24
2025-04-22,000702,6.56,6.54,6.61,6.43,53140,34620513.0,2.74,-0.3,-0.02,1.99
2025-04-23,000702,6.6,6.57,6.72,6.45,52972,34591579.0,4.13,0.46,0.03,1.99
2025-04-24,000702,6.56,6.46,6.7,6.45,63823,41822892.55,3.81,-1.67,-0.11,2.39
2025-04-25,000702,6.5,6.41,6.52,6.35,47402,30387362.0,2.63,-0.77,-0.05,1.78
2025-04-28,000702,6.39,6.27,6.5,6.26,67920,43178605.37,3.74,-2.18,-0.14,2.55
2025-04-29,000702,6.26,6.38,6.48,6.25,64120,41070373.0,3.67,1.75,0.11,2.4
2025-04-30,000702,6.38,6.42,6.55,6.37,54443,35078053.0,2.82,0.63,0.04,2.04
2025-05-06,000702,6.44,6.55,6.58,6.43,73380,47919774.4,2.34,2.02,0.13,2.75
2025-05-07,000702,6.64,6.66,6.79,6.59,89069,59365360.0,3.05,1.68,0.11,3.34
2025-05-08,000702,6.63,6.7,6.75,6.58,61678,41269864.69,2.55,0.6,0.04,2.31
2025-05-09,000702,6.71,6.74,6.95,6.65,103452,70128811.85,4.48,0.6,0.04,3.88
2025-05-12,000702,6.71,6.72,6.84,6.6,79901,53394297.35,3.56,-0.3,-0.02,3.0
2025-05-13,000702,6.74,6.67,6.87,6.67,65680,44334357.33,2.98,-0.74,-0.05,2.46
2025-05-14,000702,6.7,6.64,6.72,6.6,46836,31118814.67,1.8,-0.45,-0.03,1.76
2025-05-15,000702,6.63,6.7,6.78,6.58,69334,46453070.68,3.01,0.9,0.06,2.6
2025-05-16,000702,6.68,6.62,6.7,6.6,50425,33425793.0,1.49,-1.19,-0.08,1.89
2025-05-19,000702,7.1,7.28,7.28,6.86,230732,164004166.61,6.34,9.97,0.66,8.65
2025-05-20,000702,7.26,7.35,7.63,7.2,375442,277522254.29,5.91,0.96,0.07,14.08
2025-05-21,000702,7.3,7.39,7.63,7.22,276681,203752697.36,5.58,0.54,0.04,10.38
2025-05-22,000702,7.39,7.13,7.39,7.11,184644,132979656.0,3.79,-3.52,-0.26,6.92
2025-05-23,000702,7.17,7.06,7.28,7.04,137383,98539382.75,3.37,-0.98,-0.07,5.15
2025-05-26,000702,7.22,7.18,7.34,7.06,143521,102989535.1,3.97,1.7,0.12,5.38
2025-05-27,000702,7.16,7.12,7.25,7.06,83039,59111570.0,2.65,-0.84,-0.06,3.11
2025-05-28,000702,7.15,6.82,7.18,6.77,168177,115616423.73,5.76,-4.21,-0.3,6.31
2025-05-29,000702,6.81,6.89,6.98,6.73,106649,73593411.0,3.67,1.03,0.07,4.0
2025-05-30,000702,6.9,6.9,7.1,6.84,128588,89635988.0,3.77,0.15,0.01,4.82
2025-06-03,000702,6.72,6.94,7.01,6.71,99548,68884673.97,4.35,0.58,0.04,3.73
2025-06-04,000702,6.98,7.03,7.05,6.85,91302,63587586.0,2.88,1.3,0.09,3.42
2025-06-05,000702,7.01,6.87,7.02,6.8,80788,55541152.0,3.13,-2.28,-0.16,3.03
2025-06-06,000702,6.85,6.89,6.92,6.81,61955,42587762.0,1.6,0.29,0.02,2.32
2025-06-09,000702,6.92,7.03,7.07,6.9,89976,63015020.96,2.47,2.03,0.14,3.37
2025-06-10,000702,7.05,6.93,7.05,6.86,68199,47369939.01,2.7,-1.42,-0.1,2.56
2025-06-11,000702,7.0,7.62,7.62,6.94,241052,177957826.22,9.81,9.96,0.69,9.04
2025-06-12,000702,7.35,7.41,7.47,7.23,358754,263560301.82,3.15,-2.76,-0.21,13.45
2025-06-13,000702,7.33,7.14,7.41,7.14,182910,132733750.99,3.64,-3.64,-0.27,6.86
2025-06-16,000702,7.1,7.19,7.21,7.1,121939,87329180.12,1.54,0.7,0.05,4.57
2025-06-17,000702,7.19,7.37,7.66,7.16,256895,189756460.2,6.95,2.5,0.18,9.63
2025-06-18,000702,7.26,7.18,7.39,7.16,161543,116961620.8,3.12,-2.58,-0.19,6.06
2025-06-19,000702,7.2,7.09,7.38,7.01,167630,120769537.6,5.15,-1.25,-0.09,6.29
2025-06-20,000702,7.05,7.21,7.34,7.05,146133,105344276.2,4.09,1.69,0.12,5.48
2025-06-23,000702,7.08,7.18,7.21,6.98,100902,71890437.0,3.19,-0.42,-0.03,3.78
2025-06-24,000702,7.25,7.33,7.4,7.18,145860,106686450.1,3.06,2.09,0.15,5.47
2025-06-25,000702,7.33,7.32,7.4,7.25,120783,88332437.0,2.05,-0.14,-0.01,4.53
2025-06-26,000702,7.33,7.27,7.36,7.22,88801,64708347.72,1.91,-0.68,-0.05,3.33
2025-06-27,000702,7.26,7.3,7.44,7.21,100136,73050032.0,3.16,0.41,0.03,3.76
2025-06-30,000702,7.27,7.22,7.31,7.13,123182,88507689.49,2.47,-1.1,-0.08,4.62
2025-07-01,000702,7.21,7.25,7.28,7.19,107499,77762841.0,1.25,0.42,0.03,4.03
2025-07-02,000702,7.25,7.41,7.66,7.18,265464,196807682.82,6.62,2.21,0.16,9.96
2025-07-03,000702,7.5,7.7,7.98,7.49,368300,282621511.47,6.61,3.91,0.29,13.81
2025-07-04,000702,7.62,7.37,7.66,7.34,237892,176975090.28,4.16,-4.29,-0.33,8.92
2025-07-07,000702,7.39,7.4,7.43,7.26,124187,91438790.99,2.31,0.41,0.03,4.66
2025-07-08,000702,7.45,7.44,7.5,7.32,125740,92898275.8,2.43,0.54,0.04,4.72
2025-07-09,000702,7.44,7.52,7.65,7.38,180787,136193262.0,3.63,1.08,0.08,6.78
2025-07-10,000702,7.97,7.71,8.27,7.69,505615,403127578.27,7.71,2.53,0.19,18.96
2025-07-11,000702,7.66,8.48,8.48,7.65,725588,604245051.7,10.77,9.99,0.77,27.21
2025-07-14,000702,8.05,7.82,8.18,7.8,510044,403656883.56,4.48,-7.78,-0.66,19.13
2025-07-15,000702,7.8,7.49,7.8,7.35,330249,247490492.41,5.75,-4.22,-0.33,12.39
2025-07-16,000702,7.45,7.53,7.54,7.38,183879,137638855.7,2.14,0.53,0.04,6.9
2025-07-17,000702,7.5,7.57,7.58,7.46,152487,114932699.51,1.59,0.53,0.04,5.72
2025-07-18,000702,7.56,7.54,7.63,7.5,128736,97147849.41,1.72,-0.4,-0.03,4.83
2025-07-21,000702,7.52,7.76,7.8,7.5,242092,186493671.75,3.98,2.92,0.22,9.08
