日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,000703,6.21,5.96,6.28,5.91,237182,144667265.42,5.94,-4.33,-0.27,0.65
2025-01-03,000703,5.97,5.97,6.13,5.94,196552,119302098.0,3.19,0.17,0.01,0.54
2025-01-06,000703,5.94,6.23,6.24,5.9,248540,152655747.96,5.7,4.36,0.26,0.68
2025-01-07,000703,6.25,6.22,6.26,6.12,160219,100046976.15,2.25,-0.16,-0.01,0.44
2025-01-08,000703,6.2,6.04,6.2,5.98,178427,109413770.7,3.54,-2.89,-0.18,0.49
2025-01-09,000703,6.01,6.0,6.05,5.95,100249,60719841.36,1.66,-0.66,-0.04,0.27
2025-01-10,000703,6.01,5.88,6.04,5.87,153719,92187142.0,2.83,-2.0,-0.12,0.42
2025-01-13,000703,5.84,5.97,6.02,5.81,118936,71285813.8,3.57,1.53,0.09,0.33
2025-01-14,000703,5.97,6.16,6.29,5.93,359582,222271960.69,6.03,3.18,0.19,0.99
2025-01-15,000703,6.15,6.08,6.21,6.05,268948,165969453.86,2.6,-1.3,-0.08,0.74
2025-01-16,000703,6.09,6.07,6.19,6.06,229339,141348530.0,2.14,-0.16,-0.01,0.63
2025-01-17,000703,6.06,6.0,6.2,6.0,248557,152455855.0,3.29,-1.15,-0.07,0.68
2025-01-20,000703,6.04,6.0,6.05,5.93,257126,154861238.24,2.0,0.0,0.0,0.7
2025-01-21,000703,6.01,6.01,6.05,5.92,230063,139132425.34,2.17,0.17,0.01,0.63
2025-01-22,000703,5.97,5.97,6.05,5.91,276405,166444601.91,2.33,-0.67,-0.04,0.76
2025-01-23,000703,6.0,5.98,6.06,5.97,191128,115991691.84,1.51,0.17,0.01,0.52
2025-01-24,000703,5.98,6.08,6.09,5.92,195950,118825077.96,2.84,1.67,0.1,0.54
2025-01-27,000703,6.07,6.08,6.18,6.07,162169,100156851.62,1.81,0.0,0.0,0.44
2025-02-05,000703,6.12,6.02,6.13,5.99,105756,64288581.5,2.3,-0.99,-0.06,0.29
2025-02-06,000703,6.01,6.03,6.04,5.98,108605,65808181.43,1.0,0.17,0.01,0.3
2025-02-07,000703,6.11,6.27,6.29,6.08,317443,198434026.99,3.48,3.98,0.24,0.87
2025-02-10,000703,6.25,6.19,6.27,6.17,133729,83608104.86,1.59,-1.28,-0.08,0.37
2025-02-11,000703,6.2,6.17,6.21,6.12,101653,63019660.17,1.45,-0.32,-0.02,0.28
2025-02-12,000703,6.15,6.31,6.32,6.14,174966,110093992.2,2.92,2.27,0.14,0.48
2025-02-13,000703,6.31,6.23,6.36,6.22,180193,114283519.0,2.22,-1.27,-0.08,0.49
2025-02-14,000703,6.23,6.2,6.25,6.15,113645,70909086.88,1.61,-0.48,-0.03,0.31
2025-02-17,000703,6.2,6.13,6.2,6.1,139577,86334551.07,1.61,-1.13,-0.07,0.38
2025-02-18,000703,6.14,6.05,6.15,6.02,145152,89077232.43,2.12,-1.31,-0.08,0.4
2025-02-19,000703,6.04,6.08,6.1,5.99,204596,124617692.19,1.82,0.5,0.03,0.56
2025-02-20,000703,6.06,6.0,6.26,5.99,366544,224764516.02,4.44,-1.32,-0.08,1.0
2025-02-21,000703,6.02,5.99,6.05,5.98,163668,99064156.11,1.17,-0.17,-0.01,0.45
2025-02-24,000703,6.01,6.01,6.05,5.98,146141,88558586.79,1.17,0.33,0.02,0.4
2025-02-25,000703,5.99,5.98,6.02,5.95,94967,57323109.31,1.16,-0.5,-0.03,0.26
2025-02-26,000703,5.97,6.03,6.03,5.97,100454,60818318.98,1.0,0.84,0.05,0.28
2025-02-27,000703,6.02,6.16,6.2,6.0,411773,253011485.1,3.32,2.16,0.13,1.13
2025-02-28,000703,6.17,6.19,6.31,6.07,540433,338012817.49,3.9,0.49,0.03,1.48
2025-03-03,000703,6.17,6.05,6.34,6.02,435140,269603502.96,5.17,-2.26,-0.14,1.19
2025-03-04,000703,6.07,6.02,6.07,5.97,142018,86376716.7,1.65,-0.5,-0.03,0.39
2025-03-05,000703,6.03,6.0,6.04,5.97,104545,63210437.2,1.16,-0.33,-0.02,0.29
2025-03-06,000703,6.01,6.12,6.13,5.99,201242,122994633.63,2.33,2.0,0.12,0.55
2025-03-07,000703,6.08,6.12,6.18,6.06,157916,97387668.76,1.96,0.0,0.0,0.43
2025-03-10,000703,6.11,6.16,6.38,6.05,460437,287831332.25,5.39,0.65,0.04,1.26
2025-03-11,000703,6.1,6.14,6.18,6.03,280683,172694119.66,2.44,-0.32,-0.02,0.77
2025-03-12,000703,6.14,6.09,6.17,6.08,133464,82199410.76,1.47,-0.81,-0.05,0.37
2025-03-13,000703,6.07,6.06,6.1,6.02,109111,66547845.17,1.31,-0.49,-0.03,0.3
2025-03-14,000703,6.05,6.1,6.1,6.03,130005,79674722.94,1.16,0.66,0.04,0.36
2025-03-17,000703,6.11,6.09,6.12,6.08,105522,64895387.2,0.66,-0.16,-0.01,0.29
2025-03-18,000703,6.09,6.09,6.11,6.07,100235,61507057.52,0.66,0.0,0.0,0.27
2025-03-19,000703,6.08,6.04,6.09,6.02,128038,78008809.26,1.15,-0.82,-0.05,0.35
2025-03-20,000703,6.03,6.04,6.06,6.02,67381,41061423.89,0.66,0.0,0.0,0.18
2025-03-21,000703,6.04,6.01,6.08,5.98,127639,77549906.44,1.66,-0.5,-0.03,0.35
2025-03-24,000703,5.99,6.0,6.02,5.96,139111,83911278.82,1.0,-0.17,-0.01,0.38
2025-03-25,000703,6.0,6.07,6.07,5.99,125556,76454766.95,1.33,1.17,0.07,0.34
2025-03-26,000703,6.06,6.06,6.12,6.03,116457,71382997.09,1.48,-0.16,-0.01,0.32
2025-03-27,000703,6.07,6.09,6.12,6.03,100178,61459538.92,1.49,0.5,0.03,0.27
2025-03-28,000703,6.08,6.02,6.09,6.0,108030,65739994.31,1.48,-1.15,-0.07,0.3
2025-03-31,000703,6.0,5.98,6.03,5.91,173167,104122210.46,1.99,-0.66,-0.04,0.47
2025-04-01,000703,5.97,5.98,6.01,5.97,62655,37844173.68,0.67,0.0,0.0,0.17
2025-04-02,000703,5.96,5.97,6.0,5.96,66833,40299058.0,0.67,-0.17,-0.01,0.18
2025-04-03,000703,5.94,5.98,5.99,5.92,96052,57755216.56,1.17,0.17,0.01,0.26
2025-04-07,000703,5.76,5.7,5.8,5.4,385251,217415532.71,6.69,-4.68,-0.28,1.06
2025-04-08,000703,5.66,5.95,5.96,5.63,283708,166511559.51,5.79,4.39,0.25,0.78
2025-04-09,000703,5.87,5.83,5.87,5.78,138605,81445812.32,1.51,-2.02,-0.12,0.38
2025-04-10,000703,5.85,5.83,5.93,5.82,102990,60831151.4,1.89,0.0,0.0,0.28
2025-04-11,000703,5.78,5.83,5.86,5.78,64379,37880209.8,1.37,0.0,0.0,0.18
2025-04-14,000703,5.86,5.84,5.87,5.82,58869,34676208.84,0.86,0.17,0.01,0.16
2025-04-15,000703,5.83,5.84,5.86,5.81,55674,32760578.82,0.86,0.0,0.0,0.15
2025-04-16,000703,5.83,5.83,5.84,5.75,66700,39015904.88,1.54,-0.17,-0.01,0.18
2025-04-17,000703,5.81,5.82,5.87,5.8,43234,25479156.0,1.2,-0.17,-0.01,0.12
2025-04-18,000703,5.82,5.87,5.9,5.81,37746,22294584.0,1.55,0.86,0.05,0.1
2025-04-21,000703,5.87,5.85,5.89,5.84,35542,20998666.45,0.85,-0.34,-0.02,0.1
2025-04-22,000703,5.83,5.85,5.87,5.83,45863,27074064.8,0.68,0.0,0.0,0.13
2025-04-23,000703,5.86,5.81,5.88,5.8,55892,32920613.71,1.37,-0.68,-0.04,0.15
2025-04-24,000703,5.82,5.83,5.85,5.78,54948,32262756.33,1.2,0.34,0.02,0.15
2025-04-25,000703,5.84,5.85,5.9,5.83,57325,33943311.8,1.2,0.34,0.02,0.16
2025-04-28,000703,5.87,5.81,5.87,5.8,46287,27150682.44,1.2,-0.68,-0.04,0.13
2025-04-29,000703,5.79,6.05,6.06,5.78,232239,139723857.46,4.82,4.13,0.24,0.64
2025-04-30,000703,6.04,6.04,6.08,5.94,130527,79229687.05,2.31,-0.17,-0.01,0.36
2025-05-06,000703,6.05,6.02,6.06,5.97,77760,47103330.74,1.49,-0.33,-0.02,0.21
2025-05-07,000703,6.05,6.02,6.06,5.99,71530,43403758.01,1.16,0.0,0.0,0.2
2025-05-08,000703,6.02,5.99,6.04,5.99,62463,37846178.16,0.83,-0.5,-0.03,0.17
2025-05-09,000703,6.0,5.97,6.01,5.94,62971,37911362.02,1.17,-0.33,-0.02,0.17
2025-05-12,000703,6.01,5.98,6.02,5.97,51024,30838901.28,0.84,0.17,0.01,0.14
2025-05-13,000703,6.02,5.99,6.02,5.97,61102,36943163.42,0.84,0.17,0.01,0.17
2025-05-14,000703,6.01,6.04,6.05,5.99,97013,58979794.32,1.0,0.83,0.05,0.27
2025-05-15,000703,6.02,6.05,6.09,6.01,102817,62722064.12,1.32,0.17,0.01,0.28
2025-05-16,000703,6.06,5.97,6.07,5.97,77737,47014243.44,1.65,-1.32,-0.08,0.21
2025-05-19,000703,5.97,5.98,6.01,5.95,50040,30180277.29,1.01,0.17,0.01,0.14
2025-05-20,000703,6.01,5.99,6.02,5.96,48009,28957506.8,1.0,0.17,0.01,0.13
2025-05-21,000703,5.99,5.98,6.02,5.98,42509,25695551.43,0.67,-0.17,-0.01,0.12
2025-05-22,000703,5.98,5.94,5.98,5.93,53336,32003701.82,0.84,-0.67,-0.04,0.15
2025-05-23,000703,5.94,5.93,5.99,5.92,54179,32508918.11,1.18,-0.17,-0.01,0.15
2025-05-26,000703,5.93,5.98,6.01,5.89,119301,71640187.59,2.02,0.84,0.05,0.33
2025-05-27,000703,6.0,5.99,6.0,5.95,47411,28592045.31,0.84,0.17,0.01,0.13
2025-05-28,000703,5.99,6.02,6.08,5.98,110766,67352315.64,1.67,0.5,0.03,0.3
2025-05-29,000703,6.02,6.02,6.1,5.99,107665,65480190.73,1.83,0.0,0.0,0.3
2025-05-30,000703,6.0,5.96,6.02,5.96,76860,46363528.1,1.0,-1.0,-0.06,0.21
2025-06-03,000703,5.97,6.04,6.04,5.96,88581,53674889.0,1.34,1.34,0.08,0.24
2025-06-04,000703,6.04,6.03,6.06,6.02,55919,34049706.49,0.66,-0.17,-0.01,0.15
2025-06-05,000703,6.03,5.99,6.04,5.99,42550,25761266.6,0.83,-0.66,-0.04,0.12
2025-06-06,000703,6.0,6.01,6.04,6.0,39398,23917406.67,0.67,0.33,0.02,0.11
2025-06-09,000703,6.01,6.02,6.05,6.0,50291,30568729.0,0.83,0.17,0.01,0.14
2025-06-10,000703,6.04,5.99,6.05,5.97,63934,38749923.78,1.33,-0.5,-0.03,0.18
2025-06-11,000703,5.98,5.99,6.03,5.98,46768,28327881.66,0.83,0.0,0.0,0.13
2025-06-12,000703,6.0,6.01,6.02,5.97,54066,32679488.2,0.83,0.33,0.02,0.15
2025-06-13,000703,6.06,6.05,6.15,6.04,284546,174693137.11,1.83,0.67,0.04,0.78
2025-06-16,000703,6.11,5.99,6.13,5.99,129815,78945579.24,2.31,-0.99,-0.06,0.36
2025-06-17,000703,5.99,5.98,6.0,5.96,66692,40228539.69,0.67,-0.17,-0.01,0.18
2025-06-18,000703,5.99,5.97,6.03,5.96,58778,35447050.0,1.17,-0.17,-0.01,0.16
2025-06-19,000703,5.97,5.98,6.0,5.94,77987,46904148.28,1.01,0.17,0.01,0.21
2025-06-20,000703,5.98,5.98,6.0,5.95,74109,44358402.52,0.84,0.0,0.0,0.2
2025-06-23,000703,6.03,6.03,6.04,5.98,76179,45890608.8,1.0,0.84,0.05,0.21
2025-06-24,000703,6.02,6.0,6.04,5.98,86762,52146858.0,1.0,-0.5,-0.03,0.24
