日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,000721,9.94,10.73,10.9,9.89,968470,1021968272.33,10.14,7.73,0.77,22.14
2025-01-03,000721,10.74,9.71,10.74,9.66,734399,729552185.06,10.07,-9.51,-1.02,16.79
2025-01-06,000721,9.2,8.74,9.2,8.74,483992,430238940.54,4.74,-9.99,-0.97,11.06
2025-01-07,000721,8.58,8.88,8.97,8.5,351580,307139586.37,5.38,1.6,0.14,8.04
2025-01-08,000721,8.78,9.02,9.19,8.64,384141,344871309.9,6.19,1.58,0.14,8.78
2025-01-09,000721,8.92,9.1,9.19,8.81,333464,299957824.0,4.21,0.89,0.08,7.62
2025-01-10,000721,9.0,8.51,9.02,8.43,308604,269926282.96,6.48,-6.48,-0.59,7.05
2025-01-13,000721,8.43,8.67,8.78,8.0,285257,240639884.96,9.17,1.88,0.16,6.52
2025-01-14,000721,8.82,9.03,9.09,8.77,377130,337346986.8,3.69,4.15,0.36,8.62
2025-01-15,000721,8.98,9.04,9.41,8.95,393755,360908695.56,5.09,0.11,0.01,9.0
2025-01-16,000721,9.09,9.2,9.36,9.0,390056,359788802.86,3.98,1.77,0.16,8.92
2025-01-17,000721,9.15,9.03,9.29,8.98,246305,223923173.0,3.37,-1.85,-0.17,5.63
2025-01-20,000721,9.04,9.18,9.34,8.85,379526,345500180.14,5.43,1.66,0.15,8.67
2025-01-21,000721,9.1,9.02,9.22,8.92,236829,214167499.0,3.27,-1.74,-0.16,5.41
2025-01-22,000721,8.95,8.71,8.95,8.68,242564,213156235.13,2.99,-3.44,-0.31,5.54
2025-01-23,000721,8.8,8.57,8.89,8.56,232927,203443283.0,3.79,-1.61,-0.14,5.32
2025-01-24,000721,8.62,8.61,8.68,8.46,220826,189005862.33,2.57,0.47,0.04,5.05
2025-01-27,000721,8.66,8.39,8.74,8.38,162202,138206000.01,4.18,-2.56,-0.22,3.17
2025-02-05,000721,8.39,8.38,8.49,8.3,175407,146728224.02,2.26,-0.12,-0.01,3.42
2025-02-06,000721,8.39,8.51,8.51,8.21,245157,205486922.41,3.58,1.55,0.13,4.78
