日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,000733,41.85,39.67,41.86,39.32,108223,439339629.52,6.05,-5.53,-2.32,1.95
2025-01-03,000733,40.03,38.71,40.1,38.55,74578,294118939.55,3.91,-2.42,-0.96,1.35
2025-01-06,000733,38.62,38.56,38.97,38.25,52579,203950750.48,1.86,-0.39,-0.15,0.95
2025-01-07,000733,38.56,39.1,39.18,38.37,52404,204144739.35,2.1,1.4,0.54,0.95
2025-01-08,000733,38.83,38.13,39.11,37.13,101866,389130113.76,5.06,-2.48,-0.97,1.84
2025-01-09,000733,38.0,38.42,38.83,37.74,77931,300271420.0,2.86,0.76,0.29,1.41
2025-01-10,000733,38.31,37.93,39.27,37.93,84554,327574076.46,3.49,-1.28,-0.49,1.53
2025-01-13,000733,37.52,38.08,38.42,37.44,53196,202833281.92,2.58,0.4,0.15,0.96
2025-01-14,000733,38.02,39.37,39.59,37.75,81746,318808563.29,4.83,3.39,1.29,1.48
2025-01-15,000733,39.3,38.93,39.42,38.73,60682,237521479.29,1.75,-1.12,-0.44,1.1
2025-01-16,000733,39.12,38.9,39.69,38.54,55417,217310484.0,2.95,-0.08,-0.03,1.0
2025-01-17,000733,38.65,40.81,41.17,38.62,130977,528993785.55,6.56,4.91,1.91,2.37
2025-01-20,000733,40.88,41.41,41.78,40.67,94186,391601374.29,2.72,1.47,0.6,1.7
2025-01-21,000733,41.44,41.54,41.78,40.96,59754,248051373.34,1.98,0.31,0.13,1.08
2025-01-22,000733,41.42,40.76,41.44,40.44,71060,291172324.99,2.41,-1.88,-0.78,1.28
2025-01-23,000733,41.22,40.59,41.61,40.55,58504,241532060.81,2.6,-0.42,-0.17,1.06
2025-01-24,000733,40.57,40.69,40.89,40.39,67139,274107619.77,1.23,0.25,0.1,1.21
2025-01-27,000733,41.09,40.86,42.7,40.85,84995,354505268.58,4.55,0.42,0.17,1.53
2025-02-05,000733,41.31,41.26,41.6,40.98,69270,287321905.87,1.52,0.98,0.4,1.25
2025-02-06,000733,41.11,41.89,42.02,40.61,96028,401369047.34,3.42,1.53,0.63,1.73
2025-02-07,000733,41.82,41.97,42.48,41.52,109024,459890490.35,2.29,0.19,0.08,1.97
2025-02-10,000733,41.86,42.42,42.67,41.72,91024,386625049.41,2.26,1.07,0.45,1.64
2025-02-11,000733,42.42,41.91,42.42,41.43,88401,370564605.03,2.33,-1.2,-0.51,1.6
2025-02-12,000733,41.82,42.31,42.32,41.44,83651,351974768.05,2.1,0.95,0.4,1.51
2025-02-13,000733,42.2,41.86,43.12,41.86,84252,357952014.07,2.98,-1.06,-0.45,1.52
2025-02-14,000733,41.86,42.08,42.17,41.69,58452,246231472.5,1.15,0.53,0.22,1.06
