日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,000789,4.88,4.75,4.92,4.72,74431,37064396.63,4.11,-2.46,-0.12,0.93
2025-01-03,000789,4.78,4.67,4.79,4.65,66770,32436684.15,2.95,-1.68,-0.08,0.84
2025-01-06,000789,4.7,4.66,4.73,4.56,48781,23423848.66,3.64,-0.21,-0.01,0.61
2025-01-07,000789,4.66,4.66,4.72,4.58,43286,20683941.49,3.0,0.0,0.0,0.54
2025-01-08,000789,4.63,4.65,4.68,4.55,48543,23124355.0,2.79,-0.21,-0.01,0.61
2025-01-09,000789,4.64,4.61,4.66,4.59,41990,19991608.94,1.51,-0.86,-0.04,0.53
2025-01-10,000789,4.6,4.77,4.77,4.59,94836,45756329.23,3.9,3.47,0.16,1.19
2025-01-13,000789,4.77,4.93,4.93,4.68,135916,67814436.13,5.24,3.35,0.16,1.7
2025-01-14,000789,4.92,4.98,5.0,4.81,143482,72495291.74,3.85,1.01,0.05,1.8
2025-01-15,000789,4.95,4.87,4.95,4.86,60233,30286130.63,1.81,-2.21,-0.11,0.76
2025-01-16,000789,4.87,4.9,4.92,4.83,54196,27240102.92,1.85,0.62,0.03,0.68
2025-01-17,000789,4.86,4.86,4.89,4.84,36605,18343225.6,1.02,-0.82,-0.04,0.46
2025-01-20,000789,4.96,4.92,5.04,4.9,74394,37934693.0,2.88,1.23,0.06,0.93
2025-01-21,000789,4.95,4.89,4.95,4.86,46159,23270143.64,1.83,-0.61,-0.03,0.58
2025-01-22,000789,4.9,4.82,4.9,4.81,42002,20905014.8,1.84,-1.43,-0.07,0.53
2025-01-23,000789,4.85,4.84,4.91,4.83,43310,21711019.06,1.66,0.41,0.02,0.54
2025-01-24,000789,4.83,4.84,4.86,4.79,36344,18038912.64,1.45,0.0,0.0,0.46
2025-01-27,000789,4.84,4.93,4.98,4.84,84474,42955696.0,2.89,1.86,0.09,1.06
2025-02-05,000789,4.93,4.83,4.95,4.81,65650,32809833.7,2.84,-2.03,-0.1,0.82
2025-02-06,000789,4.82,4.83,4.85,4.79,49685,24643534.54,1.24,0.0,0.0,0.62
2025-02-07,000789,4.86,4.89,4.92,4.84,78678,39577565.75,1.66,1.24,0.06,0.99
2025-02-10,000789,4.88,4.95,4.95,4.88,70344,35590980.58,1.43,1.23,0.06,0.88
2025-02-11,000789,4.96,4.94,4.97,4.88,53243,26910525.05,1.82,-0.2,-0.01,0.67
2025-02-12,000789,4.95,4.98,5.02,4.93,64383,32886971.4,1.82,0.81,0.04,0.81
2025-02-13,000789,4.97,4.99,5.04,4.95,76954,39633114.14,1.81,0.2,0.01,0.97
2025-02-14,000789,4.99,4.94,5.02,4.92,73096,37211908.6,2.0,-1.0,-0.05,0.92
2025-02-17,000789,4.96,4.94,4.96,4.88,50161,25366324.5,1.62,0.0,0.0,0.63
2025-02-18,000789,4.93,4.88,4.95,4.86,57243,28880101.78,1.82,-1.21,-0.06,0.72
2025-02-19,000789,4.86,4.88,4.89,4.86,38485,19296794.0,0.61,0.0,0.0,0.48
2025-02-20,000789,4.89,4.9,4.92,4.86,58098,29208759.8,1.23,0.41,0.02,0.73
2025-02-21,000789,4.89,4.88,4.91,4.85,57827,28984551.45,1.22,-0.41,-0.02,0.73
2025-02-24,000789,4.89,4.95,5.0,4.87,86332,43922586.63,2.66,1.43,0.07,1.08
2025-02-25,000789,4.95,4.84,4.95,4.82,111300,55770754.07,2.63,-2.22,-0.11,1.4
2025-02-26,000789,4.82,4.94,4.96,4.82,77918,39450851.05,2.89,2.07,0.1,0.98
2025-02-27,000789,4.94,4.94,4.97,4.87,50537,25550345.5,2.02,0.0,0.0,0.63
2025-02-28,000789,4.93,4.9,4.99,4.88,74959,37975719.48,2.23,-0.81,-0.04,0.94
2025-03-03,000789,4.9,4.9,4.96,4.88,52510,26575148.81,1.63,0.0,0.0,0.66
2025-03-04,000789,4.9,4.91,4.91,4.87,44955,22600972.3,0.82,0.2,0.01,0.56
2025-03-05,000789,4.92,4.91,4.94,4.87,53518,26962924.6,1.43,0.0,0.0,0.67
2025-03-06,000789,4.91,4.97,4.98,4.88,87315,44320154.12,2.04,1.22,0.06,1.1
2025-03-07,000789,4.98,5.02,5.08,4.96,79241,40919658.36,2.41,1.01,0.05,0.99
2025-03-10,000789,5.04,5.08,5.12,5.01,72205,37618800.43,2.19,1.2,0.06,0.91
2025-03-11,000789,5.05,5.08,5.08,5.01,67610,35067808.36,1.38,0.0,0.0,0.85
2025-03-12,000789,5.09,5.02,5.09,5.0,64386,33257188.97,1.77,-1.18,-0.06,0.81
2025-03-13,000789,5.02,5.05,5.06,5.0,56105,28990244.05,1.2,0.6,0.03,0.7
2025-03-14,000789,5.04,5.12,5.12,5.03,72015,37639971.5,1.78,1.39,0.07,0.9
2025-03-17,000789,5.12,5.16,5.19,5.12,62444,33106808.32,1.37,0.78,0.04,0.78
2025-03-18,000789,5.16,5.19,5.22,5.12,55322,29359164.6,1.94,0.58,0.03,0.69
2025-03-19,000789,5.19,5.16,5.25,5.14,56758,30210134.99,2.12,-0.58,-0.03,0.71
2025-03-20,000789,5.18,5.18,5.22,5.16,53392,28464227.76,1.16,0.39,0.02,0.67
2025-03-21,000789,5.16,5.19,5.23,5.14,51998,27676893.2,1.74,0.19,0.01,0.65
2025-03-24,000789,5.17,5.06,5.19,4.99,74034,38614066.6,3.85,-2.5,-0.13,0.93
2025-03-25,000789,5.06,5.14,5.17,5.03,62323,32700261.4,2.77,1.58,0.08,0.78
2025-03-26,000789,5.11,5.22,5.23,5.11,69870,37295567.25,2.33,1.56,0.08,0.88
2025-03-27,000789,5.19,5.22,5.26,5.17,57054,30554666.6,1.72,0.0,0.0,0.72
2025-03-28,000789,5.22,5.19,5.25,5.1,64650,34324776.4,2.87,-0.57,-0.03,0.81
2025-03-31,000789,5.18,5.08,5.21,5.07,49451,26051257.88,2.7,-2.12,-0.11,0.62
2025-04-01,000789,5.12,5.22,5.23,5.08,68029,36281859.9,2.95,2.76,0.14,0.85
2025-04-02,000789,5.19,5.23,5.25,5.16,64121,34289557.85,1.72,0.19,0.01,0.8
2025-04-03,000789,5.19,5.26,5.3,5.19,85435,46184117.0,2.1,0.57,0.03,1.07
2025-04-07,000789,5.06,4.72,5.12,4.72,114069,57151681.38,7.6,-10.27,-0.54,1.43
2025-04-08,000789,4.74,4.78,4.82,4.68,106703,52262556.4,2.97,1.27,0.06,1.34
2025-04-09,000789,4.76,4.89,4.9,4.54,107023,52139437.29,7.53,2.3,0.11,1.34
2025-04-10,000789,4.92,4.9,4.95,4.87,74386,37560118.3,1.64,0.2,0.01,0.93
2025-04-11,000789,4.86,4.8,4.9,4.79,72191,35852796.77,2.24,-2.04,-0.1,0.91
2025-04-14,000789,4.83,4.86,4.87,4.81,52774,26312026.5,1.25,1.25,0.06,0.66
2025-04-15,000789,4.85,4.88,4.89,4.83,36096,18053235.0,1.23,0.41,0.02,0.45
2025-04-16,000789,4.86,4.84,4.89,4.77,47249,23430380.8,2.46,-0.82,-0.04,0.59
2025-04-17,000789,4.83,4.89,4.94,4.78,70798,35710103.19,3.31,1.03,0.05,0.89
2025-04-18,000789,4.9,4.91,4.93,4.87,41303,20803587.39,1.23,0.41,0.02,0.52
2025-04-21,000789,4.89,4.87,4.94,4.84,62005,31059719.1,2.04,-0.81,-0.04,0.78
2025-04-22,000789,4.86,4.96,4.98,4.86,77793,39440726.1,2.46,1.85,0.09,0.98
2025-04-23,000789,5.0,4.96,5.04,4.95,53784,27575604.56,1.81,0.0,0.0,0.67
2025-04-24,000789,5.0,4.97,5.01,4.91,39496,20185214.2,2.02,0.2,0.01,0.5
2025-04-25,000789,4.96,5.05,5.08,4.96,62953,32605175.3,2.41,1.61,0.08,0.79
2025-04-28,000789,5.05,4.99,5.07,4.98,47827,24622856.94,1.78,-1.19,-0.06,0.6
2025-04-29,000789,5.02,5.14,5.16,5.02,93399,49168881.62,2.81,3.01,0.15,1.17
2025-04-30,000789,5.12,4.99,5.23,4.98,82636,42947701.36,4.86,-2.92,-0.15,1.04
2025-05-06,000789,5.01,5.11,5.12,4.99,78499,40907032.27,2.61,2.4,0.12,0.98
2025-05-07,000789,5.16,5.4,5.48,5.12,222777,121805169.98,7.05,5.68,0.29,2.79
2025-05-08,000789,5.45,5.3,5.46,5.24,126791,69186866.35,4.07,-1.85,-0.1,1.59
2025-05-09,000789,5.31,5.36,5.45,5.25,99085,54376159.0,3.77,1.13,0.06,1.24
2025-05-12,000789,5.41,5.31,5.44,5.27,62630,34164172.3,3.17,-0.93,-0.05,0.79
2025-05-13,000789,5.34,5.29,5.36,5.27,54702,29776127.92,1.69,-0.38,-0.02,0.69
2025-05-14,000789,5.27,5.31,5.31,5.23,59301,32089822.6,1.51,0.38,0.02,0.74
2025-05-15,000789,5.32,5.31,5.41,5.25,67544,36833706.75,3.01,0.0,0.0,0.85
