日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,000823,10.19,9.68,10.28,9.54,309525,311506565.88,7.31,-4.35,-0.44,5.76
2025-01-03,000823,9.71,9.09,9.77,9.04,268025,257329405.33,7.54,-6.1,-0.59,4.99
2025-01-06,000823,9.05,9.11,9.36,8.76,184329,171743074.84,6.6,0.22,0.02,3.43
2025-01-07,000823,9.04,9.55,9.55,9.04,238730,229048942.28,5.6,4.83,0.44,4.45
2025-01-08,000823,9.45,9.33,9.46,8.95,225113,212491689.54,5.34,-2.3,-0.22,4.19
2025-01-09,000823,9.26,9.79,10.18,9.26,369022,371219788.7,9.86,4.93,0.46,6.87
2025-01-10,000823,9.8,9.35,9.89,9.35,209724,205326834.0,5.52,-4.49,-0.44,3.91
2025-01-13,000823,9.17,9.19,9.35,8.94,149245,139534206.3,4.39,-1.71,-0.16,2.78
2025-01-14,000823,9.29,9.8,9.8,9.16,185467,181485115.0,6.96,6.64,0.61,3.45
2025-01-15,000823,9.72,9.81,10.03,9.7,193978,195216492.5,3.37,0.1,0.01,3.61
2025-01-16,000823,9.99,9.83,10.01,9.7,184201,184926588.1,3.16,0.2,0.02,3.43
2025-01-17,000823,9.8,10.27,10.39,9.73,321582,333235728.76,6.71,4.48,0.44,5.99
2025-01-20,000823,10.26,10.47,10.6,10.18,305032,322999901.65,4.09,1.95,0.2,5.68
2025-01-21,000823,10.47,10.52,10.62,10.36,232468,248205656.28,2.48,0.48,0.05,4.33
2025-01-22,000823,10.44,10.47,10.63,10.35,186451,198966917.0,2.66,-0.48,-0.05,3.47
2025-01-23,000823,10.53,10.27,10.61,10.26,233372,248071511.82,3.34,-1.91,-0.2,4.35
2025-01-24,000823,10.22,10.28,10.35,10.2,171393,179545601.76,1.46,0.1,0.01,3.19
2025-01-27,000823,10.27,10.07,10.37,10.07,154332,160654460.45,2.92,-2.04,-0.21,2.87
2025-02-05,000823,10.22,10.09,10.26,10.0,134288,138673227.45,2.58,0.2,0.02,2.5
2025-02-06,000823,10.03,10.54,10.57,10.03,214894,227278187.58,5.35,4.46,0.45,4.0
2025-02-07,000823,10.55,10.69,10.85,10.5,280094,304156936.0,3.32,1.42,0.15,5.22
2025-02-10,000823,10.7,10.85,11.1,10.67,215954,237832462.81,4.02,1.5,0.16,4.02
2025-02-11,000823,10.82,10.8,10.95,10.75,183913,203327874.58,1.84,-0.46,-0.05,3.43
2025-02-12,000823,10.8,10.82,10.84,10.69,167915,184298673.84,1.39,0.19,0.02,3.13
2025-02-13,000823,10.82,10.57,10.86,10.53,150930,163492908.62,3.05,-2.31,-0.25,2.81
2025-02-14,000823,10.53,10.58,10.73,10.42,138770,149828901.07,2.93,0.09,0.01,2.58
2025-02-17,000823,10.59,10.77,10.87,10.59,160339,175558293.58,2.65,1.8,0.19,2.99
2025-02-18,000823,10.75,10.45,10.87,10.38,136364,147683245.98,4.55,-2.97,-0.32,2.54
2025-02-19,000823,10.41,10.61,10.64,10.39,119820,128991324.79,2.39,1.53,0.16,2.23
2025-02-20,000823,10.61,10.95,10.97,10.55,246516,271462254.62,3.96,3.2,0.34,4.59
2025-02-21,000823,10.93,10.97,11.09,10.8,247461,276122844.9,2.65,0.18,0.02,4.61
2025-02-24,000823,11.0,10.81,11.0,10.69,201416,221521038.03,2.83,-1.46,-0.16,3.75
2025-02-25,000823,10.65,10.76,10.88,10.59,140303,153517499.2,2.68,-0.46,-0.05,2.61
2025-02-26,000823,10.7,10.78,10.84,10.69,135528,148612425.33,1.39,0.19,0.02,2.52
2025-02-27,000823,10.8,10.59,10.83,10.4,164480,177178768.56,3.99,-1.76,-0.19,3.06
2025-02-28,000823,10.53,10.02,10.56,9.97,157552,164164616.38,5.57,-5.38,-0.57,2.93
2025-03-03,000823,10.08,10.09,10.28,9.94,119616,123899542.0,3.39,0.7,0.07,2.23
2025-03-04,000823,10.03,10.26,10.3,10.0,93552,97222435.45,2.97,1.68,0.17,1.74
