日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,000895,24.55,24.42,25.05,24.35,182774,477590658.69,2.85,-0.57,-0.14,0.53
2025-01-03,000895,24.43,24.56,24.83,24.19,178720,463680986.72,2.62,0.57,0.14,0.52
2025-01-06,000895,24.48,24.27,24.65,24.08,142776,367644086.27,2.32,-1.18,-0.29,0.41
2025-01-07,000895,24.1,24.36,24.54,24.1,85709,220844688.14,1.81,0.37,0.09,0.25
2025-01-08,000895,24.28,24.72,24.84,24.15,140402,365393364.89,2.83,1.48,0.36,0.41
2025-01-09,000895,24.64,24.24,24.8,24.1,138394,355856693.64,2.83,-1.94,-0.48,0.4
2025-01-10,000895,24.24,23.9,24.31,23.86,82212,209087691.28,1.86,-1.4,-0.34,0.24
2025-01-13,000895,23.77,23.5,24.08,23.35,109392,273203958.74,3.05,-1.67,-0.4,0.32
2025-01-14,000895,23.5,23.71,23.75,23.31,96280,240473732.97,1.87,0.89,0.21,0.28
2025-01-15,000895,23.72,23.61,23.97,23.57,70398,176927176.68,1.69,-0.42,-0.1,0.2
2025-01-16,000895,23.62,23.43,23.82,23.34,86209,214915479.6,2.03,-0.76,-0.18,0.25
2025-01-17,000895,23.38,23.84,23.85,23.27,79770,199918706.02,2.48,1.75,0.41,0.23
2025-01-20,000895,23.9,23.91,24.27,23.84,100638,256457101.83,1.8,0.29,0.07,0.29
2025-01-21,000895,23.91,24.02,24.18,23.81,77658,197636215.0,1.55,0.46,0.11,0.22
2025-01-22,000895,23.94,23.75,24.01,23.34,101130,253291070.29,2.79,-1.12,-0.27,0.29
2025-01-23,000895,23.85,23.61,23.95,23.58,69358,174046628.23,1.56,-0.59,-0.14,0.2
2025-01-24,000895,23.58,24.03,24.05,23.52,93674,236236379.8,2.24,1.78,0.42,0.27
2025-01-27,000895,24.1,24.96,25.08,24.03,194882,509525877.25,4.37,3.87,0.93,0.56
2025-02-05,000895,24.8,24.42,24.87,24.05,141135,364701766.72,3.29,-2.16,-0.54,0.41
2025-02-06,000895,24.32,23.72,24.71,23.65,189398,479654790.0,4.34,-2.87,-0.7,0.55
2025-02-07,000895,23.7,23.92,24.1,23.48,154534,390824412.25,2.61,0.84,0.2,0.45
2025-02-10,000895,23.91,23.65,23.93,23.61,110189,276721261.05,1.34,-1.13,-0.27,0.32
2025-02-11,000895,23.66,23.39,23.74,23.32,133448,331453875.92,1.78,-1.1,-0.26,0.39
2025-02-12,000895,23.39,23.61,23.63,23.29,95372,237188738.2,1.45,0.94,0.22,0.28
2025-02-13,000895,23.6,24.06,24.08,23.53,161139,407480086.62,2.33,1.91,0.45,0.47
2025-02-14,000895,24.05,24.38,24.41,23.85,133209,341201045.4,2.33,1.33,0.32,0.38
2025-02-17,000895,24.43,24.26,24.45,23.92,111793,286048328.86,2.17,-0.49,-0.12,0.32
2025-02-18,000895,24.18,24.53,24.81,24.11,146635,380948940.06,2.89,1.11,0.27,0.42
2025-02-19,000895,24.45,24.55,24.65,24.34,106423,275510623.8,1.26,0.08,0.02,0.31
2025-02-20,000895,24.56,24.72,24.94,24.45,139215,364724308.65,2.0,0.69,0.17,0.4
2025-02-21,000895,24.72,24.56,24.95,24.38,101684,264180635.72,2.31,-0.65,-0.16,0.29
2025-02-24,000895,24.47,24.95,25.25,24.45,176024,465070578.0,3.26,1.59,0.39,0.51
2025-02-25,000895,24.92,24.96,25.19,24.75,93423,246790183.06,1.76,0.04,0.01,0.27
2025-02-26,000895,25.02,25.39,25.4,24.96,116896,311676082.79,1.76,1.72,0.43,0.34
2025-02-27,000895,25.41,25.54,25.56,25.2,96992,260654768.02,1.42,0.59,0.15,0.28
2025-02-28,000895,25.52,25.48,25.79,25.4,109605,295539776.15,1.53,-0.23,-0.06,0.32
2025-03-03,000895,25.45,25.85,26.1,25.38,158508,432201215.76,2.83,1.45,0.37,0.46
2025-03-04,000895,25.85,25.66,26.1,25.4,159008,431558531.6,2.71,-0.74,-0.19,0.46
2025-03-05,000895,25.67,25.46,25.97,25.43,100133,270460840.72,2.1,-0.78,-0.2,0.29
2025-03-06,000895,25.55,25.23,25.56,25.06,94103,250501421.16,1.96,-0.9,-0.23,0.27
2025-03-07,000895,25.16,24.99,25.32,24.95,72343,191859206.58,1.47,-0.95,-0.24,0.21
2025-03-10,000895,25.1,25.35,25.6,25.09,93124,249027140.29,2.04,1.44,0.36,0.27
2025-03-11,000895,25.23,25.54,25.63,25.1,95252,255110328.01,2.09,0.75,0.19,0.27
2025-03-12,000895,25.54,25.11,25.63,25.04,107492,286165182.85,2.31,-1.68,-0.43,0.31
2025-03-13,000895,25.17,24.97,25.26,24.84,85149,225067675.12,1.67,-0.56,-0.14,0.25
2025-03-14,000895,25.05,25.12,25.22,24.9,98765,261480236.54,1.28,0.6,0.15,0.29
2025-03-17,000895,25.21,24.93,25.58,24.93,113968,301891498.15,2.59,-0.76,-0.19,0.33
2025-03-18,000895,24.96,24.57,24.99,24.56,116466,303534578.01,1.72,-1.44,-0.36,0.34
2025-03-19,000895,24.55,24.64,24.66,24.42,87750,227736055.9,0.98,0.28,0.07,0.25
2025-03-20,000895,24.68,24.52,24.84,24.49,83230,216930900.13,1.42,-0.49,-0.12,0.24
2025-03-21,000895,24.49,24.58,24.81,24.46,104377,271969261.7,1.43,0.24,0.06,0.3
2025-03-24,000895,24.58,24.58,24.94,24.44,94248,245778290.0,2.03,0.0,0.0,0.27
2025-03-25,000895,24.56,24.87,24.93,24.32,140188,365134831.72,2.48,1.18,0.29,0.4
2025-03-26,000895,24.99,24.79,25.05,24.35,170510,444731874.68,2.81,-0.32,-0.08,0.49
2025-03-27,000895,24.79,25.24,25.35,24.71,130901,347327620.07,2.58,1.82,0.45,0.38
2025-03-28,000895,25.19,25.42,25.49,25.08,89844,240529141.0,1.62,0.71,0.18,0.26
2025-03-31,000895,25.33,25.57,25.72,25.3,104425,281577017.2,1.65,0.59,0.15,0.3
2025-04-01,000895,25.56,26.0,26.0,25.45,120202,327506248.3,2.15,1.68,0.43,0.35
2025-04-02,000895,25.93,25.66,26.15,25.54,97404,264670048.19,2.35,-1.31,-0.34,0.28
2025-04-03,000895,25.69,26.0,26.08,25.45,89993,245419258.27,2.46,1.33,0.34,0.26
2025-04-07,000895,25.32,25.28,26.12,24.51,282734,758776385.25,6.19,-2.77,-0.72,0.82
2025-04-08,000895,25.16,25.85,26.02,24.93,218632,588258269.24,4.31,2.25,0.57,0.63
2025-04-09,000895,25.84,26.27,26.39,25.57,232466,638247640.11,3.17,1.62,0.42,0.67
2025-04-10,000895,26.27,26.15,26.39,25.73,177850,490652750.06,2.51,-0.46,-0.12,0.51
2025-04-11,000895,26.04,26.08,26.18,25.71,93866,257221502.37,1.8,-0.27,-0.07,0.27
2025-04-14,000895,26.07,26.09,26.49,25.91,87522,241400926.52,2.22,0.04,0.01,0.25
2025-04-15,000895,26.2,26.3,26.5,25.9,90884,251432679.34,2.3,0.8,0.21,0.26
2025-04-16,000895,26.23,26.56,26.6,26.02,96242,267453547.31,2.21,0.99,0.26,0.28
2025-04-17,000895,26.43,26.1,26.43,25.89,124352,342308707.41,2.03,-1.73,-0.46,0.36
2025-04-18,000895,26.1,25.82,26.1,25.73,88482,241540454.84,1.42,-1.07,-0.28,0.26
2025-04-21,000895,25.82,25.79,25.95,25.63,66874,181805171.83,1.24,-0.12,-0.03,0.19
2025-04-22,000895,25.81,25.76,26.0,25.6,72754,198090169.19,1.55,-0.12,-0.03,0.21
2025-04-23,000895,25.76,25.47,25.8,25.45,93366,251600167.08,1.36,-1.13,-0.29,0.27
2025-04-24,000895,25.54,25.69,26.01,25.49,90166,245322649.13,2.04,0.86,0.22,0.26
2025-04-25,000895,25.69,25.36,25.95,25.34,119443,321818965.62,2.37,-1.28,-0.33,0.34
2025-04-28,000895,25.37,25.46,25.7,25.37,89668,241444757.3,1.3,0.39,0.1,0.26
2025-04-29,000895,25.45,25.41,25.58,25.26,90941,244094591.45,1.26,-0.2,-0.05,0.26
2025-04-30,000895,25.2,24.33,25.21,24.32,294213,739731321.51,3.5,-4.25,-1.08,0.85
2025-05-06,000895,24.35,24.11,24.37,23.97,267169,661595538.08,1.64,-0.9,-0.22,0.77
2025-05-07,000895,24.18,24.14,24.33,24.07,174567,432699915.86,1.08,0.12,0.03,0.5
2025-05-08,000895,24.11,24.07,24.2,23.98,173586,429304666.95,0.91,-0.29,-0.07,0.5
2025-05-09,000895,24.07,24.11,24.23,24.03,155083,384254926.22,0.83,0.17,0.04,0.45
2025-05-12,000895,24.17,24.16,24.22,23.95,199128,492407017.34,1.12,0.21,0.05,0.57
2025-05-13,000895,24.19,24.35,24.39,24.13,188632,469633633.82,1.08,0.79,0.19,0.54
2025-05-14,000895,24.33,24.12,24.33,23.95,195407,483677109.16,1.56,-0.94,-0.23,0.56
2025-05-15,000895,24.12,24.01,24.22,24.0,119706,296239279.68,0.91,-0.46,-0.11,0.35
2025-05-16,000895,24.01,23.89,24.01,23.63,155101,379006101.9,1.58,-0.5,-0.12,0.45
2025-05-19,000895,23.89,24.01,24.06,23.83,93409,230156741.59,0.96,0.5,0.12,0.27
2025-05-20,000895,24.02,24.04,24.18,23.93,112311,277377738.0,1.04,0.12,0.03,0.32
2025-05-21,000895,24.05,24.15,24.2,24.03,108881,269786715.08,0.71,0.46,0.11,0.31
2025-05-22,000895,24.1,24.09,24.21,24.08,88140,218338007.72,0.54,-0.25,-0.06,0.25
2025-05-23,000895,24.09,23.93,24.17,23.91,82909,204678950.0,1.08,-0.66,-0.16,0.24
2025-05-26,000895,23.86,23.75,23.97,23.67,117864,287970391.82,1.25,-0.75,-0.18,0.34
2025-05-27,000895,23.69,23.63,23.83,23.62,101472,247056805.61,0.88,-0.51,-0.12,0.29
2025-05-28,000895,23.63,23.77,23.78,23.57,104170,253711897.44,0.89,0.59,0.14,0.3
2025-05-29,000895,23.7,23.7,23.73,23.59,117715,286290553.57,0.59,-0.29,-0.07,0.34
2025-05-30,000895,23.71,23.7,23.83,23.65,144138,351791879.43,0.76,0.0,0.0,0.42
2025-06-03,000895,23.65,23.88,23.88,23.58,116048,282966595.58,1.27,0.76,0.18,0.33
2025-06-04,000895,23.88,24.07,24.09,23.8,95052,234152073.09,1.21,0.8,0.19,0.27
2025-06-05,000895,24.07,23.96,24.1,23.88,78698,193679592.26,0.91,-0.46,-0.11,0.23
2025-06-06,000895,24.03,24.02,24.08,23.87,70546,173934651.86,0.88,0.25,0.06,0.2
