日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,000912,4.37,4.32,4.49,4.28,166184,72873829.0,4.79,-1.37,-0.06,1.06
2025-01-03,000912,4.33,4.16,4.36,4.15,168863,71787214.29,4.86,-3.7,-0.16,1.08
2025-01-06,000912,4.15,4.17,4.22,4.07,103735,43114855.0,3.61,0.24,0.01,0.66
2025-01-07,000912,4.17,4.25,4.25,4.14,89049,37340947.21,2.64,1.92,0.08,0.57
2025-01-08,000912,4.25,4.19,4.26,4.1,111738,46639899.06,3.76,-1.41,-0.06,0.71
2025-01-09,000912,4.18,4.33,4.43,4.14,192689,83294645.39,6.92,3.34,0.14,1.23
2025-01-10,000912,4.28,4.18,4.41,4.18,116446,50081136.55,5.31,-3.46,-0.15,0.74
2025-01-13,000912,4.14,4.26,4.28,4.07,98388,41540711.0,5.02,1.91,0.08,0.63
2025-01-14,000912,4.27,4.36,4.37,4.27,115867,50171125.68,2.35,2.35,0.1,0.74
2025-01-15,000912,4.38,4.31,4.38,4.29,82483,35629661.0,2.06,-1.15,-0.05,0.53
2025-01-16,000912,4.32,4.48,4.52,4.31,220499,98148433.95,4.87,3.94,0.17,1.41
2025-01-17,000912,4.47,4.5,4.57,4.44,140188,63178682.0,2.9,0.45,0.02,0.89
2025-01-20,000912,4.46,4.46,4.57,4.42,140452,62865748.35,3.33,-0.89,-0.04,0.9
2025-01-21,000912,4.48,4.46,4.5,4.37,118640,52527341.64,2.91,0.0,0.0,0.76
2025-01-22,000912,4.46,4.46,4.54,4.43,96039,43016237.96,2.47,0.0,0.0,0.61
2025-01-23,000912,4.52,4.44,4.54,4.44,117948,52947182.6,2.24,-0.45,-0.02,0.75
2025-01-24,000912,4.42,4.42,4.46,4.39,78246,34604269.0,1.58,-0.45,-0.02,0.5
2025-01-27,000912,4.42,4.48,4.58,4.42,148426,67246969.0,3.62,1.36,0.06,0.95
2025-02-05,000912,4.52,4.41,4.52,4.39,134863,59644098.0,2.9,-1.56,-0.07,0.86
2025-02-06,000912,4.4,4.42,4.42,4.33,126866,55627516.76,2.04,0.23,0.01,0.81
2025-02-07,000912,4.4,4.46,4.49,4.38,150708,67141955.0,2.49,0.9,0.04,0.96
2025-02-10,000912,4.46,4.54,4.55,4.45,128521,58030836.0,2.24,1.79,0.08,0.82
2025-02-11,000912,4.54,4.57,4.58,4.5,140617,63919863.57,1.76,0.66,0.03,0.9
2025-02-12,000912,4.59,4.59,4.65,4.54,147163,67440269.97,2.41,0.44,0.02,0.94
2025-02-13,000912,4.6,4.77,4.93,4.58,472537,226184546.63,7.63,3.92,0.18,3.01
2025-02-14,000912,4.79,5.02,5.09,4.72,505151,250543891.0,7.76,5.24,0.25,3.22
2025-02-17,000912,5.02,4.98,5.05,4.85,278884,137211181.32,3.98,-0.8,-0.04,1.78
2025-02-18,000912,4.92,4.9,5.09,4.88,291787,145625376.01,4.22,-1.61,-0.08,1.86
2025-02-19,000912,4.89,5.1,5.13,4.87,278063,138825935.21,5.31,4.08,0.2,1.77
2025-02-20,000912,5.09,4.95,5.17,4.93,253781,127293846.0,4.71,-2.94,-0.15,1.62
2025-02-21,000912,4.97,5.02,5.06,4.88,321478,160217449.84,3.64,1.41,0.07,2.05
2025-02-24,000912,5.07,4.96,5.1,4.93,160112,79906611.57,3.39,-1.2,-0.06,1.02
2025-02-25,000912,4.91,4.77,4.92,4.74,248993,119572385.61,3.63,-3.83,-0.19,1.59
2025-02-26,000912,4.78,4.8,4.82,4.74,138889,66259776.34,1.68,0.63,0.03,0.89
2025-02-27,000912,4.88,4.97,5.0,4.65,210097,100504725.07,7.29,3.54,0.17,1.34
2025-02-28,000912,4.89,4.72,4.89,4.72,197291,94899756.0,3.42,-5.03,-0.25,1.26
2025-03-03,000912,4.73,4.71,4.85,4.7,167390,80033493.83,3.18,-0.21,-0.01,1.07
2025-03-04,000912,4.71,4.79,4.79,4.67,82848,39291612.88,2.55,1.7,0.08,0.53
2025-03-05,000912,4.78,4.67,4.8,4.64,125506,58807638.0,3.34,-2.51,-0.12,0.8
2025-03-06,000912,4.68,4.7,4.73,4.63,105669,49448515.0,2.14,0.64,0.03,0.67
2025-03-07,000912,4.68,4.67,4.75,4.64,119944,56262803.2,2.34,-0.64,-0.03,0.76
2025-03-10,000912,4.64,4.7,4.77,4.64,97335,45703072.0,2.78,0.64,0.03,0.62
2025-03-11,000912,4.67,4.79,4.79,4.61,129180,61229889.76,3.83,1.91,0.09,0.82
2025-03-12,000912,4.8,4.73,4.81,4.72,96079,45585987.88,1.88,-1.25,-0.06,0.61
2025-03-13,000912,4.73,4.63,4.75,4.58,121516,56304346.0,3.59,-2.11,-0.1,0.77
2025-03-14,000912,4.63,4.69,4.7,4.59,107463,50050755.6,2.38,1.3,0.06,0.69
2025-03-17,000912,4.72,4.66,4.73,4.65,94127,44064505.38,1.71,-0.64,-0.03,0.6
2025-03-18,000912,4.67,4.66,4.68,4.62,83714,38851134.1,1.29,0.0,0.0,0.53
2025-03-19,000912,4.66,4.65,4.8,4.63,130785,61318718.5,3.65,-0.21,-0.01,0.83
2025-03-20,000912,4.64,4.71,4.72,4.63,102027,47857296.3,1.94,1.29,0.06,0.65
2025-03-21,000912,4.71,4.73,4.78,4.66,154859,73148360.16,2.55,0.42,0.02,0.99
2025-03-24,000912,4.73,4.74,4.8,4.62,231211,109032724.78,3.81,0.21,0.01,1.47
2025-03-25,000912,4.74,4.99,5.03,4.7,460538,226664955.13,6.96,5.27,0.25,2.94
2025-03-26,000912,4.99,5.0,5.0,4.9,206385,102432490.0,2.0,0.2,0.01,1.32
2025-03-27,000912,4.99,4.98,5.08,4.96,268316,134799707.65,2.4,-0.4,-0.02,1.71
2025-03-28,000912,4.95,4.79,4.96,4.79,191138,92717579.0,3.41,-3.82,-0.19,1.22
2025-03-31,000912,4.75,4.66,4.78,4.6,168785,78946418.5,3.76,-2.71,-0.13,1.08
2025-04-01,000912,4.68,4.69,4.75,4.64,81912,38468402.0,2.36,0.64,0.03,0.52
2025-04-02,000912,4.72,4.7,4.74,4.63,74017,34688948.0,2.35,0.21,0.01,0.47
2025-04-03,000912,4.69,4.76,4.77,4.66,96854,45761300.0,2.34,1.28,0.06,0.62
2025-04-07,000912,4.62,4.28,4.67,4.28,200010,88231271.0,8.19,-10.08,-0.48,1.28
2025-04-08,000912,4.28,4.28,4.3,4.12,246975,104079579.09,4.21,0.0,0.0,1.58
2025-04-09,000912,4.19,4.27,4.31,4.01,199483,83237571.36,7.01,-0.23,-0.01,1.27
2025-04-10,000912,4.3,4.36,4.41,4.3,159500,69686637.22,2.58,2.11,0.09,1.02
2025-04-11,000912,4.35,4.41,4.48,4.32,129235,56922472.0,3.67,1.15,0.05,0.82
2025-04-14,000912,4.45,4.45,4.5,4.43,94120,41990758.32,1.59,0.91,0.04,0.6
2025-04-15,000912,4.47,4.51,4.53,4.42,113536,50862970.0,2.47,1.35,0.06,0.72
2025-04-16,000912,4.48,4.5,4.51,4.38,111591,49697482.0,2.88,-0.22,-0.01,0.71
2025-04-17,000912,4.49,4.6,4.65,4.47,173135,79550015.0,4.0,2.22,0.1,1.1
2025-04-18,000912,4.58,4.57,4.64,4.52,89458,40838945.54,2.61,-0.65,-0.03,0.57
2025-04-21,000912,4.57,4.71,4.78,4.57,156787,73891673.91,4.6,3.06,0.14,1.0
2025-04-22,000912,4.71,4.68,4.74,4.67,132172,62078028.0,1.49,-0.64,-0.03,0.84
2025-04-23,000912,4.71,4.62,4.73,4.58,119049,55207904.99,3.21,-1.28,-0.06,0.76
2025-04-24,000912,4.6,4.63,4.72,4.6,96130,44766598.86,2.6,0.22,0.01,0.61
2025-04-25,000912,4.65,4.75,4.79,4.62,170556,80330346.0,3.67,2.59,0.12,1.09
2025-04-28,000912,4.74,4.56,4.74,4.53,174700,80096499.83,4.42,-4.0,-0.19,1.11
2025-04-29,000912,4.56,4.8,4.81,4.56,244177,115656280.11,5.48,5.26,0.24,1.56
