日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,000921,27.84,29.15,30.17,27.72,260330,787880016.03,8.85,5.35,1.48,2.86
2025-01-03,000921,29.38,29.86,30.77,29.14,261617,818390772.09,5.59,2.44,0.71,2.87
2025-01-06,000921,30.05,30.08,30.86,29.47,206001,646615793.07,4.66,0.74,0.22,2.26
2025-01-07,000921,29.62,30.07,30.75,29.34,176736,553462869.45,4.69,-0.03,-0.01,1.94
2025-01-08,000921,30.07,32.16,32.25,29.78,298200,968211747.11,8.21,6.95,2.09,3.27
2025-01-09,000921,31.65,31.9,32.12,31.17,200465,660774675.67,2.95,-0.81,-0.26,2.2
2025-01-10,000921,31.89,30.71,32.22,30.7,140385,455836107.07,4.76,-3.73,-1.19,1.54
2025-01-13,000921,30.26,29.99,30.95,29.65,152493,479273018.74,4.23,-2.34,-0.72,1.67
2025-01-14,000921,29.97,30.52,30.67,29.6,149251,470302021.66,3.57,1.77,0.53,1.64
2025-01-15,000921,30.24,29.92,31.12,29.71,131839,415792887.17,4.62,-1.97,-0.6,1.45
2025-01-16,000921,30.07,30.79,31.61,30.07,184777,595582268.22,5.15,2.91,0.87,2.03
2025-01-17,000921,30.47,30.87,31.19,30.01,105451,336681642.82,3.83,0.26,0.08,1.16
2025-01-20,000921,31.03,30.45,31.43,30.27,91433,291566267.0,3.76,-1.36,-0.42,1.0
2025-01-21,000921,30.38,30.36,30.73,29.98,83551,263544769.4,2.46,-0.3,-0.09,0.92
2025-01-22,000921,29.97,29.82,30.27,29.07,109159,336654641.23,3.95,-1.78,-0.54,1.2
2025-01-23,000921,29.95,30.24,30.71,29.52,111712,351513585.92,3.99,1.41,0.42,1.23
2025-01-24,000921,29.93,29.93,30.55,29.65,77968,244309984.21,2.98,-1.03,-0.31,0.86
2025-01-27,000921,29.97,30.51,30.73,29.77,83732,264695115.5,3.21,1.94,0.58,0.92
2025-02-05,000921,30.03,29.73,30.49,28.98,112039,345029946.03,4.95,-2.56,-0.78,1.23
2025-02-06,000921,29.45,29.33,29.81,29.1,90244,275518632.24,2.39,-1.35,-0.4,0.99
2025-02-07,000921,29.33,29.48,29.88,28.89,100928,310228756.37,3.38,0.51,0.15,1.11
2025-02-10,000921,29.47,28.35,29.47,28.09,174259,518533366.77,4.68,-3.83,-1.13,1.91
2025-02-11,000921,28.65,28.66,29.09,28.57,123384,370841321.1,1.83,1.09,0.31,1.35
2025-02-12,000921,28.67,28.66,28.83,28.19,109640,326067098.61,2.23,0.0,0.0,1.2
2025-02-13,000921,28.66,28.83,29.37,28.6,112568,340852590.48,2.69,0.59,0.17,1.23
2025-02-14,000921,28.97,28.79,29.07,28.54,68993,207117727.72,1.84,-0.14,-0.04,0.76
2025-02-17,000921,28.49,27.93,28.56,27.57,187273,544418736.28,3.44,-2.99,-0.86,2.05
2025-02-18,000921,27.81,26.97,27.81,26.88,174173,495870198.15,3.33,-3.44,-0.96,1.91
2025-02-19,000921,26.94,27.06,27.12,26.37,174015,486155678.04,2.78,0.33,0.09,1.91
2025-02-20,000921,26.87,26.84,27.31,26.63,112912,317504231.15,2.51,-0.81,-0.22,1.24
2025-02-21,000921,26.76,26.57,26.84,26.37,120005,333084909.14,1.75,-1.01,-0.27,1.32
2025-02-24,000921,26.57,27.32,27.7,26.44,197314,560647951.78,4.74,2.82,0.75,2.16
2025-02-25,000921,27.32,26.59,27.44,26.43,125570,352813600.8,3.7,-2.67,-0.73,1.38
2025-02-26,000921,26.55,26.48,27.01,26.28,127560,353979234.18,2.75,-0.41,-0.11,1.4
2025-02-27,000921,26.49,27.63,27.77,26.29,245282,697592001.5,5.59,4.34,1.15,2.69
2025-02-28,000921,27.65,27.33,28.11,27.25,157587,455796150.53,3.11,-1.09,-0.3,1.73
2025-03-03,000921,27.42,27.2,27.82,27.1,115935,331606211.89,2.63,-0.48,-0.13,1.27
2025-03-04,000921,27.13,26.98,27.59,26.83,84576,239283935.6,2.79,-0.81,-0.22,0.93
2025-03-05,000921,26.99,26.91,27.09,26.62,82798,232261630.04,1.74,-0.26,-0.07,0.91
2025-03-06,000921,26.98,26.94,27.26,26.53,151251,424449577.84,2.71,0.11,0.03,1.66
2025-03-07,000921,26.87,27.14,27.23,26.66,104662,294617243.21,2.12,0.74,0.2,1.15
2025-03-10,000921,27.07,27.04,27.52,26.93,91931,261406802.72,2.17,-0.37,-0.1,1.01
2025-03-11,000921,26.91,27.27,27.27,26.65,89320,251611058.81,2.29,0.85,0.23,0.98
2025-03-12,000921,27.25,26.93,27.57,26.9,113974,323516972.08,2.46,-1.25,-0.34,1.25
2025-03-13,000921,26.94,27.03,27.24,26.78,97221,274247991.11,1.71,0.37,0.1,1.07
2025-03-14,000921,27.06,28.43,28.62,27.01,219837,640862035.4,5.96,5.18,1.4,2.41
2025-03-17,000921,28.53,28.84,29.17,28.47,140567,422487747.11,2.46,1.44,0.41,1.54
2025-03-18,000921,28.85,28.97,29.31,28.46,119468,358981288.49,2.95,0.45,0.13,1.31
2025-03-19,000921,29.08,29.36,29.42,28.66,94904,287789684.51,2.62,1.35,0.39,1.04
2025-03-20,000921,29.32,28.82,29.63,28.73,102378,310465234.3,3.07,-1.84,-0.54,1.12
2025-03-21,000921,28.69,28.88,29.56,28.58,102612,311571332.24,3.4,0.21,0.06,1.13
2025-03-24,000921,28.88,29.77,30.32,28.78,129540,401900801.74,5.33,3.08,0.89,1.42
2025-03-25,000921,29.77,29.27,30.27,29.13,93458,288019952.26,3.83,-1.68,-0.5,1.02
2025-03-26,000921,29.32,28.93,29.46,28.57,103582,311820807.97,3.04,-1.16,-0.34,1.14
2025-03-27,000921,28.91,28.84,29.17,28.71,61712,186035964.59,1.59,-0.31,-0.09,0.68
2025-03-28,000921,28.99,28.98,29.22,28.47,120120,361079335.85,2.6,0.49,0.14,1.32
2025-03-31,000921,29.06,28.48,30.05,28.23,172397,522242575.98,6.28,-1.73,-0.5,1.89
2025-04-01,000921,28.47,27.99,28.64,27.74,106242,311437613.03,3.16,-1.72,-0.49,1.17
2025-04-02,000921,27.81,27.95,28.3,27.55,83140,242999887.72,2.68,-0.14,-0.04,0.91
2025-04-03,000921,27.5,26.37,27.58,25.83,232616,641058752.65,6.26,-5.65,-1.58,2.55
2025-04-07,000921,24.22,23.88,24.77,23.61,209359,532091836.35,4.4,-9.44,-2.49,2.3
2025-04-08,000921,24.13,24.12,24.57,23.87,114793,291828468.76,2.93,1.01,0.24,1.26
2025-04-09,000921,23.67,24.07,24.52,23.13,106785,268747671.5,5.76,-0.21,-0.05,1.17
2025-04-10,000921,24.78,25.47,25.93,24.67,123803,329968319.38,5.23,5.82,1.4,1.36
2025-04-11,000921,25.1,25.09,25.46,24.63,69212,181730314.13,3.26,-1.49,-0.38,0.76
2025-04-14,000921,25.42,25.08,25.63,24.97,67588,179033750.29,2.63,-0.04,-0.01,0.74
2025-04-15,000921,25.09,26.41,26.52,24.97,133343,362558973.22,6.18,5.3,1.33,1.46
2025-04-16,000921,26.27,26.06,26.32,25.7,93827,254771289.95,2.35,-1.33,-0.35,1.03
2025-04-17,000921,26.07,26.37,26.9,25.73,104401,290334938.65,4.49,1.19,0.31,1.14
2025-04-18,000921,26.57,26.78,26.93,26.09,61609,171749395.73,3.19,1.55,0.41,0.68
2025-04-21,000921,26.77,26.85,26.95,26.42,57341,160447776.59,1.98,0.26,0.07,0.63
2025-04-22,000921,26.82,27.13,27.57,26.76,99815,284046284.88,3.02,1.04,0.28,1.09
2025-04-23,000921,27.13,26.69,27.57,26.62,100511,284701640.51,3.5,-1.62,-0.44,1.1
2025-04-24,000921,26.77,26.76,26.87,26.47,52295,146131035.78,1.5,0.26,0.07,0.57
2025-04-25,000921,26.74,26.47,26.85,26.34,78656,218047445.23,1.91,-1.08,-0.29,0.86
2025-04-28,000921,26.31,26.1,26.62,25.83,79000,215874515.2,2.98,-1.4,-0.37,0.87
2025-04-29,000921,26.7,26.37,26.7,25.93,80425,221252044.9,2.95,1.03,0.27,0.88
2025-04-30,000921,26.39,26.21,26.57,26.16,43074,118731278.0,1.55,-0.61,-0.16,0.47
2025-05-06,000921,26.17,25.68,26.37,25.4,180664,485437717.34,3.7,-2.02,-0.53,1.98
2025-05-07,000921,25.87,26.53,26.54,25.87,162876,447779358.04,2.61,3.31,0.85,1.79
2025-05-08,000921,26.54,26.52,26.86,26.17,83918,233637429.13,2.6,-0.04,-0.01,0.92
2025-05-09,000921,26.52,27.77,27.85,26.43,140144,399195024.48,5.35,4.71,1.25,1.54
2025-05-12,000921,27.78,29.05,29.27,27.78,192933,576013971.65,5.37,4.61,1.28,2.12
2025-05-13,000921,29.29,28.45,29.3,28.07,137695,407706195.19,4.23,-2.07,-0.6,1.51
2025-05-14,000921,28.22,28.07,28.32,27.67,89419,260950407.43,2.28,-1.34,-0.38,0.98
2025-05-15,000921,28.03,27.54,28.14,27.52,53805,156022037.94,2.21,-1.89,-0.53,0.59
2025-05-16,000921,27.54,27.82,27.94,27.27,62317,180196231.35,2.43,1.02,0.28,0.68
2025-05-19,000921,27.73,27.83,28.06,27.58,59799,173883921.67,1.73,0.04,0.01,0.66
2025-05-20,000921,27.85,28.29,28.5,27.67,57927,169889359.37,2.98,1.65,0.46,0.64
2025-05-21,000921,28.28,28.45,28.75,28.02,65904,195349158.68,2.58,0.57,0.16,0.72
2025-05-22,000921,28.29,27.96,28.44,27.9,52495,153760576.0,1.9,-1.72,-0.49,0.58
2025-05-23,000921,27.84,28.13,28.72,27.83,73904,218535840.27,3.18,0.61,0.17,0.81
2025-05-26,000921,28.13,27.15,28.21,26.91,101551,290395559.77,4.62,-3.48,-0.98,1.11
2025-05-27,000921,27.16,26.77,27.27,26.71,54903,154626639.9,2.06,-1.4,-0.38,0.6
