日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,000935,14.47,13.99,14.55,13.87,37592,53508048.0,4.7,-3.38,-0.49,0.49
2025-01-03,000935,14.04,13.55,14.1,13.47,40713,56152285.0,4.5,-3.15,-0.44,0.53
2025-01-06,000935,13.56,13.73,13.82,13.41,44959,61436648.0,3.03,1.33,0.18,0.59
2025-01-07,000935,13.73,13.83,13.9,13.52,30113,41298400.2,2.77,0.73,0.1,0.39
2025-01-08,000935,13.88,14.4,15.15,13.8,131546,190280701.64,9.76,4.12,0.57,1.72
2025-01-09,000935,14.21,14.41,14.88,14.02,86105,125279229.06,5.97,0.07,0.01,1.13
2025-01-10,000935,14.34,13.89,14.48,13.89,45742,64837139.32,4.09,-3.61,-0.52,0.6
2025-01-13,000935,13.75,13.88,13.94,13.55,29556,40749077.68,2.81,-0.07,-0.01,0.39
2025-01-14,000935,13.85,14.4,14.46,13.85,56155,79696024.59,4.39,3.75,0.52,0.74
2025-01-15,000935,14.33,14.3,14.42,14.2,29335,41992864.0,1.53,-0.69,-0.1,0.38
2025-01-16,000935,14.29,14.27,14.64,14.23,39243,56597602.0,2.87,-0.21,-0.03,0.51
2025-01-17,000935,14.2,14.3,14.42,14.11,38576,55102323.0,2.17,0.21,0.03,0.51
2025-01-20,000935,14.51,14.6,14.86,14.44,74262,108460704.0,2.94,2.1,0.3,0.97
2025-01-21,000935,15.18,14.31,15.18,14.26,55450,80080683.76,6.3,-1.99,-0.29,0.73
2025-01-22,000935,14.21,14.13,14.35,14.1,36862,52354099.66,1.75,-1.26,-0.18,0.48
2025-01-23,000935,14.29,13.82,14.32,13.81,78748,110725200.1,3.61,-2.19,-0.31,1.03
2025-01-24,000935,13.73,13.88,13.93,13.63,35888,49560030.56,2.17,0.43,0.06,0.47
2025-01-27,000935,13.9,13.71,14.37,13.71,44954,63160985.0,4.76,-1.22,-0.17,0.59
2025-02-05,000935,14.26,13.7,14.26,13.6,48620,66880184.0,4.81,-0.07,-0.01,0.64
2025-02-06,000935,13.7,13.7,13.74,13.45,57819,78759436.6,2.12,0.0,0.0,0.76
2025-02-07,000935,13.7,14.13,14.28,13.61,86345,121301197.1,4.89,3.14,0.43,1.13
2025-02-10,000935,14.15,14.55,14.76,14.15,79546,115038607.11,4.32,2.97,0.42,1.04
2025-02-11,000935,14.54,14.38,14.54,14.25,42494,60944583.62,1.99,-1.17,-0.17,0.56
2025-02-12,000935,14.05,14.09,14.24,13.94,61485,86545154.58,2.09,-2.02,-0.29,0.81
2025-02-13,000935,14.08,14.14,14.24,14.03,45952,65056416.01,1.49,0.35,0.05,0.6
2025-02-14,000935,14.08,14.13,14.21,14.0,41621,58594269.9,1.49,-0.07,-0.01,0.55
2025-02-17,000935,14.19,14.46,14.8,14.13,98823,143853364.83,4.74,2.34,0.33,1.29
2025-02-18,000935,14.49,14.87,15.55,14.46,165947,249995103.51,7.54,2.84,0.41,2.17
2025-02-19,000935,14.8,14.93,15.05,14.58,94800,140518019.99,3.16,0.4,0.06,1.24
2025-02-20,000935,14.86,15.21,15.49,14.77,114892,174008120.38,4.82,1.88,0.28,1.5
2025-02-21,000935,15.16,15.2,15.47,14.88,111746,169154902.33,3.88,-0.07,-0.01,1.46
2025-02-24,000935,15.25,14.96,15.35,14.92,68077,102530814.4,2.83,-1.58,-0.24,0.89
2025-02-25,000935,14.7,14.82,14.88,14.7,40081,59286672.89,1.2,-0.94,-0.14,0.53
2025-02-26,000935,14.83,14.94,15.06,14.76,34112,50992968.39,2.02,0.81,0.12,0.45
2025-02-27,000935,15.8,15.4,16.32,15.2,160813,252598075.65,7.5,3.08,0.46,2.11
2025-02-28,000935,15.4,15.67,15.89,15.08,126481,196423852.64,5.26,1.75,0.27,1.66
2025-03-03,000935,15.75,16.65,16.88,15.6,200398,324521317.13,8.17,6.25,0.98,2.62
2025-03-04,000935,16.4,16.5,16.65,16.27,99639,163856792.13,2.28,-0.9,-0.15,1.31
2025-03-05,000935,16.51,16.12,16.6,15.87,96180,154782500.33,4.42,-2.3,-0.38,1.26
2025-03-06,000935,16.21,17.73,17.73,16.2,299115,513268011.43,9.49,9.99,1.61,3.92
2025-03-07,000935,17.66,17.48,17.79,17.23,195180,342344152.96,3.16,-1.41,-0.25,2.56
2025-03-10,000935,17.45,16.98,17.5,16.72,112642,191492107.8,4.46,-2.86,-0.5,1.48
2025-03-11,000935,16.87,16.82,16.92,16.47,96524,160877040.37,2.65,-0.94,-0.16,1.26
2025-03-12,000935,16.99,17.05,17.31,16.61,116906,198623777.26,4.16,1.37,0.23,1.53
2025-03-13,000935,16.88,15.94,16.98,15.91,127535,207775667.91,6.28,-6.51,-1.11,1.67
2025-03-14,000935,16.02,16.34,16.55,15.8,93307,151472047.4,4.71,2.51,0.4,1.22
2025-03-17,000935,16.41,16.94,17.34,16.36,105019,177947627.32,6.0,3.67,0.6,1.38
2025-03-18,000935,16.94,16.86,16.95,16.53,66195,110865024.23,2.48,-0.47,-0.08,0.87
2025-03-19,000935,16.75,17.07,17.28,16.57,84507,143554877.89,4.21,1.25,0.21,1.11
2025-03-20,000935,16.94,17.15,17.59,16.93,90628,156423820.74,3.87,0.47,0.08,1.19
2025-03-21,000935,17.3,17.18,17.3,16.82,90101,154099015.45,2.8,0.17,0.03,1.18
2025-03-24,000935,17.06,16.15,17.21,15.84,109435,177958273.54,7.97,-6.0,-1.03,1.43
2025-03-25,000935,16.15,16.2,16.36,15.96,39064,63120454.21,2.48,0.31,0.05,0.51
2025-03-26,000935,16.14,16.04,16.19,15.97,35892,57671515.0,1.36,-0.99,-0.16,0.47
2025-03-27,000935,16.04,16.11,16.26,15.83,46533,74913793.06,2.68,0.44,0.07,0.61
2025-03-28,000935,16.1,16.1,16.21,16.0,31790,51277476.48,1.3,-0.06,-0.01,0.42
2025-03-31,000935,16.1,15.92,16.1,15.55,55435,87387507.7,3.42,-1.12,-0.18,0.73
2025-04-01,000935,15.91,15.98,16.25,15.87,35006,56043827.43,2.39,0.38,0.06,0.46
2025-04-02,000935,15.95,16.02,16.15,15.88,23338,37410770.78,1.69,0.25,0.04,0.31
2025-04-03,000935,16.09,16.05,16.24,15.95,29490,47426979.3,1.81,0.19,0.03,0.39
2025-04-07,000935,15.5,14.45,15.54,14.45,69007,101848480.26,6.79,-9.97,-1.6,0.9
2025-04-08,000935,14.45,14.6,14.84,14.27,60834,88488714.06,3.94,1.04,0.15,0.8
2025-04-09,000935,14.33,14.82,14.86,13.83,59430,85837180.12,7.05,1.51,0.22,0.78
2025-04-10,000935,15.41,15.31,15.47,15.0,53142,81332446.9,3.17,3.31,0.49,0.7
2025-04-11,000935,15.24,15.23,15.43,15.15,30360,46505000.99,1.83,-0.52,-0.08,0.4
2025-04-14,000935,15.58,15.74,15.8,15.33,44289,68803879.5,3.09,3.35,0.51,0.58
2025-04-15,000935,16.16,16.69,16.98,16.03,200013,330994995.13,6.04,6.04,0.95,2.62
2025-04-16,000935,16.69,15.97,16.69,15.82,106104,170244600.79,5.21,-4.31,-0.72,1.39
2025-04-17,000935,15.95,15.91,16.12,15.57,67417,107346643.42,3.44,-0.38,-0.06,0.88
2025-04-18,000935,15.87,15.9,16.12,15.8,65897,105141335.85,2.01,-0.06,-0.01,0.86
2025-04-21,000935,15.88,15.99,16.05,15.62,44478,70886217.0,2.7,0.57,0.09,0.58
2025-04-22,000935,15.95,15.94,16.18,15.84,47708,76449284.38,2.13,-0.31,-0.05,0.62
2025-04-23,000935,15.95,15.91,16.07,15.81,42089,67039113.27,1.63,-0.19,-0.03,0.55
2025-04-24,000935,15.98,15.71,16.0,15.71,36979,58482402.36,1.82,-1.26,-0.2,0.48
2025-04-25,000935,15.73,15.86,16.05,15.71,36253,57715200.7,2.16,0.95,0.15,0.47
2025-04-28,000935,15.82,15.93,16.1,15.72,42228,67234188.68,2.4,0.44,0.07,0.55
2025-04-29,000935,15.98,15.73,16.08,15.68,53931,85532377.48,2.51,-1.26,-0.2,0.71
2025-04-30,000935,15.9,15.7,16.0,15.64,52061,82368387.55,2.29,-0.19,-0.03,0.68
2025-05-06,000935,15.68,16.05,16.07,15.68,67230,106747225.56,2.48,2.23,0.35,0.88
2025-05-07,000935,16.26,16.14,16.4,15.98,64676,104689116.32,2.62,0.56,0.09,0.85
2025-05-08,000935,16.04,16.17,16.24,15.98,41967,67836006.28,1.61,0.19,0.03,0.55
2025-05-09,000935,16.2,15.92,16.2,15.83,37676,60103825.36,2.29,-1.55,-0.25,0.49
2025-05-12,000935,15.94,16.29,16.8,15.91,102114,166070669.0,5.59,2.32,0.37,1.34
2025-05-13,000935,16.28,16.59,16.83,16.25,146322,242418650.74,3.56,1.84,0.3,1.92
2025-05-14,000935,16.41,16.41,16.58,16.12,85170,138851806.03,2.77,-1.08,-0.18,1.12
2025-05-15,000935,16.29,16.06,16.39,16.06,48381,78172201.88,2.01,-2.13,-0.35,0.63
2025-05-16,000935,16.07,15.91,16.15,15.91,48090,77045622.0,1.49,-0.93,-0.15,0.63
2025-05-19,000935,16.88,17.5,17.5,16.88,307666,529397900.96,3.9,9.99,1.59,4.03
2025-05-20,000935,18.54,17.38,18.98,17.38,405802,731816771.49,9.14,-0.69,-0.12,5.32
2025-05-21,000935,17.22,17.13,17.45,16.98,193542,332264274.87,2.7,-1.44,-0.25,2.54
2025-05-22,000935,17.14,17.15,17.26,17.04,103896,178062390.46,1.28,0.12,0.02,1.36
2025-05-23,000935,17.03,16.51,17.13,16.46,115284,192433597.72,3.91,-3.73,-0.64,1.51
2025-05-26,000935,16.56,16.46,16.65,16.39,53002,87482913.59,1.57,-0.3,-0.05,0.69
2025-05-27,000935,16.5,16.82,16.91,16.26,90865,150814312.56,3.95,2.19,0.36,1.19
2025-05-28,000935,16.77,16.52,16.93,16.5,58008,96860251.72,2.56,-1.78,-0.3,0.76
2025-05-29,000935,16.43,17.05,17.09,16.4,104239,176051930.68,4.18,3.21,0.53,1.37
2025-05-30,000935,16.98,16.88,17.22,16.76,79837,135390710.0,2.7,-1.0,-0.17,1.05
2025-06-03,000935,17.18,17.76,17.98,17.01,163262,287307794.23,5.75,5.21,0.88,2.14
2025-06-04,000935,17.56,17.88,18.0,17.56,126036,224503324.6,2.48,0.68,0.12,1.65
2025-06-05,000935,17.8,17.69,17.85,17.52,70765,125128825.95,1.85,-1.06,-0.19,0.93
2025-06-06,000935,17.94,17.72,17.99,17.52,89817,159290581.86,2.66,0.17,0.03,1.18
