日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,000998,11.14,10.8,11.28,10.71,422777,469236906.53,5.12,-2.96,-0.33,3.21
2025-01-03,000998,10.79,10.28,10.86,10.26,389173,411182079.86,5.56,-4.81,-0.52,2.96
2025-01-06,000998,10.12,10.18,10.34,9.98,286523,291783958.78,3.5,-0.97,-0.1,2.18
2025-01-07,000998,10.19,10.32,10.46,10.07,321720,331821668.34,3.83,1.38,0.14,2.45
2025-01-08,000998,10.22,10.05,10.22,9.89,306615,308756313.62,3.2,-2.62,-0.27,2.33
2025-01-09,000998,9.99,10.05,10.16,9.96,147478,148885599.5,1.99,0.0,0.0,1.12
2025-01-10,000998,10.05,9.88,10.13,9.88,181568,182500262.0,2.49,-1.69,-0.17,1.38
2025-01-13,000998,9.76,9.92,9.94,9.66,143128,141266846.0,2.83,0.4,0.04,1.09
2025-01-14,000998,9.91,10.13,10.16,9.9,198058,200193958.62,2.62,2.12,0.21,1.51
2025-01-15,000998,10.12,10.04,10.12,9.99,128634,129602298.04,1.28,-0.89,-0.09,0.98
2025-01-16,000998,10.05,10.1,10.26,10.04,188049,191582993.0,2.19,0.6,0.06,1.43
2025-01-17,000998,10.05,10.19,10.25,10.02,169185,172553375.0,2.28,0.89,0.09,1.29
2025-01-20,000998,10.26,10.13,10.27,10.11,138901,141581146.4,1.57,-0.59,-0.06,1.06
2025-01-21,000998,10.19,10.07,10.21,9.99,116363,117487318.2,2.17,-0.59,-0.06,0.88
2025-01-22,000998,10.04,10.01,10.05,9.93,89864,90065837.6,1.19,-0.6,-0.06,0.68
2025-01-23,000998,10.15,10.01,10.3,10.01,198069,202128905.78,2.9,0.0,0.0,1.51
2025-01-24,000998,9.97,10.09,10.11,9.96,130678,131712147.92,1.5,0.8,0.08,0.99
2025-01-27,000998,10.09,10.16,10.23,10.09,161908,165447377.54,1.39,0.69,0.07,1.23
2025-02-05,000998,10.2,10.36,10.44,10.12,231450,239778051.42,3.15,1.97,0.2,1.76
2025-02-06,000998,10.33,10.41,10.41,10.24,171650,178089299.64,1.64,0.48,0.05,1.31
2025-02-07,000998,10.4,10.42,10.47,10.29,250581,261626132.42,1.73,0.1,0.01,1.91
2025-02-10,000998,10.41,10.42,10.46,10.36,186197,194445683.0,0.96,0.0,0.0,1.42
2025-02-11,000998,10.42,10.31,10.42,10.27,152455,157875733.28,1.44,-1.06,-0.11,1.16
2025-02-12,000998,10.28,10.35,10.35,10.22,151409,156357809.92,1.26,0.39,0.04,1.15
2025-02-13,000998,10.33,10.42,10.55,10.31,262265,275435449.4,2.32,0.68,0.07,1.99
2025-02-14,000998,10.4,10.5,10.5,10.34,195821,205200220.16,1.54,0.77,0.08,1.49
2025-02-17,000998,10.72,10.94,11.05,10.64,518986,565249347.05,3.9,4.19,0.44,3.95
2025-02-18,000998,10.86,10.61,10.86,10.5,309628,331598980.74,3.29,-3.02,-0.33,2.35
2025-02-19,000998,10.62,10.72,10.72,10.56,232371,247870031.4,1.51,1.04,0.11,1.77
2025-02-20,000998,10.7,10.76,10.81,10.55,257712,277340976.65,2.43,0.37,0.04,1.96
