日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,001216,12.25,12.16,12.6,12.03,30318,38544013.2,4.62,-1.54,-0.19,1.2
2025-01-03,001216,12.21,11.63,12.21,11.62,29447,36133046.48,4.85,-4.36,-0.53,1.17
2025-01-06,001216,11.79,11.61,11.88,11.27,25087,30097831.0,5.25,-0.17,-0.02,1.0
2025-01-07,001216,11.78,11.85,11.86,11.57,16070,19505519.0,2.5,2.07,0.24,0.64
2025-01-08,001216,11.83,11.91,11.96,11.52,21002,25597589.0,3.71,0.51,0.06,0.83
2025-01-09,001216,11.87,11.79,11.93,11.74,11161,13668755.0,1.6,-1.01,-0.12,0.44
2025-01-10,001216,11.84,11.45,11.88,11.45,17757,21333296.0,3.65,-2.88,-0.34,0.71
2025-01-13,001216,11.4,11.39,11.57,11.07,21600,25329694.0,4.37,-0.52,-0.06,0.86
2025-01-14,001216,11.47,11.85,11.86,11.44,21756,26369211.0,3.69,4.04,0.46,0.86
2025-01-15,001216,11.91,11.85,12.02,11.73,20836,25599106.0,2.45,0.0,0.0,0.83
2025-01-16,001216,12.02,11.86,12.04,11.76,15874,19524708.0,2.36,0.08,0.01,0.63
2025-01-17,001216,11.75,12.07,12.32,11.75,32587,40704498.0,4.81,1.77,0.21,1.29
2025-01-20,001216,12.1,12.22,12.31,12.09,24882,31350103.0,1.82,1.24,0.15,0.99
2025-01-21,001216,12.22,12.49,13.1,12.17,54284,70452323.0,7.61,2.21,0.27,2.16
2025-01-22,001216,12.44,12.16,12.48,12.07,36428,46106158.0,3.28,-2.64,-0.33,1.45
2025-01-23,001216,12.33,12.11,12.42,12.11,25907,32752515.83,2.55,-0.41,-0.05,1.03
2025-01-24,001216,12.2,12.16,12.2,11.95,20516,25622237.0,2.06,0.41,0.05,0.81
2025-01-27,001216,12.3,12.23,12.48,12.17,20931,26631573.0,2.55,0.58,0.07,0.83
2025-02-05,001216,12.33,12.16,12.33,12.08,20329,25513408.0,2.04,-0.57,-0.07,0.81
2025-02-06,001216,12.16,12.33,12.33,12.05,21533,27092932.0,2.3,1.4,0.17,0.85
2025-02-07,001216,12.3,12.37,12.47,12.18,29759,37899904.0,2.35,0.32,0.04,1.18
2025-02-10,001216,12.35,12.4,12.41,12.26,21728,27649216.5,1.21,0.24,0.03,0.86
2025-02-11,001216,12.4,12.38,12.42,12.25,18169,23130543.02,1.37,-0.16,-0.02,0.72
2025-02-12,001216,12.37,12.39,12.47,12.29,19529,24930525.0,1.45,0.08,0.01,0.78
2025-02-13,001216,12.4,12.23,12.42,12.19,18531,23534277.0,1.86,-1.29,-0.16,0.74
2025-02-14,001216,12.24,12.19,12.29,12.16,13546,17087496.0,1.06,-0.33,-0.04,0.54
2025-02-17,001216,12.21,12.32,12.37,12.15,19204,24373094.0,1.8,1.07,0.13,0.76
2025-02-18,001216,12.33,11.99,12.34,11.96,23978,30104762.82,3.08,-2.68,-0.33,0.95
2025-02-19,001216,12.06,12.23,12.25,11.99,18388,23111906.0,2.17,2.0,0.24,0.73
2025-02-20,001216,12.35,12.34,12.51,12.22,30329,38623297.28,2.37,0.9,0.11,1.2
2025-02-21,001216,12.36,12.25,12.4,12.15,26161,33105675.88,2.03,-0.73,-0.09,1.04
2025-02-24,001216,12.25,12.25,12.32,12.07,26597,33489507.68,2.04,0.0,0.0,1.06
2025-02-25,001216,12.26,12.54,12.97,12.16,79773,103557024.42,6.61,2.37,0.29,3.17
2025-02-26,001216,12.6,12.76,12.9,12.54,59786,78559199.66,2.87,1.75,0.22,2.37
2025-02-27,001216,12.74,12.87,12.91,12.57,45180,59322420.5,2.66,0.86,0.11,1.79
2025-02-28,001216,12.83,12.71,13.03,12.68,37199,49245541.02,2.72,-1.24,-0.16,1.48
2025-03-03,001216,12.85,13.09,13.99,12.7,115143,157254252.76,10.15,2.99,0.38,4.57
2025-03-04,001216,12.88,12.99,13.01,12.63,55553,73644356.0,2.9,-0.76,-0.1,2.21
2025-03-05,001216,12.96,12.86,12.98,12.67,34079,44960074.38,2.39,-1.0,-0.13,1.35
2025-03-06,001216,12.83,12.87,12.95,12.76,38674,51283332.82,1.48,0.08,0.01,1.54
2025-03-07,001216,12.81,13.18,13.25,12.8,54655,73480464.44,3.5,2.41,0.31,2.17
2025-03-10,001216,13.24,13.1,13.32,13.05,35800,48573087.0,2.05,-0.61,-0.08,1.42
2025-03-11,001216,12.95,13.4,13.41,12.95,42762,58478178.4,3.51,2.29,0.3,1.7
2025-03-12,001216,13.42,13.31,13.45,13.22,27402,37503327.38,1.72,-0.67,-0.09,1.09
2025-03-13,001216,13.31,13.35,13.37,13.12,32153,43922498.4,1.88,0.3,0.04,1.28
2025-03-14,001216,13.35,13.42,13.58,13.14,33280,45743631.2,3.3,0.52,0.07,1.32
2025-03-17,001216,13.5,13.57,13.68,13.43,30751,42823683.0,1.86,1.12,0.15,1.22
2025-03-18,001216,13.6,13.74,13.76,13.47,29418,41234176.0,2.14,1.25,0.17,1.17
2025-03-19,001216,13.7,13.62,13.82,13.59,22206,31244615.0,1.67,-0.87,-0.12,0.88
2025-03-20,001216,13.57,13.43,13.68,13.42,29697,41379945.0,1.91,-1.4,-0.19,1.18
2025-03-21,001216,13.39,13.3,13.49,13.2,27401,37621738.36,2.16,-0.97,-0.13,1.09
2025-03-24,001216,13.25,13.19,13.48,12.93,30839,41880842.0,4.14,-0.83,-0.11,1.22
2025-03-25,001216,13.08,13.17,13.25,12.96,21858,29570763.0,2.2,-0.15,-0.02,0.87
2025-03-26,001216,13.1,13.43,13.46,13.1,23586,32521957.0,2.73,1.97,0.26,0.94
2025-03-27,001216,13.37,13.28,13.5,13.16,21928,30090478.0,2.53,-1.12,-0.15,0.87
2025-03-28,001216,13.3,13.0,13.31,12.99,19076,25748564.2,2.41,-2.11,-0.28,0.76
2025-03-31,001216,12.94,12.91,13.01,12.7,18833,24968540.0,2.38,-0.69,-0.09,0.75
