日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,001219,13.34,13.47,13.9,13.32,82677,116181168.59,4.35,1.05,0.14,4.36
2025-01-03,001219,13.46,12.81,13.55,12.71,80080,107101025.47,6.24,-4.9,-0.66,4.22
2025-01-06,001219,12.77,12.63,12.9,12.28,39212,50988124.57,4.84,-1.41,-0.18,2.07
2025-01-07,001219,12.59,12.75,12.75,12.41,33749,43874081.17,2.69,0.95,0.12,1.78
2025-01-08,001219,12.62,12.8,12.9,12.42,36211,47443703.7,3.76,0.39,0.05,1.91
2025-01-09,001219,12.78,12.85,13.05,12.62,28127,37335911.25,3.36,0.39,0.05,1.48
2025-01-10,001219,12.87,12.41,12.9,12.38,28573,37177799.7,4.05,-3.42,-0.44,1.51
2025-01-13,001219,12.31,12.44,12.49,12.01,27845,35290890.4,3.87,0.24,0.03,1.47
2025-01-14,001219,12.49,12.94,12.95,12.45,35760,47150384.45,4.02,4.02,0.5,1.88
2025-01-15,001219,12.88,13.1,13.27,12.88,40021,54115958.73,3.01,1.24,0.16,2.11
2025-01-16,001219,13.13,13.19,13.35,13.06,32971,44864612.66,2.21,0.69,0.09,1.74
2025-01-17,001219,13.18,13.29,13.34,13.02,34659,47204446.74,2.43,0.76,0.1,1.83
2025-01-20,001219,13.34,13.3,13.42,13.21,27981,38429913.2,1.58,0.08,0.01,1.47
2025-01-21,001219,13.3,13.15,13.4,13.11,23228,31574464.77,2.18,-1.13,-0.15,1.22
2025-01-22,001219,13.16,12.93,13.18,12.91,22830,30630692.54,2.05,-1.67,-0.22,1.2
2025-01-23,001219,13.0,12.83,13.18,12.83,24633,33080570.97,2.71,-0.77,-0.1,1.3
2025-01-24,001219,12.83,12.85,12.98,12.71,26605,35197251.95,2.1,0.16,0.02,1.4
2025-01-27,001219,12.87,12.85,13.14,12.82,22689,30327074.72,2.49,0.0,0.0,1.2
2025-02-05,001219,12.92,12.61,13.02,12.56,30471,39802943.1,3.58,-1.87,-0.24,1.61
2025-02-06,001219,12.57,12.8,12.82,12.48,30269,39498825.04,2.7,1.51,0.19,1.59
2025-02-07,001219,12.78,12.89,13.05,12.74,35512,47291647.4,2.42,0.7,0.09,1.87
2025-02-10,001219,12.88,13.05,13.05,12.82,43251,57723070.41,1.78,1.24,0.16,2.28
2025-02-11,001219,13.02,12.97,13.11,12.9,32566,43590914.87,1.61,-0.61,-0.08,1.72
2025-02-12,001219,12.9,12.9,13.03,12.73,34541,45827144.68,2.31,-0.54,-0.07,1.82
2025-02-13,001219,12.75,12.75,12.91,12.73,29868,39392796.08,1.4,-1.16,-0.15,1.57
2025-02-14,001219,12.75,12.7,12.75,12.63,27602,36115892.01,0.94,-0.39,-0.05,1.45
2025-02-17,001219,12.73,12.78,12.82,12.64,32128,42212655.22,1.42,0.63,0.08,1.69
2025-02-18,001219,12.76,12.49,12.8,12.46,45783,59530429.43,2.66,-2.27,-0.29,2.41
2025-02-19,001219,12.53,12.54,12.55,12.38,26663,34299564.5,1.36,0.4,0.05,1.4
2025-02-20,001219,12.54,12.66,12.74,12.5,28099,36711295.69,1.91,0.96,0.12,1.48
2025-02-21,001219,12.67,12.55,12.69,12.47,27078,35014605.58,1.74,-0.87,-0.11,1.43
2025-02-24,001219,12.51,12.61,12.72,12.51,26978,35166352.39,1.67,0.48,0.06,1.42
2025-02-25,001219,12.6,12.44,12.61,12.41,23617,30418438.28,1.59,-1.35,-0.17,1.24
2025-02-26,001219,12.46,12.54,12.56,12.41,21587,27797667.25,1.21,0.8,0.1,1.14
2025-02-27,001219,12.56,12.83,12.83,12.49,52628,68920836.04,2.71,2.31,0.29,2.77
2025-02-28,001219,12.86,12.59,12.95,12.56,48358,63719435.9,3.04,-1.87,-0.24,2.55
2025-03-03,001219,12.6,12.48,12.75,12.41,31392,40825484.68,2.7,-0.87,-0.11,1.65
2025-03-04,001219,12.42,12.47,12.49,12.34,21080,26997592.64,1.2,-0.08,-0.01,1.11
2025-03-05,001219,12.47,12.39,12.48,12.25,23085,29381335.81,1.84,-0.64,-0.08,1.22
2025-03-06,001219,12.39,12.42,12.44,12.32,24701,31599826.99,0.97,0.24,0.03,1.3
2025-03-07,001219,12.42,12.4,12.45,12.3,21667,27668495.7,1.21,-0.16,-0.02,1.14
2025-03-10,001219,12.38,12.47,12.48,12.38,20153,25850506.74,0.81,0.56,0.07,1.06
2025-03-11,001219,12.4,12.58,12.59,12.35,25819,33327598.24,1.92,0.88,0.11,1.36
