日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,001222,15.68,16.2,16.84,15.68,72182,119429555.65,7.4,3.32,0.52,9.19
2025-01-03,001222,16.14,16.69,17.11,15.6,95654,159808630.78,9.32,3.02,0.49,12.18
2025-01-06,001222,16.7,16.83,17.71,15.8,96068,162723652.2,11.44,0.84,0.14,12.23
2025-01-07,001222,16.64,16.76,16.95,16.08,70044,116646799.76,5.17,-0.42,-0.07,8.92
2025-01-08,001222,16.54,16.41,16.68,15.86,56441,92812523.2,4.89,-2.09,-0.35,7.19
2025-01-09,001222,16.26,16.12,16.68,16.06,44287,72805044.66,3.78,-1.77,-0.29,5.64
2025-01-10,001222,16.14,15.24,16.24,15.22,57733,91422934.8,6.33,-5.46,-0.88,7.35
2025-01-13,001222,15.01,14.78,15.03,14.46,31890,47505899.6,3.74,-3.02,-0.46,4.06
2025-01-14,001222,14.85,15.43,15.45,14.85,35285,54234956.0,4.06,4.4,0.65,4.49
2025-01-15,001222,15.55,16.99,16.99,15.55,69567,116690267.3,9.33,10.11,1.56,8.86
2025-01-16,001222,16.72,16.88,17.51,16.59,131693,226115766.18,5.41,-0.65,-0.11,16.77
2025-01-17,001222,16.63,17.29,18.15,16.63,149505,261450213.8,9.0,2.43,0.41,19.03
2025-01-20,001222,17.3,17.12,17.53,17.01,93401,162494523.0,3.01,-0.98,-0.17,11.89
2025-01-21,001222,17.25,16.98,17.35,16.61,62181,105733149.2,4.32,-0.82,-0.14,7.92
2025-01-22,001222,16.98,16.88,17.09,16.58,48566,82298293.6,3.0,-0.59,-0.1,6.18
2025-01-23,001222,17.0,16.47,17.06,16.47,54339,91712171.1,3.5,-2.43,-0.41,6.92
2025-01-24,001222,16.48,16.73,16.73,16.32,39056,65289343.46,2.49,1.58,0.26,4.97
2025-01-27,001222,16.74,16.73,17.02,16.58,43910,74416210.0,2.63,0.0,0.0,5.59
2025-02-05,001222,16.72,15.91,16.73,15.73,62786,101556556.6,5.98,-4.9,-0.82,7.99
2025-02-06,001222,15.9,16.22,16.29,15.77,42894,69794189.62,3.27,1.95,0.31,5.46
2025-02-07,001222,16.29,16.5,16.65,16.1,40601,67169711.6,3.39,1.73,0.28,5.17
2025-02-10,001222,16.5,16.57,16.65,16.27,30635,50855163.4,2.3,0.42,0.07,3.9
2025-02-11,001222,16.56,16.65,16.79,16.48,34375,57627274.8,1.87,0.48,0.08,4.38
2025-02-12,001222,16.66,16.49,16.81,16.4,28100,46825233.0,2.46,-0.96,-0.16,3.58
2025-02-13,001222,16.49,16.18,16.49,16.04,27297,44673865.2,2.73,-1.88,-0.31,3.48
2025-02-14,001222,16.07,16.11,16.25,15.9,24940,40462823.6,2.16,-0.43,-0.07,3.18
2025-02-17,001222,16.1,16.17,16.3,16.0,25132,40919724.0,1.86,0.37,0.06,3.2
2025-02-18,001222,16.19,15.44,16.31,15.4,38486,61295365.2,5.63,-4.51,-0.73,4.9
2025-02-19,001222,15.45,15.73,15.73,15.45,22114,34936434.6,1.81,1.88,0.29,2.82
2025-02-20,001222,15.7,15.74,15.93,15.5,26646,42239113.2,2.73,0.06,0.01,3.39
2025-02-21,001222,15.78,15.47,15.8,15.36,27436,42907924.4,2.8,-1.72,-0.27,3.49
2025-02-24,001222,15.47,15.46,15.6,15.26,23923,37241468.0,2.2,-0.06,-0.01,3.05
2025-02-25,001222,15.34,15.21,15.39,15.15,17234,26572455.28,1.55,-1.62,-0.25,2.19
2025-02-26,001222,15.24,15.46,15.72,15.24,28668,44855209.6,3.16,1.64,0.25,3.65
2025-02-27,001222,15.46,15.9,15.95,15.46,56428,89729158.02,3.17,2.85,0.44,7.18
2025-02-28,001222,15.75,15.59,16.2,15.53,50223,79815029.8,4.21,-1.95,-0.31,6.39
2025-03-03,001222,15.7,15.42,16.01,15.29,35318,55725572.0,4.62,-1.09,-0.17,4.5
2025-03-04,001222,15.28,15.38,15.5,15.18,21692,33646106.6,2.08,-0.26,-0.04,2.76
2025-03-05,001222,15.39,15.15,15.5,15.0,24670,37639456.04,3.25,-1.5,-0.23,3.14
2025-03-06,001222,15.21,15.21,15.22,15.05,21546,32969423.2,1.12,0.4,0.06,2.74
2025-03-07,001222,15.17,15.22,15.37,15.05,26739,41070059.75,2.1,0.07,0.01,3.4
2025-03-10,001222,15.19,15.31,15.36,15.14,14822,22813013.6,1.45,0.59,0.09,1.89
2025-03-11,001222,15.18,15.31,15.31,15.02,15151,23198785.6,1.89,0.0,0.0,1.93
2025-03-12,001222,15.27,15.67,15.93,15.27,37394,58775499.8,4.31,2.35,0.36,4.76
2025-03-13,001222,15.71,15.84,16.04,15.48,44827,71414173.8,3.57,1.08,0.17,5.71
2025-03-14,001222,15.84,16.2,16.4,15.75,59649,97192694.6,4.1,2.27,0.36,7.59
2025-03-17,001222,16.26,16.01,16.5,15.97,47415,77335623.6,3.27,-1.17,-0.19,6.04
2025-03-18,001222,16.08,16.7,16.85,15.77,72948,120422217.6,6.75,4.31,0.69,9.29
2025-03-19,001222,16.71,16.43,16.71,16.32,31343,52086596.6,2.34,-1.62,-0.27,3.99
2025-03-20,001222,16.45,16.24,16.59,16.23,22055,36314293.8,2.19,-1.16,-0.19,2.81
2025-03-21,001222,16.22,15.95,16.25,15.85,20661,33442619.43,2.46,-1.79,-0.29,2.63
2025-03-24,001222,16.03,16.5,16.51,15.83,53265,87204869.45,4.26,3.45,0.55,6.78
2025-03-25,001222,16.36,16.15,16.49,15.88,36449,59290745.52,3.7,-2.12,-0.35,4.64
2025-03-26,001222,16.16,16.3,16.49,16.05,27576,45445500.0,2.72,0.93,0.15,3.51
2025-03-27,001222,16.29,16.12,16.51,16.03,24900,40851271.6,2.94,-1.1,-0.18,3.17
2025-03-28,001222,16.14,15.68,16.35,15.66,34273,55152159.8,4.28,-2.73,-0.44,4.36
2025-03-31,001222,15.37,15.27,15.58,15.07,24676,38108846.4,3.25,-2.61,-0.41,3.14
2025-04-01,001222,15.32,15.45,15.73,15.32,17547,27524286.2,2.69,1.18,0.18,2.23
2025-04-02,001222,15.47,15.67,15.87,15.35,20801,32992129.2,3.37,1.42,0.22,2.65
2025-04-03,001222,15.39,14.88,15.44,14.7,49668,74857116.4,4.72,-5.04,-0.79,6.32
2025-04-07,001222,13.93,13.38,14.09,13.38,16445,22499714.8,4.77,-10.08,-1.5,2.09
2025-04-08,001222,12.9,12.33,13.18,12.04,66441,83902504.8,8.52,-7.85,-1.05,8.46
2025-04-09,001222,11.95,12.26,12.33,11.18,49312,59271018.6,9.33,-0.57,-0.07,6.28
2025-04-10,001222,12.81,13.5,13.5,12.81,31932,42947276.8,5.63,10.11,1.24,4.07
2025-04-11,001222,13.49,13.32,13.49,12.99,45567,60920516.88,3.7,-1.33,-0.18,5.8
2025-04-14,001222,13.47,13.67,13.93,13.37,41171,57114991.04,4.2,2.63,0.35,5.24
2025-04-15,001222,13.67,13.76,13.93,13.49,27179,37740286.4,3.22,0.66,0.09,3.46
2025-04-16,001222,13.78,13.51,13.85,13.19,20471,27902811.6,4.8,-1.82,-0.25,2.61
2025-04-17,001222,13.52,13.9,14.08,13.29,33085,46378852.6,5.85,2.89,0.39,4.21
2025-04-18,001222,13.95,13.86,14.2,13.66,30908,43433779.0,3.88,-0.29,-0.04,3.94
2025-04-21,001222,13.93,15.26,15.26,13.74,100008,150259147.8,10.97,10.1,1.4,12.73
2025-04-22,001222,14.67,14.8,14.95,14.43,121206,180368659.6,3.41,-3.01,-0.46,15.43
2025-04-23,001222,14.71,14.86,15.03,14.57,88896,133335616.04,3.11,0.41,0.06,11.32
2025-04-24,001222,14.36,15.54,16.36,14.34,204173,322545066.23,13.59,4.58,0.68,25.99
2025-04-25,001222,15.02,14.66,15.34,14.65,135892,204624327.64,4.44,-5.66,-0.88,17.3
2025-04-28,001222,14.69,13.94,14.77,13.85,83766,119283665.66,6.28,-4.91,-0.72,10.66
2025-04-29,001222,13.81,14.19,14.74,13.67,72082,103397016.44,7.68,1.79,0.25,9.18
2025-04-30,001222,14.35,14.49,15.39,14.35,65131,97101182.2,7.33,2.11,0.3,8.29
2025-05-06,001222,14.83,15.04,15.15,14.64,61178,92560868.6,3.52,3.8,0.55,7.79
2025-05-07,001222,15.27,14.92,15.5,14.81,49022,74957230.02,4.59,-0.8,-0.12,6.24
2025-05-08,001222,14.85,14.99,15.29,14.85,40019,60848071.2,2.95,0.47,0.07,5.1
2025-05-09,001222,14.97,15.24,15.7,14.9,64964,100018586.3,5.34,1.67,0.25,8.27
2025-05-12,001222,15.34,15.47,16.03,15.3,54332,84897606.6,4.79,1.51,0.23,6.92
2025-05-13,001222,15.83,15.73,15.88,15.5,55710,88271788.08,2.46,1.68,0.26,7.09
2025-05-14,001222,15.69,15.91,16.11,15.35,68852,109617078.77,4.83,1.14,0.18,8.77
2025-05-15,001222,15.85,16.32,16.85,15.7,103197,169789352.4,7.23,2.58,0.41,13.14
2025-05-16,001222,16.24,16.98,17.25,15.98,143846,243194277.7,7.78,4.04,0.66,18.31
2025-05-19,001222,16.72,18.69,18.69,16.51,146278,258362571.49,12.84,10.07,1.71,18.62
2025-05-20,001222,18.78,20.57,20.57,18.69,181025,363647333.75,10.06,10.06,1.88,23.05
2025-05-21,001222,21.64,20.54,22.64,20.13,354712,771947762.84,12.2,-0.15,-0.03,45.16
2025-05-22,001222,19.53,18.47,21.45,18.47,267566,525523788.0,14.51,-10.08,-2.07,34.07
2025-05-23,001222,18.36,18.7,19.33,18.05,201607,382324992.65,6.93,1.25,0.23,25.67
2025-05-26,001222,18.23,18.59,18.83,17.96,156710,289700583.37,4.65,-0.59,-0.11,19.95
2025-05-27,001222,18.29,19.24,19.64,18.06,212329,402738083.9,8.5,3.5,0.65,27.03
2025-05-28,001222,18.75,18.29,18.92,17.73,143655,263981358.88,6.19,-4.94,-0.95,18.3
2025-05-29,001222,18.1,17.84,18.23,17.78,110572,200352414.0,2.46,-2.46,-0.45,14.08
2025-05-30,001222,17.61,17.66,18.03,17.53,69294,124040766.31,2.8,-1.01,-0.18,8.83
2025-06-03,001222,17.5,18.54,18.9,17.5,128909,238526523.88,7.93,4.98,0.88,16.42
2025-06-04,001222,18.47,19.75,20.03,18.47,199563,389129886.26,8.41,6.53,1.21,25.42
2025-06-05,001222,19.65,20.13,21.1,19.55,177410,363975816.41,7.85,1.92,0.38,22.6
2025-06-06,001222,20.18,19.75,20.37,19.58,108563,217372906.76,3.92,-1.89,-0.38,13.83
2025-06-09,001222,20.1,19.67,20.28,19.55,63888,127613540.2,3.7,-0.41,-0.08,8.14
2025-06-10,001222,19.65,20.35,21.14,19.55,112439,231039787.6,8.08,3.46,0.68,14.32
2025-06-11,001222,20.54,20.48,21.1,20.25,89444,185907317.22,4.18,0.64,0.13,11.39
2025-06-12,001222,20.4,21.53,22.29,20.4,127947,276131881.26,9.23,5.13,1.05,16.3
2025-06-13,001222,21.51,22.22,22.95,21.06,135269,302647850.97,8.78,3.2,0.69,17.23
2025-06-16,001222,21.85,21.48,22.14,21.06,97606,211092681.4,4.86,-3.33,-0.74,12.43
2025-06-17,001222,21.51,20.8,21.73,20.64,66381,139984402.84,5.07,-3.17,-0.68,8.45
2025-06-18,001222,20.55,20.6,20.84,20.23,47970,99291300.2,2.93,-0.96,-0.2,6.11
2025-06-19,001222,20.74,19.8,20.84,19.65,62756,126150208.8,5.78,-3.88,-0.8,7.99
2025-06-20,001222,19.73,19.68,20.28,19.64,45490,90992540.2,3.23,-0.61,-0.12,5.79
2025-06-23,001222,19.64,19.74,20.33,19.39,49211,98012464.4,4.78,0.3,0.06,6.27
2025-06-24,001222,19.95,20.27,20.89,19.8,75318,155035768.6,5.52,2.68,0.53,9.59
2025-06-25,001222,20.5,19.95,20.94,19.77,62528,126904157.96,5.77,-1.58,-0.32,7.96
2025-06-26,001222,19.96,19.42,19.96,19.21,57193,112100971.6,3.76,-2.66,-0.53,7.28
2025-06-27,001222,19.4,19.49,19.88,19.22,32749,63719610.2,3.4,0.36,0.07,4.17
2025-06-30,001222,19.4,19.72,19.78,19.21,41015,80269801.8,2.92,1.18,0.23,5.22
