日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,001231,16.48,16.47,17.05,16.28,13560,22776482.14,4.66,-0.42,-0.07,3.75
2025-01-03,001231,17.08,16.0,17.08,15.8,17146,27951261.58,7.77,-2.85,-0.47,4.75
2025-01-06,001231,16.1,16.04,16.19,15.27,13264,21201675.0,5.75,0.25,0.04,3.67
2025-01-07,001231,15.93,16.83,17.25,15.93,33360,56281934.66,8.23,4.93,0.79,9.23
2025-01-08,001231,16.98,18.53,18.53,16.75,68086,121809010.24,10.58,10.1,1.7,18.85
2025-01-09,001231,18.18,18.3,18.7,17.88,60662,111521579.58,4.43,-1.24,-0.23,16.79
2025-01-10,001231,18.06,18.37,19.95,17.94,80238,151575053.06,10.98,0.38,0.07,22.21
2025-01-13,001231,17.85,18.68,18.77,17.54,57390,106378144.48,6.7,1.69,0.31,15.89
2025-01-14,001231,18.56,19.08,19.26,18.23,105109,200614984.94,5.51,2.14,0.4,29.1
2025-01-15,001231,18.85,18.72,18.94,18.05,66640,124090415.9,4.66,-1.89,-0.36,18.45
2025-01-16,001231,18.7,17.52,18.84,17.37,80882,146324137.85,7.85,-6.41,-1.2,22.39
2025-01-17,001231,17.12,16.59,17.12,16.22,59332,98670310.7,5.14,-5.31,-0.93,16.42
2025-01-20,001231,16.38,16.95,17.15,16.25,48917,82634472.0,5.42,2.17,0.36,13.54
2025-01-21,001231,16.9,17.11,17.19,16.4,40432,68553702.0,4.66,0.94,0.16,11.19
2025-01-22,001231,16.93,16.74,17.35,16.62,26648,45443856.95,4.27,-2.16,-0.37,7.38
2025-01-23,001231,16.88,16.85,17.21,16.74,27938,47759227.0,2.81,0.66,0.11,7.73
2025-01-24,001231,16.86,16.7,16.93,16.56,20136,33849927.0,2.2,-0.89,-0.15,5.57
2025-01-27,001231,16.8,17.55,17.83,16.8,56420,99007563.5,6.17,5.09,0.85,15.62
2025-02-05,001231,17.59,17.22,17.69,16.87,37266,64855153.0,4.67,-1.88,-0.33,10.32
2025-02-06,001231,17.19,17.15,17.2,16.74,30882,52997105.0,2.67,-0.41,-0.07,8.55
2025-02-07,001231,17.12,17.3,17.3,16.96,32660,56613383.25,1.98,0.87,0.15,9.04
2025-02-10,001231,17.3,17.49,17.49,17.14,24574,42938449.25,2.02,1.1,0.19,6.8
2025-02-11,001231,17.51,17.33,17.55,17.2,16573,28913658.5,2.0,-0.91,-0.16,4.59
2025-02-12,001231,17.36,17.29,17.43,17.13,17483,30444687.0,1.73,-0.23,-0.04,4.84
2025-02-13,001231,17.3,17.08,17.35,17.03,17949,31083025.5,1.85,-1.21,-0.21,4.97
2025-02-14,001231,16.98,16.92,17.21,16.86,14431,24780500.0,2.05,-0.94,-0.16,3.99
2025-02-17,001231,16.97,17.64,17.64,16.95,28700,50134368.5,4.08,4.26,0.72,7.94
2025-02-18,001231,17.65,17.3,18.3,17.28,38369,68489012.0,5.78,-1.93,-0.34,10.62
2025-02-19,001231,17.22,17.48,17.5,17.05,21909,38312379.25,2.6,1.04,0.18,6.06
2025-02-20,001231,17.48,17.64,17.64,17.35,15766,27802555.5,1.66,0.92,0.16,4.36
2025-02-21,001231,17.61,17.34,17.7,17.17,19271,33684924.5,3.0,-1.7,-0.3,5.33
2025-02-24,001231,17.86,17.69,18.2,17.56,43184,77870903.5,3.69,2.02,0.35,11.95
2025-02-25,001231,17.34,17.27,17.59,17.18,27028,47213857.25,2.32,-2.37,-0.42,7.48
2025-02-26,001231,17.2,17.36,17.51,17.2,17531,30761838.0,1.8,0.52,0.09,4.85
2025-02-27,001231,17.4,17.25,17.43,16.94,21942,37914315.0,2.82,-0.63,-0.11,6.07
2025-02-28,001231,17.23,16.89,17.37,16.85,15247,26215098.0,3.01,-2.09,-0.36,4.22
2025-03-03,001231,16.89,17.19,17.3,16.89,15859,27504575.0,2.43,1.78,0.3,4.39
2025-03-04,001231,17.3,17.41,17.47,17.12,13037,22809116.0,2.04,1.28,0.22,3.61
2025-03-05,001231,17.45,17.28,17.53,17.06,12690,22030454.64,2.7,-0.75,-0.13,3.51
2025-03-06,001231,17.36,17.65,17.69,17.25,22307,39475784.22,2.55,2.14,0.37,6.18
2025-03-07,001231,17.56,17.45,17.68,17.34,13172,23239292.0,1.93,-1.13,-0.2,3.65
2025-03-10,001231,17.45,17.69,17.81,17.45,16858,30052248.04,2.06,1.38,0.24,4.67
2025-03-11,001231,17.46,17.77,17.78,17.46,12639,22476264.0,1.81,0.45,0.08,3.5
2025-03-12,001231,17.79,17.79,17.93,17.66,12867,23071022.0,1.52,0.11,0.02,3.56
2025-03-13,001231,17.73,17.7,17.86,17.41,12840,22828009.44,2.53,-0.51,-0.09,3.55
2025-03-14,001231,17.69,17.86,17.87,17.46,16904,30170301.68,2.32,0.9,0.16,4.68
2025-03-17,001231,17.94,18.09,18.1,17.74,16863,30576321.63,2.02,1.29,0.23,4.67
2025-03-18,001231,18.21,18.18,18.21,18.0,13550,24747736.76,1.16,0.5,0.09,3.75
2025-03-19,001231,18.11,18.05,18.19,17.97,11018,20053294.72,1.21,-0.72,-0.13,3.05
2025-03-20,001231,18.04,18.05,18.22,17.81,12227,22227611.92,2.27,0.0,0.0,3.38
2025-03-21,001231,17.95,17.78,18.1,17.65,14714,26431645.0,2.49,-1.5,-0.27,4.07
2025-03-24,001231,17.73,16.77,17.78,16.43,29916,51289084.0,7.59,-5.68,-1.01,8.28
2025-03-25,001231,16.77,17.11,17.28,16.53,21271,36222111.68,4.47,2.03,0.34,5.89
2025-03-26,001231,17.11,17.61,17.74,16.95,22256,39377833.74,4.62,2.92,0.5,6.16
2025-03-27,001231,17.56,17.52,17.79,17.23,14310,25316722.0,3.18,-0.51,-0.09,3.96
2025-03-28,001231,17.53,17.03,17.64,16.89,15644,27049615.0,4.28,-2.8,-0.49,4.33
2025-03-31,001231,17.02,16.78,17.1,16.44,18265,30766444.0,3.88,-1.47,-0.25,5.06
2025-04-01,001231,16.75,17.24,17.53,16.75,16799,29275707.03,4.65,2.74,0.46,4.65
2025-04-02,001231,17.27,17.25,17.5,17.15,11567,20261203.0,2.03,0.06,0.01,3.2
2025-04-03,001231,17.05,17.19,17.3,16.84,13386,23038556.0,2.67,-0.35,-0.06,3.71
2025-04-07,001231,16.38,15.46,16.68,15.46,22571,35829036.0,7.1,-10.06,-1.73,6.13
2025-04-08,001231,15.35,16.23,16.5,15.16,38403,61668785.22,8.67,4.98,0.77,10.77
2025-04-09,001231,15.95,15.88,16.02,14.59,37762,58789394.0,8.81,-2.16,-0.35,10.59
2025-04-10,001231,15.96,16.26,16.34,15.95,27559,45014855.88,2.46,2.39,0.38,7.73
2025-04-11,001231,16.05,16.01,16.47,15.97,19018,30994312.44,3.08,-1.54,-0.25,5.34
2025-04-14,001231,16.22,16.49,16.55,16.19,16436,27220777.88,2.25,3.0,0.48,4.61
2025-04-15,001231,16.5,16.74,16.82,16.42,11738,19655605.29,2.43,1.52,0.25,3.29
2025-04-16,001231,16.56,16.42,16.81,16.23,13933,23140496.0,3.46,-1.91,-0.32,3.91
2025-04-17,001231,16.35,16.74,16.83,16.33,12534,21067249.0,3.05,1.95,0.32,3.52
2025-04-18,001231,16.74,16.65,16.78,16.39,9752,16355466.6,2.33,-0.54,-0.09,2.74
2025-04-21,001231,16.64,16.94,17.1,16.52,11871,20247844.0,3.48,1.74,0.29,3.33
2025-04-22,001231,16.89,17.36,17.45,16.89,17469,30411358.0,3.31,2.48,0.42,4.9
2025-04-23,001231,17.27,17.45,17.48,17.18,13881,24353369.0,1.73,0.52,0.09,3.89
2025-04-24,001231,17.49,17.5,17.65,17.23,16130,28441269.0,2.41,0.29,0.05,4.53
2025-04-25,001231,17.5,17.39,17.55,17.16,13537,23670606.0,2.23,-0.63,-0.11,3.8
2025-04-28,001231,17.43,17.5,17.6,17.23,17326,30521046.0,2.13,0.63,0.11,4.86
2025-04-29,001231,17.5,17.9,18.04,17.41,17724,31900327.0,3.6,2.29,0.4,4.97
2025-04-30,001231,18.1,18.06,18.12,17.8,13877,25237267.0,1.79,0.89,0.16,3.89
2025-05-06,001231,18.15,18.44,18.58,18.12,18677,34665327.87,2.55,2.1,0.38,5.24
2025-05-07,001231,18.63,18.69,19.05,18.5,20713,39214962.52,2.98,1.36,0.25,5.81
2025-05-08,001231,18.93,18.98,19.1,18.7,15523,29601111.0,2.14,1.55,0.29,4.36
2025-05-09,001231,18.88,18.72,19.09,18.59,17601,33287004.0,2.63,-1.37,-0.26,4.94
2025-05-12,001231,18.8,18.65,19.03,18.51,15203,28672221.0,2.78,-0.37,-0.07,4.27
2025-05-13,001231,18.73,18.68,18.91,18.55,12276,23160088.0,1.93,0.16,0.03,3.44
2025-05-14,001231,18.68,18.47,18.91,18.36,12156,22742124.45,2.94,-1.12,-0.21,3.41
2025-05-15,001231,18.47,18.7,18.8,18.36,11986,22497560.0,2.38,1.25,0.23,3.36
2025-05-16,001231,18.91,18.89,18.96,18.41,11642,22066600.0,2.94,1.02,0.19,3.27
2025-05-19,001231,18.99,18.98,19.19,18.71,11488,21946684.0,2.54,0.48,0.09,3.22
2025-05-20,001231,18.98,19.32,19.32,18.85,11350,21892796.08,2.48,1.79,0.34,3.18
2025-05-21,001231,19.35,19.08,19.44,19.01,11755,22701498.0,2.23,-1.24,-0.24,3.3
2025-05-22,001231,18.89,18.9,19.4,18.7,18367,35264020.81,3.67,-0.94,-0.18,5.15
2025-05-23,001231,18.6,18.69,19.91,18.55,27912,53595975.0,7.2,-1.11,-0.21,7.83
2025-05-26,001231,18.78,18.73,18.97,18.41,17072,32181032.0,3.0,0.21,0.04,4.79
2025-05-27,001231,18.72,19.2,20.13,18.53,35010,67751179.24,8.54,2.51,0.47,9.82
2025-05-28,001231,19.22,18.94,19.84,18.75,28223,54410196.82,5.68,-1.35,-0.26,7.92
2025-05-29,001231,18.85,19.04,19.16,18.65,19404,37136734.0,2.69,0.53,0.1,5.44
2025-05-30,001231,19.04,18.75,19.2,18.71,12425,23587892.0,2.57,-1.52,-0.29,3.49
2025-06-03,001231,18.65,19.06,19.09,18.65,13810,26436980.0,2.35,1.65,0.31,3.87
2025-06-04,001231,19.16,19.23,19.3,18.88,12892,24825518.0,2.2,0.89,0.17,3.62
2025-06-05,001231,19.24,19.48,19.64,19.09,27213,53276036.65,2.86,1.3,0.25,7.64
