日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,001258,7.91,8.04,8.41,7.73,461671,372177484.77,8.56,1.26,0.1,9.85
2025-01-03,001258,7.98,7.3,8.03,7.24,411211,312183957.32,9.83,-9.2,-0.74,8.77
2025-01-06,001258,7.08,6.9,7.23,6.83,285775,201027805.7,5.48,-5.48,-0.4,6.1
2025-01-07,001258,6.93,6.85,7.06,6.61,239284,162098040.48,6.52,-0.72,-0.05,5.11
2025-01-08,001258,6.73,6.68,6.76,6.47,235807,156654590.0,4.23,-2.48,-0.17,5.03
2025-01-09,001258,6.68,6.61,6.73,6.58,154370,103132057.0,2.25,-1.05,-0.07,3.29
2025-01-10,001258,6.58,6.26,6.62,6.26,189796,122409202.0,5.45,-5.3,-0.35,4.05
2025-01-13,001258,6.19,6.21,6.24,6.05,116768,72195765.0,3.04,-0.8,-0.05,2.49
2025-01-14,001258,6.21,6.36,6.38,6.21,167141,105893988.0,2.74,2.42,0.15,3.57
2025-01-15,001258,6.36,6.3,6.36,6.24,126967,80106118.0,1.89,-0.94,-0.06,2.71
2025-01-16,001258,6.31,6.39,6.5,6.31,156465,100460764.0,3.02,1.43,0.09,3.34
2025-01-17,001258,6.38,6.34,6.38,6.27,99560,63081248.82,1.72,-0.78,-0.05,2.12
2025-01-20,001258,6.36,6.4,6.42,6.3,96078,61434516.77,1.89,0.95,0.06,2.05
2025-01-21,001258,6.42,6.35,6.43,6.28,94983,60387472.92,2.34,-0.78,-0.05,2.03
2025-01-22,001258,6.31,6.32,6.4,6.29,71023,45104723.0,1.73,-0.47,-0.03,1.52
2025-01-23,001258,6.32,6.21,6.45,6.2,130072,82649452.0,3.96,-1.74,-0.11,2.78
2025-01-24,001258,6.21,6.22,6.25,6.16,89837,55936503.04,1.45,0.16,0.01,1.92
2025-01-27,001258,6.26,6.2,6.35,6.2,77738,48922134.0,2.41,-0.32,-0.02,1.66
2025-02-05,001258,6.22,6.21,6.25,6.16,66045,41113108.0,1.45,0.16,0.01,1.41
2025-02-06,001258,6.19,6.29,6.3,6.15,81964,51268023.0,2.42,1.29,0.08,1.75
2025-02-07,001258,6.28,6.37,6.45,6.27,128902,82390145.55,2.86,1.27,0.08,2.75
2025-02-10,001258,6.52,6.5,6.58,6.45,127924,83259641.0,2.04,2.04,0.13,2.73
2025-02-11,001258,6.49,6.56,6.6,6.42,129034,84301756.94,2.77,0.92,0.06,2.75
2025-02-12,001258,6.53,6.59,6.63,6.51,105389,69468147.0,1.83,0.46,0.03,2.25
2025-02-13,001258,6.57,6.53,6.6,6.52,77828,51154520.0,1.21,-0.91,-0.06,1.66
2025-02-14,001258,6.52,6.47,6.55,6.43,69718,45258172.08,1.84,-0.92,-0.06,1.49
2025-02-17,001258,6.47,6.56,6.58,6.44,82932,54245669.98,2.16,1.39,0.09,1.77
2025-02-18,001258,6.6,6.45,6.61,6.42,86188,56382963.04,2.9,-1.68,-0.11,1.84
2025-02-19,001258,6.45,6.47,6.48,6.39,84062,54293208.0,1.4,0.31,0.02,1.79
2025-02-20,001258,6.47,6.48,6.49,6.37,89159,57543421.0,1.85,0.15,0.01,1.9
2025-02-21,001258,6.46,6.43,6.49,6.38,83494,53751972.0,1.7,-0.77,-0.05,1.78
2025-02-24,001258,6.43,6.49,6.52,6.41,93118,60508364.78,1.71,0.93,0.06,1.99
2025-02-25,001258,6.43,6.43,6.5,6.4,74590,48219544.0,1.54,-0.92,-0.06,1.59
2025-02-26,001258,6.43,6.52,6.53,6.41,85624,55738365.39,1.87,1.4,0.09,1.83
2025-02-27,001258,6.51,6.55,6.57,6.43,114541,74766179.65,2.15,0.46,0.03,2.44
2025-02-28,001258,6.56,6.45,6.66,6.42,167039,109684894.0,3.66,-1.53,-0.1,3.56
2025-03-03,001258,6.45,6.4,6.55,6.38,116961,75938184.0,2.64,-0.78,-0.05,2.5
2025-03-04,001258,6.38,6.43,6.44,6.34,67426,43172170.0,1.56,0.47,0.03,1.44
2025-03-05,001258,6.42,6.35,6.43,6.28,74731,47403248.93,2.33,-1.24,-0.08,1.59
2025-03-06,001258,6.39,6.34,6.39,6.3,85011,54209153.0,1.42,-0.16,-0.01,1.81
2025-03-07,001258,6.33,6.31,6.35,6.26,76824,48598927.0,1.42,-0.47,-0.03,1.64
2025-03-10,001258,6.33,6.33,6.38,6.29,69120,43915390.92,1.43,0.32,0.02,1.47
2025-03-11,001258,6.3,6.41,6.41,6.25,79820,50813597.0,2.53,1.26,0.08,1.7
2025-03-12,001258,6.43,6.49,6.5,6.41,106275,68867889.36,1.4,1.25,0.08,2.27
2025-03-13,001258,6.5,6.51,6.54,6.43,113277,73710813.71,1.69,0.31,0.02,2.42
2025-03-14,001258,6.51,6.52,6.53,6.43,108507,70602869.08,1.54,0.15,0.01,2.32
2025-03-17,001258,6.51,6.52,6.55,6.48,136090,89024128.29,1.07,0.0,0.0,2.9
2025-03-18,001258,6.53,6.51,6.55,6.46,70473,45861930.0,1.38,-0.15,-0.01,1.5
2025-03-19,001258,6.5,6.88,6.89,6.46,423618,286452633.57,6.61,5.68,0.37,9.04
2025-03-20,001258,6.88,6.76,6.89,6.74,246275,167727342.0,2.18,-1.74,-0.12,5.25
2025-03-21,001258,6.74,7.0,7.13,6.73,356764,248958297.97,5.92,3.55,0.24,7.61
2025-03-24,001258,7.04,7.28,7.36,6.94,492821,353614399.41,6.0,4.0,0.28,10.51
2025-03-25,001258,7.28,7.18,7.48,7.04,381164,277122786.34,6.04,-1.37,-0.1,8.13
2025-03-26,001258,7.07,6.93,7.09,6.89,269569,188232073.46,2.79,-3.48,-0.25,5.75
2025-03-27,001258,6.87,6.69,6.94,6.69,238267,161435660.48,3.61,-3.46,-0.24,5.08
2025-03-28,001258,6.67,6.58,6.77,6.56,146851,98004190.0,3.14,-1.64,-0.11,3.13
2025-03-31,001258,6.57,7.24,7.24,6.55,245230,173906630.7,10.49,10.03,0.66,5.23
2025-04-01,001258,7.78,7.97,7.97,7.49,324866,254029116.72,6.63,10.08,0.73,6.93
2025-04-02,001258,8.52,7.7,8.52,7.58,1036376,833385361.45,11.79,-3.39,-0.27,22.11
2025-04-03,001258,7.57,8.47,8.47,7.57,853541,695104349.05,11.69,10.0,0.77,18.21
2025-04-07,001258,7.97,7.89,9.06,7.83,1126257,944832049.19,14.52,-6.85,-0.58,24.03
2025-04-08,001258,7.74,8.13,8.34,7.59,935823,750714601.03,9.51,3.04,0.24,19.97
2025-04-09,001258,7.73,7.35,7.87,7.32,767849,571392214.87,6.77,-9.59,-0.78,16.38
2025-04-10,001258,7.28,7.67,7.72,7.16,708502,532861143.06,7.62,4.35,0.32,15.12
2025-04-11,001258,7.47,7.28,7.53,7.24,529114,390502522.36,3.78,-5.08,-0.39,11.29
2025-04-14,001258,7.28,7.66,7.68,7.23,599190,453192191.2,6.18,5.22,0.38,12.78
2025-04-15,001258,7.61,7.57,7.64,7.38,451528,338750060.85,3.39,-1.17,-0.09,9.63
2025-04-16,001258,7.5,7.6,7.81,7.46,489372,374466078.03,4.62,0.4,0.03,10.44
2025-04-17,001258,7.46,7.35,7.56,7.22,394563,290998688.71,4.47,-3.29,-0.25,8.42
2025-04-18,001258,7.28,6.94,7.32,6.88,415887,292560782.53,5.99,-5.58,-0.41,8.87
2025-04-21,001258,6.9,7.1,7.15,6.89,300392,213119466.79,3.75,2.31,0.16,6.41
2025-04-22,001258,7.04,6.94,7.18,6.89,284183,199132942.0,4.08,-2.25,-0.16,6.06
2025-04-23,001258,6.99,6.85,7.0,6.82,223312,154169032.22,2.59,-1.3,-0.09,4.76
2025-04-24,001258,6.82,6.93,7.04,6.79,297610,206990994.36,3.65,1.17,0.08,6.35
2025-04-25,001258,6.89,7.21,7.48,6.89,450272,325817438.85,8.51,4.04,0.28,9.61
2025-04-28,001258,7.25,7.03,7.26,7.01,299965,213282360.45,3.47,-2.5,-0.18,6.4
2025-04-29,001258,6.9,6.64,6.94,6.6,291872,195015381.66,4.84,-5.55,-0.39,6.23
2025-04-30,001258,6.64,6.63,6.72,6.61,142987,95375884.0,1.66,-0.15,-0.01,3.05
2025-05-06,001258,6.65,6.81,6.81,6.64,172120,116560118.8,2.56,2.71,0.18,3.67
2025-05-07,001258,6.88,6.87,6.96,6.81,169690,116758319.0,2.2,0.88,0.06,3.62
2025-05-08,001258,6.88,7.03,7.08,6.85,218214,153173512.47,3.35,2.33,0.16,4.66
2025-05-09,001258,7.03,7.06,7.1,6.93,212038,149601967.5,2.42,0.43,0.03,4.52
2025-05-12,001258,7.07,7.0,7.1,6.95,159016,111387231.05,2.12,-0.85,-0.06,3.39
2025-05-13,001258,7.05,7.02,7.05,6.96,133859,94115134.0,1.29,0.29,0.02,2.86
2025-05-14,001258,7.0,7.03,7.04,6.9,126245,88315093.88,1.99,0.14,0.01,2.69
2025-05-15,001258,7.03,6.92,7.06,6.91,125407,87919542.44,2.13,-1.56,-0.11,2.68
2025-05-16,001258,6.88,6.93,7.03,6.86,106193,74124593.91,2.46,0.14,0.01,2.27
2025-05-19,001258,6.92,7.01,7.01,6.9,113234,79230211.31,1.59,1.15,0.08,2.42
2025-05-20,001258,7.0,7.16,7.16,6.97,204502,145427892.15,2.71,2.14,0.15,4.36
2025-05-21,001258,7.13,7.09,7.24,7.08,199287,143147181.0,2.23,-0.98,-0.07,4.25
2025-05-22,001258,7.04,6.91,7.13,6.91,160920,112783731.0,3.1,-2.54,-0.18,3.43
2025-05-23,001258,6.91,6.76,6.91,6.75,145891,99695312.95,2.32,-2.17,-0.15,3.11
2025-05-26,001258,6.75,6.83,6.85,6.71,81356,55537097.0,2.07,1.04,0.07,1.74
2025-05-27,001258,6.82,6.85,6.9,6.79,86358,59232533.48,1.61,0.29,0.02,1.84
2025-05-28,001258,6.85,6.91,7.02,6.75,158405,108874131.33,3.94,0.88,0.06,3.38
2025-05-29,001258,6.88,7.03,7.1,6.83,176920,123827357.64,3.91,1.74,0.12,3.77
2025-05-30,001258,7.09,6.85,7.14,6.83,157504,109165474.35,4.41,-2.56,-0.18,3.36
2025-06-03,001258,6.83,6.86,6.89,6.76,96494,65979019.0,1.9,0.15,0.01,2.06
2025-06-04,001258,6.85,6.88,6.88,6.82,76653,52569394.0,0.87,0.29,0.02,1.64
2025-06-05,001258,7.1,7.57,7.57,7.1,168569,126491489.28,6.83,10.03,0.69,3.6
2025-06-06,001258,7.8,7.33,7.8,7.32,665666,499632798.98,6.34,-3.17,-0.24,14.2
2025-06-09,001258,7.33,7.38,7.39,7.21,309586,226250780.25,2.46,0.68,0.05,6.61
2025-06-10,001258,7.4,7.25,7.4,7.19,237410,172882674.0,2.85,-1.76,-0.13,5.07
2025-06-11,001258,7.25,7.28,7.32,7.19,149613,108738980.0,1.79,0.41,0.03,3.19
2025-06-12,001258,7.28,7.21,7.42,7.16,161245,116417056.0,3.57,-0.96,-0.07,3.44
2025-06-13,001258,7.17,7.21,7.5,7.17,380841,279803677.52,4.58,0.0,0.0,8.13
2025-06-16,001258,7.16,7.33,7.33,7.05,215119,155713269.0,3.88,1.66,0.12,4.59
2025-06-17,001258,7.38,7.28,7.38,7.22,140648,102059955.0,2.18,-0.68,-0.05,3.0
2025-06-18,001258,7.25,7.44,7.6,7.23,343663,256461747.94,5.08,2.2,0.16,7.33
2025-06-19,001258,7.38,7.23,7.4,7.14,220636,159565071.8,3.49,-2.82,-0.21,4.71
2025-06-20,001258,7.21,7.19,7.36,7.12,150261,108571712.0,3.32,-0.55,-0.04,3.21
2025-06-23,001258,7.13,7.17,7.17,6.96,177078,124736839.0,2.92,-0.28,-0.02,3.78
2025-06-24,001258,7.16,7.24,7.24,7.08,162967,117218436.4,2.23,0.98,0.07,3.48
2025-06-25,001258,7.24,7.26,7.29,7.18,155257,112121672.45,1.52,0.28,0.02,3.31
2025-06-26,001258,7.27,7.32,7.52,7.25,247042,182173994.5,3.72,0.83,0.06,5.27
