日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,001287,20.15,19.07,20.28,18.81,158412,310760337.9,7.28,-5.59,-1.13,3.62
2025-01-03,001287,19.1,18.2,19.25,18.12,130072,243726206.43,5.93,-4.56,-0.87,2.97
2025-01-06,001287,18.2,17.99,18.43,17.75,102819,187018147.85,3.74,-1.15,-0.21,2.35
2025-01-07,001287,18.04,18.62,18.63,17.98,102412,188407395.0,3.61,3.5,0.63,2.34
2025-01-08,001287,18.46,18.43,18.67,17.8,111952,206355144.48,4.67,-1.02,-0.19,2.56
2025-01-09,001287,18.31,18.65,18.77,18.24,92198,172954238.16,2.88,1.19,0.22,2.11
2025-01-10,001287,18.59,18.09,18.89,18.09,98335,183670518.49,4.29,-3.0,-0.56,2.25
2025-01-13,001287,17.82,18.22,18.34,17.6,73151,132663149.3,4.09,0.72,0.13,1.67
2025-01-14,001287,18.32,19.44,19.64,18.16,151639,289906668.48,8.12,6.7,1.22,3.47
2025-01-15,001287,19.35,19.35,19.5,19.19,95095,184804166.64,1.59,-0.46,-0.09,2.17
2025-01-16,001287,19.42,19.29,19.72,19.09,85715,167245200.0,3.26,-0.31,-0.06,1.96
2025-01-17,001287,19.13,19.32,19.49,19.07,70796,137514711.6,2.18,0.16,0.03,1.62
2025-01-20,001287,19.48,19.32,19.64,19.25,70422,137398821.17,2.02,0.0,0.0,1.61
2025-01-21,001287,19.45,19.48,19.54,19.18,64568,125699148.0,1.86,0.83,0.16,1.48
2025-01-22,001287,19.45,19.41,19.59,19.27,67607,132051983.58,1.64,-0.36,-0.07,1.55
2025-01-23,001287,19.79,19.26,19.94,19.23,101653,200670772.44,3.66,-0.77,-0.15,2.32
2025-01-24,001287,19.2,19.63,19.71,19.16,94272,184699062.6,2.86,1.92,0.37,2.16
2025-01-27,001287,19.84,19.31,20.24,19.3,107031,211822589.19,4.79,-1.63,-0.32,2.45
2025-02-05,001287,19.79,20.05,20.34,19.58,153843,308734716.52,3.94,3.83,0.74,3.52
2025-02-06,001287,19.89,20.66,20.67,19.85,162617,333644200.54,4.09,3.04,0.61,3.72
2025-02-07,001287,20.72,20.72,21.03,20.34,216936,451589693.47,3.34,0.29,0.06,4.96
2025-02-10,001287,20.75,21.25,21.27,20.62,201894,427527326.48,3.14,2.56,0.53,4.62
2025-02-11,001287,21.26,20.91,21.27,20.8,138885,292558117.88,2.21,-1.6,-0.34,3.18
2025-02-12,001287,20.78,21.01,21.01,20.59,118041,247721397.09,2.01,0.48,0.1,2.7
2025-02-13,001287,21.01,20.57,21.02,20.54,115981,241608114.75,2.28,-2.09,-0.44,2.65
2025-02-14,001287,20.55,20.76,20.84,20.49,80614,167662746.1,1.7,0.92,0.19,1.84
2025-02-17,001287,20.78,20.87,21.07,20.61,112665,236252990.0,2.22,0.53,0.11,2.58
2025-02-18,001287,20.69,20.09,20.89,20.04,106947,220101072.64,4.07,-3.74,-0.78,2.45
2025-02-19,001287,20.09,20.66,20.67,20.04,98911,203755325.14,3.14,2.84,0.57,2.26
2025-02-20,001287,20.66,20.73,20.79,20.53,79955,166233260.27,1.26,0.34,0.07,1.83
2025-02-21,001287,20.89,21.04,21.17,20.63,167983,353553962.87,2.6,1.5,0.31,3.84
2025-02-24,001287,21.19,21.42,21.64,20.94,211563,453842358.1,3.33,1.81,0.38,4.84
2025-02-25,001287,21.24,21.34,21.89,20.99,202835,437542798.12,4.2,-0.37,-0.08,4.64
2025-02-26,001287,21.55,21.69,21.74,21.35,177974,385200745.94,1.83,1.64,0.35,4.07
2025-02-27,001287,21.69,21.48,21.89,21.06,181681,393288960.57,3.83,-0.97,-0.21,4.15
2025-02-28,001287,21.27,20.31,21.43,20.2,145896,303743218.68,5.73,-5.45,-1.17,3.34
