日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,001318,11.19,11.3,11.65,11.18,42966,49943771.62,4.2,0.98,0.11,5.58
2025-01-03,001318,11.25,10.66,11.41,10.64,44582,49459102.0,6.81,-5.66,-0.64,5.79
2025-01-06,001318,10.62,10.46,10.66,10.18,27698,29416070.0,4.5,-1.88,-0.2,3.59
2025-01-07,001318,10.41,10.57,10.6,10.34,20708,22090173.0,2.49,1.05,0.11,2.69
2025-01-08,001318,10.52,10.63,10.7,10.33,22285,23879679.0,3.5,0.57,0.06,2.89
2025-01-09,001318,10.59,10.69,10.77,10.53,21494,23374904.0,2.26,0.56,0.06,2.79
2025-01-10,001318,10.68,10.28,10.68,10.27,19878,21170414.0,3.84,-3.84,-0.41,2.58
2025-01-13,001318,10.14,10.38,10.38,9.93,22516,23306573.0,4.38,0.97,0.1,2.92
2025-01-14,001318,10.42,10.81,10.82,10.41,28430,30828561.01,3.95,4.14,0.43,3.69
2025-01-15,001318,10.82,10.87,11.05,10.8,33631,37263604.17,2.31,0.56,0.06,4.36
2025-01-16,001318,10.87,10.92,11.05,10.8,24560,27296755.0,2.3,0.46,0.05,3.19
2025-01-17,001318,10.9,10.94,10.97,10.75,15030,16639651.11,2.01,0.18,0.02,1.95
2025-01-20,001318,10.98,11.0,11.06,10.85,20036,22375351.0,1.92,0.55,0.06,2.6
2025-01-21,001318,11.0,10.94,11.09,10.85,22467,24995563.0,2.18,-0.55,-0.06,2.92
2025-01-22,001318,10.9,10.73,10.91,10.68,19929,21858619.0,2.1,-1.92,-0.21,2.59
2025-01-23,001318,10.88,10.77,10.96,10.77,22863,25268217.0,1.77,0.37,0.04,2.97
2025-01-24,001318,10.83,10.73,10.83,10.59,22573,24585442.0,2.23,-0.37,-0.04,2.93
2025-01-27,001318,10.73,10.74,11.05,10.73,24953,27669780.0,2.98,0.09,0.01,3.24
2025-02-05,001318,10.83,10.74,10.83,10.62,17722,19291903.38,1.96,0.0,0.0,2.3
2025-02-06,001318,10.73,10.8,10.81,10.63,18428,20148396.15,1.68,0.56,0.06,2.39
2025-02-07,001318,10.82,10.93,11.04,10.77,30813,34216690.0,2.5,1.2,0.13,4.0
2025-02-10,001318,10.93,11.22,11.37,10.92,36187,40857953.0,4.12,2.65,0.29,4.7
2025-02-11,001318,11.27,11.17,11.31,11.04,30872,34939064.0,2.41,-0.45,-0.05,4.01
2025-02-12,001318,11.1,11.08,11.22,10.98,23632,26614504.0,2.15,-0.81,-0.09,3.07
2025-02-13,001318,11.08,11.01,11.15,10.97,22928,25755009.0,1.62,-0.63,-0.07,2.98
2025-02-14,001318,11.03,10.95,11.08,10.91,20460,22814931.33,1.54,-0.54,-0.06,2.66
2025-02-17,001318,10.95,11.09,11.1,10.89,21176,23699279.65,1.92,1.28,0.14,2.75
2025-02-18,001318,11.09,10.82,11.09,10.77,24523,27185826.0,2.89,-2.43,-0.27,3.18
2025-02-19,001318,10.81,11.33,11.33,10.77,56010,63361916.0,5.18,4.71,0.51,7.27
