日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,001328,30.95,31.95,32.16,30.78,24427,79201972.71,4.45,3.03,0.94,5.67
2025-01-03,001328,31.93,34.18,34.46,31.28,50261,171687551.11,9.95,6.98,2.23,11.68
2025-01-06,001328,34.31,35.09,35.62,33.25,45090,159052326.29,6.93,2.66,0.91,10.48
2025-01-07,001328,35.09,35.06,35.25,33.78,27493,97134233.45,4.19,-0.09,-0.03,6.39
2025-01-08,001328,35.28,36.83,37.25,34.35,41942,154645425.82,8.27,5.05,1.77,9.74
2025-01-09,001328,36.15,34.65,36.16,34.36,35887,129108582.38,4.89,-5.92,-2.18,8.34
2025-01-10,001328,34.31,33.2,34.86,33.11,27358,95164634.37,5.05,-4.18,-1.45,6.36
2025-01-13,001328,32.42,34.0,34.69,32.29,29819,103053956.68,7.23,2.41,0.8,6.93
2025-01-14,001328,34.0,34.3,34.96,33.37,23260,81348312.89,4.68,0.88,0.3,5.4
2025-01-15,001328,34.05,33.9,35.5,33.65,17359,61004663.95,5.39,-1.17,-0.4,4.03
2025-01-16,001328,33.72,34.13,35.58,33.72,16935,59992590.0,5.49,0.68,0.23,3.93
2025-01-17,001328,33.47,34.91,35.24,33.47,15415,54451542.0,5.19,2.29,0.78,3.58
2025-01-20,001328,34.91,35.74,35.89,34.52,18571,67217743.38,3.92,2.38,0.83,4.31
2025-01-21,001328,35.38,35.53,35.93,34.75,15350,55336743.14,3.3,-0.59,-0.21,3.57
2025-01-22,001328,35.29,35.05,35.48,34.62,7906,28296783.78,2.42,-1.35,-0.48,1.84
2025-01-23,001328,35.25,34.55,35.62,34.09,12917,45607436.47,4.37,-1.43,-0.5,3.0
2025-01-24,001328,34.35,34.41,34.81,33.85,11529,40469025.45,2.78,-0.41,-0.14,2.68
2025-01-27,001328,34.41,34.66,35.25,34.09,13092,46394760.54,3.37,0.73,0.25,3.04
2025-02-05,001328,34.62,33.29,35.13,33.01,18605,64231001.85,6.12,-3.95,-1.37,4.32
2025-02-06,001328,33.22,33.0,33.8,32.64,31842,108378450.79,3.48,-0.87,-0.29,7.4
2025-02-07,001328,32.85,33.03,33.92,32.69,19404,66007617.19,3.73,0.09,0.03,4.51
2025-02-10,001328,33.38,33.85,34.42,33.04,17469,60278342.26,4.18,2.48,0.82,4.06
2025-02-11,001328,34.06,33.62,34.25,33.42,10003,34440875.48,2.45,-0.68,-0.23,2.32
2025-02-12,001328,33.44,33.1,33.62,32.4,21150,71237690.9,3.63,-1.55,-0.52,4.91
2025-02-13,001328,33.0,32.68,33.22,32.58,10861,36473071.2,1.93,-1.27,-0.42,2.52
2025-02-14,001328,32.74,32.38,32.93,32.18,10723,35672027.46,2.29,-0.92,-0.3,2.49
2025-02-17,001328,32.27,32.43,32.52,32.05,8716,28783927.21,1.45,0.15,0.05,2.02
2025-02-18,001328,32.42,31.62,32.74,31.58,9682,31860866.34,3.58,-2.5,-0.81,2.25
2025-02-19,001328,31.6,31.54,31.76,30.97,15769,50522999.75,2.5,-0.25,-0.08,3.66
2025-02-20,001328,31.62,31.76,31.84,31.14,10217,32975840.0,2.22,0.7,0.22,2.37
2025-02-21,001328,31.74,30.92,31.91,30.76,19313,61493252.63,3.62,-2.64,-0.84,4.49
2025-02-24,001328,30.92,31.15,31.41,30.76,12862,40921938.17,2.1,0.74,0.23,2.99
2025-02-25,001328,30.84,31.36,31.8,30.77,13394,42981213.02,3.31,0.67,0.21,3.11
2025-02-26,001328,31.25,32.79,32.84,31.22,27949,92771571.63,5.17,4.56,1.43,6.49
2025-02-27,001328,32.83,34.47,34.75,32.51,27005,93616863.69,6.83,5.12,1.68,6.27
2025-02-28,001328,34.45,33.77,34.45,33.41,13971,48470143.0,3.02,-2.03,-0.7,3.25
2025-03-03,001328,33.76,34.48,35.21,33.75,19471,68852982.4,4.32,2.1,0.71,4.52
2025-03-04,001328,34.27,33.85,34.61,33.28,19132,66049155.6,3.86,-1.83,-0.63,4.44
2025-03-05,001328,33.95,35.17,35.4,33.69,15515,55343758.4,5.05,3.9,1.32,3.6
2025-03-06,001328,35.34,36.1,36.11,34.55,20104,72987759.0,4.44,2.64,0.93,4.67
2025-03-07,001328,36.11,35.28,37.25,35.07,17319,63466600.88,6.04,-2.27,-0.82,4.02
2025-03-10,001328,35.01,35.2,36.21,34.95,9718,35233669.08,3.57,-0.23,-0.08,2.26
2025-03-11,001328,35.21,36.43,36.43,35.21,12196,44652638.65,3.47,3.49,1.23,2.83
2025-03-12,001328,36.4,39.3,40.03,35.95,37757,148296674.77,11.2,7.88,2.87,8.77
2025-03-13,001328,38.62,39.15,40.02,38.52,14714,58909497.28,3.82,-0.38,-0.15,3.42
2025-03-14,001328,39.03,41.55,41.58,38.9,23939,99028444.46,6.85,6.13,2.4,5.56
2025-03-17,001328,41.69,39.81,42.37,39.36,26046,106705510.88,7.24,-4.19,-1.74,6.05
2025-03-18,001328,39.71,39.13,39.71,37.96,23868,94158945.11,4.4,-1.71,-0.68,5.54
2025-03-19,001328,38.89,39.01,39.69,38.58,9416,37418030.5,2.84,-0.31,-0.12,2.19
2025-03-20,001328,39.05,38.07,39.9,37.76,12458,48728067.87,5.49,-2.41,-0.94,2.89
2025-03-21,001328,37.8,38.12,38.67,37.52,10976,42615698.77,3.02,0.13,0.05,2.55
2025-03-24,001328,38.61,37.61,39.2,37.07,9662,37259129.0,5.59,-1.34,-0.51,2.24
2025-03-25,001328,37.45,37.83,38.25,37.01,7238,27761151.93,3.3,0.58,0.22,1.68
2025-03-26,001328,37.83,38.19,38.37,37.43,8033,31120966.6,2.48,0.95,0.36,1.87
2025-03-27,001328,38.05,39.12,39.87,37.95,18408,73427035.8,5.03,2.44,0.93,4.28
2025-03-28,001328,39.14,39.88,41.59,38.75,17221,70823751.44,7.26,1.94,0.76,4.0
2025-03-31,001328,39.75,41.25,42.92,39.75,27121,114776422.79,7.95,3.44,1.37,6.3
2025-04-01,001328,41.24,40.85,41.8,39.68,15705,65202992.28,5.14,-0.97,-0.4,3.65
2025-04-02,001328,40.44,42.34,42.84,40.44,16270,69455278.8,5.88,3.65,1.49,3.78
2025-04-03,001328,41.63,41.06,43.24,39.28,25549,106971068.54,9.35,-3.02,-1.28,5.94
2025-04-07,001328,39.75,36.88,40.93,36.88,22722,90613844.9,9.86,-10.18,-4.18,5.28
2025-04-08,001328,36.09,39.98,40.17,36.09,30476,121036865.65,11.06,8.41,3.1,7.08
2025-04-09,001328,40.15,41.19,41.84,38.15,23729,97836172.4,9.23,3.03,1.21,5.51
2025-04-10,001328,40.56,41.03,42.4,40.56,29178,123324848.12,4.47,-0.39,-0.16,6.78
2025-04-11,001328,41.2,40.54,41.81,40.06,19652,81504364.38,4.27,-1.19,-0.49,4.57
2025-04-14,001328,40.86,42.95,43.82,40.84,23513,101751370.28,7.35,5.94,2.41,5.46
2025-04-15,001328,43.33,44.76,46.0,41.58,34355,154936313.6,10.29,4.21,1.81,7.98
2025-04-16,001328,44.25,44.6,45.41,43.45,25470,115380184.8,4.38,-0.36,-0.16,5.92
