日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,001358,21.74,21.6,22.09,21.3,7587,16857516.76,3.63,-0.83,-0.18,1.62
2025-01-03,001358,21.59,20.63,21.63,20.38,9496,20505386.2,5.79,-4.49,-0.97,2.02
2025-01-06,001358,20.48,21.3,21.3,19.65,9675,20525289.9,8.0,3.25,0.67,2.06
2025-01-07,001358,21.25,22.13,22.15,21.16,9862,21953645.74,4.65,3.9,0.83,2.1
2025-01-08,001358,22.24,22.42,22.65,21.7,14456,32871270.81,4.29,1.31,0.29,3.08
2025-01-09,001358,22.2,22.49,22.6,22.0,9741,22276096.2,2.68,0.31,0.07,2.08
2025-01-10,001358,22.37,20.79,22.79,20.76,25801,57974687.64,9.03,-7.56,-1.7,5.5
2025-01-13,001358,20.51,20.59,21.14,20.28,12583,26656932.73,4.14,-0.96,-0.2,2.68
2025-01-14,001358,20.6,21.58,21.64,20.6,10737,23320894.5,5.05,4.81,0.99,2.29
2025-01-15,001358,21.5,21.25,21.84,21.18,9626,21171005.89,3.06,-1.53,-0.33,2.05
2025-01-16,001358,21.26,21.57,21.68,21.0,9275,20261805.52,3.2,1.51,0.32,1.98
2025-01-17,001358,21.64,21.3,21.87,21.15,11328,24867407.63,3.34,-1.25,-0.27,2.42
2025-01-20,001358,21.32,21.24,21.62,21.1,7061,15387610.06,2.44,-0.28,-0.06,1.51
2025-01-21,001358,21.35,21.07,21.46,20.85,6644,14339213.8,2.87,-0.8,-0.17,1.42
2025-01-22,001358,21.35,20.72,21.35,20.63,6366,13563443.07,3.42,-1.66,-0.35,1.36
2025-01-23,001358,21.05,20.85,21.44,20.8,7593,16361256.07,3.09,0.63,0.13,1.62
2025-01-24,001358,20.85,20.87,21.03,20.66,5268,11223242.83,1.77,0.1,0.02,1.12
2025-01-27,001358,21.15,20.95,21.25,20.87,5619,12113897.48,1.82,0.38,0.08,1.2
2025-02-05,001358,20.99,21.01,21.2,20.94,5058,10910489.22,1.24,0.29,0.06,1.08
2025-02-06,001358,20.99,21.49,21.5,20.99,8106,17667005.87,2.43,2.28,0.48,1.73
2025-02-07,001358,21.49,21.67,21.76,21.4,8923,19719067.72,1.68,0.84,0.18,1.9
2025-02-10,001358,21.77,21.81,21.85,21.5,6983,15516380.2,1.62,0.65,0.14,1.49
2025-02-11,001358,21.69,21.77,21.84,21.52,6135,13605035.68,1.47,-0.18,-0.04,1.31
2025-02-12,001358,21.85,21.72,21.86,21.39,9892,21845584.36,2.16,-0.23,-0.05,2.11
2025-02-13,001358,21.64,21.24,21.78,21.23,7817,17171094.63,2.53,-2.21,-0.48,1.67
2025-02-14,001358,21.24,21.37,21.49,21.24,5041,11020444.6,1.18,0.61,0.13,1.07
