日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,001379,22.63,21.65,22.82,21.41,35867,80006666.58,6.23,-4.42,-1.0,7.17
2025-01-03,001379,21.73,20.21,21.78,20.2,35401,74892241.49,7.3,-6.65,-1.44,7.08
2025-01-06,001379,20.08,19.67,20.25,19.39,24775,49554303.57,4.26,-2.67,-0.54,4.96
2025-01-07,001379,19.58,20.12,20.13,19.49,25364,50795142.04,3.25,2.29,0.45,5.07
2025-01-08,001379,20.0,20.17,20.31,19.53,24362,49220104.83,3.88,0.25,0.05,4.87
2025-01-09,001379,20.18,20.16,20.38,20.1,21930,44831036.98,1.39,-0.05,-0.01,4.39
2025-01-10,001379,20.16,19.4,20.28,19.4,21992,44067580.01,4.37,-3.77,-0.76,4.4
2025-01-13,001379,19.28,19.18,19.45,18.82,17423,33679735.4,3.25,-1.13,-0.22,3.48
2025-01-14,001379,19.4,20.1,20.1,19.3,29145,58301755.61,4.17,4.8,0.92,5.83
2025-01-15,001379,20.12,19.93,20.3,19.87,20710,41956849.44,2.14,-0.85,-0.17,4.14
2025-01-16,001379,20.14,19.96,20.34,19.72,24543,49729653.48,3.11,0.15,0.03,4.91
2025-01-17,001379,19.96,19.96,20.1,19.63,19099,38390737.0,2.35,0.0,0.0,3.82
2025-01-20,001379,20.06,21.98,21.98,19.92,69766,148861398.72,10.32,10.12,2.02,13.95
2025-01-21,001379,22.08,21.83,22.36,21.43,74785,164341468.08,4.23,-0.68,-0.15,14.96
2025-01-22,001379,21.8,21.08,21.8,21.01,45416,97355205.68,3.62,-3.44,-0.75,6.75
2025-01-23,001379,21.3,21.08,21.56,21.08,29826,64187738.08,2.28,0.0,0.0,4.43
2025-01-24,001379,21.16,21.18,21.25,20.82,29475,62818810.0,2.04,0.47,0.1,4.38
2025-01-27,001379,21.4,20.88,21.79,20.88,33045,71387265.75,4.3,-1.42,-0.3,4.91
2025-02-05,001379,21.09,21.31,21.38,21.09,22281,47785564.47,1.39,2.06,0.43,3.31
2025-02-06,001379,21.22,21.69,21.73,21.06,33278,72094761.29,3.14,1.78,0.38,4.94
2025-02-07,001379,21.69,21.9,22.14,21.6,42915,95019633.92,2.49,0.97,0.21,6.38
2025-02-10,001379,21.92,22.16,22.17,21.87,28386,63184110.08,1.37,1.19,0.26,4.22
2025-02-11,001379,22.15,21.8,22.15,21.7,25659,56520795.0,2.03,-1.62,-0.36,3.81
2025-02-12,001379,21.68,21.95,21.96,21.67,24682,54440570.9,1.33,0.69,0.15,3.67
2025-02-13,001379,21.95,21.64,22.15,21.64,29781,65692510.76,2.32,-1.41,-0.31,4.43
2025-02-14,001379,21.63,21.45,21.72,21.31,23855,51711189.0,1.89,-0.88,-0.19,3.54
2025-02-17,001379,21.3,21.77,21.86,21.28,23309,51030468.98,2.7,1.49,0.32,3.46
2025-02-18,001379,21.79,20.95,21.82,20.9,26872,58055619.54,4.23,-3.77,-0.82,3.99
2025-02-19,001379,20.96,21.59,21.62,20.96,27463,59300434.01,3.15,3.05,0.64,4.08
2025-02-20,001379,21.75,21.62,21.78,21.39,23837,51896423.75,1.81,0.14,0.03,3.54
2025-02-21,001379,21.71,21.71,21.77,21.21,29429,64052494.08,2.59,0.42,0.09,4.37
2025-02-24,001379,21.8,22.0,22.35,21.51,43302,95953872.94,3.87,1.34,0.29,6.43
2025-02-25,001379,22.0,21.83,22.24,21.71,34921,77467200.35,2.41,-0.77,-0.17,5.19
2025-02-26,001379,22.09,22.0,22.18,21.79,26903,59678151.58,1.79,0.78,0.17,4.0
2025-02-27,001379,22.04,22.39,23.28,21.95,74181,168678028.4,6.05,1.77,0.39,11.02
2025-02-28,001379,22.39,21.09,22.39,21.0,48219,105171263.07,6.21,-5.81,-1.3,7.16
2025-03-03,001379,21.21,20.98,21.5,20.84,29005,62116205.0,3.13,-0.52,-0.11,4.31
2025-03-04,001379,21.0,21.35,21.35,20.81,21177,45312760.0,2.57,1.76,0.37,3.15
2025-03-05,001379,21.32,22.03,22.21,21.01,44164,96758598.46,5.62,3.19,0.68,6.56
2025-03-06,001379,21.92,22.15,22.22,21.82,36240,80614809.32,1.82,0.54,0.12,5.38
2025-03-07,001379,21.93,21.69,22.1,21.57,27724,61130548.0,2.39,-2.08,-0.46,4.12
2025-03-10,001379,21.69,22.05,22.12,21.6,24103,53483251.6,2.4,1.66,0.36,3.58
2025-03-11,001379,21.83,21.96,22.26,21.68,27371,60578648.28,2.63,-0.41,-0.09,4.07
2025-03-12,001379,21.97,22.13,22.2,21.81,29546,65712804.0,1.78,0.77,0.17,4.39
2025-03-13,001379,22.14,21.72,22.19,21.44,27334,59961661.87,3.39,-1.85,-0.41,4.06
2025-03-14,001379,21.78,22.0,22.1,21.48,25120,55358796.82,2.85,1.29,0.28,3.73
2025-03-17,001379,22.1,22.34,22.44,21.92,38725,86710945.56,2.36,1.55,0.34,5.75
2025-03-18,001379,22.35,22.83,22.84,22.3,47724,108833959.87,2.42,2.19,0.49,7.09
2025-03-19,001379,22.83,22.86,23.25,22.55,50953,117810598.06,3.07,0.13,0.03,7.57
2025-03-20,001379,22.9,23.72,24.62,22.58,128761,303680860.59,8.92,3.76,0.86,19.13
2025-03-21,001379,23.31,24.68,26.11,23.19,180802,452289687.89,12.31,4.05,0.96,26.87
