日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,001380,14.59,14.61,15.2,14.33,29813,66090034.88,5.96,0.14,0.02,5.01
2025-01-03,001380,14.61,13.99,14.9,13.72,20064,43199609.12,8.08,-4.24,-0.62,3.37
2025-01-06,001380,13.88,13.95,14.16,13.51,16381,34190922.72,4.65,-0.29,-0.04,2.75
2025-01-07,001380,13.96,14.22,14.34,13.86,12496,26490835.42,3.44,1.94,0.27,2.1
2025-01-08,001380,14.14,14.26,14.99,13.58,23176,49112638.14,9.92,0.28,0.04,3.9
2025-01-09,001380,14.26,14.34,14.52,14.12,17062,36731779.46,2.81,0.56,0.08,2.87
2025-01-10,001380,14.34,14.14,14.82,14.14,23135,50439947.21,4.74,-1.39,-0.2,3.89
2025-01-13,001380,14.1,14.41,14.89,13.76,29184,62376147.21,7.99,1.91,0.27,4.91
2025-01-14,001380,14.41,14.92,15.14,14.12,32296,71739517.53,7.08,3.54,0.51,5.43
2025-01-15,001380,14.93,14.65,14.97,14.59,19078,42359750.84,2.55,-1.81,-0.27,3.21
2025-01-16,001380,14.77,14.59,14.89,14.42,17693,38953376.1,3.21,-0.41,-0.06,2.98
2025-01-17,001380,14.64,14.78,14.86,14.36,16362,36128254.14,3.43,1.3,0.19,2.75
2025-01-20,001380,14.78,14.95,15.07,14.7,14701,32898988.52,2.5,1.15,0.17,2.47
2025-01-21,001380,15.08,15.1,15.12,14.67,15102,33812043.96,3.01,1.0,0.15,2.54
2025-01-22,001380,14.95,14.7,15.1,14.63,15277,33887883.48,3.11,-2.65,-0.4,2.57
2025-01-23,001380,14.74,15.2,15.2,14.65,21203,47335892.7,3.74,3.4,0.5,3.57
2025-01-24,001380,15.47,16.74,16.74,15.27,29837,73241001.22,9.67,10.13,1.54,5.02
2025-01-27,001380,17.93,18.44,18.44,17.93,63587,174038428.62,3.05,10.16,1.7,10.69
2025-02-05,001380,18.26,17.11,18.61,16.68,165696,431534890.69,10.47,-7.21,-1.33,27.86
2025-02-06,001380,16.94,17.97,17.97,16.29,134176,343579162.31,9.82,5.03,0.86,22.56
2025-02-07,001380,17.58,17.82,18.16,17.31,123485,327886490.85,4.73,-0.83,-0.15,20.77
2025-02-10,001380,17.77,17.42,17.8,17.23,71365,185847271.96,3.2,-2.24,-0.4,12.0
2025-02-11,001380,17.5,17.28,17.57,17.14,43055,111463728.48,2.47,-0.8,-0.14,7.24
2025-02-12,001380,17.16,17.33,17.39,16.97,46319,119328014.28,2.43,0.29,0.05,7.79
2025-02-13,001380,17.36,16.59,17.43,16.58,50393,127586144.01,4.9,-4.27,-0.74,8.47
2025-02-14,001380,16.76,16.41,16.76,16.3,38191,94465169.56,2.77,-1.08,-0.18,6.42
2025-02-17,001380,16.55,16.71,16.74,16.39,34936,87015237.02,2.13,1.83,0.3,5.87
2025-02-18,001380,16.76,16.82,17.55,16.69,61431,157269555.96,5.15,0.66,0.11,10.33
2025-02-19,001380,16.69,18.52,18.52,16.49,94343,250341802.04,12.07,10.11,1.7,15.87
2025-02-20,001380,19.06,19.34,19.78,18.85,118811,342882386.44,5.02,4.43,0.82,19.98
2025-02-21,001380,19.24,19.47,19.78,19.24,84047,244543436.68,2.79,0.67,0.13,14.13
2025-02-24,001380,19.53,19.95,20.44,19.07,80259,237275918.2,7.04,2.47,0.48,13.5
2025-02-25,001380,19.36,19.72,20.18,19.26,57746,170320042.72,4.61,-1.15,-0.23,9.71
2025-02-26,001380,19.76,21.72,21.72,19.59,83716,259998177.59,10.8,10.14,2.0,14.08
2025-02-27,001380,22.43,20.47,23.04,19.93,119918,379213032.7,14.32,-5.76,-1.25,20.17
2025-02-28,001380,20.22,19.03,20.41,18.92,75467,219183755.47,7.28,-7.03,-1.44,12.69
2025-03-03,001380,19.03,18.92,19.39,18.59,48918,138988515.02,4.2,-0.58,-0.11,8.23
2025-03-04,001380,18.66,19.26,19.72,18.65,45077,130222597.66,5.66,1.8,0.34,7.58
2025-03-05,001380,19.85,20.74,21.15,19.39,85681,261751751.9,9.14,7.68,1.48,14.41
2025-03-06,001380,20.91,20.54,21.11,20.53,60852,188672203.4,2.8,-0.96,-0.2,10.23
2025-03-07,001380,20.55,21.89,22.24,20.47,75670,245146741.7,8.62,6.57,1.35,12.72
