日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,001389,49.82,49.62,50.62,48.7,42883,215035835.54,3.85,-0.4,-0.2,11.26
2025-01-03,001389,49.99,46.97,51.16,46.52,50056,245721020.99,9.35,-5.34,-2.65,13.15
2025-01-06,001389,46.97,47.48,48.32,46.6,36235,173701489.71,3.66,1.09,0.51,9.52
2025-01-07,001389,47.72,49.87,50.08,47.42,62713,309259336.66,5.6,5.03,2.39,16.47
2025-01-08,001389,49.7,50.45,51.18,48.62,50493,253756770.43,5.13,1.16,0.58,13.26
2025-01-09,001389,50.54,55.54,55.54,50.52,39384,216679985.75,9.95,10.09,5.09,10.35
2025-01-10,001389,54.98,52.31,55.42,52.26,77632,420929034.76,5.69,-5.82,-3.23,20.39
2025-01-13,001389,50.53,51.01,51.88,49.72,42961,219251992.95,4.13,-2.49,-1.3,11.28
2025-01-14,001389,50.95,52.4,52.71,49.82,61701,322342763.42,5.67,2.72,1.39,16.21
2025-01-15,001389,51.82,50.92,52.18,50.42,41508,215143511.76,3.36,-2.82,-1.48,10.9
2025-01-16,001389,51.11,49.99,51.63,49.33,41208,208989352.3,4.52,-1.83,-0.93,10.82
2025-01-17,001389,49.53,52.93,54.06,49.42,78210,413391737.31,9.28,5.88,2.94,20.54
2025-01-20,001389,53.32,55.08,56.02,53.03,81786,452248627.74,5.65,4.06,2.15,21.48
2025-01-21,001389,55.09,55.47,55.63,54.13,53597,296866017.16,2.72,0.71,0.39,14.08
2025-01-22,001389,55.07,61.07,61.07,55.07,83535,498420904.51,10.82,10.1,5.6,21.94
2025-01-23,001389,62.52,62.42,66.87,62.02,129408,827035829.26,7.94,2.21,1.35,33.99
2025-01-24,001389,62.39,61.04,63.02,60.38,82503,510469869.4,4.23,-2.21,-1.38,21.67
2025-01-27,001389,60.68,57.64,61.02,57.52,48947,288946555.7,5.73,-5.57,-3.4,12.86
2025-02-05,001389,57.61,54.51,57.61,53.78,56571,311960873.03,6.64,-5.43,-3.13,14.86
2025-02-06,001389,54.51,56.12,56.6,54.22,70805,398388313.28,4.37,2.95,1.61,18.6
2025-02-07,001389,56.42,56.57,57.95,55.65,64684,370465931.5,4.1,0.8,0.45,16.99
2025-02-10,001389,56.57,58.9,59.78,56.0,75023,436583799.44,6.68,4.12,2.33,19.71
2025-02-11,001389,58.53,57.87,58.57,57.4,41037,239368915.9,1.99,-1.75,-1.03,10.78
2025-02-12,001389,57.3,58.29,58.68,57.13,40180,234549384.3,2.68,0.73,0.42,10.55
2025-02-13,001389,58.18,55.79,58.22,55.72,38366,219220092.68,4.29,-4.29,-2.5,10.08
2025-02-14,001389,55.41,55.0,56.9,54.62,32933,184591944.44,4.09,-1.42,-0.79,8.65
2025-02-17,001389,55.36,58.97,59.02,55.22,63891,372790984.38,6.91,7.22,3.97,16.78
2025-02-18,001389,58.38,56.35,59.48,56.13,40757,237460384.32,5.68,-4.44,-2.62,10.71
2025-02-19,001389,56.8,58.42,58.52,56.4,40520,235799689.0,3.76,3.67,2.07,10.64
2025-02-20,001389,59.31,57.81,59.32,57.01,33124,193018046.62,3.95,-1.04,-0.61,8.7
2025-02-21,001389,57.62,60.35,61.14,57.62,65298,392872490.05,6.09,4.39,2.54,17.15
2025-02-24,001389,60.36,60.83,63.12,58.8,64597,396645678.97,7.16,0.8,0.48,16.97
2025-02-25,001389,59.82,59.27,60.28,58.1,52181,311496702.16,3.58,-2.56,-1.56,13.71
2025-02-26,001389,59.21,64.2,65.25,56.55,112531,695778670.09,14.68,8.32,4.93,29.56
2025-02-27,001389,63.68,61.73,67.16,61.18,108323,691833053.91,9.31,-3.85,-2.47,28.45
2025-02-28,001389,59.79,55.51,60.72,55.51,76170,441951519.1,8.44,-10.08,-6.22,20.01
2025-03-03,001389,55.13,55.79,56.31,53.49,37847,209965635.85,5.08,0.5,0.28,9.94
2025-03-04,001389,54.62,56.44,56.85,54.23,30189,170050449.8,4.7,1.17,0.65,7.93
2025-03-05,001389,55.92,57.3,58.07,55.92,25178,144826251.79,3.81,1.52,0.86,6.61
2025-03-06,001389,57.72,58.3,59.32,57.18,38294,224571469.56,3.73,1.75,1.0,10.06
2025-03-07,001389,58.31,57.07,58.77,56.74,32579,189734868.5,3.48,-2.11,-1.23,8.56
2025-03-10,001389,56.92,57.19,57.59,56.02,20560,117929113.74,2.75,0.21,0.12,5.4
2025-03-11,001389,57.22,58.04,59.18,57.16,39425,230963469.53,3.53,1.49,0.85,10.36
2025-03-12,001389,57.58,58.5,60.4,57.17,43012,253294409.88,5.57,0.79,0.46,11.3
2025-03-13,001389,58.02,59.81,61.48,58.02,59705,360857369.88,5.91,2.24,1.31,15.68
2025-03-14,001389,58.67,59.35,60.5,57.22,58910,350795556.76,5.48,-0.77,-0.46,15.47
2025-03-17,001389,59.35,59.27,59.96,58.31,37938,225588973.74,2.78,-0.13,-0.08,9.97
2025-03-18,001389,59.57,59.59,60.67,58.5,49311,296853348.24,3.66,0.54,0.32,12.95
2025-03-19,001389,58.83,56.65,59.0,56.21,41019,236518071.19,4.68,-4.93,-2.94,10.77
2025-03-20,001389,56.65,55.92,56.87,55.92,21209,120397059.66,1.68,-1.29,-0.73,5.57
2025-03-21,001389,55.37,53.32,55.61,53.32,27298,149414344.82,4.1,-4.65,-2.6,7.17
2025-03-24,001389,53.32,53.34,53.97,52.02,20132,107878914.66,3.66,0.04,0.02,5.29
2025-03-25,001389,53.35,51.82,53.91,51.74,15565,82502108.52,4.07,-2.85,-1.52,4.09
2025-03-26,001389,51.75,51.48,52.19,51.41,11779,61602547.84,1.51,-0.66,-0.34,3.09
