日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002001,21.07,20.68,21.25,20.6,196149,428367704.2,3.08,-1.85,-0.39,0.65
2025-01-03,002001,20.68,20.76,21.17,20.67,213047,465059792.32,2.42,0.39,0.08,0.7
2025-01-06,002001,20.82,20.59,20.89,20.42,180967,390069409.54,2.26,-0.82,-0.17,0.6
2025-01-07,002001,20.59,20.89,20.89,20.39,166979,361696951.46,2.43,1.46,0.3,0.55
2025-01-08,002001,20.89,21.26,21.35,20.75,231662,509849974.52,2.87,1.77,0.37,0.76
2025-01-09,002001,21.14,21.09,21.29,20.9,114582,252555055.76,1.83,-0.8,-0.17,0.38
2025-01-10,002001,21.07,20.87,21.22,20.86,131338,287494064.7,1.71,-1.04,-0.22,0.43
2025-01-13,002001,20.75,20.85,21.29,20.75,134856,295209992.54,2.59,-0.1,-0.02,0.44
2025-01-14,002001,20.9,20.85,20.98,20.62,260563,565957896.22,1.73,0.0,0.0,0.86
2025-01-15,002001,20.85,21.16,21.68,20.73,400876,891184219.36,4.56,1.49,0.31,1.32
2025-01-16,002001,21.16,20.69,21.43,20.62,338263,738717517.23,3.83,-2.22,-0.47,1.11
2025-01-17,002001,20.65,21.0,21.12,20.45,209450,456195087.82,3.24,1.5,0.31,0.69
2025-01-20,002001,21.07,21.22,21.54,21.06,224625,498429637.44,2.29,1.05,0.22,0.74
2025-01-21,002001,21.23,21.16,21.3,20.74,205411,449133815.07,2.64,-0.28,-0.06,0.68
2025-01-22,002001,21.64,21.78,21.94,21.44,413706,928077693.96,2.36,2.93,0.62,1.36
2025-01-23,002001,21.9,21.7,22.04,21.59,274907,617627779.19,2.07,-0.37,-0.08,0.91
2025-01-24,002001,21.62,21.79,21.84,21.6,180246,404038521.61,1.11,0.41,0.09,0.59
2025-01-27,002001,21.79,21.81,22.08,21.71,196691,443950712.3,1.7,0.09,0.02,0.65
2025-02-05,002001,21.83,21.57,21.92,21.31,219411,487952253.17,2.8,-1.1,-0.24,0.72
2025-02-06,002001,21.58,21.62,21.68,21.38,185259,411868897.39,1.39,0.23,0.05,0.61
2025-02-07,002001,21.6,21.67,21.8,21.44,247629,552470750.4,1.67,0.23,0.05,0.82
