日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002038,7.38,7.27,7.55,7.21,316263,233913478.5,4.56,-2.42,-0.18,3.71
2025-01-03,002038,7.3,7.49,7.88,7.14,480333,362927059.86,10.18,3.03,0.22,5.64
2025-01-06,002038,7.88,8.23,8.23,7.79,876677,704806728.59,5.87,9.88,0.74,10.29
2025-01-07,002038,7.97,7.83,8.03,7.48,694294,539054469.83,6.68,-4.86,-0.4,8.15
2025-01-08,002038,7.85,8.02,8.27,7.79,625905,500022943.41,6.13,2.43,0.19,7.35
2025-01-09,002038,7.89,7.76,7.94,7.69,408796,319763268.38,3.12,-3.24,-0.26,4.8
2025-01-10,002038,7.71,7.25,7.72,7.24,396886,296152643.0,6.19,-6.57,-0.51,4.66
2025-01-13,002038,7.19,7.48,7.48,7.11,307747,226700199.94,5.1,3.17,0.23,3.61
2025-01-14,002038,7.38,7.62,7.64,7.3,349125,262026991.49,4.55,1.87,0.14,4.1
2025-01-15,002038,7.55,7.41,7.56,7.36,251749,187821362.65,2.62,-2.76,-0.21,2.96
2025-01-16,002038,7.44,7.37,7.6,7.33,231994,173150550.05,3.64,-0.54,-0.04,2.72
2025-01-17,002038,7.32,7.4,7.43,7.23,174180,128315253.4,2.71,0.41,0.03,2.04
2025-01-20,002038,7.41,7.34,7.47,7.31,193134,142852802.03,2.16,-0.81,-0.06,2.27
2025-01-21,002038,7.37,7.21,7.39,7.15,208724,150996605.16,3.27,-1.77,-0.13,2.45
2025-01-22,002038,7.15,7.25,7.25,7.11,140431,101248774.7,1.94,0.55,0.04,1.65
2025-01-23,002038,7.29,7.1,7.32,7.09,197544,142674036.25,3.17,-2.07,-0.15,2.32
2025-01-24,002038,7.1,6.84,7.14,6.68,274404,188803664.19,6.48,-3.66,-0.26,3.22
2025-01-27,002038,6.83,6.73,6.98,6.73,128915,88036355.0,3.65,-1.61,-0.11,1.51
2025-02-05,002038,6.83,6.82,6.92,6.78,155975,107189423.76,2.08,1.34,0.09,1.83
2025-02-06,002038,6.79,6.88,6.88,6.71,146356,99814860.29,2.49,0.88,0.06,1.72
2025-02-07,002038,6.86,6.95,7.01,6.84,199785,138930364.32,2.47,1.02,0.07,2.35
2025-02-10,002038,6.96,7.19,7.22,6.95,258645,184660517.46,3.88,3.45,0.24,3.04
