日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002046,13.61,13.73,14.09,13.51,230208,321524924.91,4.21,-0.44,-0.06,4.38
2025-01-03,002046,13.79,12.34,13.83,12.34,374663,489709309.11,10.85,-10.12,-1.39,7.13
2025-01-06,002046,12.06,11.88,12.23,11.75,214548,261004959.94,3.89,-3.73,-0.46,4.08
2025-01-07,002046,11.93,12.24,12.26,11.86,188565,231160643.89,3.37,3.03,0.36,3.59
2025-01-08,002046,12.12,12.05,12.15,11.52,209429,252655094.0,5.15,-1.55,-0.19,3.98
2025-01-09,002046,11.89,12.13,12.2,11.89,142754,175867296.84,2.57,0.66,0.08,2.71
2025-01-10,002046,12.14,12.11,12.83,12.09,253634,319846956.47,6.1,-0.16,-0.02,4.82
2025-01-13,002046,11.8,11.98,12.32,11.6,142550,173014619.0,5.95,-1.07,-0.13,2.71
2025-01-14,002046,12.05,12.79,12.79,12.0,223768,283984576.6,6.59,6.76,0.81,4.26
2025-01-15,002046,12.79,12.5,12.79,12.43,154086,197056527.0,2.81,-2.27,-0.29,2.93
2025-01-16,002046,12.6,12.69,13.23,12.5,196381,256695085.56,5.84,1.52,0.19,3.73
2025-01-17,002046,12.89,12.71,12.98,12.5,224345,290466585.18,3.78,0.16,0.02,4.27
2025-01-20,002046,12.79,12.85,12.94,12.66,165006,215053725.11,2.2,1.1,0.14,3.14
2025-01-21,002046,12.89,12.85,12.92,12.63,153202,198988869.31,2.26,0.0,0.0,2.91
2025-01-22,002046,12.76,12.95,13.26,12.67,215248,282453273.27,4.59,0.78,0.1,4.09
2025-01-23,002046,13.01,13.12,13.66,12.98,293560,396983008.16,5.25,1.31,0.17,5.58
2025-01-24,002046,12.97,13.32,13.39,12.84,223024,298238857.39,4.19,1.52,0.2,4.24
2025-01-27,002046,13.25,12.85,13.3,12.84,156550,206924559.16,3.45,-3.53,-0.47,2.98
2025-02-05,002046,12.89,12.97,13.16,12.88,168843,223388130.66,2.18,0.93,0.12,3.21
2025-02-06,002046,12.89,13.62,13.68,12.85,320075,437028001.0,6.4,5.01,0.65,6.09
2025-02-07,002046,13.58,13.58,13.71,13.34,317700,437310418.88,2.72,-0.29,-0.04,6.04
2025-02-10,002046,13.53,13.73,13.73,13.38,213871,294951644.95,2.58,1.1,0.15,4.07
2025-02-11,002046,13.72,13.54,13.72,13.47,159773,219621773.41,1.82,-1.38,-0.19,3.04
2025-02-12,002046,13.49,13.82,13.87,13.37,226076,313801907.14,3.69,2.07,0.28,4.3
2025-02-13,002046,13.76,13.51,14.05,13.5,231494,323662943.0,3.98,-2.24,-0.31,4.4
2025-02-14,002046,13.51,13.24,13.61,13.09,195180,264239963.16,3.85,-2.0,-0.27,3.71
2025-02-17,002046,13.23,13.38,13.45,13.19,176624,239109488.22,1.96,1.06,0.14,3.36
2025-02-18,002046,13.32,13.54,14.07,13.22,361690,504199767.16,6.35,1.2,0.16,6.88
2025-02-19,002046,13.55,14.92,14.92,13.54,414052,600806570.86,10.19,10.19,1.38,7.87
2025-02-20,002046,15.0,15.5,15.74,14.91,739805,1148142825.53,5.56,3.89,0.58,14.07
2025-02-21,002046,15.34,15.18,15.46,14.98,452857,696765485.63,3.1,-2.06,-0.32,8.61
2025-02-24,002046,15.09,15.29,15.54,14.88,424692,656902675.62,4.35,0.72,0.11,8.08
2025-02-25,002046,14.99,15.72,15.94,14.89,413276,650530292.29,6.87,2.81,0.43,7.86
2025-02-26,002046,15.84,17.31,17.31,15.63,431066,716627137.54,10.69,10.11,1.59,8.2
2025-02-27,002046,17.19,16.79,18.18,16.45,670664,1164000905.39,9.99,-3.0,-0.52,12.75
2025-02-28,002046,16.69,15.6,16.78,15.54,491890,800222200.6,7.39,-7.09,-1.19,9.35
2025-03-03,002046,15.64,15.36,15.98,15.19,307292,482990326.05,5.06,-1.54,-0.24,5.84
2025-03-04,002046,15.19,15.66,15.95,15.12,246017,390424252.64,5.4,1.95,0.3,4.68
2025-03-05,002046,15.75,16.04,16.27,15.6,292142,473267762.23,4.28,2.43,0.38,5.56
2025-03-06,002046,16.29,16.28,16.54,16.01,391836,644922356.36,3.3,1.5,0.24,7.45
2025-03-07,002046,16.14,16.22,16.68,15.98,289378,478340836.81,4.3,-0.37,-0.06,5.5
2025-03-10,002046,16.99,17.86,17.86,16.99,265801,477836179.25,5.36,10.11,1.64,5.05
2025-03-11,002046,17.47,17.41,17.73,16.99,495397,869538712.13,4.14,-2.52,-0.45,9.42
2025-03-12,002046,17.41,17.59,18.05,17.19,417960,747809472.22,4.94,1.03,0.18,7.95
2025-03-13,002046,17.55,16.71,17.59,16.49,317991,542703883.69,6.25,-5.0,-0.88,6.05
2025-03-14,002046,16.58,16.67,16.99,16.3,252938,426617485.0,4.13,-0.24,-0.04,4.81
2025-03-17,002046,16.98,16.53,16.99,16.46,202278,340919891.88,3.18,-0.84,-0.14,3.85
2025-03-18,002046,16.67,17.18,17.44,16.67,414557,717029735.21,4.66,3.93,0.65,7.88
2025-03-19,002046,17.09,17.14,17.32,16.76,268239,462589258.0,3.26,-0.23,-0.04,5.1
2025-03-20,002046,17.57,18.53,18.88,17.49,790199,1472700188.6,8.11,8.11,1.39,15.03
2025-03-21,002046,18.48,17.32,18.59,17.32,598447,1081322172.38,6.85,-6.53,-1.21,11.38
2025-03-24,002046,17.49,16.38,17.57,15.96,417858,700509624.0,9.3,-5.43,-0.94,7.95
2025-03-25,002046,16.34,16.24,17.02,16.15,305057,510997656.0,5.31,-0.85,-0.14,5.8
2025-03-26,002046,16.23,16.72,17.04,16.23,325116,551021213.51,4.99,2.96,0.48,6.18
2025-03-27,002046,16.62,16.03,16.83,15.74,280147,459485356.72,6.52,-4.13,-0.69,5.33
2025-03-28,002046,16.05,15.9,16.67,15.88,201540,330786834.0,4.93,-0.81,-0.13,3.83
2025-03-31,002046,15.7,15.39,15.77,14.93,241579,373726185.0,5.28,-3.21,-0.51,4.59
2025-04-01,002046,15.39,15.27,15.64,15.25,136045,212375277.0,2.53,-0.78,-0.12,2.59
2025-04-02,002046,15.2,15.41,15.79,15.2,155320,243774997.04,3.86,0.92,0.14,2.95
2025-04-03,002046,15.27,15.17,15.89,15.07,176747,276003250.73,5.32,-1.56,-0.24,3.36
2025-04-07,002046,14.18,13.63,14.27,13.63,124838,174463292.0,4.22,-10.15,-1.54,2.37
2025-04-08,002046,13.1,12.64,13.53,12.25,362696,467703416.2,9.39,-7.26,-0.99,6.9
2025-04-09,002046,12.39,13.3,13.46,11.65,303842,395050928.0,14.32,5.22,0.66,5.78
2025-04-10,002046,13.67,13.72,14.14,13.66,253202,355977963.94,3.61,3.16,0.42,4.82
2025-04-11,002046,13.46,14.05,14.31,13.3,225507,321185332.0,7.36,2.41,0.33,4.29
2025-04-14,002046,14.57,14.62,15.09,14.47,262649,394411609.13,4.41,4.06,0.57,4.99
2025-04-15,002046,14.6,14.54,14.79,14.3,148680,218926383.0,3.35,-0.55,-0.08,2.83
2025-04-16,002046,14.46,14.04,14.54,13.83,167450,239350279.0,4.88,-3.44,-0.5,3.18
2025-04-17,002046,13.99,14.17,14.62,13.9,156997,227371087.45,5.13,0.93,0.13,2.99
2025-04-18,002046,14.2,14.2,14.31,14.02,99819,143553538.0,2.05,0.21,0.03,1.9
2025-04-21,002046,14.17,14.56,14.59,14.1,123379,180618737.0,3.45,2.54,0.36,2.35
2025-04-22,002046,14.48,14.27,14.54,14.19,129894,188767696.42,2.4,-1.99,-0.29,2.47
2025-04-23,002046,14.34,14.69,14.9,14.33,229239,341370053.72,3.99,2.94,0.42,4.36
2025-04-24,002046,14.69,14.41,14.78,14.32,142461,209883477.0,3.13,-1.91,-0.28,2.71
2025-04-25,002046,14.48,14.33,14.56,14.27,107898,157428436.59,2.01,-0.56,-0.08,2.05
2025-04-28,002046,14.29,14.06,14.36,14.03,92059,131856554.0,2.3,-1.88,-0.27,1.75
2025-04-29,002046,14.01,14.84,15.37,13.85,280081,418626725.63,10.81,5.55,0.78,5.33
2025-04-30,002046,14.67,15.12,15.21,14.47,286661,432331156.66,4.99,1.89,0.28,5.45
2025-05-06,002046,15.4,15.68,15.79,15.27,297668,470192759.2,3.44,3.7,0.56,5.66
2025-05-07,002046,15.79,15.96,16.21,15.69,344398,557215252.18,3.32,1.79,0.28,6.55
2025-05-08,002046,15.89,16.15,16.43,15.84,282452,462214546.55,3.7,1.19,0.19,5.37
2025-05-09,002046,16.04,15.87,16.15,15.63,228934,367410367.24,3.22,-1.73,-0.28,4.35
2025-05-12,002046,16.09,16.34,16.52,16.0,240813,396966661.96,3.28,2.96,0.47,4.58
2025-05-13,002046,16.42,15.93,16.42,15.89,188931,307586716.2,3.24,-2.51,-0.41,3.59
2025-05-14,002046,15.87,15.83,16.02,15.68,160752,257929956.0,2.13,-0.63,-0.1,3.06
2025-05-15,002046,15.77,15.62,15.88,15.45,133472,211175289.0,2.72,-1.33,-0.21,2.54
2025-05-16,002046,15.56,16.09,16.37,15.56,279497,455968626.16,5.19,3.01,0.47,5.3
2025-05-19,002046,16.19,15.99,16.21,15.64,174809,280645426.62,3.54,-0.62,-0.1,3.32
2025-05-20,002046,16.8,16.77,17.61,16.46,622717,1068688392.31,7.19,4.88,0.78,11.81
2025-05-21,002046,16.7,16.05,16.97,16.02,443817,736619663.77,5.66,-4.29,-0.72,8.42
2025-05-22,002046,16.15,15.81,16.19,15.74,208323,335674506.45,2.8,-1.5,-0.24,3.95
2025-05-23,002046,15.81,15.5,15.98,15.45,211615,337180865.49,3.35,-1.96,-0.31,4.01
2025-05-26,002046,15.43,15.54,15.69,15.35,147779,232044143.92,2.19,0.26,0.04,2.8
2025-05-27,002046,15.47,15.78,15.99,15.37,198214,316959220.88,3.99,1.54,0.24,3.76
2025-05-28,002046,15.69,15.41,15.86,15.39,169064,266460167.84,2.98,-2.34,-0.37,3.21
2025-05-29,002046,15.3,15.49,15.59,15.29,131678,206427672.8,1.95,0.52,0.08,2.5
2025-05-30,002046,15.42,15.18,15.54,15.06,161001,247784455.24,3.1,-2.0,-0.31,3.05
2025-06-03,002046,15.14,15.32,15.65,15.13,158741,248390449.6,3.43,0.92,0.14,3.01
2025-06-04,002046,15.39,15.52,15.72,15.3,140459,221385804.44,2.74,1.31,0.2,2.66
2025-06-05,002046,15.56,16.27,16.64,15.38,388773,637646473.8,8.12,4.83,0.75,7.37
2025-06-06,002046,16.1,15.86,16.2,15.83,202280,326636289.66,2.27,-2.52,-0.41,3.84
2025-06-09,002046,15.93,16.16,16.34,15.89,184287,300981074.58,2.84,1.89,0.3,3.5
2025-06-10,002046,16.15,15.87,16.33,15.62,187990,302967350.37,4.39,-1.79,-0.29,3.57
2025-06-11,002046,15.88,16.33,16.39,15.86,240676,393353258.94,3.34,2.9,0.46,4.56
2025-06-12,002046,16.23,16.18,16.4,16.11,135354,222370776.6,1.78,-0.92,-0.15,2.57
2025-06-13,002046,16.18,16.31,16.42,15.9,213556,345540240.32,3.21,0.8,0.13,4.05
2025-06-16,002046,16.2,16.35,16.38,16.11,135262,220033764.22,1.66,0.25,0.04,2.57
2025-06-17,002046,16.37,16.93,17.09,16.22,334262,560752406.33,5.32,3.55,0.58,6.34
2025-06-18,002046,16.87,16.79,16.89,16.58,164448,274987575.47,1.83,-0.83,-0.14,3.12
