日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002050,23.09,22.47,23.14,22.26,534916,1230253153.95,3.8,-2.9,-0.67,1.46
2025-01-03,002050,22.42,21.6,22.53,21.52,595202,1328740887.06,4.49,-3.87,-0.87,1.62
2025-01-06,002050,21.73,21.69,22.05,21.52,355407,787264979.98,2.45,0.42,0.09,0.97
2025-01-07,002050,21.73,22.19,22.5,21.43,416061,932260181.95,4.93,2.31,0.5,1.13
2025-01-08,002050,22.06,22.43,22.68,21.6,466159,1049797928.3,4.87,1.08,0.24,1.27
2025-01-09,002050,22.3,24.71,24.71,22.24,1318165,3171948400.57,11.01,10.16,2.28,3.59
2025-01-10,002050,25.29,26.33,27.22,25.29,3390901,9039385298.57,7.81,6.56,1.62,9.24
2025-01-13,002050,26.83,25.63,27.34,25.39,2612139,6970778659.65,7.41,-2.66,-0.7,7.12
2025-01-14,002050,25.93,28.23,28.23,25.38,1814072,4948698875.98,11.12,10.14,2.6,4.94
2025-01-15,002050,29.08,28.85,29.58,28.18,2937542,8577200136.41,4.96,2.2,0.62,8.0
2025-01-16,002050,28.63,27.83,29.3,27.31,2422719,6936167891.48,6.9,-3.54,-1.02,6.6
2025-01-17,002050,27.63,28.07,28.88,27.15,1741764,4929489642.04,6.22,0.86,0.24,4.75
2025-01-20,002050,28.45,28.22,28.71,27.83,1491574,4274621098.55,3.14,0.53,0.15,4.06
2025-01-21,002050,28.24,30.01,30.85,27.93,2573342,7616230314.02,10.35,6.34,1.79,7.01
2025-01-22,002050,29.63,29.83,30.26,29.28,1655235,4981239381.3,3.27,-0.6,-0.18,4.51
2025-01-23,002050,30.03,29.41,30.99,29.05,1537928,4653134871.12,6.5,-1.41,-0.42,4.19
2025-01-24,002050,29.13,31.16,31.69,29.05,1718694,5320087836.22,8.98,5.95,1.75,4.68
2025-01-27,002050,30.76,30.2,31.04,29.93,1045779,3220127513.49,3.56,-3.08,-0.96,2.85
2025-02-05,002050,31.07,32.19,33.22,30.5,1673002,5402117588.44,9.01,6.59,1.99,4.56
2025-02-06,002050,32.13,34.85,35.45,31.92,2014046,6911092511.57,10.97,8.26,2.66,5.49
2025-02-07,002050,34.11,34.95,36.59,33.75,2195269,7726750462.66,8.15,0.29,0.1,5.98
2025-02-10,002050,34.5,33.77,34.73,33.1,1875921,6362410977.07,4.66,-3.38,-1.18,5.11
2025-02-11,002050,33.41,33.53,34.73,33.17,1417440,4848153513.19,4.62,-0.71,-0.24,3.86
2025-02-12,002050,31.84,32.86,33.19,30.97,2038064,6658550558.63,6.62,-2.0,-0.67,5.55
2025-02-13,002050,32.63,32.03,33.25,31.87,1442022,4730253012.68,4.2,-2.53,-0.83,3.93
2025-02-14,002050,31.94,31.6,32.13,31.3,1173585,3753561253.6,2.59,-1.34,-0.43,3.2
2025-02-17,002050,31.68,33.0,33.03,31.68,1815653,5962544256.77,4.27,4.43,1.4,4.95
2025-02-18,002050,32.69,32.3,33.51,32.04,1396402,4612168638.87,4.45,-2.12,-0.7,3.8
2025-02-19,002050,32.08,34.22,34.61,31.94,2022034,6879445688.82,8.27,5.94,1.92,5.51
2025-02-20,002050,34.08,33.66,34.5,33.43,1423697,4874710437.05,3.13,-1.64,-0.56,3.88
2025-02-21,002050,33.37,33.98,34.81,33.28,1523113,5220066290.08,4.55,0.95,0.32,4.15
2025-02-24,002050,33.93,33.2,34.92,32.52,1693421,5731702479.3,7.06,-2.3,-0.78,4.61
2025-02-25,002050,32.43,33.63,34.13,32.23,1453491,4897620461.05,5.72,1.3,0.43,3.96
2025-02-26,002050,33.33,34.35,35.6,33.26,2008467,7038921363.84,6.96,2.14,0.72,5.47
2025-02-27,002050,33.87,32.05,34.09,31.14,2276998,7475188516.38,8.59,-6.7,-2.3,6.2
2025-02-28,002050,31.46,29.95,31.46,29.79,1748933,5399630094.71,5.21,-6.55,-2.1,4.76
2025-03-03,002050,30.13,30.15,30.73,29.25,1211684,3683921567.14,4.94,0.67,0.2,3.3
2025-03-04,002050,29.73,30.65,31.51,29.73,1400394,4339961939.28,5.9,1.66,0.5,3.82
2025-03-05,002050,30.63,30.88,31.38,30.43,846081,2638937372.51,3.1,0.75,0.23,2.31
2025-03-06,002050,31.16,31.33,32.2,31.03,1166341,3728047717.92,3.79,1.46,0.45,3.18
2025-03-07,002050,31.18,31.33,31.75,30.7,1017305,3222969001.43,3.35,0.0,0.0,2.77
2025-03-10,002050,31.72,31.23,31.78,30.97,739550,2340511113.17,2.59,-0.32,-0.1,2.01
2025-03-11,002050,30.12,30.12,30.75,29.72,1222740,3730342659.41,3.3,-3.55,-1.11,3.33
