日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002072,4.21,4.26,4.43,4.2,87109,37605211.92,5.46,1.19,0.05,2.77
2025-01-03,002072,4.32,3.99,4.35,3.98,82229,33807676.0,8.69,-6.34,-0.27,2.62
2025-01-06,002072,3.97,3.92,4.0,3.72,73562,28594859.31,7.02,-1.75,-0.07,2.34
2025-01-07,002072,3.92,4.07,4.09,3.92,71797,28829436.0,4.34,3.83,0.15,2.28
2025-01-08,002072,4.07,4.17,4.25,4.0,102689,42392527.0,6.14,2.46,0.1,3.27
2025-01-09,002072,4.17,4.18,4.23,4.12,72420,30228217.66,2.64,0.24,0.01,2.3
2025-01-10,002072,4.21,4.01,4.25,3.99,66017,27103186.02,6.22,-4.07,-0.17,2.1
2025-01-13,002072,4.01,4.06,4.16,3.81,53538,21373087.54,8.73,1.25,0.05,1.7
2025-01-14,002072,4.08,4.37,4.38,4.04,78850,33518057.34,8.37,7.64,0.31,2.51
2025-01-15,002072,4.4,4.37,4.49,4.27,92608,40738083.2,5.03,0.0,0.0,2.95
2025-01-16,002072,4.44,4.44,4.5,4.35,53575,23756856.0,3.43,1.6,0.07,1.7
2025-01-17,002072,4.39,4.53,4.67,4.38,103030,46873919.0,6.53,2.03,0.09,3.28
2025-01-20,002072,4.57,4.63,4.72,4.41,108869,49931584.2,6.84,2.21,0.1,3.67
2025-01-21,002072,4.69,4.62,4.75,4.5,79650,36527206.0,5.4,-0.22,-0.01,2.69
2025-01-22,002072,4.68,4.4,4.76,4.35,93992,42105210.16,8.87,-4.76,-0.22,3.17
2025-01-23,002072,4.46,4.31,4.53,4.31,63621,28173434.6,5.0,-2.05,-0.09,2.14
2025-01-24,002072,4.27,4.45,4.49,4.23,67164,29489495.0,6.03,3.25,0.14,2.26
2025-01-27,002072,4.45,4.44,4.6,4.4,48715,21867806.0,4.49,-0.22,-0.01,1.64
2025-02-05,002072,4.51,4.68,4.7,4.33,75994,35005593.27,8.33,5.41,0.24,2.56
2025-02-06,002072,4.68,4.89,4.9,4.63,94965,45573287.52,5.77,4.49,0.21,3.2
2025-02-07,002072,4.89,4.72,4.95,4.69,84729,40749218.0,5.32,-3.48,-0.17,2.86
2025-02-10,002072,4.8,4.87,4.88,4.77,79624,38478117.0,2.33,3.18,0.15,2.68
2025-02-11,002072,4.88,4.78,4.9,4.73,40763,19458406.76,3.49,-1.85,-0.09,1.37
2025-02-12,002072,4.78,4.79,4.83,4.69,46878,22311689.0,2.93,0.21,0.01,1.58
2025-02-13,002072,4.81,4.83,4.84,4.71,54886,26212193.0,2.71,0.84,0.04,1.85
2025-02-14,002072,4.86,4.73,4.88,4.7,65264,31142589.0,3.73,-2.07,-0.1,2.2
2025-02-17,002072,4.73,4.85,4.91,4.7,69628,33587205.16,4.44,2.54,0.12,2.35
2025-02-18,002072,4.91,4.74,4.94,4.72,61921,29942298.0,4.54,-2.27,-0.11,2.09
2025-02-19,002072,4.71,4.84,4.88,4.64,54379,26080009.16,5.06,2.11,0.1,1.83
2025-02-20,002072,4.85,4.81,4.88,4.78,41831,20173602.0,2.07,-0.62,-0.03,1.41
2025-02-21,002072,4.85,4.79,4.85,4.69,53325,25416308.0,3.33,-0.42,-0.02,1.8
2025-02-24,002072,4.81,4.82,4.84,4.65,54448,25953344.0,3.97,0.63,0.03,1.84
2025-02-25,002072,4.73,4.77,4.95,4.73,56828,27537741.62,4.56,-1.04,-0.05,1.92
2025-02-26,002072,4.83,4.83,4.88,4.78,48804,23571568.0,2.1,1.26,0.06,1.65
2025-02-27,002072,4.85,4.85,4.95,4.72,57132,27690652.0,4.76,0.41,0.02,1.93
2025-02-28,002072,4.84,4.68,4.84,4.67,53438,25327097.0,3.51,-3.51,-0.17,1.8
2025-03-03,002072,4.71,4.84,4.93,4.71,89001,43087702.0,4.7,3.42,0.16,3.0
2025-03-04,002072,4.79,4.83,4.94,4.76,52667,25561797.68,3.72,-0.21,-0.01,1.78
2025-03-05,002072,4.84,4.84,4.85,4.68,48268,22966601.71,3.52,0.21,0.01,1.63
2025-03-06,002072,4.84,5.05,5.27,4.78,150537,75814234.85,10.12,4.34,0.21,5.07
2025-03-07,002072,5.06,4.98,5.21,4.95,75449,38065267.96,5.15,-1.39,-0.07,2.54
2025-03-10,002072,4.99,5.08,5.1,4.94,80353,40511150.0,3.21,2.01,0.1,2.71
2025-03-11,002072,5.01,5.3,5.36,5.01,141458,74309587.0,6.89,4.33,0.22,4.77
2025-03-12,002072,5.37,5.31,5.43,5.26,116243,61947157.6,3.21,0.19,0.01,3.92
2025-03-13,002072,5.29,5.3,5.32,5.19,69539,36491207.0,2.45,-0.19,-0.01,2.34
2025-03-14,002072,5.27,5.3,5.35,5.22,49306,25968662.0,2.45,0.0,0.0,1.66
2025-03-17,002072,5.3,5.0,5.31,4.91,224323,113204870.1,7.55,-5.66,-0.3,7.56
2025-03-18,002072,4.99,5.03,5.07,4.94,110618,55230718.97,2.6,0.6,0.03,3.73
2025-03-19,002072,5.01,4.95,5.07,4.91,82116,40945177.0,3.18,-1.59,-0.08,2.77
2025-03-20,002072,4.94,5.02,5.05,4.87,74899,37270182.0,3.64,1.41,0.07,2.52
2025-03-21,002072,5.0,4.68,5.04,4.68,114709,55278069.0,7.17,-6.77,-0.34,3.87
