日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002098,7.86,7.73,8.05,7.67,35907,28657157.13,4.82,-2.03,-0.16,1.0
2025-01-03,002098,7.75,7.38,7.82,7.33,30740,23490991.94,6.34,-4.53,-0.35,0.86
2025-01-06,002098,7.44,7.37,7.49,6.63,28135,20678502.72,11.65,-0.14,-0.01,0.79
2025-01-07,002098,7.47,7.68,7.69,7.38,27343,20875235.0,4.21,4.21,0.31,0.76
2025-01-08,002098,7.7,7.64,7.75,7.4,24102,18576343.46,4.56,-0.52,-0.04,0.67
2025-01-09,002098,7.62,7.62,7.77,7.6,15545,12059667.0,2.23,-0.26,-0.02,0.43
2025-01-10,002098,7.58,7.3,7.66,7.3,21576,16371991.0,4.72,-4.2,-0.32,0.6
2025-01-13,002098,7.23,7.3,7.39,7.06,23179,16946508.0,4.52,0.0,0.0,0.65
2025-01-14,002098,7.44,7.63,7.63,7.21,19837,15121221.0,5.75,4.52,0.33,0.55
2025-01-15,002098,7.67,7.68,7.78,7.64,17655,13758214.0,1.83,0.66,0.05,0.49
2025-01-16,002098,7.72,7.68,7.86,7.62,17706,13861546.0,3.13,0.0,0.0,0.49
2025-01-17,002098,7.72,7.73,7.78,7.58,18525,14447315.0,2.6,0.65,0.05,0.52
2025-01-20,002098,7.81,8.13,8.24,7.75,41036,33504528.5,6.34,5.17,0.4,1.15
2025-01-21,002098,8.24,8.05,8.27,8.0,28388,23265921.0,3.32,-0.98,-0.08,0.79
2025-01-22,002098,8.05,8.05,8.22,7.95,21030,17139533.0,3.35,0.0,0.0,0.59
2025-01-23,002098,8.08,8.03,8.13,7.98,23232,18918929.5,1.86,-0.25,-0.02,0.65
2025-01-24,002098,8.04,8.04,8.08,7.9,19765,16000987.0,2.24,0.12,0.01,0.55
2025-01-27,002098,8.05,8.47,8.85,8.05,135066,117721370.28,9.95,5.35,0.43,3.77
2025-02-05,002098,8.29,8.34,8.45,8.11,100750,84584270.56,4.01,-1.53,-0.13,2.81
2025-02-06,002098,8.34,8.4,8.42,8.24,55411,46759571.55,2.16,0.72,0.06,1.55
2025-02-07,002098,8.4,8.88,9.25,8.37,161640,145129711.28,10.48,5.71,0.48,4.52
2025-02-10,002098,8.86,8.91,9.05,8.71,109763,98292004.48,3.83,0.34,0.03,3.07
2025-02-11,002098,8.9,8.97,9.3,8.79,90257,82348199.46,5.72,0.67,0.06,2.52
2025-02-12,002098,8.99,8.98,9.1,8.83,54275,49123983.0,3.01,0.11,0.01,1.52
2025-02-13,002098,8.96,8.78,9.02,8.77,52300,46921619.0,2.78,-2.23,-0.2,1.46
