日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002105,4.99,4.94,5.14,4.9,74227,37277285.5,4.81,-1.0,-0.05,2.04
2025-01-03,002105,5.07,4.7,5.14,4.68,103440,50475408.47,9.31,-4.86,-0.24,2.84
2025-01-06,002105,4.65,4.62,4.74,4.39,88006,40215545.46,7.45,-1.7,-0.08,2.41
2025-01-07,002105,4.57,4.83,4.84,4.57,81316,38378086.16,5.84,4.55,0.21,2.23
2025-01-08,002105,4.98,4.89,5.0,4.69,88836,42909440.0,6.42,1.24,0.06,2.44
2025-01-09,002105,4.81,5.09,5.17,4.81,139136,69554227.79,7.36,4.09,0.2,3.82
2025-01-10,002105,5.08,4.78,5.21,4.75,139400,69506198.63,9.04,-6.09,-0.31,3.82
2025-01-13,002105,4.67,4.71,4.76,4.57,69071,32280950.0,3.97,-1.46,-0.07,1.9
2025-01-14,002105,4.75,5.01,5.01,4.74,70517,34628981.5,5.73,6.37,0.3,1.93
2025-01-15,002105,5.01,5.07,5.11,4.98,52169,26373430.3,2.59,1.2,0.06,1.43
2025-01-16,002105,5.05,5.11,5.17,5.04,51678,26450762.0,2.56,0.79,0.04,1.42
2025-01-17,002105,5.09,5.05,5.09,4.98,38384,19353480.0,2.15,-1.17,-0.06,1.05
2025-01-20,002105,5.12,5.16,5.18,5.01,54985,28198709.0,3.37,2.18,0.11,1.51
2025-01-21,002105,5.23,5.1,5.23,5.03,45809,23326321.0,3.88,-1.16,-0.06,1.26
2025-01-22,002105,5.08,5.04,5.11,4.99,44024,22185714.0,2.35,-1.18,-0.06,1.21
2025-01-23,002105,5.06,4.92,5.08,4.91,73090,36362675.92,3.37,-2.38,-0.12,2.01
2025-01-24,002105,4.92,4.99,5.03,4.82,61714,30373636.8,4.27,1.42,0.07,1.69
2025-01-27,002105,5.03,5.01,5.14,5.01,69090,35096211.8,2.61,0.4,0.02,1.9
2025-02-05,002105,5.03,5.05,5.09,4.98,47813,24137932.0,2.2,0.8,0.04,1.31
2025-02-06,002105,5.05,5.22,5.22,5.01,70041,35930106.0,4.16,3.37,0.17,1.92
2025-02-07,002105,5.25,5.22,5.31,5.16,52321,27493954.73,2.87,0.0,0.0,1.44
2025-02-10,002105,5.23,5.39,5.4,5.23,50826,27039027.0,3.26,3.26,0.17,1.39
2025-02-11,002105,5.41,5.33,5.42,5.3,37348,19926186.0,2.23,-1.11,-0.06,1.02
2025-02-12,002105,5.32,5.44,5.44,5.3,48491,26011701.5,2.63,2.06,0.11,1.33
2025-02-13,002105,5.44,5.33,5.44,5.33,41551,22358875.0,2.02,-2.02,-0.11,1.14
2025-02-14,002105,5.32,5.28,5.38,5.23,39751,21079297.0,2.81,-0.94,-0.05,1.09
2025-02-17,002105,5.33,5.41,5.43,5.29,54545,29320852.0,2.65,2.46,0.13,1.5
2025-02-18,002105,5.39,5.24,5.43,5.21,48687,25865453.73,4.07,-3.14,-0.17,1.34
2025-02-19,002105,5.26,5.29,5.35,5.2,42262,22371113.68,2.86,0.95,0.05,1.16
2025-02-20,002105,5.27,5.36,5.41,5.26,46314,24747008.0,2.84,1.32,0.07,1.27
2025-02-21,002105,5.39,5.3,5.41,5.22,52912,28009789.38,3.54,-1.12,-0.06,1.45
2025-02-24,002105,5.28,5.41,5.48,5.26,64370,34507351.06,4.15,2.08,0.11,1.77
2025-02-25,002105,5.34,5.32,5.41,5.28,37793,20222459.38,2.4,-1.66,-0.09,1.04
