日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002126,18.68,18.18,18.85,17.98,191038,354462432.77,4.68,-2.26,-0.42,2.44
2025-01-03,002126,18.22,17.64,18.52,17.58,177839,322943636.43,5.17,-2.97,-0.54,2.27
2025-01-06,002126,17.63,17.75,18.14,17.38,201247,361297624.14,4.31,0.62,0.11,2.57
2025-01-07,002126,17.76,18.37,18.63,17.34,283811,522559397.51,7.27,3.49,0.62,3.62
2025-01-08,002126,18.38,18.16,18.39,17.52,209310,377637834.0,4.74,-1.14,-0.21,2.67
2025-01-09,002126,18.06,19.58,19.99,17.98,728268,1424598224.04,11.07,7.82,1.42,9.29
2025-01-10,002126,19.51,18.9,19.66,18.9,409989,799204647.57,3.88,-3.47,-0.68,5.23
2025-01-13,002126,19.07,18.97,19.65,18.84,276411,534286098.96,4.29,0.37,0.07,3.53
2025-01-14,002126,19.12,19.82,19.91,18.85,376376,740912310.4,5.59,4.48,0.85,4.8
2025-01-15,002126,19.65,19.58,19.88,19.33,253876,500326176.3,2.77,-1.21,-0.24,3.24
2025-01-16,002126,19.72,20.35,20.46,19.59,483862,978402899.63,4.44,3.93,0.77,6.17
2025-01-17,002126,20.08,20.25,20.25,19.55,271859,545388648.67,3.44,-0.49,-0.1,3.47
2025-01-20,002126,20.34,20.13,20.35,19.98,239904,485597202.02,1.83,-0.59,-0.12,3.06
2025-01-21,002126,20.13,20.13,20.23,19.8,237687,480352849.7,2.14,0.0,0.0,3.03
2025-01-22,002126,20.0,20.1,20.27,19.78,207905,419417135.37,2.43,-0.15,-0.03,2.65
2025-01-23,002126,20.21,20.0,20.5,19.78,318656,644045502.33,3.58,-0.5,-0.1,4.06
2025-01-24,002126,19.83,20.47,20.71,19.8,258072,528798398.32,4.55,2.35,0.47,3.29
2025-01-27,002126,20.46,20.04,20.6,20.02,138420,281978386.54,2.83,-2.1,-0.43,1.77
2025-02-05,002126,20.05,19.64,20.18,18.87,262704,512521139.8,6.54,-2.0,-0.4,3.35
2025-02-06,002126,19.5,21.62,21.62,19.39,503539,1067079640.64,11.35,10.08,1.98,6.42
2025-02-07,002126,22.58,22.55,23.21,21.73,701524,1583248390.83,6.85,4.3,0.93,8.95
2025-02-10,002126,22.37,22.21,22.43,21.68,477358,1057266937.67,3.33,-1.51,-0.34,6.09
2025-02-11,002126,22.16,22.16,22.5,21.73,294753,654499776.63,3.47,-0.23,-0.05,3.76
2025-02-12,002126,22.1,22.88,23.46,21.82,409258,936551769.98,7.4,3.25,0.72,5.22
2025-02-13,002126,22.94,22.47,23.37,22.33,349253,801844751.09,4.55,-1.79,-0.41,4.45
2025-02-14,002126,22.26,23.83,24.32,22.26,561767,1331421594.84,9.17,6.05,1.36,7.17
2025-02-17,002126,23.78,23.61,23.79,23.08,317935,749732132.28,2.98,-0.92,-0.22,4.06
2025-02-18,002126,23.61,24.13,24.61,23.56,347037,842797998.75,4.45,2.2,0.52,4.43
2025-02-19,002126,23.93,26.56,26.56,23.71,477649,1219920267.97,11.81,10.07,2.43,6.09
2025-02-20,002126,26.51,27.38,29.23,25.55,683889,1858875770.86,13.86,3.09,0.82,8.72
2025-02-21,002126,30.13,30.13,30.13,30.13,181381,548676042.75,0.0,10.04,2.75,2.31
2025-02-24,002126,32.59,32.88,33.16,31.17,938912,3065523038.77,6.6,9.13,2.75,11.98
2025-02-25,002126,31.38,30.88,32.94,30.48,798124,2528905739.74,7.48,-6.08,-2.0,10.18
2025-02-26,002126,32.4,32.98,33.98,32.08,910002,3016273235.85,6.15,6.8,2.1,11.61
2025-02-27,002126,33.58,32.88,35.35,30.78,1132796,3754985355.81,13.86,-0.3,-0.1,14.45
2025-02-28,002126,32.48,30.58,32.48,29.58,763632,2344077540.55,8.82,-7.0,-2.3,9.74
2025-03-03,002126,30.51,30.54,32.91,29.91,793631,2482851747.03,9.81,-0.13,-0.04,10.12
2025-03-04,002126,29.38,33.61,33.61,29.38,1118084,3656768189.38,13.85,10.05,3.07,14.26
2025-03-05,002126,34.06,33.94,34.8,32.78,945252,3214571217.61,6.01,0.98,0.33,12.06
2025-03-06,002126,33.68,35.78,36.41,33.08,1148437,3992840625.78,9.81,5.42,1.84,14.65
2025-03-07,002126,34.88,34.86,36.21,33.78,641798,2244153539.67,6.79,-2.57,-0.92,8.19
2025-03-10,002126,34.52,32.38,35.25,31.36,643207,2116825207.86,11.16,-7.11,-2.48,8.2
2025-03-11,002126,31.18,32.41,33.05,30.7,734030,2331154390.55,7.26,0.09,0.03,9.36
2025-03-12,002126,32.38,31.16,33.06,30.95,651647,2079329757.28,6.51,-3.86,-1.25,8.31
2025-03-13,002126,31.16,28.56,31.17,28.39,826925,2434029152.84,8.92,-8.34,-2.6,10.55
2025-03-14,002126,28.51,29.82,30.02,28.06,661627,1952369512.11,6.86,4.41,1.26,8.44
2025-03-17,002126,29.87,29.71,30.64,29.03,509867,1533607162.3,5.4,-0.37,-0.11,6.5
2025-03-18,002126,30.11,29.61,30.18,29.28,317036,944862798.78,3.03,-0.34,-0.1,4.04
2025-03-19,002126,29.38,30.31,30.86,29.23,568981,1725432152.88,5.5,2.36,0.7,7.26
2025-03-20,002126,29.96,29.8,30.21,28.83,499306,1482755510.38,4.55,-1.68,-0.51,6.37
2025-03-21,002126,29.77,28.4,29.77,28.14,398946,1146982315.2,5.47,-4.7,-1.4,5.09
2025-03-24,002126,28.69,28.32,28.84,27.82,264601,752333038.95,3.59,-0.28,-0.08,3.37
2025-03-25,002126,28.53,27.14,28.74,27.02,301125,833642780.75,6.07,-4.17,-1.18,3.84
2025-03-26,002126,27.31,27.92,28.5,27.15,275844,775080330.14,4.97,2.87,0.78,3.52
2025-03-27,002126,27.94,28.08,29.56,27.59,395524,1138794434.79,7.06,0.57,0.16,5.04
2025-03-28,002126,28.08,28.06,28.58,27.89,188645,534283119.78,2.46,-0.07,-0.02,2.41
2025-03-31,002126,27.78,27.51,28.16,26.85,262796,721295162.63,4.67,-1.96,-0.55,3.35
2025-04-01,002126,28.68,27.13,28.68,27.09,244018,677747048.31,5.78,-1.38,-0.38,3.11
2025-04-02,002126,27.14,27.74,27.93,27.04,214567,594415512.23,3.28,2.25,0.61,2.74
2025-04-03,002126,27.18,26.75,27.74,26.6,243277,661593446.38,4.11,-3.57,-0.99,3.1
2025-04-07,002126,24.06,24.06,24.6,24.06,122582,297818898.14,2.02,-10.06,-2.69,1.56
2025-04-08,002126,23.11,21.98,23.68,21.64,620281,1376841454.52,8.48,-8.65,-2.08,7.91
2025-04-09,002126,21.44,22.34,22.68,20.37,573829,1249995200.34,10.51,1.64,0.36,7.32
2025-04-10,002126,23.88,23.58,24.26,23.34,431593,1034994616.76,4.12,5.55,1.24,5.5
2025-04-11,002126,23.28,24.21,24.67,23.23,318427,769252374.73,6.11,2.67,0.63,4.06
