日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002139,13.43,12.84,13.59,12.68,665952,879515368.04,6.72,-5.17,-0.7,6.22
2025-01-03,002139,12.85,12.3,12.91,12.25,534291,674480707.76,5.14,-4.21,-0.54,4.99
2025-01-06,002139,12.33,12.27,12.5,12.11,351434,434024680.03,3.17,-0.24,-0.03,3.28
2025-01-07,002139,12.27,12.51,12.62,12.26,408151,510903651.39,2.93,1.96,0.24,3.81
2025-01-08,002139,12.42,12.46,12.62,11.82,562512,692797877.25,6.39,-0.4,-0.05,5.25
2025-01-09,002139,12.37,12.75,12.92,12.33,527585,675777818.98,4.74,2.33,0.29,4.93
2025-01-10,002139,12.64,12.67,13.21,12.58,589953,766689084.55,4.94,-0.63,-0.08,5.51
2025-01-13,002139,12.5,12.76,13.05,12.47,467530,600791110.08,4.58,0.71,0.09,4.36
2025-01-14,002139,12.74,13.98,14.04,12.64,1225618,1682726327.74,10.97,9.56,1.22,11.44
2025-01-15,002139,14.0,13.73,14.11,13.69,828921,1150340589.25,3.0,-1.79,-0.25,7.74
2025-01-16,002139,13.88,13.82,14.11,13.61,598645,833300650.48,3.64,0.66,0.09,5.59
2025-01-17,002139,13.78,13.98,14.05,13.74,586907,821053549.69,2.24,1.16,0.16,5.48
2025-01-20,002139,14.16,14.21,14.37,14.03,710725,1013874866.09,2.43,1.65,0.23,6.64
2025-01-21,002139,14.25,14.54,14.6,14.13,778681,1127247611.79,3.31,2.32,0.33,7.27
2025-01-22,002139,14.42,14.37,14.61,14.26,548645,793932180.96,2.41,-1.17,-0.17,5.12
2025-01-23,002139,14.48,14.18,14.65,14.13,738845,1067468246.94,3.62,-1.32,-0.19,6.9
2025-01-24,002139,14.06,14.6,14.65,14.04,660730,957091565.34,4.3,2.96,0.42,6.17
2025-01-27,002139,14.62,14.22,14.68,14.2,490835,708253272.63,3.29,-2.6,-0.38,4.58
2025-02-05,002139,14.4,14.35,14.59,14.17,576172,832676757.35,2.95,0.91,0.13,5.38
2025-02-06,002139,14.2,15.28,15.58,14.13,1113128,1685500158.78,10.1,6.48,0.93,10.39
2025-02-07,002139,15.23,15.08,15.5,14.86,949093,1451459393.77,4.19,-1.31,-0.2,8.86
2025-02-10,002139,15.28,14.96,15.48,14.81,744491,1126013542.73,4.44,-0.8,-0.12,6.95
2025-02-11,002139,14.93,14.98,15.09,14.73,552386,829225904.56,2.41,0.13,0.02,5.16
2025-02-12,002139,14.91,15.17,15.34,14.75,568058,860143454.18,3.94,1.27,0.19,5.3
2025-02-13,002139,15.21,14.45,15.23,14.44,786656,1160841411.67,5.21,-4.75,-0.72,7.34
2025-02-14,002139,14.47,14.6,14.66,14.34,419227,611817937.02,2.21,1.04,0.15,3.91
2025-02-17,002139,14.61,14.99,15.15,14.52,679136,1016299873.25,4.32,2.67,0.39,6.34
2025-02-18,002139,14.92,14.81,15.12,14.73,555186,831860724.75,2.6,-1.2,-0.18,5.18
2025-02-19,002139,14.92,15.71,15.75,14.91,1155618,1795086568.85,5.67,6.08,0.9,10.79
2025-02-20,002139,15.71,16.68,17.06,15.48,1378520,2256261450.5,10.06,6.17,0.97,12.87
2025-02-21,002139,16.54,16.9,17.31,16.51,1228812,2091081940.83,4.8,1.32,0.22,11.47
2025-02-24,002139,16.89,16.85,17.12,16.7,810732,1374859061.0,2.49,-0.3,-0.05,7.57
2025-02-25,002139,16.63,17.31,17.71,16.57,1039022,1792550134.44,6.77,2.73,0.46,9.7
2025-02-26,002139,17.23,17.59,18.4,17.01,1209009,2157661459.86,8.03,1.62,0.28,11.29
2025-02-27,002139,17.53,17.84,18.38,17.32,1194447,2141675363.06,6.03,1.42,0.25,11.15
2025-02-28,002139,17.4,16.32,17.42,16.23,1277471,2127362908.12,6.67,-8.52,-1.52,11.93
2025-03-03,002139,16.29,15.89,16.43,15.76,757320,1219261905.74,4.11,-2.63,-0.43,7.07
2025-03-04,002139,15.79,16.22,16.52,15.73,618829,1009429010.51,4.97,2.08,0.33,5.78
2025-03-05,002139,16.23,16.59,16.68,16.23,594240,982679049.71,2.77,2.28,0.37,5.55
2025-03-06,002139,16.81,17.82,18.21,16.71,1246889,2216435248.7,9.04,7.41,1.23,11.64
2025-03-07,002139,17.81,17.88,18.49,17.54,957183,1734439779.13,5.33,0.34,0.06,8.94
2025-03-10,002139,17.87,17.71,18.03,17.56,507723,903110670.88,2.63,-0.95,-0.17,4.74
2025-03-11,002139,17.49,17.61,17.84,17.19,617858,1085621117.24,3.67,-0.56,-0.1,5.77
2025-03-12,002139,17.75,17.61,17.87,17.48,506074,895649390.13,2.21,0.0,0.0,4.72
2025-03-13,002139,17.66,16.65,17.67,16.41,771193,1302932077.18,7.16,-5.45,-0.96,7.2
2025-03-14,002139,16.73,17.1,17.2,16.48,540767,917948889.64,4.32,2.7,0.45,5.05
2025-03-17,002139,17.11,17.0,17.14,16.64,435261,738815417.48,2.92,-0.58,-0.1,4.06
2025-03-18,002139,17.06,17.0,17.19,16.83,382187,651964090.38,2.12,0.0,0.0,3.57
2025-03-19,002139,16.92,16.78,17.0,16.55,430147,723707456.7,2.65,-1.29,-0.22,4.02
2025-03-20,002139,16.76,16.61,16.91,16.58,395408,663581129.31,1.97,-1.01,-0.17,3.69
2025-03-21,002139,16.43,15.63,16.44,15.59,740920,1181653755.1,5.12,-5.9,-0.98,6.92
2025-03-24,002139,15.66,15.85,15.9,15.4,415780,653946775.01,3.2,1.41,0.22,3.88
2025-03-25,002139,15.91,15.38,16.11,15.28,395723,620627259.82,5.24,-2.97,-0.47,3.69
2025-03-26,002139,15.39,15.54,15.81,15.38,319152,500645554.2,2.8,1.04,0.16,2.98
2025-03-27,002139,15.44,15.57,15.83,15.34,292440,458972680.0,3.15,0.19,0.03,2.73
2025-03-28,002139,15.62,15.46,15.77,15.44,264876,413908776.75,2.12,-0.71,-0.11,2.47
2025-03-31,002139,15.36,15.07,15.37,14.74,471116,707947817.49,4.08,-2.52,-0.39,4.4
2025-04-01,002139,15.14,14.68,15.21,14.64,362928,540391131.83,3.78,-2.59,-0.39,3.39
2025-04-02,002139,14.79,15.02,15.05,14.7,320823,481413272.23,2.38,2.32,0.34,3.0
2025-04-03,002139,14.75,14.21,14.98,14.18,497550,723922840.23,5.33,-5.39,-0.81,4.65
2025-04-07,002139,12.78,12.78,13.05,12.78,184240,237186961.77,1.9,-10.06,-1.43,1.72
2025-04-08,002139,12.53,11.58,12.67,11.5,916903,1089565072.13,9.15,-9.39,-1.2,8.56
2025-04-09,002139,11.21,11.78,11.86,10.61,789209,905282968.81,10.79,1.73,0.2,7.37
2025-04-10,002139,12.43,12.42,12.85,12.32,689044,870473407.91,4.5,5.43,0.64,6.43
2025-04-11,002139,12.25,12.72,12.96,12.23,475798,604322408.7,5.88,2.42,0.3,4.44
2025-04-14,002139,13.09,12.91,13.2,12.82,470545,614609548.17,2.99,1.49,0.19,4.39
2025-04-15,002139,12.9,12.84,13.0,12.68,327750,422296816.56,2.48,-0.54,-0.07,3.06
2025-04-16,002139,12.8,12.46,12.8,12.25,307548,386215687.3,4.28,-2.96,-0.38,2.87
2025-04-17,002139,12.38,12.42,12.64,12.31,200247,251812868.27,2.65,-0.32,-0.04,1.87
2025-04-18,002139,12.42,12.44,12.5,12.28,163680,204189095.0,1.77,0.16,0.02,1.53
2025-04-21,002139,12.44,12.87,12.9,12.33,337823,430137457.98,4.58,3.46,0.43,3.15
2025-04-22,002139,12.84,12.97,13.15,12.73,375622,490178961.92,3.26,0.78,0.1,3.51
2025-04-23,002139,13.1,13.54,13.65,13.1,578720,781942664.88,4.24,4.39,0.57,5.4
2025-04-24,002139,13.45,13.16,13.58,13.05,520928,692713331.9,3.91,-2.81,-0.38,4.86
2025-04-25,002139,13.34,13.4,13.61,13.2,370707,499929715.54,3.12,1.82,0.24,3.46
2025-04-28,002139,13.43,13.36,13.53,13.31,237915,320589026.2,1.64,-0.3,-0.04,2.22
2025-04-29,002139,13.33,13.52,13.61,13.27,269865,366164963.29,2.54,1.2,0.16,2.52
2025-04-30,002139,13.56,13.92,14.17,13.5,425944,593456569.18,4.96,2.96,0.4,3.98
2025-05-06,002139,14.21,14.34,14.38,14.13,381095,546498989.09,1.8,3.02,0.42,3.56
2025-05-07,002139,14.51,14.44,14.68,14.24,423906,615884744.3,3.07,0.7,0.1,3.96
2025-05-08,002139,14.37,14.54,14.69,14.33,300362,439684305.62,2.49,0.69,0.1,2.8
2025-05-09,002139,14.53,14.33,14.56,14.19,258944,373325058.96,2.54,-1.44,-0.21,2.42
2025-05-12,002139,14.58,14.62,14.73,14.46,284749,417616106.86,1.88,2.02,0.29,2.66
2025-05-13,002139,14.82,14.42,14.87,14.41,289074,422910315.96,3.15,-1.37,-0.2,2.7
2025-05-14,002139,14.41,14.37,14.54,14.2,299477,429609334.0,2.36,-0.35,-0.05,2.8
2025-05-15,002139,14.37,13.95,14.41,13.93,268737,377294759.58,3.34,-2.92,-0.42,2.51
2025-05-16,002139,13.91,13.99,14.2,13.88,215886,304392965.96,2.29,0.29,0.04,2.02
2025-05-19,002139,13.99,14.04,14.1,13.73,204796,285066535.92,2.64,0.36,0.05,1.91
2025-05-20,002139,14.01,14.06,14.14,13.84,193616,271599164.0,2.14,0.14,0.02,1.81
2025-05-21,002139,14.06,13.88,14.06,13.79,195927,272149740.0,1.92,-1.28,-0.18,1.83
2025-05-22,002139,13.84,13.66,13.95,13.64,189777,261001832.25,2.23,-1.59,-0.22,1.77
2025-05-23,002139,13.72,13.56,13.97,13.55,248487,342281982.52,3.07,-0.73,-0.1,2.32
