日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002149,17.18,16.57,17.6,16.42,109710,189290823.72,6.78,-4.77,-0.83,2.25
2025-01-03,002149,16.62,15.47,16.74,15.3,107135,173707658.77,8.69,-6.64,-1.1,2.19
2025-01-06,002149,15.32,15.72,15.77,15.0,95641,151117855.2,4.98,1.62,0.25,1.96
2025-01-07,002149,15.69,16.44,16.46,15.58,73980,121180094.88,5.6,4.58,0.72,1.52
2025-01-08,002149,16.28,15.96,16.35,15.64,64800,104702855.9,4.32,-2.92,-0.48,1.33
2025-01-09,002149,15.8,16.85,16.89,15.75,99934,168359571.3,7.14,5.58,0.89,2.05
2025-01-10,002149,17.08,18.17,18.57,16.9,345563,640364321.42,9.91,7.83,1.32,7.08
2025-01-13,002149,17.32,17.58,18.34,17.32,218376,394796320.64,5.61,-3.25,-0.59,4.47
2025-01-14,002149,17.6,18.37,18.5,17.28,177674,324942772.36,6.94,4.49,0.79,3.64
2025-01-15,002149,18.38,17.98,19.08,17.83,156616,292215947.0,6.8,-2.12,-0.39,3.21
2025-01-16,002149,17.96,17.79,18.15,17.32,137508,247720153.3,4.62,-1.06,-0.19,2.82
2025-01-17,002149,17.81,18.07,18.35,17.31,168761,307646603.0,5.85,1.57,0.28,3.46
2025-01-20,002149,18.12,17.99,18.35,17.69,127125,232502020.87,3.65,-0.44,-0.08,2.6
2025-01-21,002149,18.06,17.8,18.1,17.2,131224,234555433.0,5.0,-1.06,-0.19,2.69
2025-01-22,002149,17.64,17.03,17.81,17.0,114452,201265393.48,4.55,-4.33,-0.77,2.34
2025-01-23,002149,17.19,17.23,17.61,17.1,109363,192538728.05,2.99,1.17,0.2,2.24
2025-01-24,002149,17.27,17.34,17.43,16.87,92783,161767213.9,3.25,0.64,0.11,1.9
2025-01-27,002149,17.38,16.7,17.4,16.7,59705,102969890.0,4.04,-3.69,-0.64,1.22
2025-02-05,002149,16.77,16.9,17.04,16.6,91383,156520390.22,2.63,1.2,0.2,1.87
2025-02-06,002149,16.88,17.57,17.8,16.66,205679,366381643.02,6.75,3.96,0.67,4.21
2025-02-07,002149,17.44,17.45,17.73,17.05,208494,369780347.2,3.87,-0.68,-0.12,4.27
2025-02-10,002149,17.45,18.06,18.25,17.15,247918,448702566.7,6.3,3.5,0.61,5.08
2025-02-11,002149,18.06,18.59,18.92,17.8,236665,444083546.5,6.2,2.93,0.53,4.85
2025-02-12,002149,18.55,18.12,18.55,17.95,177437,327039714.94,3.23,-2.53,-0.47,3.63
2025-02-13,002149,18.03,17.75,18.08,17.58,106162,191895877.33,2.76,-2.04,-0.37,2.17
2025-02-14,002149,17.7,17.47,17.85,17.16,125788,223022532.21,3.89,-1.58,-0.28,2.58
2025-02-17,002149,17.39,17.39,17.63,17.18,115672,205012412.0,2.58,-0.46,-0.08,2.37
2025-02-18,002149,17.49,16.7,17.49,16.45,146532,252534161.38,5.98,-3.97,-0.69,3.0
2025-02-19,002149,16.82,17.27,17.29,16.76,114299,199104374.75,3.17,3.41,0.57,2.34
2025-02-20,002149,17.17,19.03,19.03,17.12,349979,656067438.64,11.06,10.19,1.76,7.17
2025-02-21,002149,19.5,18.8,19.5,18.62,252823,484800447.48,4.62,-1.21,-0.23,5.18
2025-02-24,002149,19.06,18.8,19.81,18.61,284056,552172734.0,6.38,0.0,0.0,5.82
2025-02-25,002149,18.6,18.82,19.41,18.37,203808,390826425.35,5.53,0.11,0.02,4.18
2025-02-26,002149,19.15,19.35,19.85,19.03,222035,437590412.78,4.36,2.82,0.53,4.55
2025-02-27,002149,19.2,18.68,19.24,18.26,200228,378661730.25,5.06,-3.46,-0.67,4.1
2025-02-28,002149,18.6,18.14,18.85,18.06,134092,251437362.09,4.23,-2.89,-0.54,2.75
2025-03-03,002149,18.19,18.82,19.48,18.05,233818,450392794.44,7.88,3.75,0.68,4.79
2025-03-04,002149,18.6,19.45,19.65,18.4,229215,448258211.24,6.64,3.35,0.63,4.7
2025-03-05,002149,19.4,19.85,20.2,19.03,271321,542081747.52,6.02,2.06,0.4,5.56
2025-03-06,002149,19.85,19.89,20.04,19.55,222541,446109040.0,2.47,0.2,0.04,4.56
2025-03-07,002149,20.15,21.5,21.91,20.15,492165,1069831735.55,8.85,8.09,1.61,10.08
2025-03-10,002149,21.5,21.13,21.91,21.07,336095,730519288.82,3.91,-1.72,-0.37,6.89
2025-03-11,002149,20.71,22.57,22.81,20.7,313583,697989571.26,9.99,6.81,1.44,6.42
