日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002151,26.67,25.61,26.67,25.29,84725,219563460.16,5.2,-3.5,-0.93,1.91
2025-01-03,002151,25.61,25.28,25.87,25.18,68453,174521363.16,2.69,-1.29,-0.33,1.55
2025-01-06,002151,25.28,25.07,25.48,25.0,52415,131748254.7,1.9,-0.83,-0.21,1.18
2025-01-07,002151,25.18,25.48,25.49,25.03,43943,111079208.66,1.83,1.64,0.41,0.99
2025-01-08,002151,25.4,25.21,25.48,24.63,52997,132867185.26,3.34,-1.06,-0.27,1.2
2025-01-09,002151,25.1,25.49,25.57,25.0,43529,110457254.92,2.26,1.11,0.28,0.98
2025-01-10,002151,25.44,25.06,25.77,25.03,38954,99008327.0,2.9,-1.69,-0.43,0.88
2025-01-13,002151,24.88,25.14,25.27,24.7,32397,81020799.6,2.27,0.32,0.08,0.73
2025-01-14,002151,25.26,25.91,26.03,25.09,56128,144060762.35,3.74,3.06,0.77,1.27
2025-01-15,002151,25.91,25.63,25.92,25.53,43834,112524250.37,1.51,-1.08,-0.28,0.99
2025-01-16,002151,25.15,24.95,25.69,24.6,120663,302530006.23,4.25,-2.65,-0.68,2.72
2025-01-17,002151,24.82,24.92,25.08,24.5,71736,177601574.87,2.32,-0.12,-0.03,1.62
2025-01-20,002151,24.99,25.03,25.17,24.77,45176,112999474.56,1.61,0.44,0.11,1.02
2025-01-21,002151,25.08,25.0,25.17,24.79,40104,99971858.31,1.52,-0.12,-0.03,0.91
2025-01-22,002151,24.91,24.86,24.97,24.6,36241,89899043.01,1.48,-0.56,-0.14,0.82
2025-01-23,002151,25.0,24.68,25.29,24.66,65044,162461353.89,2.53,-0.72,-0.18,1.47
2025-01-24,002151,24.66,24.94,24.99,24.54,49143,122192000.16,1.82,1.05,0.26,1.11
2025-01-27,002151,25.04,24.72,25.25,24.68,39245,97681376.24,2.29,-0.88,-0.22,0.89
2025-02-05,002151,25.0,25.29,25.49,24.88,72912,184089686.3,2.47,2.31,0.57,1.65
2025-02-06,002151,25.34,25.88,25.88,25.11,76902,197467938.05,3.04,2.33,0.59,1.74
2025-02-07,002151,25.88,26.1,26.46,25.79,98301,256925673.1,2.59,0.85,0.22,2.22
2025-02-10,002151,26.26,26.47,26.55,26.12,78852,208248238.76,1.65,1.42,0.37,1.78
2025-02-11,002151,26.48,26.42,26.74,26.08,81379,214472654.74,2.49,-0.19,-0.05,1.84
2025-02-12,002151,26.4,26.5,26.54,26.2,58575,154622964.06,1.29,0.3,0.08,1.32
2025-02-13,002151,26.51,26.13,26.6,26.1,66567,174785553.5,1.89,-1.4,-0.37,1.5
2025-02-14,002151,26.0,26.19,26.24,25.88,60423,157609917.63,1.38,0.23,0.06,1.36
2025-02-17,002151,26.2,26.18,26.47,26.1,64535,169587996.56,1.41,-0.04,-0.01,1.46
2025-02-18,002151,26.2,25.6,26.27,25.47,59138,153206430.2,3.06,-2.22,-0.58,1.34
2025-02-19,002151,25.6,26.16,26.16,25.6,58771,152870870.03,2.19,2.19,0.56,1.33
