日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002194,11.05,10.89,11.29,10.73,205200,227760649.59,5.02,-2.33,-0.26,4.02
2025-01-03,002194,10.93,10.29,11.01,10.26,239129,253881842.37,6.89,-5.51,-0.6,4.68
2025-01-06,002194,10.29,10.21,10.46,10.0,169136,174901606.76,4.47,-0.78,-0.08,3.31
2025-01-07,002194,10.24,10.64,10.64,10.24,186709,196642766.87,3.92,4.21,0.43,3.65
2025-01-08,002194,10.59,10.58,10.69,10.21,197678,208535524.59,4.51,-0.56,-0.06,3.87
2025-01-09,002194,10.49,10.69,10.79,10.46,146108,157355864.2,3.12,1.04,0.11,2.86
2025-01-10,002194,10.66,10.32,10.78,10.32,135517,144001815.45,4.3,-3.46,-0.37,2.65
2025-01-13,002194,10.14,10.29,10.41,9.92,136017,139546326.39,4.75,-0.29,-0.03,2.66
2025-01-14,002194,10.43,10.9,10.9,10.26,215103,230745387.0,6.22,5.93,0.61,4.21
2025-01-15,002194,10.89,10.77,10.97,10.74,147836,161267811.9,2.11,-1.19,-0.13,2.89
2025-01-16,002194,10.87,10.91,11.07,10.72,159252,174625286.2,3.25,1.3,0.14,3.12
2025-01-17,002194,10.87,11.0,11.12,10.8,159927,176660951.85,2.93,0.82,0.09,3.13
2025-01-20,002194,11.11,11.14,11.25,10.97,155637,174190808.47,2.55,1.27,0.14,3.05
2025-01-21,002194,11.2,11.17,11.28,11.0,135392,151623815.6,2.51,0.27,0.03,2.65
2025-01-22,002194,11.13,11.04,11.23,10.98,115498,129118521.6,2.24,-1.16,-0.13,2.26
2025-01-23,002194,11.2,10.94,11.4,10.94,186459,209883689.4,4.17,-0.91,-0.1,3.65
2025-01-24,002194,10.93,11.09,11.13,10.89,124512,138524265.6,2.19,1.37,0.15,2.44
2025-01-27,002194,11.1,10.76,11.2,10.76,149638,164697396.05,3.97,-2.98,-0.33,2.93
2025-02-05,002194,10.93,10.98,11.11,10.85,122409,135257590.44,2.42,2.04,0.22,2.4
2025-02-06,002194,10.93,11.4,11.4,10.87,210389,237903529.0,4.83,3.83,0.42,4.12
2025-02-07,002194,11.39,11.52,11.65,11.33,268972,311200457.7,2.81,1.05,0.12,5.26
2025-02-10,002194,11.61,11.81,11.83,11.51,268737,316997827.4,2.78,2.52,0.29,5.26
2025-02-11,002194,11.78,12.14,12.37,11.6,490363,594050717.94,6.52,2.79,0.33,9.6
2025-02-12,002194,11.96,12.31,12.43,11.94,450722,553914408.51,4.04,1.4,0.17,8.82
2025-02-13,002194,12.25,12.09,12.32,12.03,272748,332573933.32,2.36,-1.79,-0.22,5.34
2025-02-14,002194,12.03,12.02,12.13,11.88,238946,288289274.09,2.07,-0.58,-0.07,4.68
