日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002223,35.59,34.88,35.97,34.62,76429,275613665.28,3.78,-2.27,-0.81,0.81
2025-01-03,002223,35.05,34.27,35.52,34.2,73806,262815518.21,3.78,-1.75,-0.61,0.79
2025-01-06,002223,34.35,34.15,34.62,33.85,60850,212702475.42,2.25,-0.35,-0.12,0.65
2025-01-07,002223,34.1,33.32,34.1,32.95,116441,396814558.68,3.37,-2.43,-0.83,1.24
2025-01-08,002223,33.35,33.88,34.34,33.25,106560,369526302.25,3.27,1.68,0.56,1.13
2025-01-09,002223,33.8,33.4,34.34,33.32,45678,157539141.4,3.01,-1.42,-0.48,0.49
2025-01-10,002223,33.31,33.64,33.98,33.16,60138,207413597.34,2.46,0.72,0.24,0.64
2025-01-13,002223,33.4,33.4,34.26,33.18,56268,193393765.85,3.21,-0.71,-0.24,0.6
2025-01-14,002223,33.31,34.46,34.62,33.15,85910,299357661.94,4.4,3.17,1.06,0.91
2025-01-15,002223,34.4,34.4,34.95,34.13,42742,150641625.48,2.38,-0.17,-0.06,0.45
2025-01-16,002223,34.42,34.61,34.9,34.35,39254,139000168.74,1.6,0.61,0.21,0.42
2025-01-17,002223,34.61,34.7,35.31,34.47,49969,178518171.1,2.43,0.26,0.09,0.53
2025-01-20,002223,34.85,33.85,34.95,33.46,112148,389325518.01,4.29,-2.45,-0.85,1.19
2025-01-21,002223,33.88,34.06,34.27,33.75,37821,131846047.16,1.54,0.62,0.21,0.4
2025-01-22,002223,33.87,33.86,34.05,33.23,54911,188998377.85,2.41,-0.59,-0.2,0.58
2025-01-23,002223,34.05,34.07,34.43,33.76,45260,158047750.71,1.98,0.62,0.21,0.48
2025-01-24,002223,33.96,34.21,34.45,33.71,47390,166057331.31,2.17,0.41,0.14,0.5
2025-01-27,002223,34.3,35.03,35.3,34.3,74102,264758056.26,2.92,2.4,0.82,0.79
2025-02-05,002223,35.03,35.43,35.57,34.78,58143,209095469.94,2.26,1.14,0.4,0.62
2025-02-06,002223,35.4,35.27,35.54,34.77,65957,237000397.43,2.17,-0.45,-0.16,0.7
2025-02-07,002223,35.21,35.04,35.49,34.86,76838,276358369.79,1.79,-0.65,-0.23,0.82
2025-02-10,002223,35.15,34.79,35.35,34.25,127978,454101407.21,3.14,-0.71,-0.25,1.36
2025-02-11,002223,34.79,34.25,34.8,33.71,144103,503309613.74,3.13,-1.55,-0.54,1.53
2025-02-12,002223,34.17,34.63,34.72,33.71,92877,327487018.42,2.95,1.11,0.38,0.99
2025-02-13,002223,34.63,35.2,35.56,34.52,121330,437447713.85,3.0,1.65,0.57,1.29
2025-02-14,002223,35.23,36.55,37.03,35.2,180374,671499557.56,5.2,3.84,1.35,1.92
2025-02-17,002223,37.21,36.25,38.09,36.03,218251,822236964.34,5.64,-0.82,-0.3,2.32
2025-02-18,002223,36.08,36.67,37.13,35.71,114929,429565049.76,3.92,1.16,0.42,1.22
2025-02-19,002223,36.43,37.4,37.42,36.31,100800,380919315.37,3.03,1.99,0.73,1.07
2025-02-20,002223,37.58,37.81,39.48,37.46,168701,662479504.48,5.4,1.1,0.41,1.79
2025-02-21,002223,37.82,38.09,38.82,36.98,188144,725518777.8,4.87,0.74,0.28,2.0
2025-02-24,002223,37.9,38.23,38.78,37.5,106715,417816433.83,3.36,0.37,0.14,1.14
2025-02-25,002223,37.9,36.74,38.17,36.6,87850,333319960.4,4.11,-3.9,-1.49,0.93
2025-02-26,002223,36.7,36.14,37.0,36.06,107753,399484953.32,2.56,-1.63,-0.6,1.15
2025-02-27,002223,36.2,36.4,36.7,35.93,100433,372800603.18,2.13,0.72,0.26,1.07
2025-02-28,002223,36.38,35.53,36.39,35.38,86738,317280186.43,2.77,-2.39,-0.87,0.92
2025-03-03,002223,35.53,36.02,36.3,35.27,102430,376032049.03,2.9,1.38,0.49,1.09
2025-03-04,002223,36.0,36.04,36.56,35.65,59979,221654810.6,2.53,0.06,0.02,0.64
2025-03-05,002223,35.99,35.8,36.56,35.76,87520,322294131.88,2.22,-0.67,-0.24,0.93
2025-03-06,002223,35.98,36.4,36.58,35.66,105459,391095655.37,2.57,1.68,0.6,1.12
2025-03-07,002223,36.2,36.09,36.39,35.9,58456,215554263.52,1.35,-0.85,-0.31,0.62
2025-03-10,002223,36.9,36.65,37.57,36.4,100306,377278503.17,3.24,1.55,0.56,1.07
2025-03-11,002223,36.2,36.29,36.65,35.88,63102,233346776.64,2.1,-0.98,-0.36,0.67
2025-03-12,002223,36.19,36.39,36.64,36.04,72030,267905199.85,1.65,0.28,0.1,0.77
2025-03-13,002223,36.2,35.94,36.44,35.7,64640,237156267.29,2.03,-1.24,-0.45,0.69
2025-03-14,002223,35.83,36.4,36.46,35.68,109732,404740488.57,2.17,1.28,0.46,1.17
2025-03-17,002223,36.36,36.58,36.88,36.2,149399,558467513.99,1.87,0.49,0.18,1.59
2025-03-18,002223,36.58,35.91,36.7,35.75,110920,408479479.71,2.6,-1.83,-0.67,1.18
2025-03-19,002223,35.82,35.75,35.93,35.41,60223,219630717.07,1.45,-0.45,-0.16,0.64
2025-03-20,002223,35.7,35.05,35.73,35.0,98649,355454896.79,2.04,-1.96,-0.7,1.05
2025-03-21,002223,35.1,35.09,35.56,34.89,55652,200028027.1,1.91,0.11,0.04,0.59
2025-03-24,002223,35.08,34.92,35.23,34.7,57154,204132041.9,1.51,-0.48,-0.17,0.61
2025-03-25,002223,34.92,34.83,35.16,34.7,47105,167820654.82,1.32,-0.26,-0.09,0.5
2025-03-26,002223,34.82,34.58,35.07,34.28,57967,204664870.54,2.27,-0.72,-0.25,0.62
2025-03-27,002223,34.55,35.08,35.14,34.15,78054,276765392.89,2.86,1.45,0.5,0.83
2025-03-28,002223,34.91,34.68,35.04,34.64,50819,180958889.45,1.14,-1.14,-0.4,0.54
2025-03-31,002223,34.63,34.08,34.7,33.85,76535,267349557.24,2.45,-1.73,-0.6,0.81
2025-04-01,002223,34.08,34.88,34.96,34.01,78178,277659092.55,2.79,2.35,0.8,0.83
2025-04-02,002223,34.7,35.24,35.28,34.68,68142,244918848.82,1.72,1.03,0.36,0.72
2025-04-03,002223,34.97,35.06,35.3,34.47,74931,267801757.72,2.36,-0.51,-0.18,0.8
2025-04-07,002223,33.79,32.9,34.52,31.63,135288,462405212.54,8.24,-6.16,-2.16,1.44
2025-04-08,002223,32.88,33.44,33.78,32.8,92290,314670786.27,2.98,1.64,0.54,0.98
2025-04-09,002223,33.04,33.59,33.82,32.74,97728,333359347.51,3.23,0.45,0.15,1.04
2025-04-10,002223,33.81,33.81,34.2,33.43,98104,339060571.73,2.29,0.65,0.22,1.04
2025-04-11,002223,33.44,33.81,34.09,33.38,45033,155863047.72,2.1,0.0,0.0,0.48
