日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002273,21.74,21.3,22.32,20.89,635748,1394261489.7,6.52,-2.83,-0.62,4.68
2025-01-03,002273,21.56,21.03,22.3,20.9,781947,1716393955.83,6.57,-1.27,-0.27,5.76
2025-01-06,002273,21.02,20.33,21.52,20.1,628163,1320965811.88,6.75,-3.33,-0.7,4.63
2025-01-07,002273,20.45,20.7,20.75,20.14,420853,875731733.85,3.0,1.82,0.37,3.1
2025-01-08,002273,20.49,20.73,21.04,20.08,551832,1157410423.4,4.64,0.14,0.03,4.06
2025-01-09,002273,20.6,20.75,21.47,20.52,565881,1200450789.49,4.58,0.1,0.02,4.17
2025-01-10,002273,20.55,19.91,20.58,19.28,774555,1565537770.87,6.27,-4.05,-0.84,5.7
2025-01-13,002273,19.55,19.2,19.68,18.98,581995,1139486648.49,3.52,-3.57,-0.71,4.29
2025-01-14,002273,19.26,20.25,20.3,18.79,595894,1194121818.62,7.86,5.47,1.05,4.39
2025-01-15,002273,20.16,19.72,20.23,19.7,400988,807511254.5,2.62,-2.62,-0.53,2.95
2025-01-16,002273,19.99,19.97,20.33,19.61,388348,785904812.88,3.65,1.27,0.25,2.86
2025-01-17,002273,19.83,20.34,20.54,19.75,462193,950283977.13,3.96,1.85,0.37,3.4
2025-01-20,002273,20.58,20.81,21.18,20.43,469968,996670896.85,3.69,2.31,0.47,3.46
2025-01-21,002273,21.0,21.84,22.18,20.76,668479,1457918495.53,6.82,4.95,1.03,4.92
2025-01-22,002273,21.81,22.06,22.23,21.65,567829,1261444452.05,2.66,1.01,0.22,4.18
2025-01-23,002273,22.29,21.6,22.39,21.54,492685,1096317634.96,3.85,-2.09,-0.46,3.63
2025-01-24,002273,21.66,22.1,22.22,21.61,425047,948239733.19,2.82,2.31,0.5,3.13
2025-01-27,002273,22.2,21.59,22.2,21.47,281749,619886589.07,3.3,-2.31,-0.51,2.07
2025-02-05,002273,21.89,21.71,22.18,21.47,439243,968185652.59,3.29,0.56,0.12,3.23
2025-02-06,002273,21.65,22.88,22.98,21.53,659939,1501461249.72,6.68,5.39,1.17,4.86
2025-02-07,002273,23.3,23.02,23.58,22.69,731192,1715928408.64,3.89,0.61,0.14,5.38
2025-02-10,002273,23.07,23.02,23.18,22.58,589184,1365680199.64,2.61,0.0,0.0,4.34
2025-02-11,002273,23.07,23.12,23.49,23.02,436322,1026192156.43,2.04,0.43,0.1,3.21
2025-02-12,002273,23.12,23.44,23.58,22.94,503407,1188744374.89,2.77,1.38,0.32,3.71
2025-02-13,002273,23.44,22.3,23.48,22.22,669761,1536958407.86,5.38,-4.86,-1.14,4.93
2025-02-14,002273,22.28,22.3,22.55,22.08,399881,904202795.7,2.11,0.0,0.0,2.94
2025-02-17,002273,22.29,22.59,22.91,22.23,401593,918185755.73,3.05,1.3,0.29,2.96
2025-02-18,002273,22.59,22.09,22.85,22.01,346230,787273217.66,3.72,-2.21,-0.5,2.55
2025-02-19,002273,22.08,22.6,22.7,22.05,345593,786924669.42,2.94,2.31,0.51,2.55
2025-02-20,002273,23.21,24.89,24.89,23.18,1305799,3229388495.83,7.57,10.13,2.29,9.62
2025-02-21,002273,25.61,25.3,25.69,24.86,1676051,4289895839.03,3.33,1.65,0.41,12.34
2025-02-24,002273,25.49,25.66,26.92,25.49,1329953,3506781200.47,5.65,1.42,0.36,9.79
2025-02-25,002273,25.25,25.83,26.5,25.0,1031857,2695862479.42,5.85,0.66,0.17,7.6
2025-02-26,002273,25.82,26.26,26.8,25.49,955672,2540735474.21,5.07,1.66,0.43,7.04
2025-02-27,002273,26.29,26.92,27.47,25.1,1138082,3003275417.66,9.03,2.51,0.66,8.38
2025-02-28,002273,26.3,25.07,26.4,24.87,846568,2191612793.83,5.68,-6.87,-1.85,6.23
2025-03-03,002273,25.3,24.34,25.55,24.06,681641,1699759051.34,5.94,-2.91,-0.73,5.02
2025-03-04,002273,24.0,24.74,24.88,24.0,466323,1159026096.71,3.62,1.64,0.4,3.43
2025-03-05,002273,24.74,24.86,25.33,24.6,395957,1000325081.83,2.95,0.49,0.12,2.92
2025-03-06,002273,24.98,25.29,25.77,24.98,573485,1473174459.51,3.18,1.73,0.43,4.22
2025-03-07,002273,25.79,25.45,26.5,25.28,898441,2358114567.5,4.82,0.63,0.16,6.62
2025-03-10,002273,25.45,24.98,25.76,24.61,509291,1288838661.93,4.52,-1.85,-0.47,3.75
2025-03-11,002273,24.51,24.84,24.94,24.28,466454,1161281831.76,2.64,-0.56,-0.14,3.44
