日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002319,10.63,10.98,11.44,10.63,59693,65972691.0,7.62,3.29,0.35,2.98
2025-01-03,002319,11.04,10.5,11.1,10.15,48577,51191755.0,8.65,-4.37,-0.48,2.43
2025-01-06,002319,10.48,10.17,10.49,9.92,27011,27490552.0,5.43,-3.14,-0.33,1.35
2025-01-07,002319,10.17,10.4,10.44,10.0,23227,23756268.14,4.33,2.26,0.23,1.16
2025-01-08,002319,10.51,10.3,10.61,10.17,29807,31000119.0,4.23,-0.96,-0.1,1.49
2025-01-09,002319,10.35,10.59,10.79,10.25,29454,30976032.4,5.24,2.82,0.29,1.47
2025-01-10,002319,10.71,10.26,10.87,10.21,36282,38575637.0,6.23,-3.12,-0.33,1.81
2025-01-13,002319,10.43,10.3,10.43,9.89,24463,24895382.35,5.26,0.39,0.04,1.22
2025-01-14,002319,10.34,10.64,10.7,10.32,28589,30097094.04,3.69,3.3,0.34,1.43
2025-01-15,002319,10.64,10.5,10.75,10.34,28367,29811683.28,3.85,-1.32,-0.14,1.42
2025-01-16,002319,10.42,10.35,10.6,10.25,24109,25135893.34,3.33,-1.43,-0.15,1.21
2025-01-17,002319,10.43,10.3,10.44,10.25,19306,19912620.98,1.84,-0.48,-0.05,0.97
2025-01-20,002319,10.25,11.09,11.3,10.25,77262,84514373.0,10.19,7.67,0.79,3.86
2025-01-21,002319,11.1,11.53,11.75,11.0,57777,66335289.03,6.76,3.97,0.44,2.89
2025-01-22,002319,11.67,11.63,11.81,11.43,59719,69231207.0,3.3,0.87,0.1,2.99
2025-01-23,002319,11.94,11.49,12.1,11.47,63318,75124374.95,5.42,-1.2,-0.14,3.17
2025-01-24,002319,11.67,11.6,11.67,10.95,51318,57887630.0,6.27,0.96,0.11,2.57
2025-01-27,002319,11.58,11.05,11.9,10.95,40639,46423438.0,8.19,-4.74,-0.55,2.03
2025-02-05,002319,11.1,11.07,11.39,10.93,26240,29073306.08,4.16,0.18,0.02,1.31
2025-02-06,002319,11.06,11.08,11.17,10.88,33613,37106393.97,2.62,0.09,0.01,1.68
2025-02-07,002319,11.05,11.09,11.19,10.82,48364,53245992.2,3.34,0.09,0.01,2.42
2025-02-10,002319,11.17,11.6,11.74,11.08,67352,77244034.0,5.95,4.6,0.51,3.37
2025-02-11,002319,11.61,11.47,11.67,11.36,34535,39596284.0,2.67,-1.12,-0.13,1.73
2025-02-12,002319,11.57,11.18,11.57,11.05,40232,45175276.0,4.53,-2.53,-0.29,2.01
2025-02-13,002319,11.18,11.06,11.25,11.01,28817,31949825.24,2.15,-1.07,-0.12,1.44
2025-02-14,002319,11.04,11.0,11.14,10.88,26314,28969272.75,2.35,-0.54,-0.06,1.32
2025-02-17,002319,11.01,10.84,11.01,10.77,33994,36955370.8,2.18,-1.45,-0.16,1.7
2025-02-18,002319,10.85,10.86,11.04,10.77,34388,37530026.98,2.49,0.18,0.02,1.72
2025-02-19,002319,10.79,10.89,11.02,10.64,40987,44306826.0,3.5,0.28,0.03,2.05
2025-02-20,002319,10.8,10.78,10.87,10.61,31462,33734216.0,2.39,-1.01,-0.11,1.57
2025-02-21,002319,10.81,10.95,11.0,10.68,44770,48563207.0,2.97,1.58,0.17,2.24
2025-02-24,002319,10.93,11.23,11.44,10.9,59933,67239273.56,4.93,2.56,0.28,3.0
2025-02-25,002319,11.29,11.07,11.3,10.93,49473,54845625.0,3.29,-1.42,-0.16,2.47
2025-02-26,002319,11.03,11.0,11.13,10.81,33039,36153025.08,2.89,-0.63,-0.07,1.65
2025-02-27,002319,11.0,10.98,11.07,10.64,39436,42794695.0,3.91,-0.18,-0.02,1.97
2025-02-28,002319,10.94,10.65,11.02,10.62,39069,42282114.92,3.64,-3.01,-0.33,1.95
2025-03-03,002319,10.65,10.64,10.77,10.49,29344,31177261.0,2.63,-0.09,-0.01,1.47
2025-03-04,002319,10.6,10.51,10.67,10.44,22407,23582699.0,2.16,-1.22,-0.13,1.12
2025-03-05,002319,10.54,10.44,10.55,10.09,35665,36730950.2,4.38,-0.67,-0.07,1.78
2025-03-06,002319,10.49,10.97,11.06,10.44,61952,67032806.46,5.94,5.08,0.53,3.1
2025-03-07,002319,10.98,10.94,11.25,10.92,56705,62806963.44,3.01,-0.27,-0.03,2.84
2025-03-10,002319,10.91,11.15,11.19,10.87,43575,48151466.0,2.93,1.92,0.21,2.18
2025-03-11,002319,11.1,11.15,11.19,11.0,33877,37594711.0,1.7,0.0,0.0,1.69
2025-03-12,002319,11.15,11.17,11.25,10.96,35852,39873117.0,2.6,0.18,0.02,1.79
2025-03-13,002319,11.18,11.05,11.24,10.91,32150,35346562.0,2.95,-1.07,-0.12,1.61
2025-03-14,002319,11.04,11.2,11.3,10.83,50996,56512299.0,4.25,1.36,0.15,2.55
2025-03-17,002319,11.27,11.38,11.6,11.05,66867,75822323.29,4.91,1.61,0.18,3.34
2025-03-18,002319,11.4,11.32,11.44,11.23,29482,33372105.0,1.85,-0.53,-0.06,1.47
