日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002328,5.92,5.77,6.08,5.68,284358,171501797.37,6.68,-3.67,-0.22,4.98
2025-01-03,002328,5.8,5.35,5.87,5.3,318914,181797070.38,9.88,-7.28,-0.42,5.59
2025-01-06,002328,5.2,5.34,5.47,5.1,182608,99516442.02,6.92,-0.19,-0.01,3.2
2025-01-07,002328,5.31,5.49,5.51,5.3,122524,67885446.26,3.93,2.81,0.15,2.15
2025-01-08,002328,5.44,5.32,5.45,5.14,221172,119594873.56,5.65,-3.1,-0.17,3.87
2025-01-09,002328,5.27,5.4,5.51,5.27,149505,82877374.0,4.51,1.5,0.08,2.62
2025-01-10,002328,5.42,5.24,5.59,5.23,167029,92940155.51,6.67,-2.96,-0.16,2.93
2025-01-13,002328,5.16,5.24,5.31,5.01,137398,73292114.4,5.73,0.0,0.0,2.41
2025-01-14,002328,5.25,5.78,5.78,5.21,448835,260817411.03,10.88,10.31,0.54,7.86
2025-01-15,002328,5.78,5.72,5.91,5.66,519261,306600766.46,4.33,-1.04,-0.06,9.1
2025-01-16,002328,5.77,5.75,5.86,5.66,241341,142059741.2,3.5,0.52,0.03,4.23
2025-01-17,002328,5.74,5.76,5.87,5.59,250356,146849897.3,4.87,0.17,0.01,4.39
2025-01-20,002328,5.76,5.81,5.9,5.73,225546,134403798.36,2.95,0.87,0.05,3.95
2025-01-21,002328,5.84,5.84,5.86,5.73,150045,88999759.3,2.24,0.52,0.03,2.63
2025-01-22,002328,5.81,5.78,5.89,5.73,144655,86080069.7,2.74,-1.03,-0.06,2.53
2025-01-23,002328,5.85,5.7,5.88,5.7,177825,105531149.0,3.11,-1.38,-0.08,3.12
2025-01-24,002328,5.66,5.77,5.84,5.66,146088,85952028.6,3.16,1.23,0.07,2.56
2025-01-27,002328,5.78,5.53,5.81,5.52,146603,84639320.56,5.03,-4.16,-0.24,2.57
2025-02-05,002328,5.6,5.77,5.8,5.56,174112,101771521.3,4.34,4.34,0.24,3.05
2025-02-06,002328,5.72,5.98,6.03,5.71,317257,191581093.36,5.55,3.64,0.21,5.56
2025-02-07,002328,5.98,6.04,6.09,5.94,228852,141045254.75,2.51,1.0,0.06,4.01
2025-02-10,002328,6.04,6.07,6.11,5.94,215555,133073616.4,2.81,0.5,0.03,3.78
2025-02-11,002328,6.05,6.16,6.24,6.0,343146,214970340.23,3.95,1.48,0.09,6.01
2025-02-12,002328,6.08,6.09,6.22,6.06,280007,175421147.64,2.6,-1.14,-0.07,4.91
2025-02-13,002328,6.08,6.04,6.18,6.01,215367,133799189.4,2.79,-0.82,-0.05,3.77
2025-02-14,002328,6.0,5.92,6.08,5.88,298961,182361990.94,3.31,-1.99,-0.12,5.24
2025-02-17,002328,5.94,6.03,6.1,5.89,234118,143714795.9,3.55,1.86,0.11,4.1
2025-02-18,002328,6.17,6.65,6.65,6.05,1264235,835209974.74,9.95,10.28,0.62,22.15
2025-02-19,002328,6.48,6.77,7.12,6.48,1649110,1144305238.97,9.62,1.8,0.12,28.89
2025-02-20,002328,6.71,6.62,6.75,6.46,940029,629411920.64,4.28,-2.22,-0.15,16.47
2025-02-21,002328,6.57,6.81,6.93,6.51,938693,649074202.57,6.34,2.87,0.19,16.45
2025-02-24,002328,6.86,6.95,7.02,6.71,808287,568020799.55,4.55,2.06,0.14,14.16
2025-02-25,002328,6.84,6.82,7.11,6.79,600999,425496837.29,4.6,-1.87,-0.13,10.53
2025-02-26,002328,6.73,6.9,6.99,6.73,595123,416248290.37,3.81,1.17,0.08,10.43
2025-02-27,002328,6.9,6.74,6.94,6.63,396464,273867991.01,4.49,-2.32,-0.16,6.95
2025-02-28,002328,6.7,6.35,6.73,6.33,346457,228899286.46,5.93,-5.79,-0.39,6.07
2025-03-03,002328,6.36,6.24,6.44,6.18,229946,148522246.3,4.09,-1.73,-0.11,4.03
2025-03-04,002328,6.19,6.29,6.35,6.15,185121,118968920.0,3.21,0.8,0.05,3.24
2025-03-05,002328,6.28,6.42,6.52,6.23,305198,199048716.35,4.61,2.07,0.13,5.35
2025-03-06,002328,6.43,6.43,6.5,6.4,231360,152252282.38,1.56,0.16,0.01,4.05
2025-03-07,002328,6.43,6.39,6.47,6.33,201176,131603159.53,2.18,-0.62,-0.04,3.52
2025-03-10,002328,6.45,6.31,6.47,6.26,151401,98006109.0,3.29,-1.25,-0.08,2.65
2025-03-11,002328,6.21,6.31,6.31,6.18,146870,93554504.6,2.06,0.0,0.0,2.57
2025-03-12,002328,6.33,6.39,6.45,6.31,162644,105996737.26,2.22,1.27,0.08,2.85
2025-03-13,002328,6.36,6.24,6.4,6.17,155378,99231122.6,3.6,-2.35,-0.15,2.72
2025-03-14,002328,6.21,6.27,6.31,6.15,156386,99601086.65,2.56,0.48,0.03,2.74
2025-03-17,002328,6.27,6.31,6.34,6.21,124766,80232797.65,2.07,0.64,0.04,2.19
2025-03-18,002328,6.34,6.39,6.42,6.24,172586,111836142.2,2.85,1.27,0.08,3.02
2025-03-19,002328,6.4,6.54,6.63,6.37,327294,217998245.6,4.07,2.35,0.15,5.73
2025-03-20,002328,6.5,6.63,6.74,6.47,271506,183296962.8,4.13,1.38,0.09,4.76
2025-03-21,002328,6.61,6.45,6.71,6.39,370654,248132758.38,4.83,-2.71,-0.18,6.49
2025-03-24,002328,6.42,6.13,6.45,5.95,313173,196710353.1,7.75,-4.96,-0.32,5.49
2025-03-25,002328,6.09,6.07,6.16,6.01,133179,82863630.2,2.45,-0.98,-0.06,2.33
2025-03-26,002328,6.05,6.2,6.26,6.04,164786,104537433.0,3.62,2.14,0.13,2.89
2025-03-27,002328,6.16,6.1,6.2,6.06,129834,81291397.8,2.26,-1.61,-0.1,2.27
2025-03-28,002328,6.11,6.01,6.15,6.0,92898,57557638.2,2.46,-1.48,-0.09,1.63
2025-03-31,002328,5.98,5.86,6.0,5.74,112766,67499911.28,4.33,-2.5,-0.15,1.98
2025-04-01,002328,5.91,5.88,5.99,5.86,86650,52486553.6,2.22,0.34,0.02,1.52
2025-04-02,002328,5.84,5.91,5.99,5.81,71202,43162038.5,3.06,0.51,0.03,1.25
2025-04-03,002328,5.84,5.81,5.95,5.75,93323,55675875.05,3.38,-1.69,-0.1,1.63
2025-04-07,002328,5.45,5.22,5.45,5.22,110487,59593763.5,3.96,-10.15,-0.59,1.94
2025-04-08,002328,5.15,4.78,5.16,4.69,293774,147014726.0,9.0,-8.43,-0.44,5.15
2025-04-09,002328,4.7,4.85,4.89,4.38,199741,96325370.59,10.67,1.46,0.07,3.5
2025-04-10,002328,4.99,4.95,5.09,4.95,149127,76976667.0,2.89,2.06,0.1,2.61
2025-04-11,002328,4.95,5.01,5.07,4.9,118283,60803036.45,3.43,1.21,0.06,2.07
2025-04-14,002328,5.09,5.09,5.18,5.06,117351,61662530.6,2.4,1.6,0.08,2.06
2025-04-15,002328,5.07,5.12,5.15,5.05,86486,45315862.0,1.96,0.59,0.03,1.52
2025-04-16,002328,5.09,4.99,5.11,4.9,102677,52705680.0,4.1,-2.54,-0.13,1.8
2025-04-17,002328,4.95,5.0,5.08,4.94,84261,43614405.0,2.81,0.2,0.01,1.48
2025-04-18,002328,4.99,5.03,5.06,4.96,73763,37945859.0,2.0,0.6,0.03,1.29
2025-04-21,002328,5.04,5.11,5.12,4.99,65590,34217647.6,2.58,1.59,0.08,1.15
2025-04-22,002328,5.1,5.12,5.14,5.04,79533,41601234.8,1.96,0.2,0.01,1.39
2025-04-23,002328,5.15,5.23,5.25,5.15,125999,67457099.62,1.95,2.15,0.11,2.21
2025-04-24,002328,5.26,5.17,5.26,5.12,92683,49445609.4,2.68,-1.15,-0.06,1.62
2025-04-25,002328,5.17,5.25,5.3,5.17,103460,55698317.2,2.51,1.55,0.08,1.81
2025-04-28,002328,5.22,5.07,5.24,5.01,143256,74772907.4,4.38,-3.43,-0.18,2.51
2025-04-29,002328,5.07,5.19,5.23,5.06,93417,49672081.06,3.35,2.37,0.12,1.64
2025-04-30,002328,5.2,5.32,5.38,5.18,116846,63626248.0,3.85,2.5,0.13,2.05
2025-05-06,002328,5.42,5.46,5.47,5.34,117594,65209860.2,2.44,2.63,0.14,2.06
2025-05-07,002328,5.51,5.42,5.55,5.38,115969,64889296.7,3.11,-0.73,-0.04,2.03
2025-05-08,002328,5.4,5.52,5.53,5.4,89000,50180274.26,2.4,1.85,0.1,1.56
2025-05-09,002328,5.52,5.47,5.54,5.42,95934,53778319.9,2.17,-0.91,-0.05,1.68
2025-05-12,002328,5.53,5.53,5.57,5.48,84715,47943277.0,1.65,1.1,0.06,1.48
2025-05-13,002328,5.59,5.52,5.64,5.51,121739,69470608.0,2.35,-0.18,-0.01,2.13
2025-05-14,002328,5.54,5.5,5.54,5.44,80523,45300472.0,1.81,-0.36,-0.02,1.41
2025-05-15,002328,5.5,5.46,5.51,5.4,89748,50221916.9,2.0,-0.73,-0.04,1.57
2025-05-16,002328,5.44,5.55,5.61,5.42,111805,63668603.75,3.48,1.65,0.09,1.96
2025-05-19,002328,5.58,5.57,5.6,5.47,75423,42878895.8,2.34,0.36,0.02,1.32
2025-05-20,002328,5.55,5.6,5.62,5.52,67079,38361497.0,1.8,0.54,0.03,1.18
2025-05-21,002328,5.58,5.56,5.59,5.49,85864,48754990.75,1.79,-0.71,-0.04,1.5
2025-05-22,002328,5.51,5.47,5.59,5.45,71908,40633178.0,2.52,-1.62,-0.09,1.26
2025-05-23,002328,5.47,5.41,5.57,5.4,85524,48095916.0,3.11,-1.1,-0.06,1.5
2025-05-26,002328,5.42,5.45,5.52,5.39,81013,45330754.6,2.4,0.74,0.04,1.42
2025-05-27,002328,5.45,5.42,5.46,5.34,85430,47216203.69,2.2,-0.55,-0.03,1.5
2025-05-28,002328,5.44,5.39,5.49,5.37,62822,34884518.7,2.21,-0.55,-0.03,1.1
2025-05-29,002328,5.43,5.52,5.59,5.38,129722,73584639.5,3.9,2.41,0.13,2.27
2025-05-30,002328,5.51,5.34,5.54,5.32,133472,73553484.85,3.99,-3.26,-0.18,2.34
