日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002338,37.62,36.45,38.11,36.07,56104,208517191.0,5.42,-3.21,-1.21,2.34
2025-01-03,002338,36.45,34.82,36.84,34.79,50961,182111472.0,5.62,-4.47,-1.63,2.12
2025-01-06,002338,35.24,35.43,37.24,35.05,63215,227358367.0,6.29,1.75,0.61,2.63
2025-01-07,002338,35.34,36.01,36.05,35.16,46018,164344756.0,2.51,1.64,0.58,1.92
2025-01-08,002338,36.04,36.5,36.84,34.82,65657,237353395.0,5.61,1.36,0.49,2.74
2025-01-09,002338,35.96,36.29,36.74,35.96,43738,159410168.0,2.14,-0.58,-0.21,1.82
2025-01-10,002338,36.21,35.82,37.59,35.82,63187,233329229.44,4.88,-1.3,-0.47,2.63
2025-01-13,002338,35.14,38.21,39.34,34.96,114235,428078549.0,12.23,6.67,2.39,4.76
2025-01-14,002338,37.85,39.54,39.56,37.78,96080,372701771.1,4.66,3.48,1.33,4.0
2025-01-15,002338,39.44,38.87,39.44,38.82,47873,187191235.59,1.57,-1.69,-0.67,1.99
2025-01-16,002338,39.25,38.89,40.35,38.57,60545,239248207.0,4.58,0.05,0.02,2.52
2025-01-17,002338,38.69,39.28,39.89,38.44,56964,224080882.0,3.73,1.0,0.39,2.37
2025-01-20,002338,39.31,38.78,39.57,38.6,51828,201851245.0,2.47,-1.27,-0.5,2.16
2025-01-21,002338,38.94,39.11,39.16,38.32,39945,155069094.6,2.17,0.85,0.33,1.66
2025-01-22,002338,39.09,38.44,39.22,38.2,36056,139256513.61,2.61,-1.71,-0.67,1.5
2025-01-23,002338,38.87,38.31,39.47,38.3,51368,200667736.4,3.04,-0.34,-0.13,2.14
2025-01-24,002338,38.34,38.44,38.62,37.94,45881,176174878.1,1.77,0.34,0.13,1.91
2025-01-27,002338,38.49,37.23,38.73,37.23,34140,129351097.0,3.9,-3.15,-1.21,1.42
2025-02-05,002338,37.74,38.19,38.5,37.64,42619,163188876.0,2.31,2.58,0.96,1.78
2025-02-06,002338,38.01,40.05,40.43,37.88,73864,293001123.88,6.68,4.87,1.86,3.08
2025-02-07,002338,39.74,40.14,40.99,39.55,90288,364435592.68,3.6,0.22,0.09,3.76
2025-02-10,002338,40.18,41.24,41.33,39.86,82670,337092629.95,3.66,2.74,1.1,3.44
2025-02-11,002338,41.14,40.67,41.42,40.17,60763,248506096.87,3.03,-1.38,-0.57,2.53
2025-02-12,002338,40.43,41.01,41.09,40.26,51861,211370311.0,2.04,0.84,0.34,2.16
2025-02-13,002338,41.03,39.69,41.03,39.65,52145,209338587.04,3.37,-3.22,-1.32,2.17
2025-02-14,002338,39.59,39.3,39.85,39.04,48410,190427211.65,2.04,-0.98,-0.39,2.02
2025-02-17,002338,39.34,39.66,40.33,39.24,48344,192214157.96,2.77,0.92,0.36,2.01
2025-02-18,002338,39.74,40.24,41.56,39.44,115564,468958046.93,5.35,1.46,0.58,4.82
2025-02-19,002338,40.44,41.24,41.38,40.04,93092,381477123.78,3.33,2.49,1.0,3.88
2025-02-20,002338,41.66,41.73,42.16,40.84,96419,401838214.0,3.2,1.19,0.49,4.02
2025-02-21,002338,41.14,42.25,42.91,41.14,105161,443466680.68,4.24,1.25,0.52,4.38
2025-02-24,002338,42.49,42.69,43.62,41.98,119272,511776595.88,3.88,1.04,0.44,4.97
2025-02-25,002338,41.94,43.34,44.39,41.36,136210,585657483.45,7.1,1.52,0.65,5.68
2025-02-26,002338,43.02,42.89,43.3,42.23,85844,367722504.76,2.47,-1.04,-0.45,3.58
2025-02-27,002338,42.84,41.71,42.84,40.95,75777,316860018.38,4.41,-2.75,-1.18,3.16
2025-02-28,002338,41.52,38.94,41.8,38.54,89165,356439006.41,7.82,-6.64,-2.77,3.72
2025-03-03,002338,38.74,39.3,40.13,38.23,66474,261353430.61,4.88,0.92,0.36,2.77
2025-03-04,002338,38.92,40.44,40.75,38.68,72243,288467526.24,5.27,2.9,1.14,3.01
2025-03-05,002338,39.96,40.23,41.4,39.71,56528,228187969.4,4.18,-0.52,-0.21,2.36
2025-03-06,002338,40.88,40.39,41.1,40.29,71733,292359648.8,2.01,0.4,0.16,2.99
2025-03-07,002338,39.94,39.46,40.09,39.25,62168,246696451.19,2.08,-2.3,-0.93,2.59
2025-03-10,002338,40.17,41.45,42.34,40.17,124479,514597568.2,5.5,5.04,1.99,5.19
2025-03-11,002338,40.47,41.11,41.3,40.28,78440,320499954.8,2.46,-0.82,-0.34,3.27
2025-03-12,002338,41.38,41.43,41.87,41.16,83216,346672987.8,1.73,0.78,0.32,3.47
2025-03-13,002338,41.42,40.08,41.43,39.58,67745,273501541.7,4.47,-3.26,-1.35,2.82
2025-03-14,002338,39.93,40.26,40.42,39.54,44219,177578004.6,2.2,0.45,0.18,1.84
2025-03-17,002338,40.31,40.13,40.42,39.9,32766,131993163.48,1.29,-0.32,-0.13,1.37
2025-03-18,002338,40.2,39.91,40.4,39.74,39998,160153465.1,1.64,-0.55,-0.22,1.67
2025-03-19,002338,39.66,39.13,39.77,38.99,42399,166858469.0,1.95,-1.95,-0.78,1.77
2025-03-20,002338,39.14,39.29,39.72,38.88,37711,148580721.64,2.15,0.41,0.16,1.57
2025-03-21,002338,39.52,38.31,40.12,38.29,54286,212540402.09,4.66,-2.49,-0.98,2.26
