日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002354,5.37,5.39,5.52,5.31,1986592,1078760406.77,3.91,0.37,0.02,12.28
2025-01-03,002354,5.43,4.99,5.47,4.96,1932104,997554298.32,9.46,-7.42,-0.4,11.94
2025-01-06,002354,4.95,4.83,5.0,4.79,1437357,701320854.66,4.21,-3.21,-0.16,8.88
2025-01-07,002354,4.88,5.2,5.28,4.82,2451081,1248425839.93,9.52,7.66,0.37,15.15
2025-01-08,002354,5.19,5.72,5.72,5.11,4002287,2167649410.45,11.73,10.0,0.52,24.73
2025-01-09,002354,5.65,5.72,5.99,5.57,4177825,2422304770.81,7.34,0.0,0.0,25.82
2025-01-10,002354,5.73,5.83,6.1,5.6,3700536,2181811399.81,8.74,1.92,0.11,22.87
2025-01-13,002354,5.7,5.6,5.96,5.43,2638310,1488412062.68,9.09,-3.95,-0.23,16.3
2025-01-14,002354,5.7,6.15,6.16,5.61,3654233,2165473792.1,9.82,9.82,0.55,22.58
2025-01-15,002354,6.2,6.55,6.77,6.12,4333976,2810684315.42,10.57,6.5,0.4,26.78
2025-01-16,002354,6.68,6.47,6.69,6.2,4163142,2689251830.71,7.48,-1.22,-0.08,25.72
2025-01-17,002354,6.26,6.01,6.3,5.98,2810774,1717530259.39,4.95,-7.11,-0.46,17.37
2025-01-20,002354,6.11,5.99,6.2,5.98,1897324,1150938366.96,3.66,-0.33,-0.02,11.72
2025-01-21,002354,6.06,6.13,6.27,5.98,2019838,1231622027.83,4.84,2.34,0.14,12.48
2025-01-22,002354,6.01,5.68,6.04,5.65,2039383,1174891010.41,6.36,-7.34,-0.45,12.6
2025-01-23,002354,5.78,5.61,5.95,5.57,1983259,1143831657.09,6.69,-1.23,-0.07,12.25
2025-01-24,002354,5.59,5.84,5.9,5.43,2251356,1283985089.08,8.38,4.1,0.23,13.91
2025-01-27,002354,6.0,6.1,6.25,5.72,2809485,1693868876.43,9.08,4.45,0.26,17.36
2025-02-05,002354,6.71,6.71,6.71,6.71,479854,321981745.47,0.0,10.0,0.61,2.97
2025-02-06,002354,7.38,7.38,7.38,6.95,4172095,3007148257.7,6.41,9.99,0.67,25.78
2025-02-07,002354,7.28,7.32,8.01,7.15,6513784,4920052452.81,11.65,-0.81,-0.06,40.25
2025-02-10,002354,7.39,8.05,8.05,7.39,4422898,3447473407.12,9.02,9.97,0.73,27.33
2025-02-11,002354,8.1,8.16,8.7,7.86,6115540,5053557597.11,10.43,1.37,0.11,37.79
2025-02-12,002354,7.89,8.21,8.45,7.66,4513701,3660448067.5,9.68,0.61,0.05,27.89
2025-02-13,002354,8.24,8.09,8.66,7.75,4977378,4081718976.13,11.08,-1.46,-0.12,30.76
2025-02-14,002354,7.9,8.4,8.8,7.9,5157203,4293831308.49,11.12,3.83,0.31,31.87
2025-02-17,002354,8.41,8.1,8.42,7.94,3833693,3114155174.65,5.71,-3.57,-0.3,23.69
2025-02-18,002354,7.95,8.16,8.46,7.9,3535278,2902925814.61,6.91,0.74,0.06,21.85
2025-02-19,002354,8.05,8.35,8.38,7.66,4094062,3316145087.3,8.82,2.33,0.19,25.3
2025-02-20,002354,8.49,8.27,8.97,8.16,4649125,3993017170.36,9.7,-0.96,-0.08,28.73
2025-02-21,002354,8.21,8.12,8.4,8.0,3514895,2858898161.99,4.84,-1.81,-0.15,21.72
2025-02-24,002354,8.04,7.7,8.16,7.66,3277870,2571782665.93,6.16,-5.17,-0.42,20.25
2025-02-25,002354,7.49,7.81,7.97,7.44,2266324,1761006725.55,6.88,1.43,0.11,14.0
2025-02-26,002354,7.76,7.7,7.82,7.62,1823796,1401567927.03,2.56,-1.41,-0.11,11.27
2025-02-27,002354,7.7,7.88,8.0,7.61,2552100,2012937448.31,5.06,2.34,0.18,15.77
2025-02-28,002354,7.8,7.09,7.81,7.09,2513616,1838514694.6,9.14,-10.03,-0.79,15.53
2025-03-03,002354,6.97,6.75,7.08,6.65,1791885,1223379261.26,6.06,-4.8,-0.34,11.07
2025-03-04,002354,6.66,7.11,7.18,6.65,1992331,1395992761.33,7.85,5.33,0.36,12.31
2025-03-05,002354,7.13,7.25,7.38,6.92,1988789,1421082546.56,6.47,1.97,0.14,12.29
2025-03-06,002354,7.35,7.46,7.56,7.26,1982179,1470804351.82,4.14,2.9,0.21,12.25
2025-03-07,002354,7.57,7.37,7.79,7.25,2170387,1639177509.45,7.24,-1.21,-0.09,13.41
2025-03-10,002354,7.28,7.14,7.29,7.06,1358120,969630662.0,3.12,-3.12,-0.23,8.39
2025-03-11,002354,7.01,7.28,7.31,6.96,1245132,897477510.5,4.9,1.96,0.14,7.69
2025-03-12,002354,7.28,7.26,7.45,7.23,1327915,972365645.4,3.02,-0.27,-0.02,8.21
