日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002377,3.33,3.18,3.35,3.1,357443,115503527.54,7.55,-3.93,-0.13,4.1
2025-01-03,002377,3.18,2.9,3.22,2.88,471843,141473079.0,10.69,-8.81,-0.28,5.41
2025-01-06,002377,2.88,2.84,3.03,2.76,479261,138633712.0,9.31,-2.07,-0.06,5.5
2025-01-07,002377,2.87,2.94,2.94,2.8,298424,85904202.24,4.93,3.52,0.1,3.42
2025-01-08,002377,2.94,2.88,2.97,2.8,252677,72858732.0,5.78,-2.04,-0.06,2.9
2025-01-09,002377,2.88,2.91,2.95,2.83,224275,64861238.0,4.17,1.04,0.03,2.57
2025-01-10,002377,2.91,2.92,3.02,2.85,348953,102193152.0,5.84,0.34,0.01,4.0
2025-01-13,002377,2.92,2.87,2.93,2.82,239036,68641578.0,3.77,-1.71,-0.05,2.74
2025-01-14,002377,2.88,2.99,3.0,2.87,269766,79434188.0,4.53,4.18,0.12,3.09
2025-01-15,002377,2.97,3.07,3.12,2.95,365775,112061550.0,5.69,2.68,0.08,4.2
2025-01-16,002377,3.08,3.18,3.26,3.07,347244,111012818.16,6.19,3.58,0.11,3.98
2025-01-17,002377,3.17,3.14,3.22,3.12,231343,73066640.36,3.14,-1.26,-0.04,2.65
2025-01-20,002377,3.18,3.21,3.23,3.13,185405,59069345.12,3.18,2.23,0.07,2.13
2025-01-21,002377,3.21,3.16,3.33,3.13,280404,89533581.42,6.23,-1.56,-0.05,3.22
2025-01-22,002377,3.14,3.05,3.15,3.03,186699,57559088.9,3.8,-3.48,-0.11,2.14
2025-01-23,002377,3.09,3.07,3.22,3.06,209828,65713014.76,5.25,0.66,0.02,2.41
2025-01-24,002377,3.07,3.07,3.09,3.0,139283,42646992.0,2.93,0.0,0.0,1.6
2025-01-27,002377,3.08,3.01,3.13,2.97,154626,46896423.04,5.21,-1.95,-0.06,1.77
2025-02-05,002377,3.02,3.06,3.09,3.01,130487,39945955.1,2.66,1.66,0.05,1.5
2025-02-06,002377,3.09,3.17,3.18,3.05,311520,97368921.62,4.25,3.59,0.11,3.57
2025-02-07,002377,3.15,3.09,3.18,3.06,414946,128831518.03,3.79,-2.52,-0.08,4.76
2025-02-10,002377,3.09,3.1,3.13,3.07,224015,69218386.4,1.94,0.32,0.01,2.57
2025-02-11,002377,3.1,3.03,3.11,3.02,224439,68211892.08,2.9,-2.26,-0.07,2.57
2025-02-12,002377,3.05,3.04,3.07,3.0,179946,54525361.84,2.31,0.33,0.01,2.06
2025-02-13,002377,3.04,2.99,3.06,2.98,205475,61842992.0,2.63,-1.64,-0.05,2.36
2025-02-14,002377,2.97,2.89,2.99,2.87,234202,68257244.32,4.01,-3.34,-0.1,2.69
2025-02-17,002377,2.9,3.05,3.06,2.81,469150,138177577.97,8.65,5.54,0.16,5.38
2025-02-18,002377,3.03,2.91,3.04,2.9,255235,75466575.0,4.59,-4.59,-0.14,2.93
2025-02-19,002377,2.92,2.91,2.93,2.88,153738,44590272.0,1.72,0.0,0.0,1.76
2025-02-20,002377,2.91,2.88,2.96,2.88,156172,45413656.4,2.75,-1.03,-0.03,1.79
2025-02-21,002377,2.9,2.93,3.02,2.87,349762,103003201.0,5.21,1.74,0.05,4.01
2025-02-24,002377,2.93,2.87,2.94,2.84,293845,84435173.96,3.41,-2.05,-0.06,3.37
2025-02-25,002377,2.85,2.85,2.89,2.83,202529,57899925.0,2.09,-0.7,-0.02,2.32
2025-02-26,002377,2.85,2.85,2.88,2.82,159021,45159074.0,2.11,0.0,0.0,1.82
2025-02-27,002377,2.84,2.84,2.92,2.81,201236,57321515.0,3.86,-0.35,-0.01,2.31
2025-02-28,002377,2.87,2.77,2.87,2.77,221521,62193490.0,3.52,-2.46,-0.07,2.54
2025-03-03,002377,2.77,2.78,2.85,2.75,194676,54473900.0,3.61,0.36,0.01,2.23
2025-03-04,002377,2.79,2.77,2.79,2.72,156904,43085131.0,2.52,-0.36,-0.01,1.8
2025-03-05,002377,2.76,2.74,2.76,2.7,140611,38289325.0,2.17,-1.08,-0.03,1.61
2025-03-06,002377,2.74,2.77,2.8,2.72,160141,44414048.0,2.92,1.09,0.03,1.84
2025-03-07,002377,2.77,2.72,2.77,2.71,159951,43754795.0,2.17,-1.81,-0.05,1.83
2025-03-10,002377,2.73,2.73,2.77,2.71,146671,40141226.0,2.21,0.37,0.01,1.68
2025-03-11,002377,2.71,3.0,3.0,2.69,728088,211450498.6,11.36,9.89,0.27,8.35
2025-03-12,002377,3.08,2.95,3.15,2.91,764238,232150927.0,8.0,-1.67,-0.05,8.77
2025-03-13,002377,2.97,2.91,3.0,2.86,419374,122641816.0,4.75,-1.36,-0.04,4.81
2025-03-14,002377,2.93,2.95,2.99,2.89,267546,78493818.84,3.44,1.37,0.04,3.07
2025-03-17,002377,2.96,2.91,2.98,2.9,327819,96420693.0,2.71,-1.36,-0.04,3.76
2025-03-18,002377,2.93,2.92,2.94,2.88,188669,54777494.0,2.06,0.34,0.01,2.16
2025-03-19,002377,2.91,2.89,2.95,2.88,165442,48043974.0,2.4,-1.03,-0.03,1.9
2025-03-20,002377,2.89,2.89,2.94,2.86,246281,71305752.0,2.77,0.0,0.0,2.83
2025-03-21,002377,2.89,2.91,3.01,2.86,375722,110638928.64,5.19,0.69,0.02,4.31
2025-03-24,002377,2.92,2.84,2.93,2.78,279399,79624054.16,5.15,-2.41,-0.07,3.21
2025-03-25,002377,2.85,2.8,2.85,2.77,155656,43555513.0,2.82,-1.41,-0.04,1.79
2025-03-26,002377,2.8,2.83,2.85,2.78,189818,53640694.16,2.5,1.07,0.03,2.18
2025-03-27,002377,2.84,2.78,2.85,2.77,164901,45971126.0,2.83,-1.77,-0.05,1.89
2025-03-28,002377,2.77,2.72,2.78,2.7,142083,38848462.0,2.88,-2.16,-0.06,1.63
2025-03-31,002377,2.73,2.69,2.77,2.65,169737,45823626.0,4.41,-1.1,-0.03,1.95
2025-04-01,002377,2.7,2.71,2.76,2.7,101351,27674864.0,2.23,0.74,0.02,1.16
2025-04-02,002377,2.7,2.7,2.72,2.69,71957,19432164.0,1.11,-0.37,-0.01,0.83
2025-04-03,002377,2.69,2.71,2.72,2.67,83549,22522583.0,1.85,0.37,0.01,0.96
2025-04-07,002377,2.58,2.44,2.58,2.44,158794,39079894.92,5.17,-9.96,-0.27,1.82
2025-04-08,002377,2.33,2.31,2.39,2.26,255668,59108306.0,5.33,-5.33,-0.13,2.93
2025-04-09,002377,2.3,2.34,2.37,2.12,257869,58142884.32,10.82,1.3,0.03,2.96
2025-04-10,002377,2.38,2.42,2.43,2.38,188213,45409621.0,2.14,3.42,0.08,2.16
2025-04-11,002377,2.41,2.5,2.54,2.38,254392,63420909.0,6.61,3.31,0.08,2.92
2025-04-14,002377,2.51,2.53,2.56,2.49,199279,50369224.1,2.8,1.2,0.03,2.29
2025-04-15,002377,2.52,2.51,2.55,2.47,116478,29177340.0,3.16,-0.79,-0.02,1.34
2025-04-16,002377,2.5,2.49,2.52,2.41,142601,35180976.64,4.38,-0.8,-0.02,1.64
2025-04-17,002377,2.49,2.52,2.56,2.47,134451,34059490.0,3.61,1.2,0.03,1.54
2025-04-18,002377,2.53,2.55,2.64,2.51,206402,52998341.4,5.16,1.19,0.03,2.37
2025-04-21,002377,2.56,2.52,2.58,2.49,163455,41312738.0,3.53,-1.18,-0.03,1.88
2025-04-22,002377,2.52,2.6,2.64,2.52,218905,56839251.0,4.76,3.17,0.08,2.51
2025-04-23,002377,2.63,2.61,2.64,2.59,138961,36314029.0,1.92,0.38,0.01,1.59
2025-04-24,002377,2.65,2.67,2.77,2.64,316773,85724248.3,4.98,2.3,0.06,3.63
2025-04-25,002377,2.67,2.71,2.74,2.62,207122,55552032.36,4.49,1.5,0.04,2.38
2025-04-28,002377,2.71,2.77,2.8,2.68,279531,76765249.84,4.43,2.21,0.06,3.21
2025-04-29,002377,2.77,2.82,2.84,2.72,217045,60530463.0,4.33,1.81,0.05,2.49
2025-04-30,002377,2.81,2.92,2.98,2.8,342049,99253160.6,6.38,3.55,0.1,3.92
2025-05-06,002377,2.94,2.99,3.06,2.86,367245,108531342.08,6.85,2.4,0.07,4.21
2025-05-07,002377,3.01,2.97,3.07,2.94,232860,69759470.0,4.35,-0.67,-0.02,2.67
2025-05-08,002377,2.96,2.97,3.02,2.95,156883,46724147.0,2.36,0.0,0.0,1.8
2025-05-09,002377,2.95,2.94,2.99,2.92,165285,48688712.56,2.36,-1.01,-0.03,1.9
2025-05-12,002377,2.94,2.9,2.96,2.84,239326,69223668.0,4.08,-1.36,-0.04,2.75
2025-05-13,002377,2.91,2.89,2.94,2.88,130902,38073257.0,2.07,-0.34,-0.01,1.5
2025-05-14,002377,2.9,2.89,2.91,2.86,154349,44499083.0,1.73,0.0,0.0,1.77
2025-05-15,002377,2.88,2.89,2.9,2.86,91001,26197432.0,1.38,0.0,0.0,1.04
2025-05-16,002377,2.89,2.86,2.9,2.84,121365,34772003.0,2.08,-1.04,-0.03,1.39
2025-05-19,002377,2.92,2.95,3.0,2.9,214396,63132996.0,3.5,3.15,0.09,2.46
2025-05-20,002377,2.95,2.96,2.97,2.92,132903,39183468.0,1.69,0.34,0.01,1.52
2025-05-21,002377,2.95,2.93,2.99,2.91,168590,49557746.68,2.7,-1.01,-0.03,1.93
2025-05-22,002377,2.92,2.9,2.95,2.89,111946,32680844.64,2.05,-1.02,-0.03,1.28
2025-05-23,002377,2.88,2.86,2.92,2.85,156403,44967552.0,2.41,-1.38,-0.04,1.79
2025-05-26,002377,2.85,2.91,2.93,2.84,174508,50495312.78,3.15,1.75,0.05,2.0
2025-05-27,002377,2.92,2.93,2.95,2.87,163085,47525068.0,2.75,0.69,0.02,1.87
2025-05-28,002377,2.93,2.91,2.94,2.88,142928,41566409.0,2.05,-0.68,-0.02,1.64
2025-05-29,002377,2.9,2.95,2.99,2.89,210209,62097253.0,3.44,1.37,0.04,2.41
2025-05-30,002377,2.96,2.92,3.0,2.91,226766,67066208.0,3.05,-1.02,-0.03,2.6
2025-06-03,002377,2.92,2.97,3.0,2.9,201862,59747616.0,3.42,1.71,0.05,2.32
2025-06-04,002377,2.98,2.99,3.02,2.96,191231,57148691.0,2.02,0.67,0.02,2.19
2025-06-05,002377,2.99,2.96,3.0,2.94,163177,48417247.0,2.01,-1.0,-0.03,1.87
2025-06-06,002377,2.97,2.97,2.98,2.94,93278,27576276.0,1.35,0.34,0.01,1.07
2025-06-09,002377,2.97,3.0,3.03,2.96,246273,73774434.0,2.36,1.01,0.03,2.83
2025-06-10,002377,3.02,2.92,3.03,2.88,264203,77853591.0,5.0,-2.67,-0.08,3.03
2025-06-11,002377,2.93,2.94,2.97,2.91,144429,42530710.0,2.05,0.68,0.02,1.66
2025-06-12,002377,2.93,2.88,2.94,2.87,202204,58595961.0,2.38,-2.04,-0.06,2.32
2025-06-13,002377,2.9,2.86,2.92,2.84,179501,51640691.0,2.78,-0.69,-0.02,2.06
2025-06-16,002377,2.85,2.87,2.92,2.84,146646,42339895.0,2.8,0.35,0.01,1.68
2025-06-17,002377,2.89,2.89,2.9,2.85,149475,42920779.0,1.74,0.7,0.02,1.71
2025-06-18,002377,2.88,2.89,2.91,2.84,148191,42641119.0,2.42,0.0,0.0,1.7
2025-06-19,002377,2.88,2.83,2.92,2.82,175834,50097850.96,3.46,-2.08,-0.06,2.02
2025-06-20,002377,2.84,2.79,2.85,2.79,112707,31658038.85,2.12,-1.41,-0.04,1.29
2025-06-23,002377,2.8,2.86,2.87,2.76,169926,48165767.96,3.94,2.51,0.07,1.95
