日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-07,002379,9.87,9.87,9.87,9.87,45200,44611906.5,0.0,10.03,0.9,0.4
2025-01-08,002379,10.86,10.86,10.86,9.87,1927896,2051022695.02,10.03,10.03,0.99,16.97
2025-01-09,002379,10.71,10.22,11.2,9.92,1875578,1979096114.73,11.79,-5.89,-0.64,16.5
2025-01-10,002379,9.8,9.67,10.6,9.58,1017920,1015845926.27,9.98,-5.38,-0.55,8.96
2025-01-13,002379,9.5,9.87,9.9,9.15,718517,688881042.6,7.76,2.07,0.2,6.32
2025-01-14,002379,9.89,9.7,10.05,9.6,567895,556621540.34,4.56,-1.72,-0.17,5.0
2025-01-15,002379,9.7,9.44,9.89,9.15,560488,526893424.73,7.63,-2.68,-0.26,4.93
2025-01-16,002379,9.45,9.94,10.08,9.45,589413,577866343.59,6.67,5.3,0.5,5.19
2025-01-17,002379,9.9,9.94,10.08,9.48,671260,661924359.8,6.04,0.0,0.0,5.91
2025-01-20,002379,9.98,10.0,10.56,9.9,628602,636961750.3,6.64,0.6,0.06,5.53
2025-01-21,002379,10.06,10.14,10.23,9.79,323934,325008109.24,4.4,1.4,0.14,2.85
2025-01-22,002379,10.3,10.0,10.39,9.96,298667,302360926.27,4.24,-1.38,-0.14,2.63
2025-01-23,002379,10.05,9.84,10.21,9.8,253192,253960783.53,4.1,-1.6,-0.16,2.23
2025-01-24,002379,9.81,10.09,10.3,9.68,367957,370539404.75,6.3,2.54,0.25,3.24
2025-01-27,002379,10.15,10.41,10.72,10.09,518229,539837773.39,6.24,3.17,0.32,4.56
2025-02-05,002379,10.49,10.3,10.5,9.99,515291,524960730.5,4.9,-1.06,-0.11,4.53
2025-02-06,002379,10.2,10.33,10.5,10.17,306305,315087338.04,3.2,0.29,0.03,2.7
2025-02-07,002379,10.23,10.4,10.68,10.19,351738,367031921.06,4.74,0.68,0.07,3.1
2025-02-10,002379,10.4,10.29,10.49,10.14,416960,429673214.89,3.37,-1.06,-0.11,3.67
2025-02-11,002379,10.26,10.3,10.52,10.26,242781,252353722.08,2.53,0.1,0.01,2.14
2025-02-12,002379,10.3,9.81,10.32,9.71,534238,531087990.36,5.92,-4.76,-0.49,4.7
2025-02-13,002379,9.81,9.94,10.04,9.69,249380,247392824.16,3.57,1.33,0.13,2.19
2025-02-14,002379,9.94,9.82,9.98,9.65,186510,183032527.18,3.32,-1.21,-0.12,1.64
2025-02-17,002379,9.71,9.71,9.88,9.57,247657,240482306.73,3.16,-1.12,-0.11,2.18
2025-02-18,002379,9.75,9.33,9.75,9.28,235137,223496679.89,4.84,-3.91,-0.38,2.07
2025-02-19,002379,9.36,9.76,9.77,9.36,255408,245940129.35,4.39,4.61,0.43,2.25
2025-02-20,002379,9.76,9.82,9.96,9.56,170926,166957637.8,4.1,0.61,0.06,1.5
2025-02-21,002379,9.88,9.86,9.94,9.66,203870,199742987.0,2.85,0.41,0.04,1.79
2025-02-24,002379,9.8,10.04,10.18,9.72,334774,335449654.07,4.67,1.83,0.18,2.95
2025-02-25,002379,10.07,9.95,10.15,9.78,203225,201631545.0,3.69,-0.9,-0.09,1.79
2025-02-26,002379,9.99,9.99,10.22,9.88,227705,228894517.78,3.42,0.4,0.04,2.0
2025-02-27,002379,10.03,10.02,10.09,9.83,175581,174856519.0,2.6,0.3,0.03,1.55
2025-02-28,002379,10.03,10.13,10.48,9.88,347354,354910806.32,5.99,1.1,0.11,3.06
2025-03-03,002379,10.22,10.65,10.78,10.0,508646,538989782.96,7.7,5.13,0.52,4.48
2025-03-04,002379,10.56,10.98,11.03,10.48,298721,323951846.48,5.16,3.1,0.33,2.63
2025-03-05,002379,11.01,11.85,12.08,10.85,704315,821239356.94,11.2,7.92,0.87,6.2
2025-03-06,002379,11.95,11.86,12.04,11.56,374284,442610095.0,4.05,0.08,0.01,3.29
2025-03-07,002379,11.86,11.95,12.17,11.86,319582,383328614.64,2.61,0.76,0.09,2.81
2025-03-10,002379,11.96,12.08,12.35,11.76,272599,329338133.2,4.94,1.09,0.13,2.4
2025-03-11,002379,11.89,11.85,12.03,11.52,363235,425577103.0,4.22,-1.9,-0.23,3.2
2025-03-12,002379,11.92,12.09,12.28,11.81,240970,290505998.74,3.97,2.03,0.24,2.12
2025-03-13,002379,12.15,12.06,12.2,11.91,185617,223253258.0,2.4,-0.25,-0.03,1.63
2025-03-14,002379,12.16,11.98,12.17,11.71,239692,285865830.56,3.81,-0.66,-0.08,2.11
2025-03-17,002379,12.09,11.81,12.64,11.81,665637,814437393.58,6.93,-1.42,-0.17,5.86
2025-03-18,002379,11.9,12.05,12.14,11.74,385771,460997988.46,3.39,2.03,0.24,3.39
2025-03-19,002379,12.05,11.71,12.13,11.5,372985,440839715.98,5.23,-2.82,-0.34,3.28
2025-03-20,002379,11.71,11.63,11.9,11.49,350483,408463247.59,3.5,-0.68,-0.08,3.08
2025-03-21,002379,11.52,11.6,11.72,11.5,272631,316326785.07,1.89,-0.26,-0.03,2.4
2025-03-24,002379,11.6,11.38,11.65,11.2,291396,332839091.5,3.88,-1.9,-0.22,2.56
2025-03-25,002379,11.42,11.46,11.57,11.28,225613,258128168.0,2.55,0.7,0.08,1.99
2025-03-26,002379,11.44,11.35,11.74,11.22,229685,262398924.2,4.54,-0.96,-0.11,2.02
2025-03-27,002379,11.32,11.68,11.7,11.22,207690,240304365.0,4.23,2.91,0.33,1.83
2025-03-28,002379,11.7,11.48,11.86,11.35,190864,219783684.0,4.37,-1.71,-0.2,1.68
2025-03-31,002379,11.57,11.15,11.57,10.87,289639,321880046.0,6.1,-2.87,-0.33,2.55
2025-04-01,002379,11.16,11.26,11.35,11.08,151086,170067539.32,2.42,0.99,0.11,1.33
2025-04-02,002379,11.28,11.52,11.54,11.22,101002,115322626.0,2.84,2.31,0.26,0.89
